Date,Open,High,Low,Close,Volume
2018-06-06,10.15,10.15,9.86,9.94,5544394
2018-06-07,10.01,10.48,10.01,10.39,7571387
2018-06-08,10.49,10.61,10.21,10.56,6326157
2018-06-12,10.76,10.90,10.48,10.88,6631782
2018-06-13,10.87,10.87,10.42,10.52,5911908
2018-06-14,10.50,10.70,10.37,10.65,3819998
2018-06-15,10.62,11.14,10.56,10.97,5248864
2018-06-18,10.99,11.00,10.74,10.86,3430040
2018-06-19,10.86,11.03,10.69,10.76,2935594
2018-06-20,10.72,10.99,10.55,10.99,3023289
2018-06-21,11.10,11.41,11.09,11.24,5388578
2018-06-22,11.15,11.20,10.95,10.97,3316182
2018-06-25,10.98,11.14,10.72,10.89,3442881
2018-06-26,10.75,10.97,10.56,10.85,3695997
2018-06-27,10.94,11.10,10.81,10.87,3880442
2018-06-28,10.85,10.87,10.56,10.61,3841874
2018-06-29,10.78,10.82,10.44,10.52,4159099
2018-07-02,10.52,10.59,10.35,10.37,2838950
2018-07-03,10.56,10.91,10.55,10.72,3201032
2018-07-04,10.77,10.80,10.37,10.52,3289806
2018-07-05,10.60,10.62,10.36,10.51,3460163
2018-07-06,10.65,10.68,10.44,10.51,2972185
2018-07-09,10.51,10.58,10.38,10.44,2020420
2018-07-10,10.42,10.71,10.33,10.61,2860810
2018-07-11,10.70,10.84,10.56,10.82,5151242
2018-07-12,10.60,10.83,10.38,10.50,5386751
2018-07-13,10.46,10.48,10.22,10.29,4570976
2018-07-16,10.32,10.51,10.23,10.28,3201906
2018-07-17,10.40,10.44,9.97,10.09,4451685
2018-07-18,10.14,10.15,9.96,10.00,4382078
2018-07-19,10.00,10.06,9.76,9.81,5198204
2018-07-20,9.76,9.82,9.58,9.71,4289418
2018-07-23,9.69,9.83,9.52,9.58,4256788
2018-07-24,9.64,9.82,9.45,9.77,7328957
2018-07-25,9.85,10.03,9.66,9.94,5801346
2018-07-26,10.01,10.04,9.85,9.90,4088937
2018-07-27,9.94,9.98,9.82,9.91,3796841
2018-07-30,9.89,9.91,9.72,9.76,1474298
2018-07-31,9.72,9.75,9.57,9.60,5357453
2018-08-01,9.60,9.66,9.42,9.47,4557616
2018-08-02,9.47,9.60,9.26,9.56,3540104
2018-08-03,9.60,9.78,9.53,9.64,4189974
2018-08-06,9.64,9.66,9.46,9.59,3511853
2018-08-07,9.58,9.63,9.53,9.59,3121993
2018-08-08,9.40,9.54,9.27,9.37,4405141
2018-08-09,9.34,9.45,9.28,9.40,4132288
2018-08-10,9.44,9.78,9.41,9.78,4138601
2018-08-13,9.78,10.00,9.70,9.76,4554245
2018-08-14,10.01,10.18,9.93,10.09,4154553
2018-08-15,10.16,10.21,9.93,10.06,3341995
2018-08-16,9.97,10.03,9.64,9.86,4618729
2018-08-17,9.85,10.01,9.71,9.78,2298173
2018-08-20,9.78,9.99,9.64,9.97,3021024
2018-08-21,10.04,10.15,9.87,10.09,5235910
2018-08-22,10.62,10.93,10.35,10.60,14359004
2018-08-23,10.61,10.85,10.55,10.82,5749159
2018-08-24,10.95,11.03,10.57,10.79,5030558
2018-08-27,10.92,11.21,10.79,11.18,4744205
2018-08-28,11.27,11.45,11.15,11.44,5781431
2018-08-29,11.60,11.91,11.53,11.89,5355630
2018-08-30,11.88,11.88,11.57,11.65,4746701
2018-08-31,11.53,11.62,11.42,11.50,3951649
