Date,Open,High,Low,Close,Volume
2018-06-06,49.89,50.19,49.17,50.13,2873400
2018-06-07,50.04,50.12,48.54,49.19,4036800
2018-06-08,49.01,49.49,48.44,48.52,2299300
2018-06-11,48.50,50.59,48.18,49.92,4973500
2018-06-12,49.98,50.13,49.11,49.29,1561800
2018-06-13,49.34,49.49,48.28,48.35,2589400
2018-06-14,48.44,48.65,47.64,47.84,2166900
2018-06-15,47.40,47.40,45.03,45.34,4962400
2018-06-18,45.01,45.87,45.00,45.78,2835700
2018-06-19,44.63,44.63,43.35,44.47,3320100
2018-06-20,44.88,45.43,44.33,45.27,2160500
2018-06-21,45.01,45.43,44.57,44.81,2251200
2018-06-22,45.45,45.78,45.26,45.56,3339700
2018-06-25,45.13,45.13,43.59,44.26,2281900
2018-06-26,44.51,45.96,44.08,45.80,3918200
2018-06-27,45.68,47.05,45.47,45.74,2468600
2018-06-28,45.23,46.68,45.07,46.47,2273000
2018-06-29,46.19,47.32,46.09,46.88,3118900
2018-07-02,46.46,47.29,45.49,45.88,2150500
2018-07-03,46.34,46.90,45.51,45.80,1251300
2018-07-05,46.26,47.50,46.17,46.88,2251000
2018-07-06,46.49,47.24,46.02,47.14,2184800
2018-07-09,47.94,48.56,47.57,48.29,2370200
2018-07-10,48.05,48.87,47.52,47.89,2234800
2018-07-11,46.91,48.30,46.59,48.06,2847300
2018-07-12,48.10,48.29,47.15,47.40,1896600
2018-07-13,47.68,47.85,47.02,47.26,1350400
2018-07-16,47.54,48.08,46.76,47.41,2714100
2018-07-17,47.40,48.29,47.40,48.02,2203000
2018-07-18,47.98,48.75,47.32,47.96,3937700
2018-07-19,45.75,46.30,41.03,41.56,19926800
2018-07-20,41.53,41.55,40.03,40.32,9835500
2018-07-23,40.86,41.82,40.08,41.33,7709800
2018-07-24,42.35,43.10,42.00,42.49,8243900
2018-07-25,42.10,43.24,41.65,43.11,5502300
2018-07-26,42.70,43.46,42.05,42.82,3023700
2018-07-27,42.86,43.48,42.36,43.22,3977500
2018-07-30,43.38,43.68,42.32,42.58,2704100
2018-07-31,42.68,43.61,42.65,43.27,2557600
2018-08-01,43.01,43.01,41.90,42.04,3886600
2018-08-02,41.63,42.75,41.46,42.48,2571700
2018-08-03,42.54,43.30,42.31,42.72,2101600
2018-08-06,42.53,42.98,42.21,42.72,3233400
2018-08-07,43.21,43.40,41.90,41.97,2887900
2018-08-08,42.00,44.32,41.94,43.70,6483900
2018-08-09,44.27,44.40,42.81,42.99,3053000
2018-08-10,42.45,45.17,42.05,44.98,7608200
2018-08-13,44.95,44.95,44.01,44.45,3605500
2018-08-14,44.36,44.56,43.76,44.13,3399500
2018-08-15,43.18,43.37,40.69,40.88,5392400
2018-08-16,41.25,42.24,41.25,41.45,3398900
2018-08-17,41.42,42.24,41.09,42.03,2264900
2018-08-20,42.57,42.87,41.71,41.83,2730900
2018-08-21,41.88,43.22,41.88,43.03,3095900
2018-08-22,43.20,43.79,43.12,43.22,2037900
2018-08-23,42.50,42.73,41.89,42.02,2813000
2018-08-24,42.71,43.53,42.18,43.44,4630500
2018-08-27,43.41,44.35,43.41,43.87,2358900
2018-08-28,44.49,45.65,44.00,44.25,3837200
2018-08-29,44.12,45.47,44.04,45.13,2549000
2018-08-30,44.99,45.17,44.31,44.37,3086400
2018-08-31,44.10,45.04,44.04,44.67,2028600
2018-09-04,43.88,43.92,43.10,43.36,2045100
2018-09-05,43.17,43.23,41.63,42.87,3340700
2018-09-06,42.90,42.93,40.12,40.36,6537200
2018-09-07,40.50,41.82,40.10,41.00,5305200
2018-09-10,42.09,42.69,41.64,42.01,3405900
2018-09-11,41.19,41.38,40.57,40.87,3701700
2018-09-12,41.31,42.04,40.32,42.02,4466900
2018-09-13,42.51,42.88,41.56,41.77,2609000
2018-09-14,41.81,42.91,41.81,42.79,2731400
2018-09-17,42.50,43.50,42.50,42.83,3015500
2018-09-18,43.49,43.80,42.73,43.12,2707100
2018-09-19,43.05,43.12,42.13,42.63,3010300
2018-09-20,43.39,43.58,42.38,42.93,3845200
2018-09-21,43.36,44.00,42.92,43.79,4939900
2018-09-24,43.01,43.69,41.91,41.96,4054300
2018-09-25,41.65,41.94,40.60,41.24,5152100
2018-09-26,41.30,41.30,39.58,40.48,7849600
2018-09-27,40.38,40.81,40.08,40.50,2842800
2018-09-28,40.54,41.35,40.24,40.40,3755700
2018-10-01,40.75,40.96,39.88,40.86,3624900
2018-10-02,40.96,41.86,40.86,41.56,4589900
2018-10-03,44.70,45.45,42.51,42.89,14417700
2018-10-04,43.35,43.73,42.53,43.11,6420400
2018-10-05,42.64,42.65,41.60,42.06,4314200
2018-10-08,41.00,41.01,38.27,38.74,7466700
2018-10-09,38.48,38.73,37.40,37.64,5164800
2018-10-10,37.31,37.45,35.97,36.06,4374400
2018-10-11,35.80,36.22,35.13,35.67,3505400
2018-10-12,36.39,36.55,35.59,35.67,2848500
2018-10-15,35.47,35.88,35.31,35.34,2439900
2018-10-16,35.48,36.29,35.30,36.19,2686800
2018-10-17,36.38,36.71,35.56,36.70,7398600
2018-10-18,38.61,40.68,38.60,38.85,13826700
2018-10-19,38.90,39.15,37.90,38.60,5061800
2018-10-22,38.72,39.76,38.64,39.46,3141100
2018-10-23,38.87,38.97,37.07,37.32,3192900
2018-10-24,37.12,37.35,34.04,34.20,4897200
2018-10-25,34.56,35.19,33.88,34.56,3200400
2018-10-26,33.84,34.99,33.08,34.25,3944700
2018-10-29,34.60,35.12,33.40,33.82,2219600
2018-10-30,33.65,34.48,33.41,34.15,2193400
2018-10-31,34.82,35.82,34.60,34.99,3380700
2018-11-01,35.44,36.88,35.24,36.78,2756200
2018-11-02,37.00,37.69,36.41,36.93,2690000
2018-11-05,36.84,37.17,36.38,36.60,1774700
2018-11-06,36.10,36.58,35.68,36.19,2417800
2018-11-07,36.74,37.33,36.12,36.83,3267900
2018-11-08,36.86,37.94,36.16,36.38,3763900
2018-11-09,35.97,36.15,33.82,34.36,4279000
2018-11-12,34.22,34.57,33.48,33.73,2422900
2018-11-13,33.69,35.36,33.26,34.72,4016900
2018-11-14,34.91,35.60,34.25,35.15,2872900
2018-11-15,35.09,36.16,34.80,35.94,2535100
2018-11-16,35.85,36.72,35.72,35.95,3092100
2018-11-19,35.81,35.99,32.25,33.49,4603100
2018-11-20,32.42,33.20,31.98,32.68,2938300
2018-11-21,33.20,33.39,32.71,32.80,1697200
2018-11-23,32.05,32.58,31.63,32.31,1346600
2018-11-26,32.40,32.86,32.01,32.57,2348200
2018-11-27,32.14,32.35,30.95,31.19,2964900
2018-11-28,31.35,34.17,30.96,33.60,5636700
2018-11-29,33.45,33.48,30.98,30.99,8105500
2018-11-30,31.04,32.46,30.94,31.81,5353800
2018-12-03,32.90,33.47,31.78,32.05,2946200
2018-12-04,32.11,32.19,30.27,30.40,3038000
2018-12-06,29.66,29.68,28.12,29.65,4244200
2018-12-07,30.15,30.21,28.68,28.82,3383900
2018-12-10,28.64,29.14,27.85,28.32,2915600
2018-12-11,29.16,29.44,28.33,28.43,2490500
2018-12-12,28.89,29.99,28.82,29.24,3116400
2018-12-13,29.27,29.31,28.52,29.10,2557700
2018-12-14,28.51,29.59,28.41,28.61,3358900
2018-12-17,28.50,29.02,27.83,28.11,2186600
2018-12-18,28.12,28.66,28.09,28.24,2107800
2018-12-19,28.32,29.43,27.04,27.61,4941600
2018-12-20,27.66,27.78,26.29,27.33,4942500
2018-12-21,27.33,27.43,26.19,26.39,4323600
2018-12-24,26.27,26.27,25.08,25.15,1926900
2018-12-26,25.31,27.20,25.01,27.14,3237100
2018-12-27,26.41,27.16,25.79,27.16,3036600
2018-12-28,27.09,27.26,26.24,26.60,3010400
2018-12-31,26.75,27.07,25.95,26.58,2402600
2019-01-02,25.95,26.85,25.48,26.24,3067000
2019-01-03,26.12,26.85,25.53,26.24,3011200
2019-01-04,26.84,28.61,26.65,28.34,5653300
2019-01-07,28.53,28.91,28.15,28.42,2441000
2019-01-08,28.73,28.85,27.65,28.25,2218300
2019-01-09,28.60,29.28,28.24,29.10,2372400
2019-01-10,28.69,29.01,28.48,28.98,2351600
2019-01-11,28.72,28.88,27.96,28.55,3838400
2019-01-14,29.06,29.17,27.89,28.79,4035500
2019-01-15,28.94,29.47,28.59,28.90,3770900
2019-01-16,29.19,29.33,28.16,28.98,9242900
2019-01-17,28.21,30.28,27.51,29.59,12073100
2019-01-18,29.92,30.10,29.10,29.27,6601200
2019-01-22,29.00,29.00,27.53,27.81,5026800
2019-01-23,28.15,28.66,27.84,28.30,4392900
2019-01-24,28.15,28.53,27.66,27.96,3022000
2019-01-25,28.42,29.51,28.16,29.02,6607500
2019-01-28,28.74,28.83,27.81,27.98,3538100
2019-01-29,28.27,29.57,28.16,28.75,3565700
2019-01-30,29.10,29.82,28.67,29.59,6502400
2019-01-31,29.28,30.26,29.15,29.68,6466800
2019-02-01,29.70,30.07,28.27,28.60,5042200
2019-02-04,28.43,29.19,28.35,29.09,2337200
2019-02-05,29.00,29.50,28.91,29.07,2749600
2019-02-06,29.01,29.30,28.51,28.55,2923700
2019-02-07,28.38,28.49,27.06,27.29,4955700
2019-02-08,27.12,27.68,26.51,27.65,4784900
2019-02-11,27.55,28.12,27.26,27.97,3448100
2019-02-12,28.33,28.69,27.95,28.40,3021400
2019-02-13,28.81,29.55,28.70,29.05,4566800
2019-02-14,28.73,28.75,28.15,28.20,3196600
2019-02-15,28.71,28.93,28.20,28.27,3407600
2019-02-19,28.21,28.40,28.10,28.21,3029500
2019-02-20,28.39,29.59,28.34,29.24,6520000
2019-02-21,29.20,29.90,29.13,29.58,3983900
2019-02-22,29.88,30.48,29.36,30.17,3197600
2019-02-25,30.47,30.87,30.39,30.78,3937600
2019-02-26,30.70,31.27,30.48,30.85,3723600
2019-02-27,31.07,31.45,30.79,30.98,2880100
2019-02-28,31.02,31.02,29.33,29.50,3660500
2019-03-01,29.68,30.20,29.35,29.66,2187700
2019-03-04,29.91,29.97,28.73,29.16,2690900
2019-03-05,29.07,29.31,28.76,29.20,1890800
2019-03-06,29.06,29.16,28.14,28.25,2465600
2019-03-07,28.16,28.30,27.31,27.36,3102400
2019-03-08,26.93,27.16,26.51,26.82,2864000
2019-03-11,26.76,27.57,26.73,27.52,3497700
2019-03-12,27.73,28.59,27.60,28.44,3112600
2019-03-13,28.62,29.32,28.56,28.98,3670400
2019-03-14,28.79,28.84,27.81,27.89,3701400
2019-03-15,27.87,28.53,27.74,27.84,2936800
2019-03-18,28.00,28.86,27.93,28.64,3522200
2019-03-19,29.03,29.32,28.49,28.62,2459700
2019-03-20,28.50,29.12,27.69,28.79,3381800
2019-03-21,28.54,29.53,28.50,29.41,3234800
2019-03-22,29.10,29.27,27.80,28.12,3356000
2019-03-25,28.12,28.56,27.77,28.02,2871100
2019-03-26,28.14,28.50,27.27,27.54,4287200
2019-03-27,27.90,27.99,27.22,27.91,2523300
2019-03-28,28.05,28.05,27.39,27.99,2553100
2019-03-29,28.28,28.80,28.01,28.16,3382500
2019-04-01,28.68,29.67,28.53,29.46,3880400
2019-04-02,29.13,29.29,28.18,28.54,3838800
2019-04-03,28.45,28.87,28.31,28.69,4678200
2019-04-04,28.60,29.34,28.38,29.29,2654500
2019-04-05,29.40,29.69,29.09,29.55,3018600
2019-04-08,29.55,29.73,29.32,29.66,2375100
2019-04-09,29.38,29.50,28.93,29.10,2355300
2019-04-10,29.21,29.34,28.88,29.15,2598100
2019-04-11,28.85,29.11,28.30,28.49,3409900
2019-04-12,28.90,29.20,28.25,28.29,2752800
2019-04-15,28.38,28.40,27.57,27.74,4164500
2019-04-16,27.80,27.96,27.40,27.72,4094300
2019-04-17,27.98,28.59,27.67,27.72,5016000
2019-04-18,27.36,27.41,25.71,26.66,9476200
2019-04-22,26.52,28.24,26.52,28.14,6241200
2019-04-23,28.08,28.92,28.08,28.53,4784800
2019-04-24,28.49,28.54,27.75,28.12,3391200
2019-04-25,28.04,28.04,27.01,27.11,3153400
2019-04-26,27.05,27.25,26.84,26.91,2257700
2019-04-29,26.82,26.94,26.48,26.85,2298600
2019-04-30,26.71,27.02,26.37,26.68,3270000
2019-05-01,26.70,27.10,25.98,26.00,3681900
2019-05-02,25.88,26.38,25.72,25.93,2917100
2019-05-03,26.23,26.83,26.05,26.68,3375900
2019-05-06,25.95,26.00,25.28,25.91,4081500
2019-05-07,25.61,25.72,25.00,25.18,4020300
2019-05-08,25.03,25.43,24.67,24.69,3304000
2019-05-09,24.40,24.90,23.88,24.81,2633800
2019-05-10,24.73,25.31,24.27,25.04,3551000
2019-05-13,24.33,24.65,23.97,24.54,4367000
2019-05-14,24.79,25.47,24.70,25.01,4318500
2019-05-15,24.64,25.14,24.53,25.01,2739700
2019-05-16,25.13,25.24,24.67,24.98,2237900
2019-05-17,24.60,25.00,24.35,24.50,3227200
2019-05-20,24.33,24.88,23.85,23.99,3289200
2019-05-21,24.29,24.86,23.89,24.74,2769600
2019-05-22,24.60,24.75,24.04,24.24,2198400
