Date,Open,High,Low,Close,Volume
2018-06-06,406.92,411.01,404.50,410.27,575100
2018-06-07,411.51,413.89,393.77,405.62,690600
2018-06-08,405.29,414.94,405.20,409.77,537800
2018-06-11,409.77,420.07,408.46,418.21,404600
2018-06-12,420.00,432.38,419.00,430.85,815300
2018-06-13,431.05,438.24,427.01,433.07,852700
2018-06-14,435.19,444.80,434.59,440.65,708100
2018-06-15,441.00,445.45,435.48,443.58,799000
2018-06-18,440.09,446.81,435.77,443.15,691600
2018-06-19,438.62,441.68,432.03,439.64,986500
2018-06-20,441.10,450.93,441.10,446.21,583000
2018-06-21,450.06,450.65,433.51,438.27,603200
2018-06-22,443.15,444.07,426.99,427.29,1043000
2018-06-25,420.74,421.99,402.18,416.20,1083000
2018-06-26,419.23,430.77,413.02,428.37,846300
2018-06-27,429.20,432.62,409.58,410.64,635300
2018-06-28,409.09,417.50,398.00,413.94,743200
2018-06-29,419.14,422.96,408.85,409.05,577200
2018-07-02,407.00,415.31,400.52,412.51,422600
2018-07-03,414.91,414.97,408.93,409.53,314200
2018-07-05,410.20,411.40,392.20,400.58,882300
2018-07-06,400.72,409.51,399.00,405.99,622900
2018-07-09,407.88,413.86,403.16,408.46,608700
2018-07-10,413.09,413.50,399.73,405.15,644800
2018-07-11,402.67,408.00,399.18,403.79,398900
2018-07-12,408.19,415.02,408.16,414.61,1290500
2018-07-13,416.23,421.11,413.87,418.76,530000
2018-07-16,419.33,421.76,417.06,419.38,610800
2018-07-17,417.61,428.61,417.61,427.37,1019700
2018-07-18,430.19,432.70,426.77,431.55,699700
2018-07-19,431.94,433.56,425.33,425.99,536600
2018-07-20,427.00,429.78,422.32,423.48,712700
2018-07-23,423.50,431.66,418.21,430.90,527800
2018-07-24,434.00,436.42,419.41,423.41,555300
2018-07-25,423.80,431.82,422.70,430.64,621700
2018-07-26,414.87,415.00,360.22,384.21,1949200
2018-07-27,390.53,392.00,366.11,369.17,1003700
2018-07-30,365.91,366.34,351.13,356.42,1112600
2018-07-31,358.40,363.96,344.11,354.53,1149600
2018-08-01,353.10,368.50,351.76,363.19,821900
2018-08-02,361.02,373.09,358.00,372.20,781000
2018-08-03,393.72,396.97,371.39,377.11,1019900
2018-08-06,376.16,382.64,374.17,378.56,519000
2018-08-07,378.94,382.28,372.89,376.40,478100
2018-08-08,376.42,380.31,371.21,376.01,440300
2018-08-09,377.00,386.58,377.00,380.75,364000
2018-08-10,379.46,387.79,377.11,377.83,378800
2018-08-13,377.67,383.55,367.68,368.00,379100
2018-08-14,368.42,372.37,361.87,371.25,427100
2018-08-15,367.36,369.73,353.67,363.59,495700
2018-08-16,364.92,369.51,357.44,368.97,455500
2018-08-17,369.16,370.23,354.52,358.82,445600
2018-08-20,358.27,364.44,354.52,362.48,424500
2018-08-21,364.07,369.99,361.96,364.12,402700
2018-08-22,362.11,371.42,362.11,368.38,293200
2018-08-23,368.57,378.92,368.57,376.93,424600
2018-08-24,378.07,384.44,376.60,381.03,426500
2018-08-27,384.00,388.00,378.40,380.65,336100
2018-08-28,381.26,386.88,378.34,385.97,393900
2018-08-29,388.23,402.96,387.95,402.03,641600
2018-08-30,399.89,414.70,399.89,408.58,595100
2018-08-31,406.78,415.86,402.20,406.58,527300
2018-09-04,402.06,413.79,400.01,411.36,474200
2018-09-05,410.70,410.99,383.12,383.83,736300
2018-09-06,385.10,386.44,376.14,383.10,535900
2018-09-07,378.44,388.93,375.29,377.49,379800
2018-09-10,381.27,389.56,378.57,388.58,472600
2018-09-11,388.10,397.64,383.28,397.41,467200
2018-09-12,397.00,398.91,380.39,392.94,485900
2018-09-13,396.18,397.48,388.69,390.94,374800
2018-09-14,392.32,399.12,392.00,395.67,398600
2018-09-17,395.60,399.62,367.71,368.90,643800
2018-09-18,369.06,380.64,368.55,376.56,598000
2018-09-19,377.00,380.53,366.91,376.75,450300
2018-09-20,377.75,382.10,372.19,381.98,481300
2018-09-21,381.33,386.72,380.97,384.88,1565400
2018-09-24,381.03,422.91,378.00,419.61,995700
2018-09-25,420.00,445.70,419.06,441.52,1198500
2018-09-26,443.49,454.00,438.52,444.70,914000
2018-09-27,445.50,451.79,437.10,442.89,621000
2018-09-28,441.29,455.40,441.00,449.75,696400
2018-10-01,452.90,459.75,442.93,444.25,526300
2018-10-02,442.92,442.92,426.39,429.17,843900
2018-10-03,429.59,431.00,418.41,426.42,470200
2018-10-04,424.81,424.97,407.62,416.79,587500
2018-10-05,418.99,430.93,405.48,415.71,565000
2018-10-08,414.17,415.55,388.39,399.01,785200
2018-10-09,397.35,408.87,393.96,395.08,536200
2018-10-10,394.64,396.99,375.61,376.89,865800
2018-10-11,372.00,383.88,363.63,367.54,815500
2018-10-12,381.57,396.19,374.26,384.78,989300
2018-10-15,383.78,387.97,367.24,372.08,674000
2018-10-16,376.28,388.11,374.74,386.88,460600
2018-10-17,391.57,391.57,380.05,389.79,355500
2018-10-18,389.47,389.96,380.05,386.63,462800
2018-10-19,388.41,391.70,360.63,362.42,850500
2018-10-22,363.02,368.69,355.61,366.20,504900
2018-10-23,358.89,373.85,350.25,370.04,492500
2018-10-24,369.48,376.80,352.00,352.71,497900
