Date,Open,High,Low,Close,Volume
2018-05-30,20.08,21.11,19.63,20.95,603135
2018-05-31,21.00,21.27,20.65,20.92,654490
2018-06-01,20.95,21.45,20.85,21.35,349262
2018-06-04,21.45,21.76,21.28,21.76,313916
2018-06-05,21.80,22.49,21.73,22.43,528753
2018-06-06,22.50,22.90,22.30,22.81,1905278
2018-06-07,22.90,23.26,22.80,22.87,423467
2018-06-08,22.77,22.82,22.50,22.69,139152
2018-06-12,22.70,23.05,22.63,23.00,356229
2018-06-13,22.89,22.89,22.35,22.43,718630
2018-06-14,22.45,22.92,22.34,22.56,360806
2018-06-15,22.60,23.38,22.55,23.19,600306
2018-06-18,23.31,23.53,23.14,23.26,354817
2018-06-19,23.44,23.76,23.13,23.18,452538
2018-06-20,23.60,24.36,23.54,23.87,805268
2018-06-21,24.28,25.06,24.17,24.94,755215
2018-06-22,24.90,24.91,24.07,24.27,485334
2018-06-25,24.37,24.57,23.91,24.19,354164
2018-06-26,23.68,23.88,22.91,23.78,485378
2018-06-27,23.78,23.95,23.46,23.67,329167
2018-06-28,23.94,23.94,22.71,22.77,608865
2018-06-29,23.01,23.20,22.46,22.51,302295
2018-07-02,22.55,22.62,21.96,21.96,627482
2018-07-03,22.05,22.49,21.96,21.97,588023
2018-07-04,21.98,22.10,21.65,21.88,455670
2018-07-05,22.09,22.13,21.59,21.76,251157
2018-07-06,21.99,22.30,21.54,22.24,380196
2018-07-09,22.15,22.15,21.64,21.86,463551
2018-07-10,21.99,22.30,21.83,22.08,438559
2018-07-11,21.50,21.68,20.00,20.99,1163253
2018-07-12,20.99,21.52,20.83,21.04,792010
2018-07-13,20.93,21.69,20.93,21.45,516339
2018-07-16,21.55,22.07,21.52,21.56,448981
2018-07-17,21.50,21.59,20.92,20.98,606523
2018-07-18,21.24,21.54,21.21,21.33,516229
2018-07-19,21.49,21.83,21.22,21.46,458226
2018-07-20,21.47,21.70,21.36,21.58,313695
2018-07-23,21.58,21.58,20.95,21.23,1288839
2018-07-24,21.26,21.72,21.09,21.62,471514
2018-07-25,21.70,21.76,21.08,21.37,357283
2018-07-26,21.19,21.35,20.72,21.13,441614
2018-07-27,21.09,21.67,21.06,21.52,820993
2018-07-30,21.37,21.45,21.09,21.36,379322
2018-07-31,21.30,21.30,20.38,20.40,765543
2018-08-01,20.00,20.48,19.68,20.18,529679
2018-08-02,20.15,20.58,19.93,20.11,556557
