Date,Open,High,Low,Close,Volume
2018-06-06,1704.51,1714.50,1686.47,1695.75,5473200
2018-06-07,1698.56,1699.90,1676.11,1689.30,3765700
2018-06-08,1681.12,1689.44,1673.01,1683.99,2955100
2018-06-11,1681.51,1694.24,1680.59,1689.12,2335500
2018-06-12,1693.00,1699.51,1691.52,1698.75,2259200
2018-06-13,1702.81,1713.75,1700.12,1704.86,3327500
2018-06-14,1713.48,1724.80,1708.87,1723.86,3174400
2018-06-15,1714.00,1720.87,1708.52,1715.97,4777600
2018-06-18,1706.26,1726.74,1702.56,1723.79,3107700
2018-06-19,1709.04,1736.11,1700.39,1734.78,4290100
2018-06-20,1742.50,1762.93,1741.36,1750.08,4332600
2018-06-21,1760.00,1763.10,1717.56,1730.22,4941100
2018-06-22,1742.62,1743.00,1711.90,1715.67,4075100
2018-06-25,1702.51,1705.00,1646.31,1663.15,7511200
2018-06-26,1672.37,1701.57,1663.34,1691.09,4386600
2018-06-27,1708.11,1711.95,1660.00,1660.51,4872200
2018-06-28,1672.54,1705.50,1661.17,1701.45,4529700
2018-06-29,1717.00,1723.41,1694.32,1699.80,4543500
2018-07-02,1682.70,1713.89,1678.06,1713.78,3185700
2018-07-03,1723.96,1725.00,1692.48,1693.96,2177300
2018-07-05,1705.38,1710.69,1682.15,1699.73,2983100
2018-07-06,1696.00,1715.27,1691.67,1710.63,2650300
2018-07-09,1724.05,1739.56,1716.23,1739.02,3012000
2018-07-10,1738.53,1750.00,1731.00,1743.07,3002900
2018-07-11,1737.99,1756.96,1734.00,1755.00,3209800
2018-07-12,1764.51,1798.00,1762.18,1796.62,4532700
2018-07-13,1803.93,1815.30,1795.23,1813.03,4383200
2018-07-16,1821.95,1841.95,1814.45,1822.49,5466200
2018-07-17,1811.56,1851.69,1797.38,1843.93,5682900
2018-07-18,1848.00,1858.88,1831.27,1842.92,4861900
2018-07-19,1829.46,1841.00,1811.27,1812.97,4676900
2018-07-20,1825.01,1834.84,1810.06,1813.70,3884400
2018-07-23,1812.21,1819.00,1769.99,1802.00,3888500
2018-07-24,1829.01,1840.00,1809.38,1829.24,4278700
2018-07-25,1829.30,1863.84,1822.64,1863.61,3738200
2018-07-26,1839.00,1844.68,1804.50,1808.00,9924400
2018-07-27,1876.05,1880.05,1806.53,1817.27,9681000
2018-07-30,1827.33,1829.50,1766.02,1779.22,6562300
2018-07-31,1786.49,1801.83,1739.32,1777.44,5738700
2018-08-01,1784.00,1798.44,1776.02,1797.17,4153100
2018-08-02,1788.77,1836.56,1786.00,1834.33,4354700
2018-08-03,1837.74,1841.00,1821.50,1823.29,3460500
2018-08-06,1825.81,1847.77,1818.92,1847.75,3391800
