Date,Open,High,Low,Close,Volume
2018-05-30,27.51,27.60,27.09,27.21,6997130
2018-05-31,27.43,27.45,27.12,27.21,6394152
2018-06-01,26.82,26.95,26.55,26.80,5243629
2018-06-04,26.95,27.13,26.67,26.75,3441020
2018-06-05,26.73,26.80,26.53,26.66,5136338
2018-06-06,26.74,26.75,26.46,26.52,5470620
2018-06-07,26.75,26.97,26.52,26.73,3884258
2018-06-08,26.80,26.84,26.65,26.66,2177794
2018-06-12,26.88,26.90,26.51,26.56,6344729
2018-06-13,26.60,26.65,26.25,26.34,4766405
2018-06-14,26.24,26.33,26.08,26.20,5018469
2018-06-15,26.35,26.70,26.29,26.68,11209492
2018-06-18,26.78,27.11,26.74,27.05,5577000
2018-06-19,27.28,27.28,26.86,26.98,5977320
2018-06-20,27.23,27.72,27.09,27.72,7834273
2018-06-21,28.02,28.05,27.61,27.85,10838323
2018-06-22,28.00,28.74,27.89,28.65,8755923
2018-06-25,28.82,28.94,28.25,28.35,7395380
2018-06-26,28.19,28.64,28.10,28.45,4636045
2018-06-27,28.55,28.59,28.30,28.48,3836967
2018-06-28,28.44,28.78,28.26,28.66,6037967
2018-06-29,28.64,28.79,28.24,28.24,9829842
2018-07-02,28.35,28.35,27.80,27.83,5539825
2018-07-03,27.99,28.18,27.80,28.08,4170953
2018-07-04,28.10,28.18,27.95,28.10,5490267
2018-07-05,28.22,28.53,28.11,28.43,6642079
2018-07-06,28.50,28.99,28.43,28.99,6011828
2018-07-09,29.00,29.23,28.97,29.10,3822288
2018-07-10,29.26,29.32,28.60,28.80,5400420
2018-07-11,28.65,28.69,28.39,28.57,5264935
2018-07-12,28.73,29.25,28.70,29.20,8618119
2018-07-13,29.20,29.40,28.82,29.01,5601868
2018-07-16,29.03,29.13,28.79,28.94,3504240
2018-07-17,28.99,29.17,28.84,28.93,4468522
2018-07-18,29.01,29.07,28.92,29.02,3347090
2018-07-19,29.20,29.36,28.93,29.21,4740486
2018-07-20,29.21,29.40,29.16,29.36,3580359
2018-07-23,29.30,29.34,29.07,29.12,3479067
2018-07-24,29.38,29.38,29.20,29.22,2812869
2018-07-25,29.22,29.22,28.96,29.12,4055906
2018-07-26,29.08,29.16,28.78,29.01,4904443
2018-07-27,29.28,29.48,29.21,29.48,7335179
2018-07-30,29.30,29.32,29.18,29.32,2050795
2018-07-31,29.40,29.49,29.25,29.30,4337675
2018-08-01,29.30,29.33,28.99,29.07,3648818
2018-08-02,29.20,29.21,28.85,28.91,4133896
2018-08-03,29.04,29.10,28.59,28.64,4451700
2018-08-06,28.84,28.99,28.72,28.92,3095288
2018-08-07,28.99,29.09,28.94,29.09,5597067
2018-08-08,29.20,29.30,28.76,28.82,5211524
2018-08-09,28.94,29.29,28.81,29.17,3838818
2018-08-10,29.28,29.40,29.12,29.31,3956320
2018-08-13,29.23,29.23,29.06,29.17,4814684
2018-08-14,29.36,29.70,29.25,29.64,6744724
2018-08-15,29.77,30.15,29.69,30.15,7187667
2018-08-16,30.10,30.19,29.91,30.06,6704779
2018-08-17,30.10,30.39,29.97,30.28,4815777
2018-08-20,30.35,30.35,30.01,30.05,3484442
2018-08-21,30.01,30.04,29.45,29.51,4354004
2018-08-22,29.50,29.53,29.05,29.22,3269172
2018-08-23,29.10,29.11,28.59,28.72,7531725
2018-08-24,28.63,28.89,28.07,28.50,8914773
2018-08-27,28.58,28.61,28.32,28.52,3424585
2018-08-28,28.71,28.98,28.64,28.78,3858164
2018-08-29,28.99,29.43,28.90,29.43,7657707
2018-08-30,29.59,29.60,29.20,29.39,6752880
2018-08-31,29.30,29.59,29.27,29.50,8074726
2018-09-03,29.53,29.53,29.17,29.21,2558523
2018-09-04,29.13,29.16,28.69,28.80,3585014
2018-09-05,28.78,28.78,28.55,28.59,2973465
2018-09-06,28.50,28.66,28.36,28.53,4495929
2018-09-07,28.55,28.73,28.24,28.40,3347541
2018-09-10,28.25,28.36,28.16,28.26,2266582
2018-09-11,28.34,28.67,28.33,28.58,3273782
2018-09-12,28.48,28.59,28.31,28.37,2872094
2018-09-13,28.21,28.29,28.03,28.06,3593758
2018-09-14,28.09,28.28,28.09,28.15,3996645
2018-09-17,28.10,28.43,28.05,28.40,3426323
2018-09-18,28.29,28.64,28.25,28.39,4835921
2018-09-19,28.45,28.67,28.32,28.66,4610610
2018-09-20,28.61,28.78,28.29,28.42,7860581
2018-09-21,28.40,28.65,28.37,28.46,7845059
2018-09-24,28.50,28.70,28.41,28.58,3617768
2018-09-25,28.54,28.58,28.15,28.22,3336209
2018-09-26,28.23,28.28,27.88,27.96,3302764
2018-09-27,27.86,27.95,27.77,27.79,4733938
2018-09-28,27.71,28.52,27.60,28.18,9540554
2018-10-01,27.80,28.02,27.56,27.73,3266730
2018-10-02,27.80,27.90,27.34,27.49,4887359
2018-10-03,27.49,27.64,27.37,27.44,3607643
2018-10-04,27.63,27.80,27.55,27.61,3437601
2018-10-05,27.61,27.93,27.49,27.72,4037968
2018-10-08,27.47,27.48,26.90,26.99,5750649
2018-10-09,27.00,27.32,26.73,26.83,5956716
2018-10-10,26.86,27.00,26.48,26.88,6206737
