Date,Open,High,Low,Close,Volume
2018-05-30,251.18,252.03,249.33,249.40,2684400
2018-05-31,249.26,255.29,249.00,252.07,3469800
2018-06-01,254.37,257.70,252.54,256.34,2636000
2018-06-04,258.00,259.36,256.23,258.37,2588600
2018-06-05,259.46,261.35,258.04,259.26,4237400
2018-06-06,260.74,263.78,259.71,263.52,3746500
2018-06-07,263.00,266.48,262.92,264.68,4607700
2018-06-08,256.74,259.93,253.74,257.97,7369400
2018-06-11,257.86,261.80,256.32,260.83,3185900
2018-06-12,260.33,261.73,258.40,261.43,2759400
2018-06-13,261.76,266.07,260.71,263.58,3486800
2018-06-14,265.00,269.07,264.10,268.46,3704200
2018-06-15,270.04,271.81,266.33,270.23,6096900
2018-06-19,256.00,261.13,254.15,260.95,3622100
2018-06-20,261.50,264.02,260.74,261.22,2495100
2018-06-21,261.58,262.57,258.44,259.65,1818600
2018-06-22,261.18,261.50,258.96,259.71,5241200
2018-06-25,256.42,256.42,250.43,252.42,2970500
2018-06-26,253.00,254.61,250.55,251.54,2423300
2018-06-27,252.09,255.16,246.85,247.11,2472000
2018-06-28,246.28,247.32,242.27,244.90,3323800
2018-06-29,246.95,246.95,242.57,242.64,4279400
2018-07-02,240.09,242.22,237.42,242.05,3336900
2018-07-03,243.36,243.39,239.00,239.29,1159100
2018-07-05,241.79,245.61,240.68,245.40,2529900
2018-07-06,244.90,248.60,244.42,247.68,2311200
2018-07-09,249.00,249.23,245.53,247.43,1795500
2018-07-10,248.34,251.80,247.05,250.56,1641300
2018-07-11,244.95,247.54,242.61,243.44,3576100
2018-07-12,207.08,210.28,197.46,209.98,43508300
2018-07-13,212.50,214.00,201.90,202.46,16167800
2018-07-16,201.60,206.38,200.53,203.25,10227700
2018-07-17,202.21,209.09,202.01,208.31,11082700
2018-07-18,207.22,209.88,206.63,208.78,8083400
2018-07-19,208.29,211.48,208.04,210.37,6324700
2018-07-20,210.10,211.21,208.76,210.33,6289300
2018-07-23,210.41,218.64,210.40,216.72,8221100
2018-07-24,217.80,220.39,216.00,217.34,8115800
2018-07-25,217.71,228.65,217.71,225.97,9227100
2018-07-26,226.50,229.77,221.57,223.18,8506900
2018-07-27,224.01,229.29,220.07,221.05,7944300
2018-07-30,221.11,228.02,221.05,225.19,7527500
2018-07-31,226.68,228.84,221.54,221.77,6386000
2018-08-01,223.26,223.94,216.20,216.80,4266900
2018-08-02,214.27,218.26,213.25,216.35,4031200
2018-08-03,215.75,218.00,214.40,217.81,2483200
2018-08-06,216.63,218.31,215.86,216.95,2263800
2018-08-07,219.22,221.84,217.14,220.31,2979800
2018-08-08,220.54,221.23,218.95,219.46,1580100
2018-08-09,220.15,220.25,215.94,216.58,2754800
2018-08-10,212.81,214.48,210.46,212.23,3701700
2018-08-13,211.65,213.98,210.45,211.08,2935900
2018-08-14,211.58,211.58,206.84,207.30,3632700
2018-08-15,205.13,207.58,202.77,206.58,4113200
2018-08-16,207.77,208.86,206.69,208.69,2923900
