Date,Open,High,Low,Close,Volume
2018-06-06,1.6600,1.6800,1.6100,1.6100,5793800
2018-06-07,1.6300,1.6800,1.5900,1.6400,6956700
2018-06-08,1.6600,1.6700,1.6100,1.6100,2725600
2018-06-11,1.6100,1.6400,1.5600,1.5800,5581300
2018-06-12,1.5900,1.6200,1.5400,1.5500,5205800
2018-06-13,1.5600,1.5700,1.4800,1.4800,13335400
2018-06-14,1.5100,1.6200,1.5100,1.5400,17677400
2018-06-15,1.5900,1.6000,1.5400,1.5700,13822900
2018-06-18,1.5700,1.6000,1.5400,1.5700,11698500
2018-06-19,1.5900,1.5900,1.5500,1.5500,9432000
2018-06-20,1.5800,1.5900,1.5100,1.5700,4635400
2018-06-21,1.5700,1.6200,1.5400,1.5900,5217600
2018-06-22,1.6100,1.6800,1.6000,1.6300,6158900
2018-06-25,1.6200,1.6300,1.5700,1.6000,3563700
2018-06-26,1.6100,1.6600,1.5800,1.6400,5362900
2018-06-27,1.6600,1.6700,1.5900,1.5900,2803300
2018-06-28,1.6000,1.6500,1.5700,1.6200,2964900
2018-06-29,1.6400,1.6500,1.6100,1.6200,2622900
2018-07-02,1.6100,1.6200,1.5800,1.6100,1818800
2018-07-03,1.6300,1.6500,1.6200,1.6300,1239200
2018-07-05,1.6400,1.7000,1.6000,1.6200,11169900
2018-07-06,1.6300,1.6600,1.6100,1.6400,2490200
2018-07-09,1.6700,1.6700,1.5700,1.5700,5661900
2018-07-10,1.5900,1.6200,1.4500,1.5200,55062600
2018-07-11,1.5300,1.5500,1.4500,1.4900,7248400
2018-07-12,1.5000,1.5100,1.4500,1.4500,4684100
2018-07-13,1.4600,1.4900,1.4500,1.4500,3144700
2018-07-16,1.4800,1.4800,1.4300,1.4300,3856500
2018-07-17,1.4500,1.4500,1.4300,1.4400,2994500
2018-07-18,1.4900,1.5100,1.4200,1.4700,6000700
2018-07-19,1.4500,1.5000,1.4300,1.4700,4102900
2018-07-20,1.4800,1.4800,1.3800,1.4200,4599700
2018-07-23,1.4100,1.4800,1.3900,1.4600,5619900
2018-07-24,1.4600,1.4800,1.4400,1.4700,2926600
2018-07-25,1.4500,1.4900,1.4300,1.4800,4478900
2018-07-26,1.4900,1.5600,1.4600,1.5500,5909900
2018-07-27,1.5400,1.5600,1.5100,1.5200,3145100
2018-07-30,1.5200,1.5900,1.5000,1.5800,4310400
2018-07-31,1.5800,1.6200,1.5400,1.5900,6478000
2018-08-01,1.6000,1.6500,1.5400,1.6300,5946900
2018-08-02,1.4500,1.7700,1.4300,1.7200,15998200
2018-08-03,1.7100,1.8100,1.6700,1.7900,8241400
2018-08-06,1.7900,1.8100,1.7400,1.8000,8127300
2018-08-07,1.8000,1.8900,1.7800,1.7800,7100000
2018-08-08,1.7900,1.8200,1.7000,1.7800,5460500
2018-08-09,1.7800,1.8800,1.7800,1.8000,9139100
2018-08-10,1.7800,1.8700,1.7800,1.8000,9748900
2018-08-13,1.8000,1.8300,1.6300,1.6900,9576200
2018-08-14,1.7100,1.7800,1.6600,1.7200,6248800
2018-08-15,1.7300,1.8600,1.6600,1.8500,7511500
2018-08-16,1.8600,2.0700,1.8400,2.0500,14236300
2018-08-17,2.0900,2.1100,2.0000,2.0400,8635800
2018-08-20,2.0600,2.1100,1.9300,2.0500,6417600
2018-08-21,2.0700,2.1000,1.9600,2.0400,8323100
2018-08-22,2.0200,2.0700,1.9500,2.0200,4786500
2018-08-23,2.0100,2.0500,1.9800,2.0100,2698600
2018-08-24,2.0000,2.0400,1.9900,2.0300,1697600
2018-08-27,2.0300,2.1900,2.0300,2.0900,10502900
2018-08-28,2.1200,2.1500,2.0300,2.0900,4794100
2018-08-29,2.0800,2.1100,2.0400,2.0800,3737100
2018-08-30,2.0500,2.0600,1.9200,2.0200,10481100
2018-08-31,1.9500,2.0100,1.9200,2.0000,3767800
2018-09-04,1.9900,1.9900,1.8500,1.9200,7524800
2018-09-05,1.9200,2.0800,1.8900,2.0100,5319700
2018-09-06,2.0100,2.0700,1.9600,1.9900,3440500
2018-09-07,1.9900,1.9900,1.9200,1.9700,2340100
2018-09-10,1.9700,2.0200,1.9100,1.9400,2717100
2018-09-11,1.9500,1.9800,1.8700,1.9700,3390100
2018-09-12,1.9500,2.0200,1.9000,2.0000,3634500
2018-09-13,2.0100,2.0300,1.9600,1.9700,2612800
2018-09-14,1.9800,2.0400,1.9800,2.0200,2332600
2018-09-17,2.0100,2.1500,2.0000,2.0800,5179900
2018-09-18,2.2000,2.3800,2.1200,2.2900,17403100
2018-09-19,2.3300,2.3800,2.2700,2.3200,7048100
2018-09-20,2.3400,2.4300,2.3200,2.4000,7422000
2018-09-21,2.5000,2.5200,2.4200,2.4400,10203800
2018-09-24,2.5100,2.5400,2.2500,2.3300,9440300
2018-09-25,2.3300,2.3300,2.0900,2.1100,10245200
2018-09-26,2.1500,2.2000,2.1000,2.2000,3710500
2018-09-27,2.2200,2.2600,2.1500,2.2000,3560500
2018-09-28,2.1900,2.2300,2.1200,2.2000,5241200
2018-10-01,2.2100,2.2600,2.1300,2.1500,4101400
2018-10-02,2.1600,2.2000,2.1200,2.1300,3933300
2018-10-03,2.1500,2.1500,2.0400,2.0700,6391700
2018-10-04,2.0500,2.1000,2.0100,2.0500,4238700
2018-10-05,2.0700,2.0700,1.9000,1.9300,6487900
2018-10-08,1.9100,1.9800,1.9000,1.9600,3934500
2018-10-09,1.9800,2.0600,1.9200,2.0100,3502400
2018-10-10,2.0200,2.0400,1.9100,1.9200,3054100
2018-10-11,1.9000,1.9300,1.8400,1.8400,3478500
2018-10-12,1.8600,1.8900,1.8400,1.8700,3320000
2018-10-15,1.8900,1.9100,1.8300,1.8500,2825800
2018-10-16,1.8700,1.9500,1.8500,1.9400,3040200
2018-10-17,1.9300,2.0900,1.9200,2.0200,3484600
2018-10-18,2.0200,2.0400,1.9000,1.9500,3368700
2018-10-19,1.9700,2.0800,1.9600,1.9900,2867600
2018-10-22,2.0000,2.0300,1.9800,2.0200,2294400
2018-10-23,2.0100,2.0100,1.8800,1.9900,3610500
2018-10-24,1.9700,2.0000,1.9300,1.9400,3776200
2018-10-25,1.9400,1.9600,1.8400,1.9000,3722600
2018-10-26,1.8700,1.9300,1.8200,1.8800,2504400
2018-10-29,1.9000,1.9500,1.8200,1.8500,2082100
2018-10-30,1.8600,1.9500,1.8400,1.9400,3999100
2018-10-31,1.9600,2.0100,1.9200,1.9600,3731500
2018-11-01,1.8200,1.9400,1.7600,1.8800,5946000
2018-11-02,1.8800,1.9400,1.8500,1.9200,2639900
2018-11-05,1.9100,2.0200,1.9100,1.9800,3826700
2018-11-06,2.0000,2.0100,1.9500,2.0100,3760600
2018-11-07,2.0100,2.1000,1.9900,2.0400,5168700
2018-11-08,2.0500,2.0900,1.9500,1.9700,2583800
2018-11-09,1.9700,2.0600,1.9600,2.0100,2838000
2018-11-12,2.0000,2.0400,1.9800,2.0100,2880900
2018-11-13,1.9600,2.0500,1.9500,2.0000,3669600
2018-11-14,2.0000,2.1000,2.0000,2.0300,3113100
2018-11-15,2.0300,2.1900,2.0000,2.1600,7513300
2018-11-16,2.1600,2.2200,2.1200,2.1300,3740200
2018-11-19,2.1400,2.1600,2.0600,2.0800,2527300
2018-11-20,2.0600,2.1000,1.9500,1.9900,3694500
2018-11-21,2.0000,2.0600,1.9800,1.9900,2999000
2018-11-23,1.9900,2.0100,1.9500,1.9900,967500
2018-11-26,2.0100,2.0100,1.9300,1.9600,2324200
2018-11-27,1.9400,2.0000,1.9400,1.9700,1878900
2018-11-28,1.9700,2.0800,1.9500,2.0600,4207600
2018-11-29,2.0400,2.2400,2.0400,2.1800,8964800
2018-11-30,2.1700,2.2100,2.0800,2.1200,3898000
2018-12-03,2.1400,2.1700,2.1000,2.1500,1614500
2018-12-04,2.1400,2.1400,2.0400,2.0600,2043000
2018-12-06,2.0300,2.0700,1.9700,1.9800,3344800
2018-12-07,2.0100,2.0500,1.9800,1.9900,4381800
2018-12-10,1.9900,1.9900,1.8800,1.9100,4365900
2018-12-11,1.9400,1.9900,1.8300,1.8800,4974300
2018-12-12,1.9100,1.9400,1.8400,1.8800,4026700
2018-12-13,1.9000,1.9200,1.8000,1.8400,2725500
2018-12-14,1.8200,1.8900,1.7400,1.7700,3522000
2018-12-17,1.7500,1.7900,1.6800,1.6900,3594100
2018-12-18,1.7100,1.7400,1.6700,1.6800,2948200
2018-12-19,1.6900,1.7800,1.6600,1.6800,3926400
2018-12-20,1.6600,1.7400,1.5700,1.6000,4320000
2018-12-21,1.5900,1.6200,1.4300,1.5000,18067300
2018-12-24,1.5000,1.5000,1.4200,1.4300,2095900
2018-12-26,1.4500,1.5100,1.3000,1.5000,4669400
2018-12-27,1.4900,1.4900,1.4200,1.4900,3092400
2018-12-28,1.4900,1.5500,1.4500,1.4900,4024700
2018-12-31,1.4900,1.5300,1.4100,1.5200,3879900
2019-01-02,1.4800,1.5900,1.4600,1.5700,3965500
2019-01-03,1.5500,1.6200,1.5200,1.5700,2230000
2019-01-04,1.5900,1.7200,1.5900,1.6900,4809500
2019-01-07,1.6900,1.8500,1.6800,1.8300,4765000
2019-01-08,1.8700,1.9100,1.7700,1.8400,6322300
2019-01-09,1.8600,1.8900,1.7700,1.7800,4977000
2019-01-10,1.8100,1.8600,1.7400,1.8200,3438900
2019-01-11,1.8200,1.8300,1.7600,1.7900,3404400
2019-01-14,1.7800,1.9000,1.7600,1.8700,3963200
2019-01-15,1.8700,1.9300,1.8300,1.8800,2349400
2019-01-16,1.9200,1.9200,1.8700,1.9000,1545700
2019-01-17,1.9100,2.0100,1.8800,1.9800,5395900
2019-01-18,1.9900,2.0300,1.9700,2.0100,3696200
2019-01-22,2.0000,2.0000,1.9000,1.9600,3826600
2019-01-23,1.9300,1.9800,1.9000,1.9300,2140000
2019-01-24,1.9300,2.0200,1.8900,1.9500,5423500
2019-01-25,1.9800,2.0200,1.9400,1.9800,2386400
2019-01-28,1.9600,2.0000,1.9100,1.9700,2496400
2019-01-29,1.9800,2.0000,1.8500,1.9100,3492200
2019-01-30,1.9100,1.9900,1.8700,1.8900,4190900
2019-01-31,1.8900,2.4200,1.8600,2.3400,36966100
2019-02-01,2.3100,2.5500,2.2500,2.5000,16513400
2019-02-04,2.4800,2.8200,2.4700,2.6400,20058400
2019-02-05,2.7000,2.7600,2.5600,2.6400,11310700
2019-02-06,2.6500,2.6700,2.4700,2.5400,8165500
2019-02-07,2.5000,2.5400,2.3300,2.3700,9261300
2019-02-08,2.4600,2.5200,2.4200,2.5000,7645500
2019-02-11,2.5300,2.7500,2.5100,2.6800,7711200
2019-02-12,2.7700,2.8400,2.6900,2.7400,7346500
2019-02-13,2.7700,2.9500,2.6600,2.9000,12366800
2019-02-14,2.6200,2.7900,2.3500,2.5800,15664700
2019-02-15,2.6200,2.6400,2.5400,2.6100,3888900
2019-02-19,2.6100,2.8700,2.6000,2.8300,9747400
2019-02-20,2.8700,3.1800,2.8600,3.0700,14906400
2019-02-21,3.1100,3.1100,2.9500,2.9800,10770700
2019-02-22,2.9700,3.2400,2.9700,3.2100,17791800
2019-02-25,3.3600,3.4100,2.9500,3.0100,15502500
2019-02-26,3.0000,3.2300,3.0000,3.0900,9485800
2019-02-27,3.1200,3.1800,3.0600,3.1600,5156600
2019-02-28,3.1400,3.1600,3.0700,3.0900,4959200
2019-03-01,3.1500,3.2300,3.1100,3.2000,5552900
2019-03-04,3.2400,3.2800,2.8700,2.8900,12661400
2019-03-05,2.9000,2.9900,2.8900,2.9400,4459200
2019-03-06,2.9300,2.9600,2.7000,2.7500,7991900
2019-03-07,2.8000,2.8200,2.6800,2.7000,5159800
2019-03-08,2.6200,2.7600,2.6200,2.6800,4696300
2019-03-11,2.7000,2.8000,2.6900,2.7200,4054600
2019-03-12,2.7200,2.7700,2.6400,2.6600,4598100
2019-03-13,2.6600,2.7600,2.6500,2.7500,5515800
2019-03-14,2.7600,2.8800,2.7500,2.8600,4422700
2019-03-15,2.8800,2.9600,2.8100,2.9200,17269900
2019-03-18,2.9000,3.0000,2.9000,2.9800,4231900
2019-03-19,3.0000,3.0300,2.8100,2.8700,5355200
2019-03-20,2.8600,2.8800,2.7900,2.8100,4445800
2019-03-21,2.8000,2.8400,2.7400,2.7800,3964900
2019-03-22,2.9100,3.1500,2.8000,3.0600,20481700
2019-03-25,3.0900,3.1600,2.9300,3.1400,8398000
2019-03-26,3.1700,3.3400,3.1500,3.2900,8845000
2019-03-27,3.1600,3.2700,2.8600,2.9800,12738600
2019-03-28,2.9600,3.0800,2.9600,3.0200,2120400
2019-03-29,3.0300,3.0400,2.9000,2.9400,5081500
2019-04-01,2.9700,3.0200,2.9200,2.9400,3951200
2019-04-02,2.9600,2.9900,2.9000,2.9400,3336000
2019-04-03,2.9300,2.9900,2.8200,2.9000,4273000
2019-04-04,2.9000,2.9500,2.8900,2.9100,3078000
2019-04-05,2.9200,3.0400,2.9100,2.9700,6831300
2019-04-08,2.9700,2.9800,2.8600,2.8800,4908800
2019-04-09,2.8800,2.9100,2.8200,2.8300,3836400
2019-04-10,2.8500,2.9600,2.8200,2.9500,3081200
2019-04-11,2.9300,2.9500,2.8600,2.8700,1789500
2019-04-12,2.9000,2.9200,2.8400,2.8500,6142700
2019-04-15,2.8700,2.8900,2.7700,2.8000,2996800
2019-04-16,2.8100,2.8200,2.6800,2.7100,2804100
