Date,Open,High,Low,Close,Volume
2018-05-30,98.85,99.42,97.96,98.99,3076800
2018-05-31,98.68,99.36,97.80,98.30,2780300
2018-06-01,99.34,99.61,98.22,98.25,2711200
2018-06-04,98.81,99.51,98.64,99.45,2417400
2018-06-05,99.12,99.41,98.43,99.31,1811500
2018-06-06,100.00,101.00,99.57,100.97,2872700
2018-06-07,101.44,102.39,100.89,101.48,4245700
2018-06-08,101.29,101.30,99.59,101.00,3580500
2018-06-11,101.18,101.67,100.79,101.20,3453000
2018-06-12,101.50,101.50,100.24,100.73,2426100
2018-06-13,100.87,100.88,99.96,100.02,3183800
2018-06-14,100.52,101.10,99.51,99.76,3285500
2018-06-15,99.22,99.27,97.31,98.52,6741200
2018-06-18,97.85,98.55,97.31,98.47,3621300
2018-06-19,97.14,97.93,96.62,97.14,3119600
2018-06-20,97.70,97.89,96.36,96.42,4495300
2018-06-21,96.16,96.96,95.76,96.63,3350700
2018-06-22,97.35,97.96,97.07,97.23,7235400
2018-06-25,97.05,100.10,95.65,98.54,7996700
2018-06-26,99.50,99.83,98.07,98.21,5166100
2018-06-27,98.43,99.41,96.93,96.96,3693700
2018-06-28,97.01,97.45,96.57,96.97,3142300
2018-06-29,98.13,99.48,97.65,98.00,4698500
2018-07-02,97.40,99.04,97.16,99.00,3148700
2018-07-05,98.35,98.63,97.63,98.53,2385500
2018-07-06,98.46,99.03,98.20,98.52,1996600
2018-07-09,99.26,100.01,99.08,99.91,4991700
2018-07-10,99.91,100.47,99.57,99.91,4675500
2018-07-11,99.66,100.80,99.66,100.30,3469600
2018-07-12,101.03,101.33,100.60,101.15,3688800
2018-07-13,101.08,101.15,99.62,100.50,3456500
2018-07-16,100.60,100.88,100.07,100.69,3264800
2018-07-17,100.78,101.46,100.65,101.15,3092200
2018-07-18,101.55,103.07,101.42,102.98,5923800
2018-07-19,100.20,101.37,99.28,100.17,7171100
2018-07-20,100.13,101.30,99.98,100.15,3325500
2018-07-23,100.15,101.40,100.01,101.22,2617900
2018-07-24,101.46,102.09,101.17,101.71,3155100
2018-07-25,101.23,102.78,101.08,102.63,2549400
2018-07-26,102.84,103.15,102.36,102.50,2744000
2018-07-27,102.87,104.24,102.67,103.85,3815800
2018-07-30,102.73,103.11,100.35,100.85,4423000
2018-07-31,101.05,101.20,99.44,99.52,4330400
2018-08-01,99.90,100.93,99.17,99.45,3315400
2018-08-02,98.90,99.93,98.67,99.73,2481800
2018-08-03,99.96,100.90,99.70,100.79,1830400
2018-08-06,100.77,101.32,100.40,100.92,2004600
2018-08-07,101.49,102.75,101.37,101.97,1852800
2018-08-08,102.00,102.95,101.81,102.78,2228900
2018-08-09,102.44,103.32,102.28,102.99,2435000
2018-08-10,102.09,102.20,101.17,101.58,2473800
2018-08-13,101.48,102.30,101.40,101.81,3389200
2018-08-14,101.93,102.60,101.83,102.18,2327100
2018-08-15,101.57,101.93,100.84,101.51,2219600
2018-08-16,101.90,103.14,101.87,102.65,2290400
2018-08-17,102.63,103.31,102.06,103.03,1950800
2018-08-20,103.02,103.97,102.93,103.83,2267900
2018-08-21,103.92,105.25,103.76,104.81,3218400
2018-08-22,104.90,106.26,104.51,105.83,2761300
2018-08-23,105.54,106.02,105.16,105.37,1866800
2018-08-24,105.91,106.34,105.45,105.76,1844000
2018-08-27,106.79,107.33,106.28,107.05,1972000
2018-08-28,107.06,107.43,106.68,107.28,2275000
2018-08-29,107.04,107.31,105.89,106.71,1896200
2018-08-30,106.60,106.67,105.97,106.23,1868300
2018-08-31,105.52,106.40,105.30,105.98,2115500
2018-09-04,106.35,107.27,105.58,107.01,2941800
2018-09-05,107.00,107.25,104.88,105.68,5511800
2018-09-06,105.50,105.87,104.55,105.40,3623900
2018-09-07,105.64,106.35,105.35,106.08,2498400
2018-09-10,106.56,107.80,106.56,107.29,3337000
2018-09-11,106.71,108.47,106.47,108.31,2795800
2018-09-12,108.31,108.69,107.66,107.88,4103100
2018-09-13,108.20,109.19,107.93,108.66,3429600
2018-09-14,108.84,110.01,108.84,109.56,2999800
2018-09-17,110.21,110.24,108.94,109.20,2383100
2018-09-18,109.44,109.87,108.97,109.64,2173200
2018-09-19,110.00,110.46,109.73,110.10,2365700
2018-09-20,110.85,111.77,110.65,111.11,2844800
2018-09-21,111.29,111.51,110.76,110.90,5662900
2018-09-24,110.74,110.84,109.35,109.85,1871600
2018-09-25,110.24,110.24,109.38,109.87,1910600
2018-09-26,110.08,110.11,107.80,108.01,2944200
2018-09-27,108.01,108.35,107.34,107.85,2121700
2018-09-28,107.27,107.87,106.28,106.49,3931500
2018-10-01,107.81,108.99,107.61,107.90,3361300
2018-10-02,108.01,108.47,107.31,108.39,2223100
2018-10-04,108.25,108.85,106.81,107.74,2478700
2018-10-05,108.06,108.47,106.72,107.23,2399800
2018-10-08,106.63,107.23,105.57,106.99,2723400
2018-10-09,106.30,106.93,105.94,106.66,2604400
2018-10-10,106.96,107.01,103.52,103.57,4555600
2018-10-11,103.22,104.34,101.55,101.58,6069300
2018-10-12,104.31,104.92,101.71,103.00,4855900
2018-10-15,102.85,103.56,102.21,102.62,2780900
2018-10-16,103.07,104.47,102.69,104.27,3121000
2018-10-17,104.33,105.29,103.92,104.34,3792400
2018-10-18,104.53,104.76,102.29,102.84,4538200
2018-10-19,104.06,107.55,104.06,106.73,5726300
2018-10-22,106.61,106.96,104.45,104.51,5003100
2018-10-23,102.41,104.52,101.84,104.38,4223800
2018-10-24,104.43,104.95,101.51,101.84,4056700
2018-10-25,102.48,104.17,101.80,103.60,3378900
2018-10-26,102.54,102.66,100.14,101.25,5395700
2018-10-29,102.47,103.25,100.04,101.19,4238700
2018-10-30,101.60,102.39,100.41,102.08,3778200
2018-10-31,103.06,103.71,102.55,102.73,4511300
2018-11-01,103.26,104.27,103.02,104.04,2786800
2018-11-02,104.93,105.05,102.89,103.71,4322200
2018-11-05,104.04,105.40,103.80,105.21,2697700
2018-11-06,104.98,105.66,104.37,104.98,2856000
2018-11-07,105.73,107.48,104.90,107.31,3606900
2018-11-08,107.03,108.63,107.03,108.50,2896700
2018-11-09,108.38,109.33,107.35,108.28,4444000
2018-11-12,108.16,108.44,106.30,106.49,3154600
2018-11-13,106.65,108.20,106.47,107.86,3021800
2018-11-14,108.61,109.33,106.89,107.77,4978100
2018-11-15,106.68,109.70,106.34,109.60,3742600
2018-11-16,108.58,110.38,108.58,109.46,3486200
2018-11-19,109.90,110.02,107.42,108.25,3161200
2018-11-20,107.55,107.90,105.46,106.09,3779000
2018-11-21,106.37,107.67,106.13,106.50,2791000
2018-11-23,105.88,106.45,105.31,105.74,938800
2018-11-26,107.15,109.73,106.83,109.68,4488500
2018-11-27,109.50,110.36,108.73,110.11,2837900
2018-11-28,110.33,113.18,110.33,112.89,3995900
2018-11-29,112.00,112.26,110.48,111.31,4249500
2018-11-30,110.37,112.45,110.37,112.27,3949500
