Date,Open,High,Low,Close,Volume
2018-05-30,104.60,105.00,103.40,103.60,20232
2018-05-31,103.60,106.00,103.60,106.00,50800
2018-06-01,105.40,106.00,105.00,105.20,15156
2018-06-04,104.80,109.40,104.80,109.20,37624
2018-06-05,107.40,110.40,107.40,109.20,27161
2018-06-06,108.80,110.00,108.80,110.00,21917
2018-06-07,109.60,110.80,108.60,109.20,19698
2018-06-08,109.20,109.80,108.40,109.80,11240
2018-06-11,109.80,110.40,109.00,109.20,18298
2018-06-12,109.20,111.80,109.20,111.60,27536
2018-06-13,111.00,114.80,111.00,114.00,29412
2018-06-14,115.00,115.00,110.80,111.60,33315
2018-06-15,111.80,112.20,108.20,108.20,26056
2018-06-18,108.20,108.40,107.00,107.40,15028
2018-06-19,106.60,106.60,104.60,105.20,24184
2018-06-20,106.00,106.40,105.40,105.60,30646
2018-06-21,105.60,106.20,102.40,102.60,30035
2018-06-22,103.40,103.60,101.60,102.80,92882
2018-06-25,103.60,104.40,101.00,101.80,13501
2018-06-26,101.20,102.20,101.20,102.00,13335
2018-06-27,102.40,105.20,102.40,103.80,26730
2018-06-28,102.20,103.60,102.20,103.00,32518
2018-06-29,101.60,105.20,101.60,104.60,14972
2018-07-02,103.00,104.20,101.80,101.80,16152
2018-07-03,102.40,105.00,102.40,104.80,27562
2018-07-04,105.00,106.20,105.00,106.00,19975
2018-07-05,106.00,107.80,105.80,107.60,19376
2018-07-06,108.00,109.00,107.20,108.40,19506
2018-07-09,108.40,109.00,107.80,107.80,11441
2018-07-10,108.60,108.60,107.80,107.80,8830
2018-07-11,108.00,108.00,106.00,106.40,8493
2018-07-12,106.00,107.80,105.60,107.80,12816
2018-07-13,108.00,109.00,107.40,107.60,10813
2018-07-16,107.00,109.20,106.40,108.20,15408
2018-07-17,107.40,108.00,106.00,107.00,13917
2018-07-18,107.40,108.40,106.60,106.60,14894
2018-07-19,101.60,104.80,100.60,102.80,51737
2018-07-20,103.20,104.00,102.60,103.40,25951
2018-07-23,104.00,106.40,103.40,106.00,25757
2018-07-24,106.80,111.00,106.80,110.60,25703
2018-07-25,111.00,119.80,111.00,119.80,65209
2018-07-26,120.40,123.20,118.80,122.40,60921
2018-07-27,121.80,124.60,121.80,123.60,35352
2018-07-30,122.60,123.00,120.00,121.20,29906
2018-07-31,121.40,122.60,120.80,121.20,21605
2018-08-01,121.20,124.60,120.00,121.60,32795
2018-08-02,120.80,121.40,118.80,119.40,12823
2018-08-03,120.00,121.40,119.60,120.60,13640
2018-08-06,120.20,120.40,118.00,118.00,18067
2018-08-07,117.80,119.20,117.80,118.20,13024
2018-08-08,118.00,120.20,117.00,119.80,58376
2018-08-09,119.80,122.40,118.20,118.40,20158
2018-08-10,119.00,119.00,117.00,117.60,24162
2018-08-13,116.80,117.60,115.80,117.00,13572
2018-08-14,117.20,118.20,115.20,115.60,19360
2018-08-15,115.60,118.00,115.40,117.00,22896
2018-08-16,117.00,118.00,117.00,117.20,15328
2018-08-17,117.20,117.20,115.20,115.40,6084
2018-08-20,115.40,117.60,115.40,116.80,18670
2018-08-21,116.60,117.20,115.80,117.00,8816
2018-08-22,116.40,118.00,116.20,117.60,10627
2018-08-23,117.00,118.80,116.60,117.20,11634
2018-08-24,116.60,117.60,116.00,116.00,7703
2018-08-27,115.80,118.00,115.80,117.00,8680
2018-08-28,118.00,119.00,117.60,118.20,10450
2018-08-29,118.20,118.60,117.20,117.40,11557
2018-08-30,117.00,118.00,116.40,117.20,13450
2018-08-31,116.00,118.80,115.00,118.40,13292
2018-09-03,116.60,119.00,116.60,117.80,3871
2018-09-04,117.80,118.80,115.80,116.60,9061
2018-09-05,116.00,117.40,114.40,116.20,16431
2018-09-06,116.00,116.80,113.80,114.60,13881
2018-09-07,113.80,115.00,113.60,114.40,6692
2018-09-10,113.60,115.20,113.40,114.60,6861
2018-09-11,114.20,116.00,114.20,115.20,8123
2018-09-12,116.00,117.80,115.00,116.60,11220
2018-09-13,117.20,118.00,115.20,115.20,6850
2018-09-14,117.60,117.60,114.20,115.00,7552
2018-09-17,115.00,115.00,113.20,114.00,6399
2018-09-18,113.40,116.80,113.40,116.60,9549
2018-09-19,117.60,118.00,115.80,117.80,12983
2018-09-20,117.00,119.80,117.00,119.60,14913
2018-09-21,119.80,120.00,118.20,118.20,20653
2018-09-24,117.20,119.40,115.20,117.20,7532
2018-09-25,116.40,117.40,115.80,116.20,8094
2018-09-26,115.40,116.40,115.20,116.00,7890
2018-09-27,115.20,116.20,114.20,115.00,7164
2018-09-28,115.60,115.60,114.60,115.40,10828
2018-10-01,115.20,116.00,114.60,115.20,8824
2018-10-02,114.00,117.60,114.00,117.00,16145
2018-10-03,116.40,117.80,114.80,115.00,5574
2018-10-04,114.20,114.60,112.20,113.40,15883
2018-10-05,113.40,114.20,111.60,113.20,8968
