Date,Open,High,Low,Close,Volume
2018-06-06,74.30,75.36,74.14,75.28,3993000
2018-06-07,75.28,75.46,73.93,74.35,2965500
2018-06-08,74.33,74.84,74.12,74.78,3039600
2018-06-11,74.86,75.37,74.50,75.19,2987200
2018-06-12,75.03,75.62,74.77,75.35,3591500
2018-06-13,75.42,75.60,74.46,74.58,2770000
2018-06-14,75.02,75.50,74.73,75.41,2573500
2018-06-15,75.32,75.58,74.66,75.22,3173000
2018-06-18,74.58,74.80,73.95,74.30,2410100
2018-06-19,73.67,74.19,73.51,74.17,2726900
2018-06-20,74.12,74.35,73.28,73.33,2371900
2018-06-21,73.56,74.53,73.37,73.74,2830400
2018-06-22,74.01,74.86,73.74,74.32,3249900
2018-06-25,74.06,74.13,73.02,73.59,3631800
2018-06-26,73.61,73.91,73.12,73.14,2148300
2018-06-27,73.45,73.89,72.55,72.55,2539700
2018-06-28,72.54,74.13,72.33,73.80,2835000
2018-06-29,73.82,74.69,73.78,73.84,2602700
2018-07-02,73.39,73.80,72.94,73.75,1391900
2018-07-03,73.70,73.79,72.92,73.07,1531800
2018-07-05,73.59,73.96,73.22,73.80,1595700
2018-07-06,73.88,74.57,73.78,74.37,1440100
2018-07-09,74.60,74.89,74.33,74.67,1564500
2018-07-10,74.96,75.12,74.42,74.63,2229700
2018-07-11,74.32,74.90,74.10,74.32,1296400
2018-07-12,74.76,75.04,74.23,74.78,1769700
2018-07-13,74.80,74.94,74.51,74.78,2088000
2018-07-16,74.25,74.29,73.59,74.01,2132800
2018-07-17,73.82,74.81,73.73,74.75,2701000
2018-07-18,74.80,74.85,74.32,74.70,1746800
2018-07-19,74.60,74.98,74.28,74.74,1951100
2018-07-20,74.72,75.60,74.59,75.00,4220500
2018-07-23,75.00,75.33,74.65,74.94,2405600
2018-07-24,75.11,75.72,75.02,75.54,3279700
2018-07-25,75.35,76.51,75.35,76.51,2549500
2018-07-26,71.01,75.00,71.01,73.71,6801900
2018-07-27,73.28,73.71,71.28,71.71,6406600
2018-07-30,71.64,72.14,70.95,71.36,4136900
2018-07-31,71.78,72.71,71.62,72.45,4379800
2018-08-01,72.46,73.13,72.37,72.75,4001200
2018-08-02,72.44,72.58,71.52,72.24,2263100
2018-08-03,72.27,72.39,71.63,72.35,1749100
2018-08-06,72.25,72.72,72.14,72.52,1814200
2018-08-07,72.56,72.76,72.10,72.54,2810500
2018-08-08,72.43,73.09,72.41,72.67,3328600
2018-08-09,72.92,73.00,71.98,72.07,3633600
2018-08-10,71.95,71.95,71.19,71.50,2341600
2018-08-13,71.40,71.89,70.67,70.71,1920500
2018-08-14,70.68,71.28,70.65,70.71,2133600
2018-08-15,70.44,71.34,70.19,71.25,2811400
2018-08-16,71.77,71.94,71.21,71.58,2162300
2018-08-17,71.35,72.14,71.05,72.04,1898100
2018-08-20,72.09,72.44,71.96,72.20,1697300
2018-08-21,72.47,72.76,71.55,71.64,5024700
2018-08-22,71.45,72.27,71.23,72.14,1783600
2018-08-23,72.20,72.33,71.85,71.98,2553600
2018-08-24,72.23,72.51,71.86,72.35,2232100
2018-08-27,72.60,73.19,72.51,72.98,2133700
2018-08-28,73.15,73.25,72.74,73.06,2728000
2018-08-30,73.76,74.19,73.42,73.90,2982600
2018-08-31,73.68,74.45,73.65,74.37,2980300
2018-09-04,74.80,75.13,74.38,74.79,5077300
2018-09-05,74.59,74.75,73.67,74.07,4173800
2018-09-06,73.95,74.73,73.68,74.52,2367100
2018-09-07,74.37,74.84,74.01,74.59,2950700
2018-09-10,74.84,75.14,74.64,74.89,2404000
2018-09-11,74.82,76.13,74.74,75.87,2713000
2018-09-12,75.87,76.22,75.52,76.08,2351900
2018-09-13,76.22,77.22,76.19,77.13,2903500
2018-09-14,77.17,77.85,77.17,77.69,2305000
2018-09-17,77.45,77.52,76.94,77.04,2657200
2018-09-18,77.03,77.50,76.93,77.24,2228000
2018-09-19,77.40,77.81,77.30,77.64,3124800
2018-09-20,77.90,78.38,77.59,77.69,2293500
2018-09-21,77.85,77.92,77.32,77.37,4064300
2018-09-24,77.39,77.84,77.24,77.75,1575300
2018-09-25,77.85,77.96,77.25,77.46,1960400
2018-09-26,77.46,77.69,76.79,76.90,2964000
2018-09-27,77.10,77.13,76.55,76.60,2182000
2018-09-28,76.58,77.54,76.55,77.09,3484800
2018-10-01,77.50,78.23,77.33,77.80,2786400
2018-10-02,77.63,77.78,77.18,77.30,1788900
2018-10-03,77.39,77.50,75.68,75.91,3536800
2018-10-04,75.56,75.56,73.90,74.25,3137200
2018-10-05,74.25,74.70,73.56,74.18,2367800
2018-10-08,73.89,74.15,72.72,73.33,2903800
2018-10-09,73.01,73.53,72.71,72.98,3180100
2018-10-10,72.89,72.89,71.12,71.19,3101600
2018-10-11,70.92,71.69,69.52,70.17,4111500
2018-10-12,71.28,71.94,70.37,71.25,2340500
2018-10-15,71.20,71.52,70.44,70.87,2127200
