Date,Open,High,Low,Close,Volume
2018-06-06,71.75,72.08,70.75,71.56,3071500
2018-06-07,71.87,72.67,71.35,71.66,3425100
2018-06-08,71.26,72.54,70.91,72.31,2816400
2018-06-11,72.45,74.23,72.34,73.64,3999800
2018-06-13,73.70,73.74,72.80,73.26,3644200
2018-06-14,73.21,74.03,73.04,73.32,3295300
2018-06-15,72.88,74.98,71.93,74.81,6386900
2018-06-18,74.10,77.12,73.97,77.06,4096200
2018-06-19,76.00,76.80,75.12,76.41,4189100
2018-06-20,76.38,76.63,75.18,75.86,3307100
2018-06-21,75.85,77.74,75.76,77.23,2931500
2018-06-22,77.69,77.97,76.05,76.26,3604000
2018-06-25,75.92,76.71,74.58,75.11,3348300
2018-06-26,75.47,77.23,75.23,76.52,2853900
2018-06-27,76.54,76.93,74.05,74.08,3002900
2018-06-28,73.93,75.28,73.16,74.99,3235700
2018-06-29,75.39,76.12,74.58,74.58,3004500
2018-07-02,74.33,74.45,72.84,74.35,2745600
2018-07-03,74.33,74.90,73.55,73.63,1185700
2018-07-05,73.98,74.31,73.26,73.74,2141200
2018-07-06,73.83,74.39,73.20,74.28,1442500
2018-07-09,74.57,75.42,74.40,75.21,2397500
2018-07-10,75.69,75.76,74.90,75.71,2094500
2018-07-11,74.54,74.75,73.03,74.28,3230700
2018-07-12,74.65,75.08,74.21,74.69,1257400
2018-07-13,74.78,76.78,74.78,75.88,3106100
2018-07-16,75.75,76.22,75.22,75.48,1586500
2018-07-17,75.78,76.83,75.49,76.56,1910100
2018-07-18,76.60,76.88,75.97,76.35,1910300
2018-07-19,76.35,78.79,76.20,77.98,3399600
2018-07-20,77.51,77.74,76.04,76.11,2779600
2018-07-23,75.97,76.92,75.75,76.40,1532400
2018-07-24,77.10,77.62,74.86,75.25,2418100
2018-07-25,75.20,75.44,74.40,75.32,2267600
2018-07-26,75.62,76.88,75.50,76.01,2129200
2018-07-27,75.90,76.50,74.36,74.68,2450100
2018-07-30,74.56,74.86,73.78,74.44,3126600
2018-07-31,74.57,75.49,74.40,75.03,2195200
2018-08-01,75.19,76.46,74.72,74.88,2306900
2018-08-02,74.38,76.06,74.31,75.92,1523900
2018-08-03,76.11,77.22,75.69,76.08,1426100
2018-08-06,76.03,76.63,75.88,76.42,1385800
2018-08-07,76.62,77.64,76.53,77.29,1660700
2018-08-08,76.88,77.52,76.63,77.29,1529200
2018-08-09,78.06,79.05,77.78,78.68,2228400
2018-08-10,78.24,79.25,78.00,78.71,1740000
2018-08-13,78.95,79.23,77.02,77.07,2003800
2018-08-14,77.45,79.01,77.30,78.53,2982000
2018-08-15,78.26,78.26,75.74,76.38,3631800
2018-08-16,78.13,78.37,76.48,76.91,3702800
2018-08-17,76.92,78.70,76.69,78.48,1824200
2018-08-20,78.54,79.72,78.28,79.38,2472800
2018-08-21,79.40,81.82,79.17,81.43,4696300
2018-08-22,81.90,84.37,80.63,80.95,4080500
2018-08-23,80.99,82.73,80.99,82.60,3394500
2018-08-24,83.05,83.10,80.92,82.08,4144800
2018-08-27,83.04,83.20,81.42,81.66,5293300
2018-08-28,77.50,79.25,74.76,77.57,18462100
2018-08-29,77.79,77.99,76.62,77.63,5435900
2018-08-30,77.60,78.50,77.19,78.01,3228200
2018-08-31,77.95,79.64,77.62,79.56,5222200
2018-09-04,79.51,80.98,79.16,80.68,3640300
2018-09-05,80.44,81.24,78.73,79.07,3617800
2018-09-06,79.50,79.97,78.97,79.23,3218800
2018-09-07,78.95,79.57,77.86,78.19,3026100
2018-09-10,78.64,78.74,76.92,77.31,3211300
2018-09-11,77.17,77.95,76.68,77.57,2582900
2018-09-12,77.56,78.32,77.05,78.25,2847500
2018-09-13,78.26,79.19,77.87,78.56,2702200
2018-09-17,78.25,78.90,76.91,77.04,2830500
2018-09-18,76.53,77.91,76.44,77.70,3301700
2018-09-19,77.79,78.18,77.12,77.74,2311900
2018-09-20,77.89,79.70,77.70,79.56,3429200
2018-09-21,79.80,81.53,79.79,80.64,5208100
2018-09-24,80.97,81.66,79.28,79.42,3651800
2018-09-25,79.32,79.99,77.24,77.86,2633400
2018-09-26,78.41,80.42,78.20,79.63,2497500
2018-09-27,79.53,79.81,78.07,78.26,2726500
2018-09-28,77.96,80.14,77.96,79.36,3341600
2018-10-01,79.57,79.82,78.28,79.01,2130400
2018-10-02,79.00,79.07,75.08,75.20,3946200
2018-10-03,75.39,75.73,74.37,75.01,3263800
2018-10-04,75.01,75.21,73.01,73.15,3675400
2018-10-05,72.58,74.60,71.67,72.55,3022400
2018-10-08,72.19,72.65,70.17,71.38,3795700
2018-10-09,70.90,72.94,70.77,71.34,4040600
2018-10-10,71.79,72.28,70.62,70.78,3459700
2018-10-11,70.75,72.52,70.19,70.75,3611200
2018-10-12,71.95,72.96,71.26,72.45,3576800
2018-10-15,72.73,73.77,72.54,72.99,3213900
2018-10-16,73.23,74.98,72.81,74.81,2301100
2018-10-17,74.69,75.07,72.55,73.83,2565600
2018-10-18,73.47,73.85,71.86,72.65,2451000
2018-10-19,72.88,72.93,70.47,70.79,2934000
2018-10-22,71.20,72.52,70.60,72.19,2149700
2018-10-23,70.91,71.99,69.57,71.67,2838800
2018-10-24,71.66,72.87,68.77,68.95,3973100
2018-10-25,69.26,70.45,68.88,69.17,2665000
2018-10-26,68.44,69.33,66.08,68.45,3884700
2018-10-29,68.97,70.03,67.00,67.98,3286700
2018-10-30,68.06,70.89,67.68,70.51,3156800
2018-10-31,71.26,71.71,70.13,70.16,2509400
2018-11-01,70.07,73.14,69.20,73.08,2977900
2018-11-02,73.89,75.11,70.46,71.89,4078300
2018-11-05,71.84,72.06,69.52,71.10,3085200
2018-11-06,71.04,71.91,70.09,71.68,2393400
2018-11-07,71.94,72.86,70.56,72.81,2308900
2018-11-08,72.45,73.59,72.01,73.23,2946900
2018-11-09,73.15,73.29,67.71,67.79,6359000
2018-11-12,67.60,68.38,66.55,67.15,4200700
2018-11-13,64.95,67.70,64.85,67.05,5587900
2018-11-14,67.63,69.10,66.09,66.55,4390100
2018-11-15,65.93,68.28,64.81,67.78,5487000
2018-11-16,67.44,67.56,65.52,66.43,5276100
2018-11-19,66.10,67.29,62.18,62.20,7457300
