Date,Open,High,Low,Close,Volume
2018-06-06,146.03,147.00,143.40,144.39,104249
2018-06-07,143.97,144.35,140.30,141.00,64598
2018-06-08,141.00,144.00,140.04,142.03,75438
2018-06-12,142.50,147.81,142.13,147.80,59796
2018-06-13,146.60,147.20,143.62,146.23,41809
2018-06-14,145.44,146.93,141.96,142.30,60460
2018-06-15,142.30,142.78,140.15,140.53,61693
2018-06-18,140.50,141.24,135.86,137.15,41327
2018-06-19,136.90,139.99,135.40,135.76,33146
2018-06-20,135.60,141.21,135.23,140.26,46000
2018-06-21,144.82,144.82,141.43,142.61,80871
2018-06-22,142.50,144.46,141.00,143.32,65142
2018-06-25,143.31,145.50,142.24,142.74,42477
2018-06-26,140.99,142.96,139.30,139.75,45496
2018-06-27,140.00,142.96,140.00,142.09,38567
2018-06-28,142.38,142.80,138.21,141.61,43734
2018-06-29,142.00,143.19,141.20,142.50,33663
2018-07-02,142.40,142.75,138.55,139.13,37693
2018-07-03,139.44,141.00,138.41,139.00,36869
2018-07-04,140.51,140.72,137.08,139.11,40794
2018-07-05,139.99,140.21,135.55,139.20,50307
2018-07-06,140.34,145.28,140.14,141.05,109626
2018-07-09,142.00,144.48,140.76,143.88,28265
2018-07-10,144.20,144.45,140.13,143.11,32028
2018-07-11,143.06,146.86,142.63,145.64,61305
2018-07-12,146.30,146.30,143.23,143.89,45067
2018-07-13,144.00,145.45,143.80,144.82,30372
2018-07-16,145.00,146.82,144.21,145.95,23505
2018-07-17,144.81,146.81,142.55,144.89,22173
2018-07-18,144.22,147.54,144.22,146.70,46810
2018-07-19,147.88,147.88,143.78,145.46,26675
2018-07-20,144.45,146.97,144.16,144.99,27216
2018-07-23,144.10,147.75,144.10,146.87,37407
2018-07-24,146.56,147.60,145.00,145.72,31821
2018-07-25,145.00,147.43,143.91,146.70,96001
2018-07-26,147.10,149.94,145.57,149.94,51107
2018-07-27,150.00,155.00,149.90,153.88,64717
2018-07-30,153.90,154.99,150.56,150.89,49537
2018-07-31,149.50,151.00,147.18,148.08,57164
2018-08-01,147.91,149.47,147.19,147.41,20892
2018-08-02,148.26,149.79,146.06,149.32,36825
2018-08-03,149.89,152.17,147.72,148.30,44119
2018-08-06,148.32,150.99,147.14,148.29,24210
2018-08-07,147.04,149.80,146.01,146.50,44840
2018-08-08,146.00,147.01,145.00,146.40,39778
