Date,Open,High,Low,Close,Volume
2018-06-06,7629.40,7701.35,7504.98,7661.79,396116252
2018-06-07,7661.79,7755.92,7651.13,7700.11,342475552
2018-06-08,7700.40,7709.61,7559.50,7627.52,310119047
2018-06-09,7627.56,7691.74,7495.72,7513.69,218013881
2018-06-10,7513.76,7514.04,6661.98,6773.72,895514425
2018-06-11,6773.72,6913.85,6652.89,6887.37,482788065
2018-06-12,6887.43,6888.33,6462.61,6556.94,509372466
2018-06-13,6556.94,6623.00,6140.63,6310.43,797087281
2018-06-14,6310.43,6719.44,6286.23,6643.26,620296377
2018-06-15,6643.63,6667.23,6380.69,6396.71,379228601
2018-06-16,6396.71,6569.15,6345.99,6503.10,232802782
2018-06-17,6503.10,6585.77,6446.38,6457.78,224575526
2018-06-18,6457.78,6802.03,6401.41,6714.82,430241689
2018-06-19,6714.56,6839.60,6672.20,6741.28,370797057
2018-06-20,6741.28,6817.90,6569.96,6761.27,400530201
2018-06-21,6761.27,6790.08,6687.66,6720.64,295690715
2018-06-22,6720.64,6731.51,5941.32,6051.47,862826624
2018-06-23,6051.47,6257.88,6033.20,6166.54,350697378
2018-06-24,6166.36,6254.02,5782.13,6157.78,667479078
2018-06-25,6157.78,6344.45,6095.25,6260.35,492834172
2018-06-26,6260.40,6286.36,6067.49,6088.39,391396653
2018-06-27,6092.26,6192.11,6021.69,6141.57,383457137
2018-06-28,6141.57,6172.23,5844.26,5871.28,385907044
2018-06-29,5870.81,6286.67,5813.02,6203.80,554799001
2018-06-30,6203.81,6503.33,6194.51,6385.38,419284677
2018-07-01,6385.43,6429.50,6262.72,6339.04,259708490
2018-07-02,6342.69,6673.71,5537.86,6615.66,465915661
2018-07-03,6616.60,6670.30,6473.48,6509.58,356390898
2018-07-04,6508.43,6777.97,6411.13,6590.06,412202352
2018-07-05,6589.77,6691.32,6448.23,6534.81,421189063
2018-07-06,6534.81,6633.44,6458.14,6602.02,310759733
2018-07-07,6602.03,6814.42,6518.23,6758.08,277167900
