Date,Open,High,Low,Close,Volume
2018-05-30,3.05,3.09,3.03,3.09,135499
2018-05-31,3.09,3.11,3.06,3.10,536003
2018-06-01,3.10,3.13,3.06,3.13,274212
2018-06-04,3.14,3.31,3.14,3.23,970712
2018-06-05,3.26,3.27,3.22,3.25,476181
2018-06-06,3.25,3.36,3.24,3.31,553761
2018-06-07,3.32,3.36,3.26,3.29,327608
2018-06-08,3.33,3.36,3.26,3.36,156201
2018-06-12,3.39,3.39,3.25,3.26,342835
2018-06-13,3.25,3.30,3.23,3.28,274497
2018-06-14,3.24,3.28,3.19,3.19,825325
2018-06-15,3.19,3.21,3.09,3.18,1443724
2018-06-18,3.15,3.18,3.13,3.15,1174858
2018-06-19,3.14,3.15,3.05,3.06,1127355
2018-06-20,3.06,3.19,3.06,3.11,654945
2018-06-21,3.10,3.27,3.10,3.25,800940
2018-06-22,3.39,3.46,3.30,3.33,852197
2018-06-25,3.33,3.33,3.23,3.27,238068
2018-06-26,3.27,3.27,3.15,3.19,484491
2018-06-27,3.19,3.25,3.13,3.18,803669
2018-06-28,3.17,3.25,3.14,3.18,467841
2018-06-29,3.18,3.24,3.17,3.21,423465
2018-07-02,3.16,3.17,3.07,3.08,402938
2018-07-03,3.07,3.10,3.03,3.06,895714
2018-07-04,3.05,3.10,2.97,3.04,560297
2018-07-05,3.00,3.23,3.00,3.09,104190
2018-07-06,3.08,3.08,3.01,3.06,198731
2018-07-09,3.05,3.05,3.00,3.00,590317
2018-07-10,3.01,3.08,3.00,3.02,473874
2018-07-11,3.04,3.07,3.00,3.01,347559
2018-07-12,3.01,3.03,2.95,3.00,584262
2018-07-13,3.02,3.28,3.02,3.25,267370
2018-07-16,3.25,3.27,3.12,3.14,283358
2018-07-17,3.14,3.23,3.09,3.10,334075
2018-07-18,3.13,3.19,3.06,3.09,240858
2018-07-19,3.09,3.16,3.08,3.13,186135
2018-07-20,3.12,3.14,3.09,3.10,282746
2018-07-23,3.05,3.08,3.04,3.04,365772
2018-07-24,3.06,3.13,3.06,3.10,233507
2018-07-25,3.10,3.15,3.05,3.13,475817
2018-07-26,3.12,3.18,3.11,3.18,169155
2018-07-27,3.19,3.22,3.15,3.16,336329
2018-07-30,3.16,3.30,3.12,3.26,411719
2018-07-31,3.27,3.28,3.19,3.24,480608
2018-08-01,3.34,3.38,3.30,3.35,720163
2018-08-02,3.37,3.45,3.31,3.42,415703
2018-08-03,3.45,3.52,3.39,3.42,290307
2018-08-06,3.42,3.56,3.42,3.54,513812
2018-08-07,3.56,3.62,3.33,3.40,1029286
2018-08-08,3.45,3.52,3.41,3.49,179846
2018-08-09,3.54,3.60,3.46,3.58,378364
2018-08-10,3.60,3.64,3.48,3.52,328448
2018-08-13,3.54,3.57,3.49,3.54,295556
2018-08-14,3.55,3.59,3.54,3.55,402422
2018-08-15,3.56,3.74,3.55,3.65,738646
2018-08-16,3.65,3.70,3.55,3.56,379335
2018-08-17,3.56,3.67,3.56,3.65,473743
2018-08-20,3.64,3.68,3.58,3.61,314675
2018-08-21,3.64,3.70,3.64,3.70,835901
2018-08-22,3.69,3.70,3.61,3.65,720065
2018-08-23,3.66,3.76,3.63,3.64,837531
2018-08-24,3.67,3.79,3.63,3.67,542452
2018-08-27,3.67,3.68,3.58,3.60,1968332
2018-08-28,3.95,4.25,3.67,3.84,2779996
2018-08-29,3.95,4.09,3.92,4.02,1738702
2018-08-30,4.01,4.16,4.01,4.16,929898
2018-09-03,4.36,4.39,4.18,4.22,770546
2018-09-04,4.22,4.31,4.15,4.23,642473
2018-09-05,4.24,4.36,4.12,4.15,711911
2018-09-06,4.10,4.12,3.99,4.00,1221877
2018-09-07,3.97,4.03,3.92,4.00,1278180
2018-09-10,4.00,4.15,4.00,4.08,805173
2018-09-11,4.07,4.21,4.06,4.11,972764
2018-09-12,4.25,4.40,4.25,4.30,1048064
2018-09-13,4.31,4.41,4.25,4.27,829784
2018-09-14,4.29,4.32,4.14,4.16,684532
2018-09-17,4.13,4.25,4.13,4.19,846105
2018-09-18,4.21,4.25,4.09,4.11,458070
2018-09-19,4.09,4.16,4.09,4.12,777505
2018-09-20,4.17,4.17,4.10,4.10,436591
2018-09-21,4.10,4.16,4.08,4.16,1071495
2018-09-24,4.16,4.17,4.10,4.16,393692
2018-09-25,4.30,4.30,4.20,4.24,378163
2018-09-26,4.25,4.30,4.25,4.29,530223
2018-09-27,4.30,4.45,4.29,4.34,755781
2018-09-28,4.36,4.41,4.32,4.41,1133653
2018-10-01,4.43,4.45,4.34,4.38,225985
2018-10-02,4.40,4.44,4.36,4.44,827780
2018-10-03,4.44,4.54,4.35,4.50,811446
2018-10-04,4.56,4.58,4.41,4.50,1274117
2018-10-05,4.49,4.51,4.38,4.45,791972
2018-10-08,4.50,4.50,4.42,4.44,886111
2018-10-09,4.43,4.44,4.26,4.34,1233141
2018-10-10,4.28,4.33,4.10,4.10,905169
2018-10-11,4.00,4.00,3.90,3.91,1209977
2018-10-12,3.92,4.26,3.92,4.19,1246637
2018-10-15,4.21,4.28,4.15,4.16,1267418
2018-10-16,4.12,4.17,4.07,4.12,1552114
2018-10-17,4.13,4.41,4.12,4.40,1798635
2018-10-18,4.42,4.42,4.23,4.33,7251551
2018-10-19,4.33,4.42,4.28,4.35,1519007
2018-10-22,4.29,4.41,4.15,4.33,921109
2018-10-23,4.36,4.36,4.31,4.34,562117
2018-10-24,4.31,4.41,4.31,4.33,708433
