Date,Open,High,Low,Close,Volume
2018-06-06,70.45,70.50,69.10,69.23,3993516
2018-06-07,69.30,69.80,68.97,69.26,2381711
2018-06-08,69.33,69.74,69.27,69.37,1568016
2018-06-12,69.45,69.50,68.78,68.85,4098851
2018-06-13,68.85,68.87,68.01,68.18,3075419
2018-06-14,67.88,67.92,67.22,67.45,3419047
2018-06-15,67.70,69.00,67.67,68.98,5922177
2018-06-18,69.27,70.00,69.24,69.70,2366307
2018-06-19,70.10,70.47,69.70,69.88,3044721
2018-06-20,70.65,71.95,70.42,71.91,4092599
2018-06-21,72.97,72.99,72.29,72.90,7428730
2018-06-22,72.85,73.86,72.77,73.86,4421609
2018-06-25,73.83,74.70,71.88,72.16,3647015
2018-06-26,72.03,73.28,71.68,72.81,2708542
2018-06-27,73.04,73.37,72.61,72.61,2981498
2018-06-28,72.70,73.29,72.13,73.23,2567273
2018-06-29,73.48,73.67,72.86,72.87,6091515
2018-07-02,72.70,73.17,72.38,72.70,2049487
2018-07-03,73.15,74.20,72.61,73.97,3661537
2018-07-04,73.91,73.98,73.45,73.59,2065495
2018-07-05,73.80,74.54,73.64,74.46,2899406
2018-07-06,74.80,75.70,74.55,75.67,3410925
2018-07-09,76.00,76.74,75.92,76.10,4637959
2018-07-10,76.30,76.50,74.05,74.43,4469531
2018-07-11,74.25,74.28,73.54,74.05,3101381
2018-07-12,74.50,75.63,74.14,75.21,2733149
2018-07-13,75.67,75.74,74.26,74.85,2677839
2018-07-16,75.34,75.60,74.11,74.24,2301570
2018-07-17,74.38,74.86,74.06,74.49,2326849
2018-07-18,74.61,75.22,74.41,75.02,2298934
2018-07-19,75.57,75.76,74.84,75.39,2279376
2018-07-20,75.31,76.10,75.31,75.90,2547182
2018-07-23,75.72,75.90,75.05,75.24,1861469
2018-07-24,75.80,75.80,75.01,75.17,2128578
2018-07-25,75.13,75.25,74.58,74.76,2599361
2018-07-26,74.79,75.01,74.37,74.83,3159476
2018-07-27,75.33,75.63,74.92,75.36,4827208
2018-07-30,75.05,75.08,74.74,74.90,1998436
2018-07-31,75.20,75.43,74.79,74.79,2548855
2018-08-01,74.38,74.61,73.66,73.71,3369098
2018-08-02,74.00,74.24,73.43,73.68,2325541
2018-08-03,73.99,74.10,72.75,72.83,3884428
2018-08-06,73.04,73.86,73.00,73.56,2113075
2018-08-07,73.60,73.79,72.65,72.89,4048916
2018-08-08,74.18,74.93,73.21,74.81,5165542
2018-08-09,75.18,75.69,74.63,75.37,3201984
2018-08-10,75.71,76.00,75.37,75.39,3958293
2018-08-13,75.35,75.40,74.65,74.94,2641443
2018-08-15,73.25,73.99,73.02,73.99,6162789
2018-08-16,73.77,74.31,73.38,74.12,4713252
2018-08-17,74.12,74.65,73.77,74.29,2242154
2018-08-20,74.44,74.44,73.34,73.61,3469377
2018-08-21,73.61,73.77,72.82,72.95,3141486
2018-08-22,72.65,72.79,71.53,71.88,2967965
2018-08-23,71.61,71.65,70.55,70.75,3832474
2018-08-24,70.44,71.79,70.00,70.89,4531175
2018-08-27,70.89,71.32,70.10,71.19,2531178
2018-08-28,71.45,72.31,71.45,71.73,3550699
2018-08-29,72.00,73.25,71.78,73.23,5119217
2018-08-30,73.53,73.56,72.06,72.15,3989330
2018-08-31,72.03,72.48,71.24,71.24,5114799
