Date,Open,High,Low,Close,Volume
2018-06-06,62.32,62.63,61.97,62.57,3390600
2018-06-07,62.32,63.57,62.10,62.76,5698500
2018-06-08,62.95,63.82,62.90,63.34,4782400
2018-06-11,63.35,63.91,63.35,63.75,3220300
2018-06-12,63.75,64.04,63.48,63.73,3355500
2018-06-13,63.78,63.93,62.97,63.06,4252400
2018-06-14,63.02,63.59,62.67,63.31,4312500
2018-06-15,63.28,64.77,63.25,64.73,9744900
2018-06-18,64.21,64.37,62.70,63.31,7904900
2018-06-19,64.01,64.57,63.63,64.00,4580300
2018-06-20,63.82,64.05,63.45,63.90,4898800
2018-06-21,63.68,63.90,63.26,63.49,3646000
2018-06-22,63.55,64.78,63.51,64.63,4871600
2018-06-25,64.32,65.25,64.20,65.11,4432500
2018-06-26,65.11,65.50,64.48,65.14,3900900
2018-06-27,65.15,65.67,64.64,64.71,4228800
2018-06-28,64.65,64.98,64.33,64.93,2891900
2018-06-29,65.00,65.29,64.51,64.81,4223700
2018-07-02,64.60,65.11,64.03,64.58,3057200
2018-07-03,65.16,65.23,64.50,64.67,2298400
2018-07-05,64.94,65.97,64.94,65.96,3670200
2018-07-06,65.98,66.25,65.62,65.78,3310800
2018-07-09,65.45,65.57,64.95,65.00,4102300
2018-07-10,65.10,65.77,64.70,65.73,2613800
2018-07-11,65.73,65.90,65.17,65.24,2345800
2018-07-12,65.22,65.63,64.97,65.17,2501300
2018-07-13,65.24,65.81,65.19,65.75,2684800
2018-07-17,65.04,65.95,65.04,65.56,3120500
2018-07-18,65.11,65.53,64.36,64.81,3713500
2018-07-19,65.35,66.05,64.80,65.75,4346100
2018-07-20,65.65,66.13,65.39,65.95,3264300
2018-07-23,65.96,66.14,65.54,65.84,5332400
2018-07-24,65.52,65.71,64.93,65.27,5407100
2018-07-25,65.31,66.08,65.26,65.95,3334800
2018-07-26,66.02,67.92,66.02,66.94,5836700
2018-07-27,65.92,67.38,64.92,66.66,5497100
2018-07-30,65.43,66.65,65.36,66.46,4801200
2018-07-31,66.50,67.35,66.43,67.01,4741600
2018-08-01,66.83,67.00,65.80,66.08,4375900
2018-08-02,66.14,67.43,66.13,67.24,3607800
2018-08-03,67.37,68.43,66.83,67.50,4324100
2018-08-06,67.45,67.61,67.18,67.38,2542400
2018-08-07,67.40,67.40,66.54,67.23,2181100
2018-08-08,67.07,67.16,66.57,66.59,1910500
2018-08-09,66.46,66.67,65.88,65.93,2979200
2018-08-10,65.76,65.85,65.27,65.43,2936600
2018-08-13,65.47,65.77,65.01,65.55,2725100
2018-08-14,65.56,65.90,65.49,65.52,2532400
2018-08-15,65.44,65.91,65.12,65.83,4245700
2018-08-16,66.06,66.86,66.06,66.72,3163000
2018-08-17,66.72,67.59,66.43,67.50,3523500
2018-08-20,67.62,67.89,67.58,67.66,2151800
2018-08-21,67.56,67.69,67.03,67.40,2323800
2018-08-22,67.40,67.45,66.99,66.99,2099900
2018-08-23,66.72,67.10,66.47,66.57,2460400
2018-08-24,66.55,67.01,66.34,66.88,2046000
2018-08-27,67.14,67.32,66.61,67.09,2078100
2018-08-28,67.28,67.40,66.68,66.78,2012100
2018-08-29,66.87,67.25,66.85,66.96,2322000
2018-08-30,66.75,66.98,66.04,66.24,2754000
2018-08-31,66.20,66.48,65.93,66.41,3257200
2018-09-04,65.74,65.99,65.01,65.23,4515900
2018-09-05,65.05,66.65,64.95,66.59,3977800
2018-09-06,66.33,67.17,66.09,67.00,3295100
2018-09-07,66.70,67.06,66.27,67.01,2980200
2018-09-10,67.01,67.64,67.00,67.16,3353200
2018-09-11,66.80,67.30,66.60,67.18,2985000
2018-09-12,67.08,68.10,67.07,67.98,2623100
2018-09-13,68.07,68.19,67.50,68.16,3093200
2018-09-14,68.19,68.31,67.72,67.99,1843300
2018-09-17,68.00,68.82,67.89,68.81,2874500
2018-09-18,68.76,68.86,68.19,68.26,2625300
2018-09-19,68.25,68.59,67.90,67.93,3017100
2018-09-20,68.30,69.05,68.22,68.79,3428700
2018-09-21,68.79,69.29,68.77,69.09,4687500
2018-09-24,68.98,69.17,67.85,67.94,2734100
2018-09-25,68.14,68.20,67.08,67.14,2347700
2018-09-26,67.25,67.80,67.01,67.10,2288700
2018-09-27,67.05,67.35,66.68,66.73,2498600
2018-09-28,66.73,66.95,66.61,66.95,2491400
2018-10-01,66.96,67.31,66.89,67.07,2116300
2018-10-02,67.14,67.80,66.96,67.39,2722600
2018-10-03,67.53,67.58,65.83,65.92,3764500
2018-10-04,65.44,65.46,64.52,64.92,3707900
2018-10-05,64.77,65.04,64.60,64.71,2972200
2018-10-08,64.66,65.55,64.51,65.35,4090800
2018-10-09,65.47,65.69,65.06,65.07,4603300
2018-10-10,64.54,65.38,63.80,63.83,4789000
2018-10-11,63.87,64.14,62.12,62.35,7242600
2018-10-12,62.64,62.90,61.91,62.54,4297100
