Date,Open,High,Low,Close,Volume
2018-06-05,113.18,113.45,112.90,113.24,936800
2018-06-06,113.45,114.70,113.33,114.60,1369200
2018-06-07,114.82,115.43,114.60,114.80,998500
2018-06-08,114.90,115.28,114.50,115.25,817200
2018-06-11,115.10,115.70,114.96,114.99,928200
2018-06-12,115.22,115.45,114.85,115.27,931000
2018-06-13,115.38,115.96,115.30,115.86,987600
2018-06-14,115.98,115.99,115.18,115.20,977100
2018-06-15,115.12,115.59,114.77,115.17,2464200
2018-06-18,114.94,115.54,114.76,115.45,764500
2018-06-19,115.00,115.94,114.96,115.53,1225200
2018-06-20,115.88,116.87,115.78,116.54,1197600
2018-06-21,116.64,117.10,116.47,116.83,984200
2018-06-22,117.09,117.95,116.84,117.68,914800
2018-06-25,117.60,117.61,115.60,115.97,1710500
2018-06-27,114.32,114.99,114.26,114.54,859300
2018-06-28,114.20,114.35,113.54,114.11,874400
2018-06-29,114.25,114.78,114.07,114.36,893200
2018-07-03,114.65,114.91,114.00,114.49,832100
2018-07-04,114.63,114.88,114.41,114.53,281700
2018-07-05,114.76,115.36,114.53,114.99,601300
2018-07-06,114.76,115.49,114.50,115.26,600300
2018-07-09,115.43,116.12,115.33,115.80,629500
2018-07-10,116.26,116.28,115.47,115.88,742200
2018-07-11,115.50,115.78,115.07,115.66,2380600
2018-07-12,115.76,116.28,115.43,115.83,835900
2018-07-13,115.86,116.10,115.40,116.07,831400
2018-07-16,116.00,116.46,115.80,116.24,569300
2018-07-17,116.06,116.49,115.60,116.38,607100
2018-07-18,116.30,116.40,115.64,115.87,661700
2018-07-19,115.92,116.27,115.68,115.92,966800
2018-07-20,115.72,116.08,115.50,116.05,1581100
2018-07-23,116.00,116.70,115.91,116.51,699200
2018-07-24,116.50,117.16,116.50,116.76,1020400
2018-07-25,116.50,117.42,116.10,117.32,933300
2018-07-26,117.39,118.09,117.20,117.85,916200
2018-07-27,117.78,118.41,117.70,118.14,828100
2018-07-30,118.29,118.79,118.24,118.58,660500
2018-07-31,118.50,118.88,118.34,118.72,965900
2018-08-01,118.87,119.75,118.51,119.43,1234500
2018-08-02,119.01,119.91,118.68,119.61,778100
2018-08-03,119.36,119.95,118.99,119.36,724000
2018-08-07,119.85,120.10,118.33,118.75,1156500
2018-08-08,118.73,119.54,118.45,119.10,640900
2018-08-09,119.38,119.80,119.20,119.52,655700
2018-08-10,119.01,119.39,118.71,119.22,756700
2018-08-13,119.22,119.94,118.98,119.49,1047600
2018-08-14,119.63,120.40,119.60,120.35,886600
2018-08-15,119.76,120.09,119.29,119.74,1003800
2018-08-16,119.95,120.91,119.95,120.50,1052300
2018-08-17,120.40,121.73,120.25,121.66,1176400
2018-08-20,121.80,122.19,121.46,121.80,904200
2018-08-21,121.91,122.43,121.42,121.59,1252000
2018-08-22,121.60,121.98,121.38,121.73,1061500
2018-08-23,122.30,123.34,122.10,122.40,1484700
2018-08-24,122.69,122.81,122.10,122.59,821800
2018-08-27,122.62,122.99,122.38,122.45,1018600
2018-08-28,122.75,122.98,122.19,122.63,1342000
2018-08-29,122.62,123.00,122.26,122.85,1605600
2018-08-30,122.70,123.17,122.33,122.83,2214800
2018-08-31,122.65,123.01,122.03,122.30,1479400
2018-09-04,122.33,122.76,121.53,122.36,1003400
