Date,Open,High,Low,Close,Volume
2018-05-30,194.10,198.92,193.81,198.32,165261
2018-05-31,200.17,200.17,195.42,196.15,211660
2018-06-01,199.99,204.56,198.65,203.31,217922
2018-06-04,203.35,204.46,198.20,200.49,96188
2018-06-05,199.93,200.05,196.69,197.61,176041
2018-06-06,197.72,200.85,197.08,200.19,127631
2018-06-07,200.19,201.53,199.08,200.97,108780
2018-06-08,200.50,201.50,198.01,198.63,119498
2018-06-12,198.65,200.48,196.73,198.88,233771
2018-06-13,197.75,200.89,196.90,198.21,214325
2018-06-14,198.90,199.43,189.63,189.80,335715
2018-06-15,190.26,193.58,190.15,191.28,934539
2018-06-18,193.77,195.58,191.82,192.25,151971
2018-06-19,193.81,195.50,193.02,194.35,156025
2018-06-20,195.59,199.35,195.57,198.71,189387
2018-06-21,202.00,205.53,199.50,203.15,307920
2018-06-22,202.69,204.04,200.00,201.94,105331
2018-06-25,202.16,202.60,199.60,200.90,86253
2018-06-26,198.17,199.31,196.73,198.30,129517
2018-06-27,197.12,199.75,197.03,199.44,108999
2018-06-28,197.06,199.65,195.50,195.50,357703
2018-06-29,198.63,200.65,198.43,200.17,264550
2018-07-02,200.61,202.60,199.22,200.62,271099
2018-07-03,199.90,202.28,199.37,199.50,208667
2018-07-04,196.81,198.32,196.69,197.23,121280
2018-07-05,198.07,199.99,197.23,198.02,157695
2018-07-06,198.03,199.18,196.70,198.95,148597
2018-07-09,198.95,198.95,196.10,197.21,172752
2018-07-10,197.00,198.00,196.27,196.74,120110
2018-07-11,196.99,198.34,196.39,196.39,77904
2018-07-12,198.49,202.33,197.72,199.01,136224
2018-07-13,200.00,205.96,199.53,205.32,220019
2018-07-16,204.60,205.31,202.49,202.61,95542
2018-07-17,198.62,202.25,198.62,199.78,94130
2018-07-18,202.22,203.91,200.01,202.65,145206
2018-07-19,202.90,203.98,201.34,203.82,136345
2018-07-20,204.02,209.86,203.85,208.60,142849
2018-07-23,207.25,207.45,203.83,203.98,101606
2018-07-24,207.50,209.09,207.12,208.35,117186
2018-07-25,206.72,207.35,203.49,204.04,107732
2018-07-26,204.50,205.80,203.05,205.06,110666
2018-07-27,205.40,208.44,204.01,207.53,248713
2018-07-30,205.58,206.49,204.01,205.47,112163
2018-07-31,205.32,205.43,202.38,203.36,122499
2018-08-01,207.98,208.00,202.82,203.12,180829
2018-08-02,202.00,205.33,201.50,202.88,195243
2018-08-03,202.87,206.16,202.34,203.84,143432
2018-08-06,204.52,205.68,202.03,202.49,88263
2018-08-07,202.60,203.87,201.24,201.60,213250
2018-08-08,200.86,203.61,198.66,198.99,191773
2018-08-09,200.00,200.95,197.01,197.34,162362
