Date,Open,High,Low,Close,Volume
2018-06-06,67.71,68.42,67.31,67.88,6412200
2018-06-07,68.50,69.68,68.26,69.48,7693500
2018-06-08,69.98,70.37,68.93,69.43,6656100
2018-06-11,69.96,70.99,69.52,70.49,6237300
2018-06-12,70.07,70.32,69.13,69.43,8329000
2018-06-13,69.35,69.93,68.67,69.62,6741100
2018-06-14,69.99,70.02,67.84,68.13,5694600
2018-06-15,67.45,67.80,65.21,65.36,15982700
2018-06-18,65.57,67.76,65.39,66.60,7680100
2018-06-19,65.72,67.04,65.43,66.26,5211500
2018-06-20,67.16,67.63,66.79,67.47,6323400
2018-06-21,66.86,66.96,64.79,65.11,7439700
2018-06-22,67.47,68.41,67.25,67.78,10945200
2018-06-25,67.79,68.13,65.37,66.14,5274300
2018-06-26,66.41,67.64,66.17,67.34,4956700
2018-06-27,68.23,69.52,68.09,68.74,7625000
2018-06-28,69.30,69.50,67.94,68.41,3958100
2018-06-29,68.94,70.63,68.71,69.62,7132000
2018-07-02,68.91,69.33,68.20,68.59,4952800
2018-07-03,69.36,71.44,69.36,69.56,5338400
2018-07-05,70.05,70.57,68.64,68.93,5719800
2018-07-06,68.69,69.81,68.47,69.65,4429600
2018-07-09,70.15,71.00,69.88,71.00,5271400
2018-07-10,71.49,72.00,71.36,71.74,5246400
2018-07-11,70.92,71.76,69.43,70.05,5636400
2018-07-12,70.86,71.70,70.41,71.45,6386700
2018-07-13,71.37,72.57,71.35,72.00,6313300
2018-07-16,70.88,71.59,69.54,70.58,6216200
2018-07-17,70.22,70.69,69.10,70.28,5724000
2018-07-18,69.48,70.50,68.81,70.35,5667700
2018-07-20,69.75,70.14,69.69,70.01,5617200
2018-07-23,70.50,70.62,69.89,69.98,7936900
2018-07-24,70.70,71.55,70.37,70.85,4709100
2018-07-25,70.92,71.60,70.49,71.51,5148300
2018-07-26,71.22,71.94,70.61,71.80,7360100
2018-07-27,71.48,72.27,71.19,71.45,5587200
2018-07-30,72.30,72.94,72.14,72.27,4934100
2018-07-31,72.54,72.78,71.88,72.17,5422200
2018-08-01,71.52,72.05,70.91,71.81,5313200
2018-08-02,71.36,71.68,70.98,71.56,4669400
2018-08-03,71.25,71.48,70.61,71.29,4028500
2018-08-06,71.44,72.15,71.07,71.73,7177600
2018-08-07,72.55,73.76,72.39,72.90,5631400
2018-08-08,72.23,72.54,70.73,71.39,5784400
2018-08-09,72.20,72.64,71.52,71.75,5941600
2018-08-10,71.60,72.03,71.24,71.94,4855500
2018-08-13,71.91,72.52,71.01,71.07,4175100
2018-08-14,71.93,72.69,71.71,72.15,5223300
2018-08-15,71.28,71.37,67.71,67.82,7944500
2018-08-16,68.27,69.66,68.22,69.41,5453000
2018-08-17,69.87,70.11,69.32,69.77,4435200
2018-08-20,69.68,71.07,69.68,70.52,4659000
2018-08-21,71.04,71.56,70.79,70.89,3717600
2018-08-22,71.46,72.51,71.38,72.00,5019300
2018-08-23,71.55,72.11,71.22,72.05,3995500
2018-08-24,72.74,73.56,72.34,72.61,4934000
2018-08-27,72.61,73.18,72.61,72.84,3389300
2018-08-28,72.84,73.09,71.92,72.05,4072200
2018-08-29,72.77,73.74,72.48,73.54,4887000
2018-08-30,73.68,74.43,73.26,73.56,5141200
2018-08-31,73.08,73.54,72.97,73.43,4152300
2018-09-04,73.93,74.14,72.83,73.11,3447600
2018-09-05,72.84,73.11,72.04,73.00,5080200
2018-09-06,72.17,72.47,70.51,70.54,5443700
2018-09-07,69.93,70.62,69.42,70.22,4370600
2018-09-10,70.56,71.65,70.52,71.15,5188600
2018-09-11,70.99,72.08,70.60,71.47,4172200
2018-09-12,72.15,72.53,71.69,71.97,6137200
2018-09-13,71.99,72.58,71.12,72.55,4038600
2018-09-14,72.41,73.93,72.41,73.50,4618500
2018-09-17,73.71,74.90,73.62,74.24,6010100
2018-09-18,74.75,75.73,74.63,75.04,5989500
2018-09-19,75.00,75.86,74.65,75.53,3952800
2018-09-20,75.10,76.15,74.81,75.36,5220300
2018-09-21,75.77,76.66,75.36,76.28,15114300
2018-09-24,77.00,77.90,76.79,77.06,6377300
2018-09-25,77.95,78.61,77.64,78.11,6145100
2018-09-26,77.74,78.39,77.20,77.28,6148000
2018-09-27,77.72,77.99,77.31,77.52,4367000
2018-09-28,77.32,78.68,77.32,77.40,6190100
2018-10-01,77.77,80.24,77.74,79.89,6407200
2018-10-02,79.29,79.47,78.22,78.28,4534600
2018-10-03,78.63,78.91,77.89,78.57,6825500
2018-10-04,78.41,78.88,77.59,78.28,4457100
2018-10-05,78.00,78.57,77.59,78.39,6535600
2018-10-08,77.73,78.77,77.27,78.28,4034400
2018-10-09,78.59,79.96,78.14,79.40,4869600
2018-10-10,79.57,79.65,75.01,75.09,8332100
2018-10-12,73.72,74.25,72.59,73.83,6296100
2018-10-15,73.83,74.19,73.01,73.27,6125000
2018-10-16,73.76,74.18,73.23,73.80,5726200
2018-10-17,74.07,74.07,72.22,72.48,7302700
2018-10-18,71.62,73.18,71.51,72.59,7800900
2018-10-19,72.67,73.90,72.26,72.49,5658000
2018-10-22,72.61,72.77,71.26,72.05,5385700
2018-10-23,70.54,70.59,68.21,69.22,7502000
2018-10-24,69.70,70.02,65.00,65.69,9260000
2018-10-25,67.88,68.69,66.54,68.02,8727300
2018-10-26,66.96,69.07,66.67,68.48,8193800
2018-10-29,69.18,69.71,66.22,67.35,6853100
2018-10-30,67.18,69.71,66.86,69.52,6506900
2018-10-31,70.39,71.82,69.75,69.90,6591400
2018-11-01,70.20,70.95,68.49,69.58,7826500
2018-11-02,69.69,70.25,67.38,67.84,5725200
2018-11-05,68.69,69.50,68.25,69.03,4955500
2018-11-06,69.35,69.57,68.25,69.50,6150200
2018-11-07,70.74,71.26,69.25,70.03,6585500
2018-11-08,69.76,70.31,66.67,66.91,9826900
2018-11-09,65.73,67.21,64.79,66.73,9190700
2018-11-12,67.59,68.07,65.14,65.14,6766600
2018-11-13,64.78,65.58,62.60,63.72,11213800
2018-11-14,64.82,66.01,63.52,64.12,9708500
2018-11-15,63.58,65.29,63.25,65.21,7782600
2018-11-16,65.59,66.44,65.38,66.12,7993600
2018-11-19,65.37,66.73,65.03,66.44,7793900
2018-11-20,65.56,65.56,63.22,63.99,7453900
2018-11-21,64.41,66.15,64.22,65.48,6392600
2018-11-23,62.88,63.93,62.41,63.80,5361000
2018-11-26,64.70,65.60,64.53,64.70,6355100
2018-11-27,64.73,65.60,64.15,65.28,6116400
2018-11-28,65.11,66.63,65.09,66.35,5602100
2018-11-29,66.46,67.51,66.21,66.87,4606000
2018-11-30,66.03,66.94,65.43,66.18,7175400
2018-12-03,68.10,69.26,67.56,69.11,7497100
2018-12-04,69.43,69.72,66.79,66.92,7532200
2018-12-06,64.92,66.61,64.31,66.61,8412000
2018-12-07,68.24,69.12,65.81,65.91,8095500
2018-12-10,65.09,65.79,63.30,65.20,8750900
2018-12-11,66.14,66.75,64.73,65.44,5569200
2018-12-12,66.05,67.06,65.22,65.27,5544900
2018-12-13,65.12,67.08,64.89,66.13,6417200
2018-12-14,66.12,66.29,64.31,64.55,6445900
2018-12-17,64.57,64.84,62.69,63.12,7018300
2018-12-18,63.03,63.62,61.47,61.91,6806200
2018-12-19,62.56,63.76,60.82,61.28,7699800
2018-12-20,60.27,61.72,59.67,60.00,8372900
2018-12-21,59.21,60.97,58.81,59.80,15043600
2018-12-24,58.83,59.68,57.01,57.01,3842800
2018-12-26,57.68,61.53,56.75,61.50,7263900
2018-12-27,60.63,62.24,59.45,62.23,6131000
2018-12-28,62.75,62.87,61.15,61.67,5053700
2018-12-31,62.13,62.73,61.69,62.35,5290800
2019-01-02,60.69,63.85,60.43,63.38,5735400
2019-01-03,63.54,63.71,61.66,62.18,4470200
2019-01-04,63.08,63.91,62.66,63.75,7700100
2019-01-07,63.91,64.27,62.69,63.47,6272200
2019-01-08,64.21,64.58,63.46,64.32,5774900
2019-01-09,65.07,66.75,64.60,66.45,8350300
2019-01-10,65.87,68.01,65.43,67.94,8811100
2019-01-11,67.28,67.34,65.79,66.39,6018300
2019-01-14,65.62,66.32,65.33,65.61,4972000
2019-01-15,66.04,66.78,65.76,66.03,4504100
2019-01-16,65.74,66.27,65.49,65.66,5402300
2019-01-17,65.06,67.17,65.01,67.06,5997400
2019-01-18,67.64,68.31,67.17,67.90,6073800
2019-01-22,67.00,67.24,65.58,65.75,6915500
2019-01-23,66.22,66.46,65.15,65.86,5938700
2019-01-24,65.97,66.73,65.45,66.12,5789900
2019-01-25,66.65,67.61,66.52,66.99,4504500
2019-01-28,65.87,65.87,64.88,65.35,5942800
2019-01-29,66.21,66.29,65.25,65.30,5308800
2019-01-30,65.80,66.10,65.11,65.69,8087400
