Date,Open,High,Low,Close,Volume
2018-06-06,188.42,191.00,188.00,189.64,993066
2018-06-07,190.50,190.94,188.72,189.35,554886
2018-06-08,189.89,190.22,189.09,189.19,260853
2018-06-12,190.06,191.84,189.55,191.18,780993
2018-06-13,191.01,191.53,188.24,189.26,510391
2018-06-14,190.24,190.49,186.79,186.79,642502
2018-06-15,188.69,188.86,184.52,184.52,1775266
2018-06-18,185.66,187.85,185.60,186.59,632710
2018-06-19,189.30,193.04,189.00,191.65,1058500
2018-06-20,194.53,195.00,191.75,193.81,828455
2018-06-21,197.00,199.88,194.77,198.50,1680826
2018-06-22,198.00,198.78,196.26,198.47,828494
2018-06-25,198.45,198.85,196.25,197.84,585564
2018-06-26,196.62,196.95,195.59,196.49,814090
2018-06-27,195.70,196.09,194.12,195.00,745779
2018-06-28,193.55,195.08,193.54,194.84,839572
2018-06-29,197.00,197.00,191.64,192.62,2875170
2018-07-02,193.53,196.27,193.53,194.46,562485
2018-07-03,195.39,198.29,194.55,197.83,646271
2018-07-04,198.74,199.00,196.27,197.01,795838
2018-07-05,197.99,198.44,196.24,198.09,598806
2018-07-06,198.65,198.65,195.63,198.22,681947
2018-07-09,198.25,198.89,196.35,197.30,507312
2018-07-10,197.96,197.98,195.60,195.86,571265
2018-07-11,195.26,196.16,194.27,195.59,782665
2018-07-12,196.92,201.48,196.70,200.60,1005625
2018-07-13,202.00,204.67,200.96,204.56,748087
2018-07-16,203.05,204.50,198.41,198.64,721613
2018-07-17,197.07,198.89,195.54,197.12,544371
2018-07-18,197.89,200.57,197.89,199.61,978861
2018-07-19,200.56,202.00,200.56,200.83,518966
2018-07-20,200.85,204.18,200.21,203.20,487541
2018-07-23,203.00,203.66,200.76,200.83,420090
2018-07-24,201.74,203.70,201.14,202.45,494235
2018-07-25,201.02,202.00,198.50,199.07,747540
2018-07-26,198.40,199.00,197.04,198.13,864345
2018-07-27,198.40,200.31,198.11,199.34,2975050
2018-07-30,199.30,199.42,196.60,197.56,399348
2018-07-31,198.28,198.80,196.16,196.61,643829
2018-08-01,199.50,199.50,197.18,197.77,642640
2018-08-02,196.29,198.26,196.09,196.63,983422
2018-08-03,198.00,199.61,197.06,198.51,683988
2018-08-06,199.52,200.08,198.00,199.49,465401
2018-08-07,199.09,201.94,199.00,201.57,663924
2018-08-08,203.09,203.24,200.43,201.60,626532
2018-08-09,202.69,203.60,200.11,200.61,678690
2018-08-10,201.30,203.45,200.78,202.63,611720
2018-08-13,201.95,202.86,201.37,202.30,633427
2018-08-14,202.62,202.68,200.50,201.69,900389
2018-08-15,202.00,214.68,200.85,214.58,1331150
2018-08-16,211.01,216.97,210.02,216.67,1497981
2018-08-17,216.79,217.74,215.01,215.85,990373
2018-08-20,213.69,218.87,213.69,218.50,884376
2018-08-21,218.50,219.10,216.00,219.05,640825
2018-08-22,218.00,218.12,216.69,216.90,778934
2018-08-23,217.00,218.96,216.50,218.10,724526
2018-08-24,218.49,226.96,217.00,224.43,927385
2018-08-27,222.32,225.60,222.12,224.80,521449
2018-08-28,226.00,227.40,224.78,224.78,607332
2018-08-29,222.47,224.78,222.22,223.35,1390027
2018-08-30,224.28,226.96,223.70,226.30,707921
2018-08-31,228.25,229.96,227.00,227.31,2204827
2018-09-03,230.00,232.69,228.27,229.43,516215
2018-09-04,232.23,232.23,228.03,230.28,559403
2018-09-05,229.08,230.28,227.32,227.44,860952
2018-09-06,226.06,227.50,217.07,217.16,1469842
2018-09-07,213.65,215.00,209.12,210.65,1254374
2018-09-11,212.75,212.80,208.60,210.63,1125051
2018-09-12,211.87,213.66,211.18,211.95,742287
2018-09-13,210.61,211.00,205.81,206.34,635334
2018-09-14,210.00,211.28,208.45,210.62,1458145
2018-09-17,208.10,209.00,207.37,208.23,758029
2018-09-18,206.91,207.75,204.60,205.29,754267
2018-09-19,203.68,204.00,201.51,202.49,1011224
2018-09-20,200.02,208.46,200.01,206.88,1296172
2018-09-21,209.00,209.52,206.63,207.12,1062530
2018-09-24,206.17,206.52,203.13,204.32,660188
2018-09-25,204.80,206.07,203.80,204.91,490847
2018-09-26,203.74,204.00,201.80,202.99,943981
2018-09-27,202.90,203.99,201.76,202.02,1191112
2018-09-28,202.12,205.07,201.11,201.11,1986505
2018-10-01,200.00,203.82,200.00,203.31,410790
2018-10-02,202.07,203.20,198.41,199.33,1088514
2018-10-03,199.28,199.86,197.40,198.52,479031
2018-10-04,198.99,200.86,198.25,199.61,753283
2018-10-05,199.60,200.80,198.72,200.02,792903
2018-10-08,200.00,202.37,197.00,197.12,475874
2018-10-09,196.32,196.90,187.20,188.21,1511606
2018-10-10,188.37,193.66,188.15,191.80,1077113
2018-10-11,189.00,189.26,183.02,185.50,1217274
2018-10-12,183.99,189.77,183.72,188.89,1288989
2018-10-15,188.51,193.19,186.65,188.92,818246
2018-10-16,189.56,190.28,185.50,188.36,963312
2018-10-17,194.86,195.67,191.13,193.00,673598
2018-10-18,191.42,193.28,188.49,188.81,832680
2018-10-19,186.93,188.06,184.20,188.06,936773
2018-10-22,186.85,188.39,184.66,184.73,762431
2018-10-23,181.30,182.49,180.80,181.15,1097380
2018-10-24,179.60,183.75,179.59,182.10,904976
2018-10-25,179.07,179.97,174.69,174.69,1702359
2018-10-26,176.50,177.85,175.36,176.90,2980024
2018-10-29,179.86,185.38,178.54,183.40,832894
2018-10-30,182.82,187.49,180.29,187.44,828716
2018-10-31,188.00,189.00,183.68,188.00,1036377
2018-11-01,190.02,190.44,186.48,188.28,1192262
2018-11-02,191.23,193.69,190.26,192.18,1033094
2018-11-05,191.97,192.04,187.25,187.52,716284
2018-11-06,188.05,189.94,185.02,187.01,585584
2018-11-07,187.91,188.58,185.36,188.32,526540
2018-11-08,191.32,192.63,190.14,191.10,1523048
2018-11-09,194.45,194.50,188.26,190.58,571424
2018-11-12,191.75,192.87,189.15,192.87,560681
2018-11-13,190.02,190.48,186.91,187.89,830080
2018-11-14,187.74,188.77,183.60,183.60,904857
2018-11-15,185.00,186.82,182.02,184.26,764300
2018-11-16,185.60,186.49,182.02,183.67,520968
2018-11-19,183.41,184.70,181.50,182.30,680584
2018-11-20,181.13,181.50,175.00,175.75,2699047
2018-11-21,173.18,179.94,173.00,178.77,1040495
2018-11-22,181.52,185.59,181.27,184.81,802933
2018-11-23,182.83,184.77,181.53,182.32,596794
2018-11-26,180.89,182.44,179.28,179.70,770072
2018-11-27,180.24,182.46,178.70,179.50,876714
2018-11-28,182.00,182.91,179.25,179.78,628921
2018-11-29,181.00,182.30,179.45,180.80,1314797
2018-11-30,182.48,182.50,177.40,177.40,3262259
2018-12-03,182.50,184.24,181.23,183.49,885103
2018-12-04,180.73,184.32,180.29,181.78,677070
2018-12-05,176.33,180.12,174.83,179.75,838025
2018-12-06,178.29,179.46,176.30,179.24,786398
2018-12-07,180.07,185.21,180.07,183.90,708529
2018-12-10,182.27,182.68,175.94,176.64,871144
2018-12-11,178.96,180.50,177.07,180.38,594185
2018-12-12,182.94,184.75,181.15,182.70,817762
2018-12-13,182.00,182.50,180.52,181.65,589630
2018-12-14,181.32,181.44,178.33,180.15,848193
2018-12-17,180.86,184.30,179.41,183.74,671093
2018-12-18,183.44,183.47,181.07,181.37,829176
2018-12-19,179.90,180.85,178.01,178.15,968640
2018-12-20,176.05,178.88,175.38,175.65,1714916
2018-12-21,176.75,177.73,173.33,177.73,3511997
2018-12-24,175.35,178.26,174.43,178.26,337193
2018-12-27,181.12,184.29,180.36,184.29,758966
2018-12-28,185.00,186.93,183.54,186.49,673459
2018-12-31,188.00,188.50,185.16,185.16,411394
2019-01-02,185.17,187.21,184.51,185.38,487741
2019-01-03,186.05,190.75,185.01,189.45,763953
2019-01-04,189.00,189.20,185.01,188.53,827295
2019-01-07,191.43,191.66,186.87,187.50,562508
2019-01-08,187.49,191.39,187.18,189.92,705145
2019-01-09,192.31,195.36,190.33,195.10,860068
2019-01-10,196.14,196.47,193.55,196.47,689344
2019-01-11,196.79,198.19,195.02,195.20,663281
2019-01-14,195.50,195.85,192.43,194.38,393719
2019-01-15,194.00,198.40,193.80,197.91,785888
2019-01-16,197.97,198.00,195.55,197.29,535004
2019-01-17,197.74,197.74,195.02,196.38,545624
2019-01-18,196.65,198.10,196.02,196.19,600382
2019-01-21,197.25,197.64,195.31,195.78,360226
2019-01-22,195.78,196.44,195.02,195.70,367095
2019-01-23,195.89,198.83,194.72,197.50,548113
2019-01-24,198.00,198.86,197.42,198.86,688156
2019-01-25,197.80,199.83,196.25,199.16,2297288
2019-01-29,197.21,198.96,194.14,194.49,727156
2019-01-30,197.00,197.30,194.00,194.73,528245
2019-01-31,195.95,197.00,194.72,194.72,1374138
2019-02-01,195.03,195.39,194.03,194.44,530544
2019-02-04,194.72,194.87,193.31,193.77,525575
2019-02-05,193.60,195.20,192.32,193.03,726705
2019-02-06,192.00,192.39,188.82,188.82,1006059
2019-02-07,190.85,193.97,188.83,192.60,1192944
2019-02-08,194.50,195.28,191.62,194.53,1001702
2019-02-11,193.53,194.68,190.58,191.29,786406
2019-02-12,190.55,195.20,190.55,193.69,790376
2019-02-13,196.60,196.80,184.50,186.09,1948731
2019-02-14,186.59,189.30,185.00,187.29,1119150
2019-02-15,187.35,188.00,185.00,185.00,1103855
2019-02-18,187.78,188.20,186.05,187.04,718124
2019-02-19,186.10,187.14,184.00,184.00,833635
2019-02-20,186.74,186.74,184.03,185.35,965868
2019-02-21,187.84,187.84,184.27,185.50,1588777
2019-02-22,187.00,187.25,185.45,186.50,2049987
2019-02-25,188.35,189.86,187.32,189.09,871513
2019-02-26,189.50,189.98,186.51,187.25,633149
2019-02-27,189.00,189.25,187.12,187.94,560871
2019-02-28,188.03,193.76,187.53,193.76,1170704
2019-03-01,194.45,197.06,194.00,195.66,1239607
2019-03-04,197.00,199.75,196.90,198.91,985754
2019-03-05,199.20,199.20,196.55,197.99,986854
2019-03-06,197.99,199.26,197.50,198.13,1032858
2019-03-07,198.46,199.70,197.33,199.52,901782
2019-03-08,199.72,200.37,198.16,199.41,736240
2019-03-11,200.64,200.64,198.20,198.88,543260
2019-03-13,196.53,196.87,194.15,196.34,1010058
2019-03-14,196.57,196.82,194.46,196.19,587963
2019-03-15,198.01,198.30,195.60,195.93,1254783
2019-03-18,195.95,197.05,195.26,196.80,380075
2019-03-19,195.51,196.00,192.71,193.58,1132033
2019-03-20,193.04,195.25,191.00,194.44,705987
2019-03-21,193.45,194.86,192.60,194.23,1232878
2019-03-22,195.89,199.70,195.42,197.19,649090
2019-03-25,195.00,196.45,194.57,195.30,707199
2019-03-26,195.80,195.98,193.35,194.24,771184
2019-03-27,192.50,194.44,191.35,192.33,905777
2019-03-28,191.26,193.60,190.41,193.60,723096
2019-03-29,195.00,196.14,194.26,194.94,2369351
2019-04-01,197.65,197.86,196.17,197.58,797313
2019-04-02,199.69,200.86,199.17,200.21,916731
2019-04-03,202.00,203.76,200.74,202.36,769732
2019-04-04,203.19,203.19,198.67,199.25,655251
2019-04-05,199.95,199.95,195.57,196.88,861804
2019-04-08,198.78,200.65,198.13,200.54,748014
2019-04-09,201.80,202.43,200.42,201.60,718250
2019-04-10,202.03,202.49,200.56,201.47,550097
2019-04-11,200.00,200.40,198.53,199.00,963969
2019-04-12,198.85,199.72,196.70,197.86,1036173
2019-04-15,197.50,198.20,194.54,195.54,674856
2019-04-16,195.00,197.43,194.50,196.70,595675
2019-04-17,195.63,196.50,192.08,193.03,863214
2019-04-18,192.00,192.07,189.14,190.51,875567
2019-04-23,190.00,190.85,189.41,190.37,1063590
2019-04-24,194.77,196.38,193.62,195.00,2220633
2019-04-26,195.03,197.59,192.72,196.98,920858
2019-04-29,197.01,198.55,196.00,198.14,574969
2019-04-30,198.00,199.16,196.98,198.57,673024
2019-05-01,198.50,200.88,198.30,200.39,525810
2019-05-02,201.00,202.47,200.50,201.25,490315
2019-05-03,202.00,204.28,199.78,199.87,728010
2019-05-06,196.95,199.24,196.87,198.90,396344
2019-05-07,199.90,201.34,198.36,198.59,500958
2019-05-08,196.55,197.80,196.30,197.25,573177
2019-05-09,195.80,197.95,195.74,197.16,755729
2019-05-10,197.08,197.84,195.15,197.25,814019
2019-05-13,198.30,200.05,197.51,200.05,517843
2019-05-14,197.19,198.75,196.60,197.79,641080
2019-05-15,197.39,201.07,197.00,200.84,924098
2019-05-16,201.93,202.98,199.83,202.98,920961
2019-05-17,205.00,207.00,204.93,206.51,724490
2019-05-20,206.95,207.25,204.33,206.37,563326
2019-05-21,204.95,207.29,204.33,206.24,689299
2019-05-22,205.74,206.91,204.00,206.68,542870
2019-05-23,206.52,208.25,205.12,206.20,462549
2019-05-24,206.40,207.71,205.21,206.42,519336
2019-05-27,205.00,207.21,204.98,206.65,344930
2019-05-28,207.38,208.18,205.21,207.28,1026730
2019-05-29,204.10,205.61,203.78,204.50,724460
2019-05-30,203.00,203.57,201.45,203.57,795538
2019-05-31,202.04,205.53,202.04,205.49,1912890
2019-06-03,205.27,205.68,202.80,204.63,740942
2019-06-04,206.68,206.96,202.70,203.07,838401
2019-06-05,204.00,205.00,201.07,201.33,689565
2019-06-06,201.37,202.99,201.37,202.31,140454
