Date,Open,High,Low,Close,Volume
2018-06-06,17.52,17.59,17.40,17.59,11748200
2018-06-07,17.54,17.82,17.51,17.62,7029600
2018-06-08,17.53,17.65,17.29,17.65,9326500
2018-06-11,17.73,17.92,17.54,17.85,11621000
2018-06-12,17.95,18.07,17.77,17.95,7700100
2018-06-13,17.88,17.95,17.54,17.54,7195900
2018-06-14,17.68,18.07,17.68,18.01,9035800
2018-06-15,18.06,18.11,17.94,18.02,13092500
2018-06-18,18.03,18.30,17.97,18.13,8453500
2018-06-19,18.00,18.56,18.00,18.44,8624300
2018-06-20,18.44,18.61,18.11,18.57,10032300
2018-06-21,18.59,18.66,18.41,18.45,5089200
2018-06-22,18.58,18.83,18.55,18.62,8211800
2018-06-25,18.60,18.94,18.40,18.78,8945100
2018-06-26,18.96,19.02,18.62,18.75,7399700
2018-06-27,18.78,18.99,18.64,18.65,5149000
2018-06-28,18.72,18.78,18.47,18.70,6459900
2018-06-29,18.76,18.91,18.61,18.64,5038700
2018-07-02,18.60,18.66,18.26,18.53,4865300
2018-07-03,18.66,19.22,18.60,19.10,4992700
2018-07-05,19.20,19.38,18.99,19.38,7062300
2018-07-06,19.38,19.72,19.21,19.66,5638900
2018-07-09,19.67,19.96,19.65,19.89,8069400
2018-07-10,19.88,20.15,19.82,20.11,8522900
2018-07-11,19.90,20.11,19.77,19.80,5711400
2018-07-12,19.91,20.08,19.75,20.00,5998200
2018-07-13,19.95,20.06,19.72,19.88,5127900
2018-07-16,19.83,19.84,19.48,19.61,7521700
2018-07-17,19.61,19.80,19.55,19.63,4872100
2018-07-18,19.68,19.72,19.47,19.51,4639700
2018-07-19,19.47,19.50,19.18,19.23,7148700
2018-07-20,19.20,19.20,18.73,18.76,6624500
2018-07-23,18.79,18.93,18.43,18.82,5729900
2018-07-24,18.95,18.95,18.61,18.71,5873100
2018-07-25,18.61,18.67,18.06,18.26,9603100
2018-07-26,18.38,18.67,18.26,18.39,8837200
2018-07-27,18.53,18.69,18.26,18.37,5326200
2018-07-30,18.45,18.69,18.39,18.64,7602500
2018-07-31,18.70,18.98,18.57,18.77,7787900
2018-08-01,18.77,19.02,18.57,18.57,6646500
2018-08-02,18.50,18.87,18.35,18.73,5238600
2018-08-03,18.79,19.07,18.76,18.83,4480100
2018-08-06,18.81,18.89,18.64,18.70,6680000
2018-08-07,18.75,18.79,18.56,18.64,10154800
2018-08-08,18.65,18.75,18.40,18.54,8297700
2018-08-09,19.46,21.12,19.43,20.97,32298700
2018-08-10,20.82,21.62,20.81,21.38,16412500
2018-08-13,21.47,22.04,21.38,21.88,15205300
2018-08-14,21.92,22.55,21.92,22.36,12375200
2018-08-15,22.46,22.83,22.08,22.47,12892800
2018-08-16,22.69,23.40,22.66,23.33,15473500
2018-08-17,23.19,23.78,23.12,23.48,10552400
2018-08-20,23.58,23.90,23.43,23.86,10892700
2018-08-21,23.88,24.20,23.74,23.98,12579200
2018-08-22,23.20,23.25,22.34,22.42,20488000
2018-08-23,22.48,23.00,22.40,22.81,10916400
2018-08-24,22.86,23.01,22.74,22.75,10612900
2018-08-27,22.80,23.01,22.71,22.87,10006800
2018-08-28,22.89,23.00,22.46,22.50,12972800
2018-08-30,21.83,21.89,21.35,21.68,13840800
2018-08-31,21.68,21.80,21.23,21.36,9931600
2018-09-04,21.36,21.58,21.06,21.50,11681600
2018-09-05,21.47,21.73,21.42,21.65,8412300
2018-09-06,21.78,22.06,21.71,22.00,11782600
2018-09-07,21.92,22.43,21.81,21.94,6504000
2018-09-10,22.09,22.11,21.71,21.81,6630400
2018-09-11,21.88,22.74,21.83,22.51,11009900
2018-09-12,22.51,23.04,22.43,22.94,8143800
2018-09-13,23.00,23.00,22.57,22.65,6716600
2018-09-14,22.75,22.81,22.24,22.74,7708000
2018-09-17,22.79,23.10,22.68,22.78,6583600
2018-09-18,22.78,23.23,22.76,23.16,7281600
2018-09-19,23.18,23.23,22.71,22.74,8144600
2018-09-20,22.78,22.81,22.20,22.57,11568300
2018-09-21,22.61,23.06,22.53,22.94,26348200
2018-09-24,22.94,23.13,22.69,22.90,6931100
