Date,Open,High,Low,Close,Volume
2018-05-30,122.65,125.67,122.34,125.16,7125300
2018-05-31,124.08,124.82,123.46,124.30,7460700
2018-06-01,125.49,125.55,123.43,123.85,5749900
2018-06-04,124.53,125.41,122.17,122.26,5760500
2018-06-05,122.01,123.71,121.55,122.73,5672600
2018-06-06,123.12,123.69,122.06,123.38,6213400
2018-06-07,124.54,127.98,124.41,126.96,8607200
2018-06-08,127.12,127.38,125.68,126.44,5108800
2018-06-11,126.77,128.19,125.86,127.56,6085100
2018-06-12,127.64,128.38,126.33,127.08,4543000
2018-06-13,126.81,127.82,126.09,127.07,6317900
2018-06-14,127.38,127.96,126.38,126.51,5056800
2018-06-15,127.10,127.12,123.84,124.04,13223800
2018-06-18,124.35,126.98,124.10,125.97,7696800
2018-06-19,124.32,125.89,123.88,125.54,5947800
2018-06-20,126.12,126.46,124.30,125.29,7980700
2018-06-21,124.50,124.59,122.16,122.59,7290800
2018-06-22,125.41,126.57,124.82,125.10,8535200
2018-06-25,124.43,124.64,121.93,122.61,5801900
2018-06-26,123.03,124.61,122.57,124.16,4592800
2018-06-27,125.15,127.42,125.06,126.00,6339500
2018-06-28,126.54,126.86,125.00,125.66,3814800
2018-06-29,125.74,127.73,125.74,126.43,5669700
2018-07-02,125.28,125.29,123.56,124.25,5073500
2018-07-03,125.46,126.69,124.55,124.73,3919600
2018-07-05,126.11,126.25,123.82,123.98,5926900
2018-07-06,123.52,124.52,123.19,124.14,4020000
2018-07-09,125.00,126.28,124.69,125.99,4602200
2018-07-10,127.33,128.51,126.75,127.59,5092100
2018-07-11,126.23,126.68,122.97,123.52,6631800
2018-07-12,124.44,124.95,123.59,124.26,3745200
2018-07-13,124.20,124.88,123.63,124.04,3352800
2018-07-16,123.01,123.88,121.88,122.98,4317800
2018-07-17,122.36,122.96,121.80,121.91,4135200
2018-07-18,121.24,121.67,119.67,121.53,6061300
2018-07-19,121.10,122.14,121.01,121.67,4471400
2018-07-20,121.25,122.35,121.01,122.27,5394700
2018-07-23,122.35,123.07,121.16,121.33,5359400
2018-07-24,121.87,124.16,121.86,123.85,4423500
2018-07-25,123.62,125.23,123.27,124.90,4278800
2018-07-26,124.70,125.38,123.80,123.95,5544100
2018-07-27,122.79,127.04,122.08,125.97,7580900
2018-07-30,126.76,128.41,126.22,127.83,5729300
2018-07-31,128.00,128.55,126.13,126.27,5894400
2018-08-01,125.31,125.92,124.75,125.39,4661000
2018-08-02,124.44,124.81,123.30,123.76,4639600
2018-08-03,124.15,124.25,123.33,124.05,5299400
2018-08-06,124.42,124.94,123.54,124.30,4455900
2018-08-07,125.54,125.70,124.75,125.18,4542000
2018-08-08,124.52,124.79,123.32,123.88,5957200
2018-08-09,123.96,124.37,122.26,122.53,5217100
2018-08-10,122.17,123.52,121.50,123.34,6128000
2018-08-13,123.31,123.68,122.26,122.44,4360000
2018-08-14,122.92,123.65,122.00,122.58,3622200
2018-08-16,117.70,118.31,117.18,117.66,5455200
2018-08-17,118.15,118.58,117.09,117.80,6112900
2018-08-20,118.00,118.32,117.33,117.75,5403600
2018-08-21,118.38,118.93,117.79,117.94,4875800
2018-08-22,118.54,119.46,118.42,118.92,3636900
2018-08-23,118.39,118.82,117.70,118.10,3962500
2018-08-24,118.90,119.54,118.72,119.01,4415400
2018-08-27,119.36,120.48,119.17,120.35,3901900
2018-08-28,120.60,121.34,119.75,119.86,4685700
2018-08-29,120.00,120.83,119.88,120.22,4101700
2018-08-30,120.08,120.43,119.55,119.81,3353000
2018-08-31,119.40,119.40,118.09,118.46,5287000
2018-09-04,118.93,119.63,118.35,118.87,4590900
2018-09-05,118.06,118.94,117.26,118.92,4619400
2018-09-06,117.89,118.51,115.14,115.23,8191100
2018-09-07,114.52,115.35,113.39,114.60,6637800
2018-09-10,115.43,115.72,114.38,114.48,5870900
2018-09-11,114.34,115.74,113.76,115.02,5605300
2018-09-12,116.42,117.49,115.76,115.79,5067800
2018-09-13,116.01,116.52,115.08,116.30,6297700
2018-09-14,116.43,117.61,116.35,117.38,4947800
2018-09-17,117.61,118.68,117.28,117.51,5560200
2018-09-18,118.50,118.90,117.98,118.13,4966300
2018-09-19,118.33,120.04,118.12,119.51,4855300
2018-09-20,120.19,121.32,119.11,119.42,5846700
2018-09-21,119.91,121.26,119.41,121.13,13703600
2018-09-24,121.91,122.98,121.57,122.62,6534100
2018-09-25,123.50,124.24,122.94,123.37,5396400
2018-09-26,122.99,123.42,121.74,121.95,4231400
2018-09-27,122.16,123.00,121.71,122.47,4533400
2018-09-28,121.99,123.21,121.76,122.28,5202900
2018-10-01,123.11,124.88,123.11,124.39,5348200
2018-10-02,125.07,125.76,124.32,124.74,5445400
2018-10-03,125.13,125.84,124.78,125.31,4479500
2018-10-04,124.79,125.59,124.19,124.95,4824300
2018-10-05,124.93,125.90,124.74,125.33,4318000
2018-10-08,124.05,125.46,123.83,124.84,6267700
2018-10-09,125.51,127.44,125.07,126.82,6797900
2018-10-10,127.23,127.60,122.46,122.60,6504400
2018-10-11,122.43,122.43,117.54,118.43,8589900
2018-10-12,119.53,119.68,116.18,117.77,7450700
2018-10-15,117.70,118.86,116.91,116.94,6047300
2018-10-16,117.09,117.68,116.34,117.51,4846100
2018-10-17,117.21,117.69,116.02,117.29,6978700
2018-10-18,117.42,118.14,116.05,117.47,7391600
2018-10-19,117.37,119.26,117.37,118.14,7944400
2018-10-22,118.10,118.49,116.48,117.21,5644900
2018-10-23,115.72,115.72,112.05,113.40,8095300
2018-10-24,113.72,114.18,110.07,110.21,8035200
2018-10-25,111.36,113.40,110.43,111.58,5734000
2018-10-26,110.63,112.47,109.66,111.53,8035500
2018-10-29,112.04,112.07,107.54,108.93,8598300
2018-10-30,109.62,111.15,108.15,110.85,7523800
2018-10-31,111.71,112.50,111.05,111.65,7429800
2018-11-01,111.77,111.99,110.10,111.17,10572000
2018-11-02,114.85,117.11,113.12,114.73,9890400
2018-11-05,116.62,119.67,116.60,118.94,8758700
2018-11-06,118.76,119.43,117.85,118.90,5273200
2018-11-07,120.00,121.12,119.02,120.87,4848800
2018-11-08,120.65,121.87,118.96,119.36,9532400
2018-11-09,118.22,120.37,117.37,119.51,6565700
2018-11-12,120.90,121.37,117.17,117.39,10550800
2018-11-13,117.30,117.88,115.04,115.35,6846200
2018-11-15,113.66,117.08,112.72,116.95,7218100
2018-11-16,117.50,119.27,117.27,119.06,6706900
2018-11-19,118.14,119.48,117.90,119.42,5328300
2018-11-20,119.24,119.50,115.04,116.10,7983500
2018-11-21,116.68,119.19,116.68,117.57,5624400
2018-11-23,114.70,115.22,112.11,113.60,5577800
2018-11-26,114.60,115.44,114.02,114.98,6953000
2018-11-27,114.55,115.66,114.22,115.21,6339200
2018-11-28,114.98,118.28,114.40,118.14,6841700
2018-11-29,117.95,119.73,117.74,118.85,6656900
2018-11-30,118.05,119.21,117.70,118.94,6712500
2018-12-03,120.77,122.43,120.06,120.67,8237600
2018-12-04,120.60,121.09,117.07,117.24,8288100
2018-12-06,115.34,116.14,113.03,115.91,10715700
2018-12-07,117.59,119.70,115.19,115.49,9114400
2018-12-10,115.30,115.96,111.67,114.94,7674300
2018-12-11,116.26,116.62,113.95,115.47,5929400
2018-12-12,117.11,117.72,115.57,115.62,7891400
2018-12-13,115.15,116.32,114.31,115.94,7030500
2018-12-14,115.01,115.81,113.31,113.83,6195400
2018-12-17,113.44,114.97,111.86,112.45,7132400
2018-12-18,112.63,113.24,108.95,109.74,9658600
2018-12-19,109.91,111.99,107.10,107.83,10472400
2018-12-20,106.81,108.07,104.19,104.98,11612800
2018-12-21,103.62,106.94,102.91,104.21,19912800
2018-12-24,103.30,104.15,100.91,100.99,5619500
2018-12-26,101.85,107.39,100.22,107.39,10779400
2018-12-27,105.47,109.33,104.88,109.32,10655100
2018-12-28,109.65,110.36,108.12,108.65,6445400
2018-12-31,109.15,110.24,107.86,108.79,6309600
2019-01-02,107.34,111.68,107.10,110.69,6384800
2019-01-03,111.06,111.29,108.07,108.57,6363000
2019-01-04,110.28,110.99,109.47,110.82,7952500
2019-01-07,111.06,112.93,109.92,112.26,5712700
2019-01-08,113.40,113.79,111.67,111.77,5674900
2019-01-09,112.69,114.00,112.45,113.27,7097000
2019-01-10,112.51,113.63,111.71,113.45,6078300
2019-01-11,113.00,113.05,111.67,112.54,4491700
2019-01-14,111.34,112.34,111.08,111.72,6121700
2019-01-15,111.98,113.07,111.51,112.12,4226100
2019-01-16,111.43,112.32,111.22,111.40,5624100
2019-01-17,110.75,112.29,110.17,111.96,4442700
2019-01-18,113.99,114.65,113.06,114.37,9382000
2019-01-22,113.12,113.45,111.95,112.34,7242000
2019-01-23,112.38,112.67,110.42,111.39,6082300
2019-01-24,111.03,113.82,110.91,113.51,8470700
2019-01-25,114.06,114.78,112.99,113.22,6261800
2019-01-28,111.91,112.57,111.07,112.17,6886600
2019-01-29,113.03,113.35,111.77,111.83,5359900
2019-01-30,112.53,113.65,111.98,113.01,7941700
2019-01-31,113.80,115.41,113.38,114.65,11225600
2019-02-01,116.65,119.25,116.60,118.37,10934300
2019-02-04,117.50,119.75,116.31,119.74,7987900
2019-02-05,119.62,119.86,118.69,119.48,6887400
2019-02-06,119.00,119.59,118.69,118.88,4990400
2019-02-07,118.01,118.51,116.51,118.23,7281900
2019-02-08,117.74,117.89,115.92,117.58,5671000
2019-02-11,116.93,117.36,116.39,116.95,4859600
2019-02-12,118.33,118.87,117.61,118.72,5400700
2019-02-14,118.37,119.53,117.66,118.16,5406500
2019-02-15,119.62,119.86,118.59,119.35,6209800
2019-02-19,118.90,119.86,118.46,119.31,4277800
2019-02-20,119.31,120.72,119.00,120.28,5940600
2019-02-21,120.07,120.32,118.39,119.14,5139400
2019-02-22,120.28,120.46,118.85,119.39,4517600
2019-02-25,119.41,120.42,119.37,119.62,5196600
2019-02-26,119.81,120.97,119.68,119.94,5445600
2019-02-27,120.29,121.29,119.89,120.08,5289800
2019-02-28,120.00,120.16,118.49,119.58,6406500
2019-03-01,120.39,122.04,120.17,122.03,7743600
2019-03-04,122.67,122.84,120.55,122.12,7499500
2019-03-05,121.87,123.35,121.59,123.29,7345200
2019-03-06,123.17,124.70,122.30,123.53,7599900
2019-03-07,123.42,123.50,121.70,121.94,7199000
2019-03-08,120.10,121.93,119.20,121.62,7014100
2019-03-11,122.87,124.20,122.75,123.62,6088600
2019-03-12,123.84,124.96,123.38,123.90,6184300
2019-03-13,124.60,124.93,123.90,124.67,4707000
2019-03-14,124.76,125.46,124.48,124.60,5146400
2019-03-15,124.59,125.42,124.35,125.31,10449700
2019-03-18,125.21,126.13,125.17,125.88,5586900
2019-03-19,126.56,126.92,124.74,125.28,5096800
2019-03-20,125.04,126.34,124.68,124.69,6708500
2019-03-21,124.87,125.96,124.51,125.86,5050400
2019-03-22,124.85,124.90,122.70,123.09,5786800
2019-03-25,122.93,123.35,122.31,122.89,3837500
2019-03-26,123.77,124.91,123.38,124.13,4079800
2019-03-27,123.98,124.48,122.02,122.79,3727800
2019-03-28,122.60,123.16,122.36,123.02,4057700
2019-03-29,124.28,124.47,122.49,123.18,5318600
2019-04-01,123.87,125.27,123.45,124.94,5506300
2019-04-02,125.20,125.44,124.11,124.93,4362700
2019-04-03,125.22,125.35,123.54,123.89,3595400
2019-04-04,124.01,124.83,123.55,124.80,3715400
2019-04-05,125.25,126.64,125.20,126.42,5551400
2019-04-08,126.77,127.34,126.23,126.68,5483100
2019-04-09,126.29,126.29,125.12,125.54,4143400
2019-04-10,126.14,126.57,125.13,125.49,3970000
2019-04-11,125.34,126.26,124.75,125.99,3248300
2019-04-12,121.58,122.00,119.00,119.76,42693700
2019-04-15,120.02,121.02,119.33,120.14,13369100
2019-04-16,120.43,121.32,120.06,121.17,11942900
2019-04-17,122.20,122.54,120.05,120.27,11898100
2019-04-18,120.52,120.82,119.10,119.86,9546500
2019-04-22,120.78,122.01,120.45,121.90,7946200
2019-04-23,121.73,122.28,121.35,122.02,9079200
2019-04-24,121.35,121.43,118.09,118.28,22115000
2019-04-25,118.05,118.70,117.40,117.90,10636400
2019-04-26,118.40,118.50,115.65,117.10,11626700
2019-04-29,117.01,118.11,116.70,117.72,9404000
2019-04-30,121.10,121.92,119.65,120.06,21431500
2019-05-01,119.80,120.14,117.76,117.81,10097000
2019-05-02,117.28,118.48,116.28,116.38,9495600
2019-05-03,117.69,118.55,117.11,117.27,7364900
2019-05-06,117.50,119.84,117.47,118.40,11035000
2019-05-07,117.30,118.27,116.50,118.27,9165200
2019-05-08,118.37,118.48,117.40,117.50,6229000
2019-05-09,121.12,122.32,119.86,121.19,16496300
2019-05-10,121.17,122.27,119.83,121.99,8787900
2019-05-13,121.91,122.26,120.01,120.44,7701200
2019-05-14,120.67,122.25,120.51,121.64,6858500
2019-05-16,120.99,121.55,120.53,120.80,8543300
2019-05-17,120.06,121.11,119.88,120.52,6870900
2019-05-20,120.71,121.21,120.54,120.84,4569700
2019-05-21,121.03,121.94,120.90,121.34,4859400
2019-05-22,120.90,121.44,120.34,120.57,5763300
2019-05-23,118.81,118.87,116.86,117.87,11000200
2019-05-24,118.30,118.93,117.38,118.71,4890800
2019-05-28,118.88,119.32,118.17,118.31,8145100
2019-05-29,117.04,117.36,115.82,116.77,7451300
