Date,Open,High,Low,Close,Volume
2018-05-31,63.41,64.43,63.16,64.19,4432700
2018-06-01,64.12,64.36,63.06,63.36,3405200
2018-06-04,63.50,63.86,62.57,62.64,2799400
2018-06-05,62.60,62.96,62.38,62.77,3495900
2018-06-06,62.85,62.87,61.53,61.75,4396500
2018-06-07,61.79,63.19,61.76,62.39,4229800
2018-06-08,62.51,62.84,62.33,62.60,3168500
2018-06-11,62.80,63.47,62.67,63.21,5354800
2018-06-12,63.13,65.05,63.05,64.89,7543100
2018-06-13,64.81,65.15,64.07,64.31,5017300
2018-06-14,64.44,65.67,64.20,65.52,5608500
2018-06-15,65.41,66.37,65.01,66.31,9724700
2018-06-18,66.49,66.53,65.89,66.00,5133300
2018-06-19,66.04,66.98,66.00,66.94,6769100
2018-06-20,67.00,67.10,66.22,66.43,5238600
2018-06-21,66.42,67.01,66.33,66.60,3989900
2018-06-22,66.79,67.07,66.57,66.94,3356200
2018-06-25,67.08,67.98,67.06,67.88,3538700
2018-06-26,67.70,68.04,67.31,67.54,3700600
2018-06-27,67.44,68.22,67.23,68.03,2873700
2018-06-28,68.16,68.75,68.00,68.47,3679500
2018-06-29,68.39,68.51,67.72,68.18,3106700
2018-07-02,68.23,68.61,67.55,68.45,2628700
2018-07-03,68.40,69.48,68.19,69.31,2246600
2018-07-05,69.49,69.75,68.99,69.74,3496700
2018-07-06,69.72,70.09,69.58,70.02,2583600
2018-07-09,70.03,70.10,67.85,68.08,3252300
2018-07-10,67.89,69.35,67.30,69.08,3590200
2018-07-11,69.11,69.72,69.03,69.56,3603000
2018-07-12,69.71,70.17,69.54,70.06,4705000
2018-07-13,70.18,70.66,69.56,69.99,2574800
2018-07-16,69.99,70.05,69.50,69.88,2744900
2018-07-17,70.00,70.56,69.76,70.38,3020100
2018-07-18,70.15,70.35,69.58,69.95,1979100
2018-07-19,71.94,72.40,71.51,72.00,6345200
2018-07-20,71.71,72.09,71.10,71.27,4128300
2018-07-23,71.40,71.50,70.52,70.99,2911300
2018-07-24,70.58,71.11,69.88,70.91,3273400
2018-07-25,70.93,71.50,70.48,71.03,2272600
2018-07-26,71.46,71.59,70.98,71.50,3292900
2018-07-27,71.55,71.72,70.83,71.26,2588000
2018-07-30,71.18,71.43,70.62,71.19,2908400
2018-07-31,71.36,71.76,70.77,71.71,4510800
2018-08-01,70.96,71.20,69.69,70.32,4736100
2018-08-02,70.22,71.21,70.08,71.14,2893700
2018-08-03,71.11,72.38,70.87,72.12,2555100
2018-08-06,72.06,72.49,71.50,71.75,2425700
2018-08-07,71.48,71.48,70.56,71.07,2988100
2018-08-08,71.01,71.17,70.38,70.72,2774000
2018-08-09,70.72,71.13,70.47,71.03,1484300
2018-08-10,71.37,71.77,70.59,70.69,2573900
2018-08-13,70.60,70.60,69.73,69.82,5385500
2018-08-14,69.89,69.98,69.50,69.66,4524300
2018-08-15,69.85,70.88,69.80,70.25,4535900
2018-08-16,70.26,71.19,69.94,71.13,2838300
2018-08-17,71.27,72.04,71.19,71.75,2850600
2018-08-20,71.92,72.10,71.58,71.78,2071900
2018-08-21,71.80,71.99,71.36,71.62,1956800
2018-08-22,71.61,71.65,70.97,71.29,2088600
2018-08-23,71.14,71.45,70.91,71.07,1602900
2018-08-24,71.27,71.67,70.93,71.64,1423300
2018-08-27,71.68,71.74,70.85,71.25,1517500
2018-08-28,71.25,71.29,70.73,70.85,1820900
