Date,Open,High,Low,Close,Volume
2018-05-30,100.50,100.55,99.42,99.98,7216400
2018-05-31,99.76,100.14,98.81,99.47,9620000
2018-06-01,99.69,100.05,99.20,99.36,6847700
2018-06-04,99.76,100.50,99.70,100.24,6598000
2018-06-05,100.36,100.51,99.78,99.94,5974400
2018-06-06,100.06,101.94,99.76,101.91,7833000
2018-06-07,101.91,102.96,101.81,102.47,7559200
2018-06-08,102.09,103.99,101.83,103.98,7090300
2018-06-11,103.93,104.79,103.75,104.35,8175000
2018-06-12,104.73,105.22,103.96,104.33,9215300
2018-06-13,103.20,107.88,102.67,106.31,22009400
2018-06-14,106.45,109.49,106.45,108.75,18068700
2018-06-15,108.17,109.42,107.85,108.85,16169200
2018-06-18,107.00,107.48,106.50,107.06,9288600
2018-06-19,105.87,106.99,105.76,106.10,8869500
2018-06-20,107.00,107.90,105.81,107.15,18625900
2018-06-21,107.01,107.25,105.79,105.89,7707800
2018-06-22,106.07,106.80,105.81,106.34,8959100
2018-06-25,106.00,106.08,103.74,104.45,7995800
2018-06-26,104.46,104.71,103.91,104.26,6550000
2018-06-27,104.50,105.88,103.48,103.96,8803300
2018-06-28,103.91,105.12,103.68,104.77,6303600
2018-06-29,104.93,105.68,104.65,104.81,6774000
2018-07-02,104.15,105.37,103.90,105.33,5488900
2018-07-03,105.88,105.95,103.50,104.04,2406300
2018-07-06,104.50,105.04,104.04,104.78,4134500
2018-07-09,105.01,106.07,104.75,106.02,4725200
2018-07-10,106.25,106.57,104.83,106.03,4213600
2018-07-11,105.32,109.34,105.32,108.04,11753800
2018-07-12,108.05,109.20,107.82,108.25,5931400
2018-07-13,108.00,110.24,107.66,110.00,8188800
2018-07-16,109.82,110.45,108.77,110.20,8245900
2018-07-17,110.26,112.62,110.09,110.30,9075900
2018-07-18,110.31,111.06,109.65,110.69,6414100
2018-07-19,111.54,114.68,111.30,112.13,17796800
2018-07-20,112.15,112.20,110.83,111.48,11787900
2018-07-23,111.05,111.21,110.34,111.09,5447800
2018-07-24,111.84,111.89,110.54,110.70,5648800
2018-07-25,110.64,111.42,109.63,111.18,6756800
2018-07-26,112.15,114.56,111.68,113.51,9466400
2018-07-27,114.00,114.05,111.92,112.62,5717000
2018-07-30,112.20,113.34,112.05,112.63,5199300
2018-07-31,112.55,114.05,112.36,113.56,8421200
2018-08-01,113.68,113.83,112.59,112.97,6466600
2018-08-02,112.50,113.32,111.68,112.75,4027300
2018-08-03,113.20,114.10,112.40,114.09,4747500
2018-08-06,114.66,116.84,114.16,115.94,12715600
2018-08-07,116.57,117.90,116.24,116.56,15466900
2018-08-08,115.90,116.41,113.90,113.98,11722900
2018-08-09,114.05,114.80,112.81,114.16,7041500
2018-08-10,113.58,113.80,112.40,112.68,5740200
2018-08-13,112.66,112.84,111.72,112.12,6080900
2018-08-14,112.38,113.19,111.95,112.75,4326400
2018-08-15,112.18,113.12,111.47,112.85,5183200
2018-08-16,113.30,113.33,112.40,112.48,5082500
2018-08-17,112.51,112.86,111.89,112.48,4764500
2018-08-20,112.93,113.00,111.91,111.99,5167600
2018-08-21,112.25,113.00,112.00,112.39,4770400
2018-08-22,112.44,112.75,111.94,111.94,3213000
2018-08-23,111.94,112.14,111.53,112.00,4257400
2018-08-24,111.63,112.70,111.44,111.93,5049000
2018-08-27,112.49,112.89,112.07,112.33,4767700
2018-08-28,112.57,112.79,112.20,112.58,3131600
2018-08-29,112.58,112.72,112.02,112.45,4001500
2018-08-30,112.07,112.42,111.59,111.92,3481600
2018-08-31,111.90,112.28,111.56,112.02,4642800
2018-09-04,111.80,112.00,110.65,110.85,6391200
2018-09-05,110.58,110.82,109.70,109.87,6388300
2018-09-06,110.00,110.41,109.36,110.26,5267200
2018-09-07,110.08,111.35,110.01,110.97,4754800
2018-09-10,111.44,111.91,110.37,110.68,4636500
2018-09-11,110.50,110.61,109.51,109.60,5488600
2018-09-12,109.25,110.25,109.18,109.46,5236700
2018-09-13,109.55,110.72,109.37,110.67,5119400
2018-09-14,110.92,111.25,108.88,109.26,6012400
2018-09-17,109.58,109.88,108.61,109.36,5592900
2018-09-18,108.89,109.75,108.23,109.53,4937800
2018-09-19,109.63,110.18,109.48,109.79,5964600
2018-09-20,110.58,111.95,109.94,111.62,7121800
2018-09-21,111.95,111.98,110.40,110.40,25753600
2018-09-24,112.27,113.14,111.70,112.77,9232300
2018-09-25,113.31,114.71,112.65,113.63,12169400
2018-09-26,114.01,116.32,114.01,115.21,11141500
2018-09-27,115.19,116.60,115.10,116.04,5195300
2018-09-28,115.65,117.46,115.35,116.94,7366800
2018-10-01,117.28,117.40,115.68,116.24,8643900
2018-10-02,115.55,117.70,115.30,117.66,6441700
2018-10-03,117.95,118.10,116.74,116.91,6111700
2018-10-04,117.00,117.17,115.12,116.13,6442800
2018-10-05,116.00,116.58,114.73,114.78,5835700
2018-10-08,114.83,116.16,114.12,116.02,5652300
2018-10-09,116.62,117.77,116.04,116.89,6761400
2018-10-10,116.84,117.23,112.73,112.86,9006500
2018-10-11,112.50,113.25,110.32,111.15,10045400
2018-10-12,111.97,113.27,111.23,112.61,5963900
2018-10-15,111.93,114.62,111.89,113.44,6628800
2018-10-16,114.34,116.37,113.84,116.19,7619000
2018-10-17,116.10,117.22,115.43,117.13,7120600
2018-10-18,116.75,117.13,115.58,116.18,6056300
2018-10-19,117.42,119.17,117.22,118.90,10431000
2018-10-22,119.05,119.69,117.72,118.27,8406400
2018-10-23,116.95,118.49,115.41,117.85,8607400
2018-10-24,117.06,117.06,111.25,111.61,11630500
2018-10-25,112.62,114.69,112.12,114.16,7406900
2018-10-26,112.84,114.14,112.10,113.19,7984700
2018-10-29,114.45,114.94,111.96,113.04,9234100
2018-10-30,113.39,114.89,112.41,114.76,7365400
2018-10-31,116.23,116.52,114.68,114.83,9196700
2018-11-01,115.20,116.28,114.90,116.10,6779900
2018-11-02,116.83,116.95,114.37,115.18,6377900
2018-11-05,115.74,116.22,115.12,115.45,7920800
2018-11-06,115.74,116.84,115.45,116.71,5036600
2018-11-07,116.57,117.29,115.16,117.05,8249800
2018-11-08,117.45,117.83,115.21,116.00,11074800
2018-11-09,118.20,120.20,117.18,118.00,16878200
2018-11-12,118.00,118.46,116.60,116.70,9170600
2018-11-13,117.11,117.78,116.18,116.85,4650600
2018-11-14,117.44,118.22,116.44,117.12,7109100
2018-11-15,116.49,117.43,115.70,117.11,7088700
2018-11-16,116.53,117.34,115.99,116.19,7141900
2018-11-19,116.00,117.83,114.79,115.42,9714600
2018-11-20,113.52,114.59,111.52,111.87,11194600
2018-11-21,112.50,113.99,112.30,113.03,7242500
2018-11-23,112.24,112.79,111.74,112.08,3242300
2018-11-26,113.18,113.18,111.92,112.55,7002400
2018-11-27,113.61,114.10,112.41,113.90,7357500
2018-11-28,114.32,116.30,114.05,116.10,9039800
2018-11-29,115.75,117.14,115.21,116.61,10834700
2018-11-30,116.84,117.07,115.06,115.49,16857800
2018-12-03,116.65,116.92,114.91,115.74,9273300
2018-12-04,115.62,116.29,112.66,112.87,10806700
2018-12-07,113.86,113.99,111.61,111.98,8305500
2018-12-10,111.99,112.29,109.53,111.86,7337500
2018-12-11,112.97,113.72,111.43,111.97,6861800
2018-12-12,113.00,113.98,112.15,112.21,7723900
2018-12-13,112.87,113.60,112.34,113.39,6661500
2018-12-14,112.37,113.92,112.05,112.20,7601900
2018-12-17,112.29,112.89,110.03,110.62,7731800
2018-12-18,110.87,111.08,108.90,109.45,6682300
2018-12-19,110.00,112.13,108.95,109.22,9416900
2018-12-20,108.75,109.21,106.13,107.00,9387300
2018-12-21,106.47,108.75,103.86,104.22,15530600
2018-12-24,103.23,103.90,100.35,100.35,7133000
2018-12-26,100.49,105.85,100.38,105.83,9422800
2018-12-27,104.41,106.55,102.80,106.52,8201400
2018-12-28,107.28,108.52,106.19,107.30,7620500
2018-12-31,109.11,109.67,107.55,109.65,7241700
2019-01-02,108.10,109.14,107.73,108.97,9723500
2019-01-03,108.48,108.65,105.94,106.33,10589900
2019-01-04,107.94,110.75,107.25,109.61,10122800
2019-01-07,109.91,111.40,109.30,110.56,6714700
2019-01-08,111.80,112.56,111.17,111.42,8730700
2019-01-09,111.80,112.80,111.56,112.67,5931900
2019-01-10,111.99,112.91,111.50,112.80,6160100
2019-01-11,112.18,112.92,111.73,112.65,4819100
2019-01-14,111.65,112.70,111.43,112.42,6980600
2019-01-15,112.30,113.18,110.61,111.76,9800900
2019-01-16,111.45,112.01,110.81,110.91,5899900
2019-01-17,110.72,111.26,110.16,111.01,6392000
2019-01-18,111.86,111.93,110.83,111.04,8554700
2019-01-22,110.62,111.33,109.75,110.60,6986700
2019-01-23,111.19,111.84,110.00,111.12,6845600
2019-01-24,111.00,111.11,109.93,110.55,6716800
2019-01-25,111.47,111.50,110.66,111.09,5706900
2019-01-28,110.76,110.99,109.95,110.81,6178800
2019-01-29,110.65,110.93,110.00,110.90,5253700
2019-01-30,110.30,110.58,108.96,110.13,7853800
2019-01-31,110.10,111.54,110.01,111.52,8351600
2019-02-01,111.97,112.05,110.93,111.30,6557700
2019-02-04,111.41,111.98,110.68,111.80,7037000
2019-02-05,112.02,112.74,111.45,112.66,13619800
2019-02-06,113.85,113.92,111.07,111.41,14229000
2019-02-07,111.05,111.11,109.81,110.95,8658100
2019-02-08,110.46,111.54,110.06,111.51,6395500
2019-02-11,111.77,111.81,109.25,109.44,11086400
2019-02-12,110.21,110.83,109.15,109.20,7610200
2019-02-13,109.24,110.48,109.23,110.20,6919700
2019-02-14,109.85,111.50,109.54,110.66,6324300
