Date,Open,High,Low,Close,Volume
2018-05-30,21.21,21.84,20.94,21.78,2084000
2018-05-31,21.58,21.83,21.39,21.49,2025300
2018-06-01,21.58,21.90,21.44,21.70,1724600
2018-06-04,21.84,22.41,21.37,21.59,1672000
2018-06-05,21.40,21.81,21.20,21.58,720500
2018-06-06,21.70,21.94,21.19,21.24,1590700
2018-06-07,21.47,21.78,21.22,21.54,901400
2018-06-08,21.71,21.73,21.22,21.39,986300
2018-06-11,21.39,21.49,21.13,21.28,673100
2018-06-12,21.29,21.32,20.96,21.05,844700
2018-06-13,21.00,21.13,20.66,20.99,842600
2018-06-14,21.16,21.28,20.90,20.98,1124400
2018-06-15,20.87,20.90,20.37,20.48,1513700
2018-06-18,20.46,21.00,20.45,20.55,1076700
2018-06-19,20.22,20.49,19.90,19.92,2144900
2018-06-20,20.10,20.44,19.72,19.75,3436700
2018-06-21,19.66,19.66,18.68,19.35,2008200
2018-06-22,20.00,20.23,19.73,19.80,1157100
2018-06-25,19.62,19.68,19.44,19.45,688200
2018-06-26,19.49,19.84,19.10,19.75,1099100
2018-06-27,19.88,20.31,19.88,20.09,1227900
2018-06-28,20.20,20.48,20.03,20.29,940700
2018-06-29,20.56,20.70,20.40,20.55,1006700
2018-07-02,20.37,20.37,19.79,20.08,1011000
2018-07-03,20.45,20.80,20.15,20.28,1024200
2018-07-05,20.50,20.58,20.01,20.04,1154200
2018-07-06,19.99,20.52,19.94,20.49,1438500
2018-07-09,20.70,20.91,20.51,20.87,1027600
2018-07-10,20.95,21.21,20.93,21.04,633500
2018-07-11,20.69,21.04,20.29,20.42,1242600
2018-07-12,20.53,20.63,20.31,20.56,609600
2018-07-13,20.53,20.85,20.45,20.72,670500
2018-07-16,20.43,20.54,20.06,20.49,1735800
2018-07-17,20.31,20.77,20.20,20.64,598400
2018-07-18,20.49,20.80,20.22,20.78,1006800
2018-07-19,20.60,20.79,20.42,20.49,709900
2018-07-20,20.69,21.06,20.61,20.86,677700
2018-07-23,20.98,20.98,20.40,20.43,542400
2018-07-24,20.59,20.76,20.48,20.48,529500
2018-07-25,20.66,20.88,20.50,20.88,737900
2018-07-26,20.79,20.87,20.64,20.85,554500
2018-07-27,20.79,21.09,20.62,20.68,663600
2018-07-30,20.88,21.58,20.88,21.42,1144500
2018-07-31,21.51,21.67,21.04,21.37,773800
2018-08-01,21.35,21.57,21.01,21.57,760000
2018-08-02,21.35,21.72,21.27,21.68,865100
2018-08-03,21.35,21.92,21.19,21.32,1179700
2018-08-06,21.35,21.65,21.29,21.60,808500
2018-08-07,21.89,22.01,21.80,21.88,621600
2018-08-08,21.61,21.69,21.02,21.06,1225600
2018-08-09,21.02,21.23,20.44,20.68,1662200
2018-08-10,20.54,21.00,20.36,20.90,711600
2018-08-13,20.84,20.95,20.35,20.42,1006600
2018-08-14,20.45,20.76,20.45,20.60,774900
2018-08-15,20.72,20.72,19.55,19.62,1820600
2018-08-16,19.75,20.37,19.75,20.27,887900
2018-08-17,20.36,20.53,20.26,20.49,695500
2018-08-20,20.56,20.91,20.55,20.77,514500
2018-08-21,20.97,21.28,20.82,21.07,1087600
2018-08-22,21.32,21.80,21.32,21.78,649700
2018-08-23,21.63,21.71,21.46,21.63,554800
2018-08-24,21.89,22.38,21.89,22.10,857600
2018-08-27,22.28,22.52,22.19,22.49,525800
2018-08-28,22.52,22.63,22.23,22.31,650800
2018-08-29,22.40,22.69,22.25,22.60,717900
2018-08-30,22.51,22.72,22.37,22.67,648400
2018-08-31,22.70,22.76,22.27,22.60,670000
2018-09-04,22.75,22.75,22.20,22.41,1464000
2018-09-05,22.21,22.22,21.82,22.05,978800
2018-09-06,22.06,22.31,21.84,22.01,756600
2018-09-07,21.91,22.48,21.82,22.32,1108700
2018-09-10,22.42,22.56,22.04,22.07,873900
2018-09-11,22.00,22.53,21.95,22.52,1164000
2018-09-12,22.77,25.28,22.77,25.18,4157100
2018-09-13,25.27,25.60,24.41,24.89,1744800
2018-09-14,24.97,25.51,24.90,25.15,799300
2018-09-17,25.15,25.98,25.02,25.79,1068000
2018-09-18,26.09,26.67,26.01,26.07,1239400
2018-09-19,26.00,26.14,25.11,25.30,1224400
2018-09-20,25.43,25.52,24.66,24.81,1278500
2018-09-21,25.11,25.42,24.70,24.78,1639500
2018-09-24,25.12,26.19,25.11,26.01,1676000
2018-09-25,26.21,26.73,26.14,26.32,1017100
2018-09-26,26.14,26.61,25.80,26.22,898700
2018-09-27,26.41,26.77,26.41,26.61,649100
2018-09-28,26.46,27.15,26.46,26.93,1305700
2018-10-01,27.16,27.85,27.16,27.65,1064500
2018-10-02,27.65,27.96,26.95,27.14,797200
2018-10-03,27.28,27.68,27.02,27.58,690200
2018-10-04,27.50,27.51,26.81,26.86,956900
2018-10-05,26.81,27.02,26.39,26.66,914600
2018-10-08,26.34,26.60,25.94,26.24,754900
2018-10-09,26.34,26.89,26.24,26.74,790600
2018-10-10,26.73,26.81,25.59,25.69,1521900
2018-10-11,25.31,25.83,25.08,25.15,2276700
2018-10-12,25.55,25.94,25.29,25.50,1197800
2018-10-15,25.67,25.86,24.70,24.73,882900
2018-10-16,24.79,25.77,24.79,25.72,1624200
2018-10-17,25.61,26.06,25.36,25.88,1247800
2018-10-18,25.50,25.85,25.25,25.35,1214300
2018-10-19,25.56,25.96,25.44,25.59,677800
2018-10-22,25.91,25.91,25.44,25.80,2460800
2018-10-23,25.11,25.52,24.46,24.74,3527100
2018-10-24,25.00,25.15,23.23,23.24,3027500
2018-10-25,23.64,23.69,22.94,23.52,1481200
2018-10-26,23.12,23.84,22.89,23.59,914100
2018-10-29,23.72,23.94,22.89,23.11,1471200
2018-10-30,23.03,23.59,22.75,23.45,1477700
2018-10-31,23.72,23.86,23.18,23.26,757600
2018-11-01,23.32,23.61,21.59,21.83,2427200
2018-11-02,21.98,22.40,21.27,21.56,1617600
2018-11-05,21.86,22.23,21.78,22.19,903900
2018-11-06,22.33,22.37,21.50,21.85,1515400
2018-11-07,22.28,22.48,21.72,22.36,1139700
2018-11-08,22.39,22.48,21.67,21.67,872700
2018-11-09,21.25,22.09,21.05,21.96,1511800
2018-11-12,22.17,22.31,21.17,21.22,1385200
2018-11-13,21.11,21.27,20.09,20.18,2151300
2018-11-14,20.64,20.89,20.15,20.41,1031900
2018-11-15,20.31,20.67,20.26,20.63,912300
2018-11-16,20.75,21.04,20.56,20.62,784500
2018-11-19,20.29,20.48,19.97,20.08,1284800
2018-11-20,19.75,19.77,19.05,19.19,1894300
2018-11-21,19.44,19.73,19.25,19.72,1032400
2018-11-23,18.83,18.86,18.48,18.69,716800
2018-11-26,19.01,19.18,18.78,18.86,1046900
2018-11-27,18.84,19.31,18.75,19.15,1036600
2018-11-28,19.09,19.09,18.47,18.98,1190100
2018-11-29,19.04,19.39,18.98,19.17,5466800
2018-11-30,19.05,19.43,18.81,19.21,762100
2018-12-03,19.89,20.52,19.84,20.46,1199300
2018-12-04,20.37,20.55,19.59,19.70,1606900
2018-12-06,19.20,19.71,18.94,19.38,2091500
2018-12-07,19.88,20.30,19.53,19.59,979000
2018-12-10,19.34,19.42,18.77,18.93,857700
2018-12-11,19.38,19.46,18.59,18.71,1129700
2018-12-12,19.15,19.56,18.93,19.04,1021200
2018-12-13,18.91,19.31,18.58,18.69,1096400
2018-12-14,18.47,18.55,18.17,18.36,598000
2018-12-17,18.29,18.35,17.86,18.03,960500
2018-12-18,17.96,17.96,17.48,17.48,1561100
2018-12-19,17.68,18.02,17.29,17.31,1162900
2018-12-20,17.08,17.27,16.39,16.48,1350300
2018-12-21,16.39,16.58,16.06,16.16,1039200
2018-12-24,16.00,16.08,15.29,15.30,404700
2018-12-26,15.31,16.72,15.25,16.71,813200
2018-12-27,16.27,16.58,16.02,16.58,694000
2018-12-28,16.68,16.78,16.08,16.13,647200
2018-12-31,16.20,16.35,15.80,15.88,560500
2019-01-02,15.60,16.58,15.51,16.46,1087400
2019-01-03,16.56,16.88,16.33,16.50,1099200
2019-01-04,16.88,17.57,16.84,17.51,1240100
2019-01-07,17.48,17.90,17.36,17.77,586500
2019-01-08,18.03,18.30,17.76,18.28,760000
2019-01-09,18.60,18.90,18.48,18.76,1423200
2019-01-10,18.48,18.70,18.21,18.69,819800
2019-01-11,18.53,18.55,18.28,18.42,749600
2019-01-14,18.00,18.50,18.00,18.23,723900
2019-01-15,18.40,18.83,18.38,18.62,777800
2019-01-16,18.49,18.90,18.49,18.77,666400
2019-01-17,18.45,18.65,18.28,18.59,1042900
2019-01-18,18.83,18.83,18.45,18.55,567600
2019-01-22,18.41,18.41,18.03,18.17,1038400
2019-01-23,18.31,18.38,17.84,17.87,1351700
2019-01-24,17.76,18.15,17.76,17.92,653800
2019-01-25,18.05,18.18,17.93,17.94,826800
2019-01-28,17.59,17.85,17.39,17.78,1159000
2019-01-29,17.99,18.22,17.95,18.03,705900
2019-01-30,18.18,18.51,17.94,18.41,1056800
2019-01-31,18.52,19.14,18.52,18.85,908000
2019-02-01,18.93,18.95,18.59,18.88,1010300
2019-02-04,18.71,18.88,18.53,18.88,736400
2019-02-05,18.80,19.16,18.79,18.92,622000
2019-02-06,18.80,18.91,18.57,18.81,625200
2019-02-07,18.65,18.72,18.37,18.39,769500
2019-02-08,18.35,18.45,18.21,18.44,609600
2019-02-11,18.17,18.24,18.01,18.10,494900
2019-02-12,18.42,18.82,18.38,18.78,895900
2019-02-13,18.90,19.00,18.74,18.83,831300
2019-02-14,18.75,18.96,18.65,18.80,797800
2019-02-15,19.00,19.44,18.91,19.42,702400
2019-02-19,19.31,19.64,19.31,19.51,773300
2019-02-20,19.50,19.87,19.46,19.83,786800
2019-02-21,19.71,19.77,19.48,19.54,916500
2019-02-22,19.74,19.94,19.68,19.80,1006100
2019-02-25,19.67,20.25,19.67,20.23,945800
2019-02-26,20.24,20.95,20.24,20.61,1547800
2019-02-27,21.11,21.38,20.87,21.06,1462200
2019-02-28,21.09,21.12,20.17,20.24,1291400
2019-03-01,20.34,20.60,20.17,20.49,751900
2019-03-04,20.63,20.79,20.44,20.78,775000
2019-03-05,20.90,20.95,20.69,20.80,804200
2019-03-06,20.68,21.01,20.43,20.51,1167300
2019-03-07,20.52,20.65,20.20,20.23,680300
2019-03-08,19.73,19.85,19.45,19.78,853400
2019-03-11,19.98,20.28,19.86,20.21,702000
2019-03-12,20.37,20.64,20.32,20.52,692800
2019-03-13,20.70,21.24,20.62,21.20,865800
2019-03-14,21.23,21.49,21.01,21.09,718100
2019-03-15,20.95,21.50,20.95,21.38,1096100
2019-03-18,21.39,22.29,21.39,22.25,981400
2019-03-19,22.37,22.67,22.28,22.41,1096900
2019-03-20,22.28,22.88,22.18,22.81,905400
2019-03-21,22.85,23.24,22.76,23.03,631300
2019-03-22,22.70,22.70,21.75,21.75,1115500
2019-03-25,21.68,21.82,21.37,21.70,789500
2019-03-26,22.06,22.44,22.01,22.14,607200
2019-03-27,22.05,22.14,21.20,21.37,1272300
2019-03-28,21.20,21.44,21.00,21.25,1090400
2019-03-29,21.58,21.62,21.34,21.44,618300
2019-04-01,21.70,21.93,21.49,21.88,655500
