Date,Open,High,Low,Close,Volume
2018-06-06,11.87,12.00,11.82,11.97,31110500
2018-06-07,11.97,12.15,11.96,12.03,47314100
2018-06-08,12.04,12.12,12.00,12.10,28371900
2018-06-11,12.10,12.15,12.02,12.03,30398100
2018-06-12,12.07,12.15,12.03,12.11,51395400
2018-06-13,12.10,12.10,11.96,12.02,28406700
2018-06-14,12.00,12.01,11.84,11.89,34523000
2018-06-15,11.84,12.03,11.80,11.88,56326800
2018-06-18,11.82,12.04,11.81,11.99,32706500
2018-06-19,11.82,11.89,11.67,11.89,40064800
2018-06-20,11.97,12.05,11.83,11.87,31964800
2018-06-21,11.80,11.83,11.64,11.71,33316700
2018-06-22,11.75,11.87,11.62,11.65,36703500
2018-06-25,11.63,11.67,11.38,11.50,36101900
2018-06-26,11.56,11.63,11.49,11.52,36627700
2018-06-27,11.54,11.64,11.40,11.42,27242000
2018-06-28,11.37,11.40,11.15,11.28,43836400
2018-06-29,11.32,11.37,11.03,11.07,44718500
2018-07-02,11.02,11.11,10.91,11.10,37892800
2018-07-03,11.10,11.15,10.94,10.99,16544800
2018-07-05,11.10,11.14,11.02,11.05,32008500
2018-07-06,11.04,11.10,10.92,11.06,25646700
2018-07-09,11.10,11.26,11.03,11.20,23916800
2018-07-10,11.20,11.26,11.17,11.25,21231500
2018-07-11,11.15,11.17,11.05,11.07,30030100
2018-07-12,11.10,11.14,11.00,11.05,27025200
2018-07-13,11.02,11.05,10.91,10.98,36561500
2018-07-16,10.95,10.97,10.76,10.85,46156800
2018-07-17,10.80,10.90,10.80,10.86,37584300
2018-07-18,10.85,10.90,10.81,10.87,36420000
2018-07-20,10.68,10.72,10.51,10.56,41531200
2018-07-23,10.56,10.57,10.42,10.47,34942000
2018-07-24,10.51,10.74,10.50,10.57,47303000
2018-07-25,10.32,10.57,10.12,10.52,92497700
2018-07-26,10.14,10.16,9.84,9.89,103893000
2018-07-27,9.96,10.05,9.91,9.93,46171100
2018-07-30,9.96,10.10,9.93,10.07,35877000
2018-07-31,10.11,10.11,10.00,10.04,38026900
2018-08-01,10.06,10.08,9.82,9.90,44126700
2018-08-02,9.90,9.98,9.84,9.92,40318900
2018-08-03,9.93,10.06,9.93,10.04,25925100
2018-08-06,10.00,10.05,9.97,10.03,22247900
2018-08-07,10.04,10.10,10.02,10.08,27961200
2018-08-08,10.05,10.10,10.04,10.05,22600900
2018-08-09,10.06,10.07,9.90,9.91,35666400
2018-08-10,9.91,9.91,9.72,9.74,39180500
2018-08-13,9.74,9.75,9.42,9.46,66550400
2018-08-14,9.51,9.62,9.45,9.50,37657400
2018-08-15,9.46,9.50,9.35,9.45,36298600
2018-08-16,9.50,9.60,9.49,9.51,28857700
2018-08-17,9.53,9.60,9.46,9.55,32742900
2018-08-20,9.56,9.74,9.56,9.72,25252500
2018-08-21,9.77,9.90,9.69,9.86,46413900
2018-08-22,9.79,9.82,9.68,9.69,30803700
2018-08-23,9.67,9.69,9.58,9.63,31511800
2018-08-24,9.65,9.70,9.61,9.68,18380000
2018-08-27,9.75,10.04,9.73,9.99,49769300
2018-08-28,10.08,10.09,9.95,10.01,33845500
2018-08-29,10.01,10.02,9.90,9.97,37336400
2018-08-30,9.87,9.91,9.67,9.70,48539300
2018-08-31,9.64,9.68,9.40,9.48,76424900
2018-09-04,9.53,9.58,9.36,9.47,54111100
2018-09-05,9.47,9.55,9.32,9.49,44561900
2018-09-06,9.48,9.55,9.40,9.43,29519100
2018-09-07,9.41,9.49,9.25,9.27,51229900
2018-09-10,9.31,9.49,9.30,9.38,30421700
2018-09-11,9.35,9.36,9.22,9.31,27158400
2018-09-12,9.31,9.42,9.28,9.34,25450000
2018-09-13,9.38,9.41,9.31,9.37,29315700
2018-09-14,9.38,9.48,9.36,9.45,30013300
2018-09-17,9.44,9.60,9.43,9.55,29544400
2018-09-18,9.54,9.61,9.48,9.58,57055400
2018-09-19,9.61,9.83,9.61,9.78,40111500
2018-09-20,9.83,9.93,9.71,9.81,46314400
2018-09-21,9.84,9.94,9.78,9.85,74488600
2018-09-24,9.78,9.85,9.52,9.59,43170800
2018-09-25,9.53,9.56,9.37,9.39,44406100
2018-09-26,9.38,9.41,9.27,9.27,58597500
2018-09-27,9.30,9.33,9.20,9.23,57272200
2018-09-28,9.22,9.28,9.09,9.25,30987200
2018-10-01,9.43,9.44,9.30,9.32,44864700
2018-10-02,9.27,9.34,9.18,9.20,41806400
2018-10-03,9.27,9.31,9.13,9.13,47023100
2018-10-04,9.13,9.22,9.09,9.15,38889600
2018-10-05,9.15,9.22,9.10,9.12,36952200
2018-10-08,9.10,9.28,9.09,9.26,43657700
2018-10-09,9.23,9.31,8.95,8.95,58356900
2018-10-10,8.95,8.98,8.81,8.82,54104100
2018-10-11,8.82,8.99,8.76,8.81,66170800
2018-10-12,8.95,8.95,8.55,8.64,59308500
2018-10-15,8.67,8.85,8.66,8.81,40183200
2018-10-16,8.87,8.89,8.73,8.80,36772000
2018-10-17,8.80,8.86,8.64,8.76,48795100
2018-10-18,8.74,8.76,8.50,8.51,59669200
2018-10-22,8.38,8.45,8.27,8.41,39803500
2018-10-23,8.30,8.64,8.23,8.59,55443300
2018-10-24,8.50,8.60,8.17,8.18,58895100
2018-10-25,8.52,9.00,8.46,8.99,90399200
2018-10-26,8.96,9.06,8.86,8.98,100639800
2018-10-29,9.36,9.59,9.17,9.28,92275100
2018-10-30,9.31,9.56,9.27,9.46,58062000
2018-10-31,9.62,9.67,9.43,9.55,68507100
2018-11-01,9.54,9.55,9.26,9.29,59794400
2018-11-02,9.36,9.45,9.26,9.38,48499200
2018-11-05,9.38,9.57,9.35,9.53,41274300
2018-11-06,9.46,9.57,9.41,9.54,40928600
2018-11-07,9.60,9.60,9.45,9.60,37347400
2018-11-08,9.58,9.65,9.44,9.46,55810100
2018-11-09,9.38,9.80,9.27,9.38,52203600
2018-11-12,9.38,9.58,9.37,9.49,36317200
2018-11-13,9.53,9.67,9.47,9.54,33098000
2018-11-14,9.63,9.67,9.43,9.54,46677600
2018-11-15,9.50,9.53,9.12,9.31,57170100
2018-11-16,9.28,9.31,8.98,9.05,54582500
2018-11-19,9.02,9.36,8.96,9.25,56292500
2018-11-20,9.10,9.22,9.01,9.06,35159900
2018-11-21,9.05,9.20,8.98,9.11,25882700
2018-11-23,9.07,9.22,9.03,9.13,13520800
2018-11-26,9.23,9.53,9.17,9.40,46304400
2018-11-27,9.37,9.43,9.25,9.28,34283200
2018-11-28,9.27,9.44,9.17,9.41,33199500
2018-11-29,9.37,9.44,9.26,9.37,29207600
2018-11-30,9.37,9.48,9.36,9.41,36269500
2018-12-03,9.71,9.85,9.60,9.60,64668600
2018-12-04,9.55,9.60,9.18,9.18,57930300
2018-12-06,9.12,9.12,8.92,9.02,53963600
2018-12-07,9.02,9.13,8.80,8.82,43534800
2018-12-10,8.83,8.85,8.38,8.52,56499700
2018-12-11,8.72,8.80,8.50,8.54,42294500
2018-12-12,8.64,8.73,8.59,8.64,40602700
2018-12-13,8.67,8.70,8.46,8.50,34200400
2018-12-14,8.52,8.68,8.46,8.52,35613300
2018-12-17,8.48,8.72,8.41,8.50,44469900
2018-12-18,8.55,8.68,8.41,8.47,38263000
2018-12-19,8.46,8.65,8.27,8.32,75272900
2018-12-20,8.33,8.42,8.18,8.26,58926200
2018-12-21,8.22,8.40,8.04,8.05,57542300
2018-12-24,8.01,8.01,7.61,7.63,38709500
2018-12-26,7.73,7.86,7.41,7.85,58810000
2018-12-27,7.82,7.85,7.53,7.85,49813000
2018-12-28,7.83,8.04,7.76,7.81,47331700
2018-12-31,7.85,7.86,7.50,7.65,57816000
2019-01-02,7.53,8.02,7.48,7.90,47494400
2019-01-03,7.97,7.99,7.78,7.78,38622100
2019-01-04,7.91,8.12,7.85,8.08,43039800
2019-01-07,8.11,8.37,8.03,8.29,40729400
2019-01-08,8.42,8.54,8.35,8.37,45644000
2019-01-09,8.45,8.77,8.36,8.72,48404900
2019-01-10,8.71,8.77,8.45,8.67,39490400
2019-01-11,8.77,8.93,8.70,8.82,41559900
2019-01-14,8.80,9.06,8.76,8.99,44833800
2019-01-15,9.02,9.03,8.75,8.84,65311700
2019-01-16,8.68,8.77,8.26,8.29,73869900
2019-01-17,8.27,8.44,8.21,8.36,56722600
2019-01-18,8.39,8.60,8.33,8.58,51127900
2019-01-22,8.54,8.61,8.46,8.50,47182600
2019-01-23,8.54,8.54,8.28,8.34,45196900
2019-01-24,8.32,8.68,8.22,8.60,79516400
2019-01-25,8.74,8.96,8.73,8.86,53098800
2019-01-28,8.80,8.80,8.58,8.66,42116300
2019-01-30,8.66,8.72,8.52,8.71,29906100
2019-01-31,8.62,8.82,8.60,8.80,39389100
2019-02-01,8.77,8.81,8.62,8.72,34124000
2019-02-04,8.70,8.70,8.59,8.70,28855600
2019-02-05,8.68,8.76,8.65,8.75,26166800
2019-02-06,8.79,8.90,8.68,8.72,32644300
2019-02-07,8.62,8.62,8.29,8.31,55161800
2019-02-08,8.29,8.41,8.16,8.39,38650100
2019-02-11,8.41,8.44,8.29,8.33,27403500
2019-02-12,8.38,8.47,8.38,8.46,26235100
2019-02-13,8.45,8.66,8.39,8.41,27182900
2019-02-14,8.38,8.47,8.32,8.42,23569900
2019-02-15,8.49,8.56,8.41,8.54,58080300
2019-02-19,8.53,8.85,8.53,8.83,37929200
2019-02-20,8.83,8.98,8.82,8.94,55316900
2019-02-21,8.94,8.96,8.70,8.71,44730400
2019-02-22,8.73,8.75,8.56,8.71,40947500
2019-02-25,8.77,8.85,8.75,8.76,56615400
2019-02-26,8.75,8.94,8.72,8.88,38348800
2019-02-27,8.83,8.91,8.78,8.78,34093300
2019-02-28,8.77,8.79,8.60,8.77,43960500
2019-03-01,8.85,8.89,8.71,8.79,37699500
2019-03-04,8.83,8.97,8.76,8.81,46196900
2019-03-05,8.80,8.81,8.70,8.77,40852600
2019-03-06,8.75,8.78,8.56,8.58,50378600
2019-03-07,8.56,8.57,8.35,8.48,53014800
2019-03-08,8.40,8.47,8.34,8.42,43766800
2019-03-11,8.46,8.63,8.45,8.61,36875300
2019-03-12,8.65,8.70,8.55,8.57,37805000
2019-03-13,8.59,8.65,8.50,8.53,49018700
2019-03-14,8.52,8.55,8.40,8.41,36307900
2019-03-15,8.42,8.47,8.37,8.43,66555500
2019-03-18,8.45,8.57,8.42,8.57,37198300
2019-03-19,8.61,8.87,8.61,8.70,57293600
2019-03-20,8.67,8.67,8.48,8.51,54539700
2019-03-21,8.50,8.69,8.49,8.69,46843100
2019-03-22,8.63,8.67,8.52,8.54,41964000
2019-03-25,8.56,8.65,8.47,8.51,45849500
2019-03-26,8.54,8.76,8.54,8.76,47852100
2019-03-28,8.65,8.83,8.64,8.77,38914700
2019-03-29,8.80,8.89,8.71,8.78,33962800
2019-04-01,8.86,9.00,8.86,8.98,45653100
2019-04-02,8.95,9.03,8.91,9.01,30699400
2019-04-03,9.07,9.27,9.06,9.13,56663600
2019-04-04,9.21,9.30,9.18,9.24,39483100
2019-04-05,9.17,9.27,9.08,9.25,37854700
2019-04-08,9.18,9.32,9.17,9.30,26221100
2019-04-09,9.27,9.36,9.17,9.21,29879100
2019-04-10,9.23,9.35,9.20,9.33,28469500
2019-04-11,9.35,9.41,9.33,9.39,26488100
2019-04-12,9.47,9.60,9.44,9.45,38646000
2019-04-15,9.48,9.50,9.26,9.33,41206700
2019-04-16,9.32,9.40,9.24,9.36,40950000
2019-04-17,9.40,9.58,9.39,9.50,30688300
2019-04-18,9.52,9.62,9.48,9.55,29843000
2019-04-23,9.36,9.51,9.30,9.50,39493700
2019-04-24,9.45,9.61,9.40,9.57,39796300
2019-04-25,9.52,9.53,9.34,9.40,52596700
2019-04-26,10.03,10.45,9.95,10.41,156136700
2019-04-29,10.36,10.39,10.07,10.32,62500500
2019-04-30,10.29,10.50,10.27,10.45,46079300
2019-05-01,10.48,10.50,10.29,10.30,41805500
2019-05-02,10.30,10.35,10.20,10.34,34508400
2019-05-03,10.37,10.45,10.30,10.41,36291200
2019-05-06,10.12,10.42,10.12,10.37,28640600
2019-05-07,10.33,10.41,10.30,10.38,41154500
2019-05-08,10.38,10.45,10.31,10.34,33472200
2019-05-09,10.26,10.30,10.07,10.20,43621300
