Date,Open,High,Low,Close,Volume
2018-06-06,191.03,192.53,189.11,191.34,22558900
2018-06-07,190.75,190.97,186.77,188.18,21503200
2018-06-08,187.53,189.48,186.43,189.10,12677100
2018-06-11,188.81,192.60,188.80,191.54,12928900
2018-06-12,192.17,193.28,191.56,192.40,11562700
2018-06-13,192.74,194.50,191.91,192.41,15853800
2018-06-14,193.10,197.28,192.91,196.81,19120900
2018-06-15,195.79,197.07,194.64,195.85,21860900
2018-06-18,194.80,199.58,194.13,198.31,16826000
2018-06-19,196.24,197.96,193.79,197.49,19994000
2018-06-20,199.10,203.55,198.81,202.00,28230900
2018-06-21,202.76,203.39,200.09,201.50,19045700
2018-06-22,201.16,202.24,199.31,201.74,17420200
2018-06-25,200.00,200.00,193.11,196.35,25275100
2018-06-26,197.60,199.10,196.23,199.00,17897600
2018-06-27,199.18,200.75,195.80,195.84,18734400
2018-06-28,195.18,197.34,193.26,196.23,18172400
2018-06-29,197.32,197.60,193.96,194.32,15811600
2018-07-02,193.37,197.45,192.22,197.36,13961600
2018-07-03,194.55,195.40,192.52,192.73,13489500
2018-07-05,194.74,198.65,194.03,198.45,19684200
2018-07-06,198.45,203.64,197.70,203.23,19740100
2018-07-09,204.93,205.80,202.12,204.74,18149400
2018-07-10,204.50,204.91,202.26,203.54,13190100
2018-07-11,202.22,204.50,201.75,202.54,12927400
2018-07-12,203.43,207.08,203.19,206.92,15454700
2018-07-13,207.81,208.43,206.45,207.32,11486800
2018-07-16,207.50,208.72,206.84,207.23,11078200
2018-07-17,204.90,210.46,204.84,209.99,15349900
2018-07-18,209.82,210.99,208.44,209.36,15334900
2018-07-19,208.77,209.99,207.76,208.09,11350400
2018-07-20,208.85,211.50,208.50,209.94,16163900
2018-07-23,210.58,211.62,208.80,210.91,16732000
2018-07-24,215.11,216.20,212.60,214.67,28468700
2018-07-25,215.72,218.62,214.27,217.50,58954200
2018-07-26,174.89,180.13,173.75,176.26,169803700
2018-07-27,179.87,179.93,173.00,174.89,60073700
2018-07-30,175.30,175.30,166.56,171.06,65280800
2018-07-31,170.67,174.24,170.00,172.58,40356500
2018-08-01,173.93,175.08,170.90,171.65,34042100
2018-08-02,170.68,176.79,170.27,176.37,32400000
2018-08-03,177.69,178.85,176.15,177.78,24763400
2018-08-06,178.97,185.79,178.38,185.69,49716200
2018-08-07,186.50,188.30,183.72,183.81,33398600
2018-08-08,184.75,186.85,183.76,185.18,22205200
2018-08-09,185.85,186.57,182.48,183.09,19696700
2018-08-10,182.04,182.10,179.42,180.26,21500400
2018-08-13,180.10,182.61,178.90,180.05,17369400
2018-08-14,180.71,181.99,178.62,181.11,19102000
2018-08-15,179.34,180.87,174.78,179.53,33020200
2018-08-16,180.42,180.50,174.01,174.70,31351800
2018-08-17,174.50,176.22,172.04,173.80,24893200
2018-08-20,174.04,174.57,170.91,172.50,21518000
2018-08-21,172.81,174.17,171.39,172.62,19578500
2018-08-22,172.21,174.24,172.13,173.64,16894100
2018-08-23,173.09,175.55,172.83,172.90,18053600
2018-08-24,173.70,174.82,172.92,174.65,14631600
2018-08-27,175.99,178.67,175.79,177.46,17921900
2018-08-28,178.10,178.24,175.83,176.26,15910700
2018-08-29,176.30,176.79,174.75,175.90,18494100
2018-08-30,175.90,179.79,175.70,177.64,24216500
2018-08-31,177.15,177.62,174.98,175.73,18065200
2018-09-04,173.50,173.89,168.80,171.16,29809000
2018-09-05,169.49,171.13,166.67,167.18,31226700
2018-09-06,166.98,166.98,160.00,162.53,41514800
2018-09-07,160.31,164.63,160.16,163.04,24300600
2018-09-10,163.51,165.01,162.16,164.18,20197700
2018-09-11,163.94,167.19,163.72,165.94,20457100
2018-09-12,163.25,164.49,161.80,162.00,24078100
2018-09-13,162.00,163.32,160.86,161.36,25453800
