Date,Open,High,Low,Close,Volume
2018-05-30,60.45,61.25,59.70,60.09,554442
2018-05-31,60.40,62.00,60.40,61.62,544258
2018-06-01,60.85,61.37,60.39,60.67,179375
2018-06-04,61.23,61.55,60.67,61.08,148211
2018-06-05,60.83,61.48,60.44,61.37,215736
2018-06-06,61.03,61.69,60.69,61.52,178860
2018-06-07,61.56,62.75,61.48,62.53,307833
2018-06-08,62.05,62.06,60.92,61.53,231481
2018-06-12,61.78,63.17,61.48,63.07,365111
2018-06-13,62.78,63.00,61.63,62.30,328150
2018-06-14,62.16,63.07,62.16,62.56,228795
2018-06-15,62.34,63.80,62.06,63.38,375953
2018-06-18,62.81,63.20,62.39,63.04,252872
2018-06-19,62.80,63.24,62.52,62.69,303367
2018-06-20,62.28,62.50,61.94,62.12,498256
2018-06-21,62.47,64.15,62.30,63.43,517119
2018-06-22,63.09,63.42,62.00,62.37,512664
2018-06-25,62.50,63.87,62.03,63.12,239272
2018-06-26,63.10,65.03,62.65,64.81,538179
2018-06-27,64.85,65.85,64.79,65.18,333436
2018-06-28,64.88,65.10,63.40,63.45,285579
2018-06-29,63.02,63.99,62.90,63.65,920964
2018-07-02,63.65,63.70,61.05,61.40,326318
2018-07-03,61.40,62.63,61.37,61.82,346397
2018-07-04,61.85,62.07,60.70,61.16,344698
2018-07-05,61.02,62.02,60.74,61.40,367675
2018-07-06,61.57,63.00,61.13,62.95,324185
2018-07-09,62.95,62.95,61.78,62.11,312200
2018-07-10,62.22,62.45,61.64,62.25,225055
2018-07-11,62.87,65.41,62.73,64.61,609248
2018-07-12,64.86,66.00,64.58,65.33,500388
2018-07-13,65.45,67.34,65.45,66.99,317979
2018-07-16,67.00,67.74,66.60,67.00,218229
2018-07-17,66.95,67.66,66.52,66.63,326752
2018-07-18,66.82,67.56,66.66,67.11,343034
2018-07-19,67.50,67.85,67.26,67.30,200273
2018-07-20,67.20,68.13,67.13,67.86,333497
2018-07-23,67.09,67.48,66.59,66.65,183333
2018-07-24,66.47,67.18,66.27,66.70,219506
2018-07-25,66.79,67.39,66.23,66.53,305720
2018-07-26,66.03,66.79,64.83,66.13,386895
2018-07-27,66.52,67.18,66.29,66.78,699457
2018-07-30,66.34,67.37,66.29,67.32,118688
2018-07-31,66.77,68.39,66.58,68.01,365651
2018-08-01,67.50,68.73,67.41,67.46,349194
2018-08-02,67.27,67.55,67.08,67.38,306806
2018-08-03,67.49,68.35,67.35,67.49,263282
2018-08-06,67.02,67.37,66.01,66.23,192879
2018-08-07,65.56,65.90,64.96,65.37,391007
2018-08-08,64.50,65.34,64.01,64.50,438958
2018-08-09,65.22,66.86,64.75,65.90,320348
2018-08-10,65.44,66.21,65.07,65.84,322779
2018-08-13,65.00,65.22,64.51,64.83,249305
2018-08-14,64.43,66.73,64.43,66.26,240829
2018-08-15,65.86,67.17,65.74,67.16,156913
2018-08-16,66.17,68.48,66.16,68.30,294207
2018-08-17,68.34,69.38,68.15,68.38,382251
2018-08-20,69.45,70.53,69.07,69.36,360831
2018-08-21,69.35,69.35,68.06,68.48,218047
2018-08-22,66.80,67.90,65.28,67.12,324487
2018-08-23,64.75,66.00,60.84,61.68,1166212
2018-08-24,61.07,61.57,57.68,57.91,1082136
2018-08-27,56.17,58.42,55.27,56.98,829944
2018-08-28,57.20,57.71,55.77,56.81,773345
2018-08-29,56.49,56.97,56.07,56.60,674813
2018-08-30,56.61,58.13,56.51,58.05,450400
2018-08-31,57.75,58.80,57.72,58.42,869312
2018-09-03,58.52,58.61,57.90,58.08,318347
2018-09-04,58.50,58.90,58.16,58.67,359840
2018-09-05,58.79,59.11,58.14,58.50,587326
2018-09-06,58.17,58.84,57.61,57.99,693783
2018-09-07,57.53,57.99,56.75,57.38,361495
2018-09-10,57.08,57.53,56.36,56.66,410362
2018-09-11,56.60,56.94,56.18,56.56,279451
2018-09-13,56.00,56.50,55.38,55.78,553033
2018-09-14,55.61,55.62,54.75,55.43,315449
2018-09-17,55.11,55.84,54.87,55.55,332544
2018-09-18,55.38,55.55,54.13,54.36,486189
2018-09-19,54.43,55.18,54.43,54.59,231062
2018-09-20,54.00,54.10,53.33,53.33,537195
2018-09-21,53.35,53.71,53.05,53.60,621867
2018-09-24,53.18,54.66,52.94,54.30,253308
2018-09-25,54.21,54.33,52.74,53.10,577169
2018-09-26,53.12,53.51,52.51,52.58,457235
