Date,Open,High,Low,Close,Volume
2018-06-06,4.79,4.83,4.77,4.80,8188327
2018-06-07,4.84,4.86,4.73,4.74,12072912
2018-06-08,4.73,4.76,4.70,4.71,7919074
2018-06-12,4.70,4.71,4.63,4.64,9025162
2018-06-13,4.62,4.64,4.51,4.55,9051634
2018-06-14,4.55,4.65,4.53,4.65,9803928
2018-06-15,4.68,4.72,4.64,4.71,14592197
2018-06-18,4.67,4.67,4.57,4.65,11955748
2018-06-19,4.64,4.65,4.51,4.52,16988807
2018-06-20,4.51,4.56,4.47,4.56,10256241
2018-06-21,4.57,4.59,4.54,4.55,10545116
2018-06-22,4.56,4.59,4.53,4.59,7034388
2018-06-25,4.63,4.68,4.62,4.63,5073460
2018-06-26,4.58,4.59,4.50,4.55,9630893
2018-06-27,4.57,4.60,4.51,4.53,6122683
2018-06-28,4.51,4.53,4.47,4.49,11425289
2018-06-29,4.47,4.47,4.36,4.39,24183059
2018-07-02,4.42,4.44,4.37,4.38,8985907
2018-07-03,4.41,4.42,4.32,4.34,10288303
2018-07-04,4.34,4.36,4.28,4.29,9266805
2018-07-05,4.28,4.37,4.25,4.32,9256322
2018-07-06,4.35,4.39,4.32,4.38,7078478
2018-07-09,4.39,4.41,4.35,4.38,7253924
2018-07-10,4.45,4.47,4.39,4.41,5336635
2018-07-11,4.41,4.43,4.34,4.37,8349332
2018-07-12,4.38,4.39,4.33,4.39,5781656
2018-07-13,4.39,4.42,4.34,4.35,5404626
2018-07-16,4.37,4.39,4.35,4.38,4305615
2018-07-17,4.44,4.46,4.38,4.43,7312765
2018-07-18,4.48,4.51,4.41,4.42,6685435
2018-07-19,4.47,4.54,4.43,4.50,12309278
2018-07-20,4.50,4.51,4.41,4.47,7474125
2018-07-23,4.45,4.55,4.43,4.53,8559787
2018-07-24,4.50,4.54,4.48,4.54,12181774
2018-07-25,4.62,4.63,4.55,4.56,11774011
2018-07-26,4.58,4.59,4.36,4.39,24266637
2018-07-27,4.43,4.43,4.34,4.35,19096661
2018-07-30,4.35,4.39,4.32,4.36,9423912
2018-07-31,4.36,4.39,4.32,4.37,9256217
2018-08-01,4.39,4.42,4.34,4.35,11019001
2018-08-02,4.32,4.36,4.26,4.27,16433965
2018-08-03,4.30,4.32,4.27,4.30,9080715
2018-08-06,4.37,4.40,4.31,4.34,9130973
2018-08-07,4.36,4.37,4.32,4.34,10398545
