Date,Open,High,Low,Close,Volume
2018-05-30,74.80,74.80,68.20,68.20,234336
2018-05-31,69.70,71.30,67.30,70.40,441187
2018-06-01,69.00,69.90,68.00,68.80,1217769
2018-06-04,68.50,68.90,68.00,68.60,625287
2018-06-05,68.10,69.20,67.40,67.50,230766
2018-06-06,67.30,68.10,66.90,67.00,419901
2018-06-07,66.90,67.60,66.00,66.00,446244
2018-06-08,64.60,66.10,64.10,64.10,945337
2018-06-11,63.10,65.00,63.00,64.80,468331
2018-06-12,61.90,64.40,61.90,64.00,788961
2018-06-13,64.00,66.10,63.40,63.70,522293
2018-06-14,63.00,64.20,62.60,62.90,318390
2018-06-15,62.20,65.70,61.00,65.70,561781
2018-06-18,64.00,64.30,61.80,61.80,372857
2018-06-19,60.80,63.00,60.50,61.10,386845
2018-06-20,60.60,60.90,57.80,58.70,728225
2018-06-21,59.30,60.40,57.40,57.90,555919
2018-06-22,57.90,58.60,57.00,57.60,776068
2018-06-25,57.00,58.00,56.10,56.50,940498
2018-06-26,58.40,58.40,56.10,58.00,300689
2018-06-27,58.40,58.40,56.60,56.80,407781
2018-06-28,56.50,57.60,56.50,57.00,1308022
2018-06-29,59.30,59.30,56.10,56.60,1287904
2018-07-02,57.10,57.50,56.50,57.50,318057
2018-07-03,57.20,57.90,56.60,56.90,730331
2018-07-04,56.40,56.70,55.60,56.50,174324
2018-07-05,56.20,56.70,55.20,55.20,8206696
2018-07-06,55.10,55.70,52.90,53.30,401294
2018-07-09,52.60,52.60,49.60,50.00,1120541
2018-07-10,51.10,51.10,49.10,50.10,368783
2018-07-11,49.10,49.70,47.55,47.55,213427
2018-07-12,47.50,48.40,47.00,47.85,587113
2018-07-13,50.40,50.40,49.20,49.25,7365159
2018-07-16,50.70,50.70,47.15,47.15,390416
2018-07-17,47.05,47.60,46.00,46.85,275902
2018-07-18,46.00,47.75,46.00,46.15,274981
2018-07-19,46.00,47.45,44.65,44.75,501150
2018-07-20,45.25,45.30,44.65,45.00,894847
2018-07-23,45.00,45.75,45.00,45.50,1226464
2018-07-24,45.75,45.75,45.00,45.15,260657
2018-07-25,46.60,47.25,45.25,46.60,258902
2018-07-26,45.80,48.35,45.80,47.55,154431
2018-07-27,48.75,48.95,46.55,47.60,420607
2018-07-30,48.80,53.50,48.80,52.00,1114681
2018-07-31,49.60,59.70,49.60,58.90,1032770
2018-08-01,59.80,64.30,59.50,63.00,1527988
2018-08-02,63.00,63.60,58.00,60.30,927486
2018-08-03,60.00,62.60,57.90,58.00,592375
2018-08-06,58.00,59.40,56.00,56.60,394092
2018-08-07,56.00,58.50,56.00,56.60,311526
2018-08-08,59.30,59.30,55.50,55.50,271737
2018-08-09,56.20,56.50,54.50,56.50,258324
2018-08-10,56.00,57.60,55.20,57.10,1424782
2018-08-13,58.00,58.00,55.10,57.10,324704
2018-08-14,57.00,58.00,55.80,56.40,652528
2018-08-15,57.30,57.30,55.40,55.50,553118
2018-08-16,56.00,56.20,54.50,56.00,372641
2018-08-17,57.00,57.10,54.00,54.00,658443
2018-08-20,56.00,56.00,54.40,55.00,35803
2018-08-21,54.00,56.90,54.00,56.90,41654
2018-08-22,55.60,58.50,55.60,57.70,299227
2018-08-23,56.00,59.00,56.00,59.00,58077
2018-08-24,59.00,59.00,56.30,58.00,272022
2018-08-28,57.40,57.60,55.50,55.90,11438228
