Date,Open,High,Low,Close,Volume
2018-05-30,1063.03,1069.21,1056.83,1067.80,1138500
2018-05-31,1067.56,1097.19,1067.56,1084.99,3088300
2018-06-01,1099.35,1120.00,1098.50,1119.50,2421600
2018-06-04,1122.33,1141.89,1122.01,1139.29,1889600
2018-06-05,1140.99,1145.74,1133.19,1139.66,1678000
2018-06-06,1142.17,1143.00,1125.74,1136.88,1698200
2018-06-07,1131.32,1135.82,1116.52,1123.86,1520000
2018-06-08,1118.18,1126.67,1112.15,1120.87,1290800
2018-06-11,1118.60,1137.26,1118.60,1129.99,1079300
2018-06-12,1131.07,1139.79,1130.73,1139.32,912000
2018-06-13,1141.12,1146.50,1133.38,1134.79,1506400
2018-06-14,1143.85,1155.47,1140.64,1152.12,1343400
2018-06-15,1148.86,1153.42,1143.48,1152.26,2122500
2018-06-18,1143.65,1174.31,1143.59,1173.46,1413700
2018-06-19,1158.50,1171.27,1154.01,1168.06,1621000
2018-06-20,1175.31,1186.29,1169.16,1169.84,1648500
2018-06-21,1174.85,1177.30,1152.23,1157.66,1238100
2018-06-22,1159.14,1162.50,1147.26,1155.48,1311000
2018-06-25,1143.60,1143.91,1112.78,1124.81,2157300
2018-06-26,1128.00,1133.21,1116.66,1118.46,1563200
2018-06-27,1121.34,1131.84,1103.62,1103.98,1293900
2018-06-28,1102.09,1122.31,1096.01,1114.22,1072400
2018-06-29,1120.00,1128.23,1115.00,1115.65,1315100
2018-07-02,1099.00,1128.00,1093.80,1127.46,1217300
2018-07-03,1135.82,1135.82,1100.02,1102.89,679000
2018-07-05,1110.53,1127.50,1108.48,1124.27,1066700
2018-07-06,1123.58,1140.93,1120.74,1140.17,996100
2018-07-09,1148.48,1154.67,1143.42,1154.05,909000
2018-07-10,1156.98,1159.59,1149.59,1152.84,798400
2018-07-11,1144.59,1164.29,1141.00,1153.90,1120000
2018-07-12,1159.89,1184.41,1155.94,1183.48,1251900
2018-07-13,1185.00,1195.42,1180.00,1188.82,1221900
2018-07-16,1189.39,1191.00,1179.28,1183.86,1055700
2018-07-17,1172.22,1203.04,1170.60,1198.80,1610400
2018-07-18,1196.56,1204.50,1190.34,1195.88,1393600
2018-07-19,1191.00,1200.00,1183.32,1186.96,1276700
2018-07-20,1186.96,1196.86,1184.22,1184.91,1247400
2018-07-23,1181.01,1206.49,1181.00,1205.50,2619200
2018-07-24,1262.59,1266.00,1235.56,1248.08,3318200
2018-07-25,1239.13,1265.86,1239.13,1263.70,2127800
2018-07-26,1251.00,1269.77,1249.02,1268.33,2405600
2018-07-27,1271.00,1273.89,1231.00,1238.50,2130600
2018-07-30,1228.01,1234.92,1211.47,1219.74,1849900
2018-07-31,1220.01,1227.59,1205.60,1217.26,1644700
2018-08-01,1228.00,1233.47,1210.21,1220.01,1567200
2018-08-02,1205.90,1229.88,1204.79,1226.15,1531300
2018-08-03,1229.62,1230.00,1215.06,1223.71,1089600
2018-08-06,1225.00,1226.09,1215.80,1224.77,1081700
2018-08-07,1237.00,1251.17,1236.17,1242.22,1494000
2018-08-08,1240.47,1256.50,1238.01,1245.61,1370300
2018-08-09,1249.90,1255.54,1246.01,1249.10,841800
2018-08-10,1243.00,1245.69,1232.00,1237.61,1108700
2018-08-13,1236.98,1249.27,1233.64,1235.01,958100
2018-08-14,1235.19,1245.87,1225.11,1242.10,1348100
2018-08-15,1229.26,1235.24,1209.51,1214.38,1828800
2018-08-16,1224.73,1226.00,1202.55,1206.49,1343200
2018-08-17,1202.03,1209.02,1188.24,1200.96,1389600
2018-08-20,1205.02,1211.00,1194.63,1207.77,870800
2018-08-21,1208.00,1217.26,1200.35,1201.62,1205600
2018-08-22,1200.00,1211.84,1199.00,1207.33,887400
2018-08-23,1207.14,1221.28,1204.24,1205.38,992600
2018-08-24,1208.82,1221.65,1206.36,1220.65,946600
2018-08-27,1227.60,1243.09,1225.72,1241.82,1156300
2018-08-28,1241.29,1242.55,1228.69,1231.15,1304000
2018-08-29,1237.45,1250.66,1236.36,1249.30,1298900
2018-08-30,1244.23,1253.64,1232.59,1239.12,1331400
2018-08-31,1234.98,1238.66,1211.29,1218.19,1816400
2018-09-04,1204.27,1212.99,1192.50,1197.00,1831000
2018-09-05,1193.80,1199.01,1162.00,1186.48,2061300
2018-09-06,1186.30,1186.30,1152.00,1171.44,1888500
2018-09-07,1158.67,1175.26,1157.21,1164.83,1401300
2018-09-10,1172.19,1174.54,1160.11,1164.64,1115400
2018-09-11,1161.63,1178.68,1156.24,1177.36,1209300
2018-09-12,1172.72,1178.61,1158.36,1162.82,1295500
2018-09-13,1170.74,1178.61,1162.85,1175.33,1431200
2018-09-14,1179.10,1180.43,1168.33,1172.53,944000
2018-09-17,1170.14,1177.24,1154.03,1156.05,1306500
2018-09-18,1157.09,1176.08,1157.09,1161.22,1203600
2018-09-19,1164.98,1173.21,1154.58,1171.09,1191400
2018-09-20,1179.99,1189.89,1173.36,1186.87,1210000
2018-09-21,1192.00,1192.21,1166.04,1166.09,4405600
2018-09-24,1157.17,1178.00,1146.91,1173.37,1271000
2018-09-25,1176.15,1186.88,1168.00,1184.65,977700
2018-09-26,1185.15,1194.23,1174.77,1180.49,1462300
2018-09-27,1186.73,1202.10,1183.63,1194.64,1260800
2018-09-28,1191.87,1195.41,1184.50,1193.47,1380600
2018-10-01,1199.89,1209.90,1190.30,1195.31,1357600
2018-10-02,1190.96,1209.96,1186.63,1200.11,1687900
2018-10-03,1205.00,1206.41,1193.83,1202.95,1256200
2018-10-04,1195.33,1197.51,1155.58,1168.19,2209500
2018-10-05,1167.50,1173.50,1145.12,1157.35,1184300
2018-10-08,1150.11,1168.00,1127.36,1148.97,1932400
2018-10-09,1146.15,1154.35,1137.57,1138.82,1308700
2018-10-10,1131.08,1132.17,1081.13,1081.22,2675700
2018-10-11,1072.94,1106.40,1068.27,1079.32,2949000
2018-10-12,1108.00,1115.00,1086.40,1110.08,2101300
2018-10-15,1108.91,1113.45,1089.00,1092.25,1372400
2018-10-16,1104.59,1124.22,1102.50,1121.28,1928500
