Date,Open,High,Low,Close,Volume
2018-06-06,229.85,232.58,229.36,232.23,2566400
2018-06-07,233.89,235.92,232.54,233.45,2905000
2018-06-08,233.00,234.27,232.35,233.39,2253100
2018-06-11,234.62,235.16,233.59,234.09,1936800
2018-06-12,234.12,235.23,231.86,232.63,2080000
2018-06-13,233.65,238.23,233.10,233.83,3637400
2018-06-14,235.87,235.89,232.59,233.65,2899600
2018-06-15,231.50,233.15,229.84,231.92,4738100
2018-06-18,230.20,231.67,229.15,231.39,2327500
2018-06-19,228.22,229.04,226.16,228.32,3326600
2018-06-20,229.92,229.94,226.96,227.82,2678300
2018-06-21,226.39,228.43,224.57,226.98,3094600
2018-06-22,227.78,230.50,225.58,226.02,2731800
2018-06-25,224.50,225.14,220.39,221.54,3817700
2018-06-26,221.78,222.80,219.12,221.58,2692900
2018-06-27,221.48,225.47,220.14,220.18,3104200
2018-06-28,220.25,224.66,219.58,223.42,3072600
2018-06-29,224.40,225.17,220.45,220.57,3393700
2018-07-02,219.75,223.34,218.89,223.26,1723200
2018-07-03,224.46,224.64,219.99,220.38,1204400
2018-07-05,221.50,222.14,219.78,220.74,2218200
2018-07-06,220.54,223.20,219.88,221.79,1846400
2018-07-09,223.36,228.20,223.00,227.99,2743900
2018-07-10,228.00,228.87,225.85,226.85,2524800
2018-07-11,225.76,227.25,225.20,225.66,2527000
2018-07-12,227.64,227.80,225.77,227.22,2223100
2018-07-13,226.63,228.62,223.93,226.41,2541500
2018-07-16,227.20,231.44,226.74,231.44,3271200
2018-07-17,231.48,233.23,226.87,231.02,9280200
2018-07-18,232.34,233.72,230.15,231.24,6149900
2018-07-19,231.11,231.99,228.98,229.63,4638500
2018-07-20,229.01,232.05,228.80,231.69,2683500
2018-07-23,231.80,234.86,231.72,233.76,2788500
2018-07-24,234.75,237.48,234.34,235.88,2887400
2018-07-25,235.01,236.85,233.95,236.69,2181500
2018-07-26,237.00,238.34,236.43,237.11,1885500
2018-07-27,237.96,238.80,235.99,237.64,1998200
2018-07-30,238.00,239.73,236.89,238.95,2454100
2018-07-31,239.50,239.50,236.55,237.43,2503700
2018-08-01,238.50,239.40,235.78,236.04,2510500
2018-08-02,233.93,235.21,232.77,233.99,2579700
2018-08-03,234.44,235.52,233.49,234.09,3053100
2018-08-06,234.14,236.98,234.03,235.93,2259600
2018-08-07,237.25,239.46,236.49,237.83,2399500
2018-08-08,238.12,239.16,236.23,236.37,2522400
2018-08-09,236.35,236.85,233.39,233.78,2951900
2018-08-10,230.97,231.46,228.11,229.61,3863400
2018-08-13,229.49,229.89,226.57,226.86,2662700
2018-08-14,227.35,230.37,227.30,229.56,2359000
2018-08-15,229.35,231.54,228.31,229.25,3218500
2018-08-16,230.67,233.29,230.45,233.00,2438300
2018-08-17,232.51,233.72,231.64,233.38,2107200
2018-08-20,234.13,235.98,234.08,235.78,2604900
2018-08-21,235.29,239.53,235.29,238.65,2437300
2018-08-22,237.89,239.67,237.58,239.34,1870900
2018-08-23,239.05,239.28,235.84,236.34,2064700
2018-08-24,237.36,237.80,234.70,235.11,1948100
2018-08-27,236.99,243.65,236.56,242.60,4106900
2018-08-29,242.05,242.79,240.31,241.40,1911700
2018-08-30,240.80,241.12,238.68,239.40,1963700
2018-08-31,238.94,239.35,237.12,237.81,1965500
2018-09-04,237.76,238.12,234.59,237.66,2083500
2018-09-05,237.01,239.45,236.17,237.56,2092000
2018-09-06,237.00,238.63,233.88,234.52,2651400
2018-09-07,235.05,235.64,232.68,233.91,1952900
2018-09-10,235.01,235.50,231.74,231.91,1948100
2018-09-11,230.67,231.65,228.66,230.21,2719400
2018-09-12,230.91,231.99,227.30,228.15,3577700
2018-09-13,229.50,229.85,227.57,228.33,3003600
2018-09-14,229.08,230.55,228.76,229.24,2228300
2018-09-17,229.40,230.16,227.30,227.89,1918800
2018-09-18,228.35,229.40,226.57,228.89,2498100
2018-09-19,229.90,236.28,229.52,235.58,3716500
2018-09-20,237.00,238.51,236.03,237.40,2503000
2018-09-21,238.06,238.52,234.83,235.34,3760300
2018-09-24,234.74,235.74,232.24,232.90,2057000
2018-09-25,234.64,234.64,232.23,232.50,2003200
2018-09-26,232.96,233.00,228.24,228.88,2372700
2018-09-27,228.77,229.85,227.52,227.74,2451500
2018-09-28,225.75,227.40,223.80,224.24,3097800
2018-10-01,226.22,227.59,225.00,225.33,2451300
2018-10-02,225.28,226.33,223.97,226.07,2272700
2018-10-03,227.75,229.77,226.58,227.78,2573900
2018-10-04,229.26,231.40,225.39,227.48,2903600
2018-10-05,228.00,228.41,224.21,225.71,1722400
