Date,Open,High,Low,Close,Volume
2018-05-30,50.19,50.87,50.01,50.41,5673500
2018-05-31,50.07,50.45,49.52,49.74,7275400
2018-06-01,50.00,50.12,48.67,49.08,9214200
2018-06-05,47.66,48.08,47.39,47.87,8358200
2018-06-06,48.08,48.52,47.74,48.30,10921700
2018-06-07,48.66,49.49,48.55,48.93,7431700
2018-06-08,48.87,48.89,47.54,48.10,9377500
2018-06-11,48.08,48.29,47.63,47.86,7526300
2018-06-12,47.89,48.08,47.34,47.86,9443300
2018-06-13,47.82,48.29,47.53,47.67,8709600
2018-06-14,47.75,48.12,47.50,47.73,6875700
2018-06-15,47.45,47.59,46.00,46.60,15150700
2018-06-18,46.31,47.03,46.30,46.62,5972800
2018-06-19,46.03,46.38,45.63,46.11,8345700
2018-06-20,46.47,46.47,45.50,45.71,8669300
2018-06-21,45.50,45.50,44.56,44.92,9286800
2018-06-22,46.94,47.35,45.98,46.22,14098300
2018-06-25,45.89,46.04,44.71,45.24,9564600
2018-06-26,45.07,45.46,44.41,45.34,8455100
2018-06-27,45.99,46.94,45.71,45.84,8636400
2018-06-28,45.85,46.00,45.27,45.63,7432400
2018-06-29,45.57,45.80,44.99,45.06,8623800
2018-07-02,44.88,44.88,44.01,44.47,7527400
2018-07-03,45.01,45.19,44.11,44.53,4651900
2018-07-05,44.73,44.79,44.32,44.45,5408200
2018-07-06,44.15,45.00,43.94,44.93,5642000
2018-07-09,45.14,45.97,45.14,45.83,6632300
2018-07-10,46.29,47.03,46.03,46.26,8631800
2018-07-11,45.58,45.93,44.77,45.10,8082400
2018-07-12,45.32,45.42,44.61,44.92,6793100
2018-07-13,45.00,45.60,44.81,45.35,4607300
2018-07-16,44.78,44.99,44.34,44.96,5280800
2018-07-17,44.75,45.50,44.51,45.06,7282000
2018-07-18,44.76,45.09,44.07,44.80,6856800
2018-07-19,44.54,45.36,44.39,44.96,6387800
2018-07-20,45.16,45.29,44.80,45.20,10584000
2018-07-23,42.60,43.05,41.25,41.54,31042400
2018-07-24,41.91,41.94,40.21,40.35,24846300
2018-07-25,40.41,40.42,39.47,39.82,22149400
2018-07-26,40.10,41.57,39.91,41.31,17273200
2018-07-27,41.24,42.08,41.20,41.80,10563200
2018-07-30,42.31,42.89,42.19,42.29,9024700
2018-07-31,42.35,42.49,41.48,42.42,10245300
2018-08-01,41.99,42.39,41.40,42.06,9216500
2018-08-02,41.39,42.15,41.39,41.91,6558300
2018-08-03,42.00,42.48,41.86,42.05,7336300
2018-08-06,42.16,42.24,41.84,41.96,5123500
2018-08-07,42.41,42.47,41.97,42.03,6557700
2018-08-08,41.75,42.31,41.73,42.03,5250800
2018-08-09,42.06,42.13,41.42,41.51,6172500
2018-08-10,41.54,41.99,41.24,41.94,3932500
2018-08-13,41.84,41.88,40.76,40.85,8411800
2018-08-14,41.06,41.25,40.64,40.67,5138900
2018-08-15,40.38,40.42,38.93,39.70,9293400
