Date,Open,High,Low,Close,Volume
2018-05-30,184.83,187.80,184.01,187.09,3976000
2018-05-31,187.16,187.36,185.25,186.55,4839900
2018-06-01,187.21,188.83,186.52,187.35,3706200
2018-06-04,188.22,191.54,187.97,191.36,4103300
2018-06-05,190.44,192.38,189.70,191.94,4231300
2018-06-06,193.07,193.59,191.21,193.59,4134700
2018-06-07,193.83,197.20,193.83,196.17,4378700
2018-06-08,195.87,198.50,195.01,198.33,4006200
2018-06-11,198.91,200.52,198.34,199.64,4243000
2018-06-12,199.84,201.34,199.51,201.31,4616700
2018-06-13,201.30,201.58,199.66,200.31,5128100
2018-06-14,200.26,201.00,198.16,199.67,4305900
2018-06-15,198.95,201.60,198.50,200.54,7820900
2018-06-18,198.94,200.91,198.11,200.69,3396300
2018-06-19,198.21,199.90,198.10,199.21,5501100
2018-06-20,200.00,200.13,198.12,199.08,3389600
2018-06-21,199.21,200.94,198.61,200.31,4695100
2018-06-22,200.79,201.20,197.17,197.41,6785800
2018-06-25,197.41,197.84,195.06,196.38,5127200
2018-06-26,196.58,197.33,195.60,196.36,3270600
2018-06-27,196.66,197.99,195.01,195.02,3771700
2018-06-28,195.00,196.01,193.51,195.21,2994000
2018-06-29,195.86,198.83,194.99,195.10,4106600
2018-07-02,193.82,194.18,192.12,194.02,3822800
2018-07-03,194.44,195.71,193.41,193.62,1608400
2018-07-05,194.49,194.74,193.13,194.41,3040600
2018-07-06,194.58,195.35,192.95,194.48,2552400
2018-07-09,195.70,196.71,195.03,196.08,2575100
2018-07-10,196.56,197.76,196.38,197.61,2842400
2018-07-11,197.22,197.76,195.95,196.95,3309300
2018-07-12,198.20,198.48,197.00,197.95,2709200
2018-07-13,198.46,199.93,198.46,198.69,2308100
2018-07-16,199.14,199.22,197.89,198.88,2530500
2018-07-17,198.63,201.43,198.63,201.10,4662800
2018-07-18,201.02,201.92,200.19,200.97,3787800
2018-07-19,200.89,203.23,200.55,202.63,3691100
2018-07-20,202.08,203.76,201.82,202.45,3564100
2018-07-23,202.46,203.39,201.90,202.23,2264300
2018-07-24,203.53,204.25,201.35,201.99,5058100
2018-07-25,201.40,202.29,199.07,201.00,4382700
2018-07-26,201.53,202.12,198.91,199.40,4280000
2018-07-27,200.21,200.49,196.68,197.14,3871200
2018-07-30,196.53,197.57,196.40,197.28,2331100
2018-07-31,197.69,198.03,196.87,197.52,2795900
2018-08-01,196.86,197.74,195.60,196.30,3086800
2018-08-02,195.10,195.84,193.55,195.66,3543500
2018-08-03,196.03,196.40,195.25,195.64,2309000
2018-08-06,195.62,196.06,195.11,195.69,2515700
2018-08-07,196.35,197.20,195.64,197.05,3052500
2018-08-08,197.44,198.91,197.30,198.02,2176700
2018-08-09,199.00,199.74,198.04,198.08,2453400
2018-08-10,197.34,197.93,195.64,196.30,2873000
2018-08-13,196.30,197.59,194.00,194.14,5242500
2018-08-14,195.17,195.98,191.27,193.10,11488000
2018-08-15,191.75,194.18,191.09,193.99,6049300
2018-08-16,194.02,196.09,193.72,195.39,5690100
2018-08-17,195.60,195.98,194.82,195.56,3885800
2018-08-20,195.84,198.44,195.40,197.93,2956700
2018-08-21,198.83,200.74,198.41,200.23,4124600
2018-08-22,200.80,203.55,198.65,198.97,5007000
2018-08-23,199.39,201.41,199.14,200.16,3595000
2018-08-24,200.35,202.50,200.00,201.30,3054300
2018-08-27,202.83,202.95,201.19,201.98,2521300
2018-08-29,201.11,201.99,200.71,201.68,2488000
2018-08-30,201.00,201.44,199.10,199.26,2825400
2018-08-31,199.38,200.91,199.29,200.77,4023300
2018-09-04,200.69,205.92,200.50,205.08,4612800
2018-09-05,204.83,206.67,203.15,204.15,3667100
2018-09-06,204.59,207.09,203.80,205.89,3490400
2018-09-07,205.45,207.23,205.43,206.23,3672700
2018-09-10,208.13,211.62,208.13,210.69,5586600
2018-09-11,213.00,214.66,211.50,213.85,5969500
2018-09-12,214.03,215.43,210.91,211.98,5660100
2018-09-13,211.44,211.44,208.70,209.45,4701100
2018-09-14,210.19,210.53,207.55,209.07,3622400
2018-09-17,209.08,210.04,208.26,208.40,3074700
2018-09-18,208.63,211.73,208.16,211.02,4338500
2018-09-19,212.00,212.67,210.66,211.68,2579100
2018-09-20,211.66,212.61,211.01,211.06,4020800
2018-09-21,211.30,212.66,210.51,212.39,9749200
2018-09-24,211.52,211.84,207.96,207.99,4623700
2018-09-25,208.84,209.30,206.80,207.46,4443300
2018-09-26,208.58,209.14,207.23,207.52,2965800
2018-09-27,207.50,207.83,205.67,206.84,3218800
2018-09-28,206.44,208.85,206.35,207.15,3966100
2018-10-01,208.52,209.79,207.37,207.60,3670500
2018-10-02,207.49,208.04,204.67,204.75,4428000
2018-10-03,206.16,206.46,203.65,203.74,4162500
2018-10-04,203.65,203.76,198.27,198.85,5996200
2018-10-05,199.07,199.70,194.57,196.38,5016600
2018-10-08,196.24,198.66,195.06,198.41,3731800
2018-10-09,197.95,199.18,195.58,195.75,4466800
2018-10-10,199.11,199.24,193.35,193.70,6157900
2018-10-11,193.71,196.67,188.47,189.74,5831400
2018-10-12,192.75,193.59,190.16,192.47,5450200
2018-10-15,192.36,193.29,190.70,191.17,3642800
2018-10-16,191.83,194.08,190.61,193.58,4057400
2018-10-17,189.64,190.67,183.98,185.17,8985700
2018-10-18,184.26,185.40,179.53,180.44,9262000
2018-10-19,180.34,180.99,178.57,179.85,7004300
2018-10-22,180.82,181.40,177.56,178.75,4866700
2018-10-23,175.77,179.49,175.44,178.53,7004900
2018-10-24,178.58,182.37,176.31,176.97,6791700
2018-10-25,177.52,180.50,176.83,179.07,5228000
2018-10-26,176.88,177.34,170.91,172.23,9472200
2018-10-29,173.74,175.99,170.95,173.20,5918400
2018-10-30,173.16,176.43,172.64,176.24,5657100
2018-10-31,177.98,178.85,175.59,175.88,6339500
2018-11-01,176.84,180.86,175.90,180.46,5225300
2018-11-02,182.47,183.01,177.39,179.93,4730600
2018-11-05,181.02,182.41,179.30,182.19,3885300
2018-11-06,181.93,182.65,180.05,182.01,3338800
2018-11-07,183.79,187.68,182.06,187.23,4673400
2018-11-08,187.13,188.69,185.72,188.00,4054000
2018-11-09,188.32,188.48,184.96,185.99,4761100
2018-11-12,185.23,186.95,179.02,179.43,7590400
2018-11-13,177.30,181.62,172.85,179.00,14274000
2018-11-14,182.61,182.90,179.15,179.90,7561100
2018-11-15,179.01,179.67,173.61,177.36,8663100
2018-11-16,173.99,177.61,173.51,177.02,6834900
2018-11-19,176.71,178.88,172.30,173.59,6203400
