Date,Open,High,Low,Close,Volume
2018-06-06,9.68,9.79,9.61,9.71,1049506
2018-06-07,9.61,9.75,9.47,9.62,737028
2018-06-08,9.50,9.71,9.35,9.51,598950
2018-06-12,9.64,9.76,9.49,9.72,640905
2018-06-13,9.70,9.84,9.69,9.76,1258133
2018-06-14,9.76,9.99,9.76,9.78,911481
2018-06-15,9.84,9.95,9.74,9.76,929617
2018-06-18,9.84,9.89,9.70,9.83,984642
2018-06-19,9.98,10.33,9.98,10.03,1094360
2018-06-20,10.19,10.30,10.06,10.21,1043838
2018-06-21,10.61,10.66,10.45,10.58,1645895
2018-06-22,10.79,10.90,10.55,10.59,963846
2018-06-25,10.78,10.91,10.68,10.90,488214
2018-06-26,10.92,10.92,10.64,10.75,1251530
2018-06-27,10.78,10.88,10.68,10.80,812352
2018-06-28,10.79,10.89,10.53,10.60,703655
2018-06-29,10.58,10.74,10.49,10.51,1168573
2018-07-02,10.61,10.61,10.39,10.43,996298
2018-07-03,10.43,10.55,10.28,10.30,1054263
2018-07-04,10.29,10.38,10.06,10.14,1379918
2018-07-05,10.23,10.26,9.97,9.99,883574
2018-07-06,9.98,9.98,9.83,9.92,868981
2018-07-09,9.92,10.06,9.87,9.91,502052
2018-07-10,9.89,10.02,9.85,9.94,679389
2018-07-11,9.92,10.01,9.90,9.92,795174
2018-07-12,10.11,10.22,9.91,9.94,1310196
2018-07-13,9.94,10.05,9.94,9.99,730113
2018-07-16,9.99,10.20,9.97,10.00,603776
2018-07-17,9.95,10.12,9.95,9.99,675347
2018-07-18,10.00,10.09,9.97,10.00,380692
2018-07-19,9.99,10.12,9.92,10.09,802933
2018-07-20,10.05,10.22,10.01,10.21,651706
2018-07-23,10.17,10.20,9.90,9.94,304058
2018-07-24,10.10,10.25,10.03,10.07,722905
2018-07-25,10.01,10.13,9.94,10.11,618830
2018-07-26,10.20,10.21,10.03,10.12,343599
2018-07-27,10.33,10.49,10.23,10.29,481814
2018-07-30,10.45,10.45,10.01,10.03,435372
2018-07-31,10.04,10.15,9.73,9.78,581596
2018-08-01,9.86,9.90,9.65,9.67,569820
2018-08-02,9.57,9.77,9.57,9.72,749986
2018-08-03,9.92,9.94,9.74,9.78,460578
2018-08-06,9.78,9.88,9.62,9.66,503835
2018-08-07,9.63,9.91,9.63,9.82,939230
2018-08-08,9.93,10.14,9.82,9.86,580708
2018-08-09,9.91,9.99,9.82,9.86,447131
2018-08-10,10.06,10.18,9.91,9.94,342826
2018-08-13,9.83,9.95,9.78,9.88,220983
2018-08-14,10.02,10.07,9.92,9.95,464778
2018-08-15,10.04,10.11,9.92,10.07,780504
2018-08-16,10.12,10.24,9.92,10.00,451215
2018-08-17,10.01,10.01,9.78,9.83,229805
2018-08-20,9.89,9.96,9.83,9.88,267791
2018-08-21,9.90,9.96,9.85,9.90,225573
2018-08-22,9.90,10.14,9.81,10.13,435803
2018-08-23,10.12,10.13,9.69,9.86,908650
2018-08-24,10.06,10.90,10.05,10.75,1225256
2018-08-27,10.98,11.44,10.76,10.94,892630
2018-08-28,10.92,10.92,10.56,10.83,436989
2018-08-29,10.78,10.89,10.65,10.75,386253
2018-08-30,11.00,11.07,10.73,11.00,703693
2018-08-31,10.97,11.10,10.69,10.87,577029
2018-09-03,10.90,10.90,10.65,10.69,462343
2018-09-04,10.70,11.07,10.63,10.90,1149060
2018-09-06,10.86,10.86,10.41,10.52,614889
2018-09-07,10.49,10.54,10.25,10.53,468000
2018-09-10,10.49,10.62,10.39,10.45,518823
2018-09-11,10.21,10.43,10.21,10.40,829708
2018-09-12,10.37,10.65,10.36,10.52,556332
2018-09-13,10.30,10.47,10.30,10.40,298946
2018-09-14,10.50,10.50,10.35,10.40,479720
2018-09-17,10.63,10.63,10.26,10.34,736059
2018-09-18,10.23,10.31,10.21,10.27,685751
2018-09-19,10.44,10.48,10.32,10.39,998926
2018-09-20,10.37,10.38,10.16,10.24,851316
2018-09-21,10.21,10.37,10.04,10.06,693200
2018-09-24,9.93,10.15,9.77,10.05,1161634
2018-09-25,10.01,10.12,9.98,10.04,521783
2018-09-26,10.06,10.16,9.95,10.03,295168
2018-09-27,10.11,10.18,9.98,10.10,723083
2018-09-28,10.10,10.48,10.10,10.31,834102
2018-10-01,10.18,10.24,10.11,10.17,386455
2018-10-02,10.10,10.21,9.93,9.96,456199
2018-10-03,9.98,10.04,9.90,10.01,378173
2018-10-04,9.94,10.06,9.89,9.91,426491
2018-10-05,9.90,10.19,9.85,10.16,588649
2018-10-08,10.07,10.21,10.01,10.08,424202
2018-10-09,10.08,10.14,9.93,10.03,591343
2018-10-10,10.21,10.28,9.98,10.04,635523
2018-10-11,9.75,9.82,9.59,9.61,665773
2018-10-12,9.13,9.75,8.47,9.58,1406161
2018-10-15,9.39,9.75,9.39,9.60,411071
2018-10-16,9.50,9.81,9.50,9.78,374716
2018-10-17,9.61,9.90,9.61,9.87,331618
2018-10-18,9.82,9.87,9.73,9.75,310903
2018-10-19,9.62,9.79,9.56,9.76,471036
2018-10-22,9.57,9.67,9.46,9.49,834894
2018-10-23,9.41,9.80,9.41,9.73,953618
2018-10-24,9.61,9.79,9.52,9.53,441546
2018-10-25,9.30,9.39,9.15,9.23,664017
2018-10-26,9.13,9.26,9.13,9.22,829797
2018-10-29,9.01,9.28,9.01,9.12,564423
2018-10-30,8.99,9.26,8.91,9.24,618846
2018-10-31,9.07,9.29,9.06,9.21,557142
2018-11-01,9.02,9.43,9.02,9.39,504370
2018-11-02,9.32,9.59,9.25,9.50,307466
2018-11-05,9.37,9.62,9.32,9.34,328106
2018-11-06,9.28,9.44,9.28,9.38,151050
2018-11-07,9.28,9.74,9.28,9.71,394618
2018-11-08,9.71,9.81,9.58,9.70,360242
2018-11-09,9.55,9.84,9.55,9.67,455758
2018-11-12,9.60,9.77,9.59,9.72,346796
2018-11-13,9.45,9.64,9.40,9.56,351484
2018-11-14,9.65,9.65,9.33,9.35,318828
2018-11-15,9.22,9.41,9.13,9.30,317045
2018-11-16,9.11,9.28,9.07,9.15,279741
2018-11-19,9.60,9.71,9.28,9.37,411121
2018-11-20,9.20,9.20,8.68,8.91,750126
2018-11-21,8.77,8.94,8.65,8.71,708204
2018-11-22,8.65,9.02,8.65,8.82,710153
2018-11-23,8.76,8.92,8.62,8.87,317332
2018-11-26,8.71,8.79,8.67,8.73,307606
2018-11-27,8.72,8.76,8.45,8.73,356708
2018-11-28,8.90,9.06,8.76,9.06,671156
2018-11-29,9.20,9.31,9.17,9.23,628915
2018-11-30,9.22,9.23,9.10,9.14,825211
2018-12-03,9.29,9.44,9.15,9.26,352612
2018-12-04,9.22,9.33,9.13,9.30,340617
2018-12-05,9.03,9.44,9.03,9.40,612495
2018-12-06,9.46,9.83,9.33,9.40,456691
2018-12-07,9.40,9.49,9.39,9.40,330748
2018-12-10,9.29,9.40,9.25,9.30,400884
2018-12-11,9.31,9.45,9.31,9.42,614751
2018-12-12,9.38,9.58,9.36,9.57,737405
2018-12-13,9.74,9.74,9.50,9.50,304777
2018-12-14,9.36,9.48,9.30,9.42,491352
2018-12-17,9.58,9.77,9.48,9.70,360252
2018-12-18,9.74,9.74,9.53,9.60,342217
2018-12-19,9.60,9.65,9.50,9.58,647797
2018-12-20,9.63,9.70,9.55,9.60,798639
2018-12-21,9.75,9.78,9.28,9.44,826258
2018-12-24,9.27,9.64,9.25,9.57,111900
2018-12-27,9.44,9.68,9.37,9.54,573974
2018-12-28,9.71,9.75,9.59,9.72,121406
2018-12-31,9.75,10.00,9.75,9.87,205525
2019-01-02,9.79,10.01,9.79,9.81,1077762
2019-01-03,9.69,10.11,9.63,9.85,396439
2019-01-04,9.94,9.94,9.75,9.81,317497
2019-01-07,9.95,10.08,9.88,10.00,394978
2019-01-08,10.14,10.45,10.01,10.39,443962
2019-01-09,10.33,10.58,10.29,10.49,770980
2019-01-10,10.57,10.58,10.17,10.29,589222
2019-01-11,10.40,10.75,10.27,10.52,553842
2019-01-14,10.68,10.68,10.44,10.58,395056
2019-01-15,10.75,10.81,10.63,10.73,291280
2019-01-16,10.52,11.11,10.52,11.00,360662
2019-01-17,11.07,11.38,11.01,11.34,369027
2019-01-18,11.39,11.44,11.24,11.32,776667
2019-01-21,11.45,11.75,11.39,11.44,660240
2019-01-22,11.50,11.51,11.11,11.14,680309
2019-01-23,11.14,11.43,11.03,11.30,1484610
