Date,Open,High,Low,Close,Volume
2018-06-06,56.53,57.06,56.08,57.03,22955400
2018-06-07,56.92,57.00,55.62,55.88,27596100
2018-06-08,55.56,55.70,54.66,55.05,30822900
2018-06-11,54.80,55.09,54.26,54.52,25752400
2018-06-12,54.87,55.03,54.22,54.82,23294900
2018-06-13,54.98,55.70,54.91,55.03,22631400
2018-06-14,55.45,55.86,55.18,55.54,23419800
2018-06-15,55.17,55.38,54.58,55.11,39194700
2018-06-18,54.30,54.30,52.34,53.22,40764400
2018-06-19,52.14,52.95,51.88,52.93,31780900
2018-06-20,53.19,53.75,52.69,53.46,21403000
2018-06-21,54.38,54.53,51.94,52.19,44435600
2018-06-22,52.62,53.09,52.30,52.50,34682100
2018-06-25,51.17,51.75,49.91,50.71,45356500
2018-06-26,49.95,50.41,49.36,49.67,37543000
2018-06-27,49.34,50.06,48.75,48.76,33338800
2018-06-28,48.58,49.49,48.50,49.25,29055700
2018-06-29,49.53,50.11,49.50,49.71,28906500
2018-07-02,49.04,50.27,48.83,50.20,23755500
2018-07-03,50.58,50.86,49.43,49.47,16327900
2018-07-05,49.98,50.96,49.75,50.75,26163500
2018-07-06,50.77,51.50,50.40,51.37,19968000
2018-07-09,51.64,51.89,51.00,51.86,21361600
2018-07-10,52.10,52.26,51.84,52.16,17362900
2018-07-11,51.69,51.87,51.19,51.20,18665600
2018-07-12,52.05,52.48,51.73,52.35,20292700
2018-07-13,52.40,52.42,51.76,52.22,13749300
2018-07-16,52.15,52.32,51.87,52.01,15951500
2018-07-17,51.05,51.88,51.01,51.75,15754500
2018-07-18,51.87,51.97,51.47,51.72,14649000
2018-07-19,51.60,52.01,51.05,51.98,15954600
2018-07-20,51.83,52.07,51.33,51.91,17380500
2018-07-23,51.77,52.50,51.33,52.31,15945500
2018-07-24,52.76,53.30,52.08,52.18,17788700
2018-07-25,52.21,52.45,51.09,52.43,19854800
2018-07-26,52.45,53.18,51.87,52.16,28282500
2018-07-27,48.76,49.20,47.48,47.68,67816700
2018-07-30,47.63,47.99,46.43,47.69,35696600
2018-07-31,48.24,48.68,47.69,48.10,36581200
2018-08-01,48.06,48.91,48.00,48.81,28060700
2018-08-02,48.50,49.52,48.20,49.48,26452500
2018-08-06,48.77,49.31,48.32,49.30,26669000
2018-08-07,49.43,49.83,49.41,49.70,28322700
2018-08-08,49.60,50.13,49.44,49.96,21990600
2018-08-09,49.86,50.60,49.72,50.14,23788200
2018-08-10,48.51,49.17,48.30,48.85,28712400
2018-08-13,48.92,49.24,48.38,48.45,17002700
2018-08-14,48.67,48.76,47.65,48.12,23061600
2018-08-15,47.78,48.00,46.90,47.46,26739900
2018-08-16,47.75,47.95,47.05,47.17,24358000
2018-08-17,47.00,47.39,46.33,47.10,26382000
2018-08-20,47.05,47.12,46.19,46.50,24334000
2018-08-21,46.66,47.85,46.64,47.62,19254300
2018-08-22,47.25,47.35,46.92,47.05,23182500
2018-08-23,46.86,47.17,46.71,46.98,31343200
2018-08-24,47.29,47.89,47.08,47.66,18214700
2018-08-27,48.00,48.39,47.63,48.35,17170300
2018-08-28,48.55,48.79,48.31,48.57,13472400
2018-08-29,48.70,48.86,48.40,48.75,13479100
2018-08-30,48.52,48.83,48.09,48.24,16418800
2018-08-31,47.96,48.56,47.92,48.43,16484000
2018-09-04,48.38,48.43,47.56,47.96,15682900
2018-09-05,47.75,48.12,47.47,47.72,20857200
2018-09-06,47.76,47.96,47.21,47.26,19318100
2018-09-07,46.91,47.48,46.36,46.45,25958300
2018-09-10,46.56,46.76,46.23,46.30,21522400
2018-09-11,46.00,46.03,44.89,44.93,32455300
2018-09-12,44.56,44.98,44.06,44.93,29778700
