Date,Open,High,Low,Close,Volume
2018-06-06,23.51,23.88,23.42,23.60,435517
2018-06-07,23.25,23.62,23.25,23.41,403642
2018-06-08,23.09,23.87,23.09,23.43,319035
2018-06-12,23.43,23.62,23.27,23.42,491856
2018-06-13,23.24,23.59,22.95,22.98,515028
2018-06-14,22.89,23.00,22.54,22.82,450623
2018-06-15,22.92,23.02,22.58,22.71,653795
2018-06-18,22.72,22.94,22.59,22.89,523354
2018-06-19,22.90,23.02,22.57,22.80,949795
2018-06-20,22.67,22.75,22.31,22.70,1760025
2018-06-21,22.90,23.28,22.86,22.90,1320065
2018-06-22,22.99,23.41,22.85,23.33,958299
2018-06-25,23.20,23.39,22.94,23.08,352690
2018-06-26,22.92,23.08,22.78,22.90,378985
2018-06-27,22.90,23.14,22.50,22.72,1057650
2018-06-28,22.64,23.04,22.54,22.65,922581
2018-06-29,22.66,22.96,22.52,22.52,822657
2018-07-02,22.63,22.76,22.40,22.42,613552
2018-07-03,22.44,22.77,22.31,22.74,1034766
2018-07-04,22.80,22.89,22.35,22.41,1028020
2018-07-05,22.58,22.71,22.48,22.60,466107
2018-07-06,22.65,22.69,22.48,22.60,333977
2018-07-09,22.60,22.68,22.47,22.53,739241
2018-07-10,22.69,22.94,22.52,22.78,715164
2018-07-11,22.75,22.89,22.49,22.62,353128
2018-07-12,22.75,23.56,22.64,23.41,786514
2018-07-13,23.41,23.52,23.13,23.29,370880
2018-07-16,23.29,23.79,23.29,23.53,424655
2018-07-17,23.60,23.80,23.31,23.42,477329
2018-07-18,23.33,23.80,23.33,23.65,452349
2018-07-19,23.84,24.11,23.50,23.79,747098
2018-07-20,23.88,23.90,23.52,23.70,412288
2018-07-23,23.50,23.60,23.31,23.37,358450
2018-07-24,23.37,23.76,23.37,23.64,315068
2018-07-25,23.85,23.87,23.47,23.58,314023
2018-07-26,23.58,23.83,23.40,23.80,351421
2018-07-27,23.95,24.40,23.79,23.98,413800
2018-07-30,23.80,23.96,23.58,23.84,251929
2018-07-31,23.65,23.98,23.57,23.85,442498
2018-08-01,23.66,23.88,23.43,23.76,451168
2018-08-02,23.68,23.83,22.58,22.66,908891
2018-08-03,22.83,22.99,22.52,22.74,666247
2018-08-06,22.80,22.95,22.57,22.71,271051
2018-08-07,22.68,22.79,22.15,22.20,605395
2018-08-08,22.09,22.47,21.99,22.37,590627
2018-08-09,22.49,22.97,22.36,22.78,544146
2018-08-10,22.99,23.74,22.99,23.47,659730
2018-08-13,24.66,24.80,23.28,23.38,1117192
2018-08-14,23.69,24.79,23.47,24.73,1576612
2018-08-15,25.01,26.17,25.00,26.17,1620644
2018-08-16,25.89,26.38,25.60,26.19,2237165
2018-08-17,26.09,26.20,25.78,26.04,641054
2018-08-20,26.10,26.46,25.88,26.21,763187
2018-08-21,26.26,26.39,25.74,26.00,887831
2018-08-23,25.46,25.67,25.24,25.59,1031476
2018-08-24,25.60,25.93,25.53,25.60,869603
2018-08-27,25.51,25.76,25.39,25.47,516149
2018-08-28,25.40,25.80,25.21,25.29,541704
2018-08-29,25.31,25.74,25.29,25.58,950404
2018-08-30,25.69,26.28,25.69,26.06,936116
2018-08-31,25.80,26.45,25.80,26.40,958879
2018-09-03,26.15,26.40,25.48,25.86,851280
