Date,Open,High,Low,Close,Volume
2018-05-30,120.12,121.58,119.54,120.97,6423700
2018-05-31,120.92,121.25,119.54,119.62,10337500
2018-06-01,120.38,121.32,119.97,121.26,5741000
2018-06-04,121.85,122.37,121.02,121.95,4853000
2018-06-05,122.05,122.56,120.90,121.48,5125400
2018-06-06,121.97,122.79,121.46,122.79,6799300
2018-06-07,123.00,123.49,122.27,123.33,7414100
2018-06-08,123.36,124.85,123.33,124.06,6208100
2018-06-11,124.27,124.34,122.55,122.66,5571400
2018-06-12,123.16,123.18,121.95,122.54,5227300
2018-06-13,123.15,124.09,122.46,122.63,5836900
2018-06-14,122.71,123.15,122.09,122.41,5239200
2018-06-15,122.10,122.73,121.24,122.61,13173500
2018-06-18,121.61,121.81,120.25,121.32,6787400
2018-06-19,120.66,123.17,120.57,122.57,8572400
2018-06-20,122.42,122.66,121.66,122.04,6277200
2018-06-21,121.83,122.24,121.11,121.45,4417200
2018-06-22,121.68,123.38,121.65,122.84,9501400
2018-06-25,122.82,123.43,121.51,122.59,8170500
2018-06-26,122.49,122.89,121.60,122.35,5496400
2018-06-27,122.13,122.97,121.45,121.61,5666000
2018-06-28,121.78,122.41,121.07,122.00,5296800
2018-06-29,122.24,123.18,121.19,121.34,7308700
2018-07-02,121.34,121.73,120.11,121.58,5481400
2018-07-03,121.65,123.46,121.26,122.71,4248100
2018-07-05,123.60,125.12,123.23,125.00,7319100
2018-07-06,125.16,125.92,124.61,125.75,7297900
2018-07-09,126.22,126.75,125.60,126.05,6706100
2018-07-10,126.37,127.52,126.11,127.38,5075600
2018-07-11,127.41,127.44,126.06,126.24,4827400
2018-07-12,127.71,128.21,127.17,127.76,6199000
2018-07-13,125.32,127.50,125.32,125.93,8250200
2018-07-16,126.00,126.10,124.16,124.69,7314400
2018-07-17,128.53,130.54,127.56,129.11,12858700
2018-07-18,128.81,129.05,127.17,127.80,7152000
2018-07-19,127.53,127.70,125.87,125.94,5984600
2018-07-20,125.30,126.14,125.12,125.85,5835500
2018-07-23,125.75,126.68,125.45,126.63,4631100
2018-07-24,127.24,129.62,127.15,129.36,7158800
2018-07-25,129.14,129.23,127.65,128.62,6523000
2018-07-26,129.90,131.22,129.85,130.28,7640600
2018-07-27,129.98,132.27,129.94,131.55,6620400
2018-07-30,131.78,132.49,131.25,132.17,11013100
2018-07-31,132.28,132.64,131.77,132.52,7598900
2018-08-01,132.39,132.96,132.08,132.64,5770400
