Date,Open,High,Low,Close,Volume
2018-05-30,107.64,108.60,106.65,108.35,17490800
2018-05-31,107.95,108.19,106.42,107.01,19808200
2018-06-01,108.34,108.94,107.80,108.40,13594200
2018-06-04,108.99,109.26,108.27,108.45,9415400
2018-06-05,108.24,108.31,107.07,107.84,10415200
2018-06-06,108.66,110.74,108.48,110.36,15453600
2018-06-07,111.18,111.50,110.03,110.80,13444400
2018-06-08,110.62,111.14,110.06,111.11,10383200
2018-06-11,111.12,111.91,110.77,110.83,12642900
2018-06-12,111.14,111.53,109.52,110.19,15294100
2018-06-13,110.46,111.45,109.58,109.97,14979700
2018-06-14,110.28,110.36,107.78,108.03,20487300
2018-06-15,107.80,108.38,106.27,107.90,26028600
2018-06-18,107.26,108.40,106.69,108.18,9786800
2018-06-19,106.90,107.88,106.60,107.55,12707200
2018-06-20,108.18,108.64,107.44,107.54,8876900
2018-06-21,107.10,108.21,106.53,107.51,11048700
2018-06-22,108.16,108.37,105.51,105.75,19478900
2018-06-25,105.66,105.70,103.96,104.79,16907600
2018-06-26,104.71,105.21,103.11,104.86,17086800
2018-06-27,104.68,105.92,103.23,103.24,16276800
2018-06-28,103.68,105.46,103.51,104.93,14491300
2018-06-29,106.68,106.90,104.15,104.20,18972400
2018-07-02,103.72,105.09,103.38,105.08,11130000
2018-07-05,104.13,104.38,103.53,103.72,10723400
2018-07-06,103.12,104.50,102.20,104.06,12173700
2018-07-09,104.71,107.46,104.71,107.28,13900800
2018-07-10,108.02,108.40,106.53,106.62,14575900
2018-07-11,106.31,107.06,106.21,106.39,10186500
2018-07-12,107.42,107.56,105.97,106.85,12456800
2018-07-13,107.30,107.80,105.14,106.36,21289100
2018-07-16,107.05,110.77,106.98,110.58,24662600
2018-07-17,110.69,110.93,109.75,110.50,14821900
2018-07-18,110.42,112.12,110.20,111.53,14244900
2018-07-19,111.06,111.09,109.73,109.89,16775300
2018-07-20,110.00,111.74,109.78,111.28,13578100
2018-07-23,111.06,114.24,110.93,113.35,18140000
2018-07-24,113.55,114.78,113.42,114.15,14000400
2018-07-25,113.88,115.52,113.38,115.18,13329100
2018-07-26,115.42,115.59,114.58,114.85,11897800
2018-07-27,115.18,116.30,114.81,116.03,12802700
2018-07-30,116.28,117.61,116.06,116.73,13411600
2018-07-31,117.08,117.08,114.82,114.95,15843800
2018-08-01,115.75,116.69,115.28,115.66,13531600
2018-08-02,114.57,116.25,114.33,116.15,11058100
2018-08-03,116.00,117.13,115.94,117.09,11016100
2018-08-06,116.79,117.53,116.18,117.12,9857400
2018-08-07,117.74,118.29,117.33,117.55,10562100
2018-08-08,117.33,118.27,117.28,117.79,8997100
2018-08-09,117.51,117.72,116.70,116.88,9694200
2018-08-10,115.50,115.95,114.68,115.73,12630600
2018-08-13,115.56,115.88,113.82,113.89,10336300
2018-08-14,114.27,115.04,113.65,114.65,10597600
2018-08-15,113.82,114.33,112.97,113.70,10152100
2018-08-16,114.35,115.31,114.30,114.77,10118600
2018-08-17,114.64,115.07,114.30,114.77,8505100
2018-08-20,114.59,115.05,114.11,114.62,8618700
2018-08-21,115.37,116.39,114.88,115.32,10976700
2018-08-22,115.31,115.41,114.78,114.97,8314700
2018-08-23,114.96,115.15,114.43,114.73,9265400
2018-08-24,114.98,115.22,114.45,114.68,8845700
2018-08-27,115.22,117.28,115.17,116.71,13768000
2018-08-28,117.00,117.03,115.97,116.14,8302600
2018-08-29,116.35,116.37,115.36,115.76,7221700
2018-08-30,115.59,116.04,114.98,115.19,8991800
2018-08-31,114.83,114.84,113.82,114.58,13065700
2018-09-04,114.34,115.24,113.63,115.15,10174200
2018-09-05,115.00,115.70,114.25,114.59,11462400
2018-09-06,114.50,114.70,113.50,114.10,9877600
2018-09-07,114.50,114.77,113.63,114.32,10955600
2018-09-10,114.85,114.97,113.66,113.71,8276900
2018-09-11,113.54,114.58,113.18,114.43,9333800
2018-09-12,114.25,114.88,112.85,113.08,10800800
2018-09-13,113.37,114.13,112.67,113.52,12470800
2018-09-14,113.81,114.49,113.23,113.50,10337900
2018-09-17,113.79,114.43,113.30,113.84,9561300
2018-09-18,114.33,114.66,113.56,114.30,7944200
2018-09-19,114.44,118.06,114.44,117.62,16052800
2018-09-20,118.50,119.24,118.08,118.63,15590000
2018-09-21,119.13,119.23,117.74,117.85,24788200
2018-09-24,117.76,118.46,116.43,116.72,12492500
2018-09-25,117.04,117.97,116.32,116.39,9308300
2018-09-26,116.75,116.87,114.66,115.02,14023600
2018-09-27,115.42,115.76,114.16,114.52,13283000
2018-09-28,113.65,114.24,112.52,112.84,15815100
2018-10-01,113.37,114.61,113.04,113.50,10146300
2018-10-02,113.36,114.12,112.81,113.97,13753100
2018-10-04,114.55,116.81,114.21,115.27,16357400
2018-10-05,115.83,116.10,114.02,114.62,13777600
2018-10-08,114.25,115.78,113.35,115.32,14370900
2018-10-09,114.67,115.03,113.67,114.52,14069500
2018-10-10,114.70,114.95,111.47,111.47,23086400
2018-10-11,110.97,111.47,107.38,108.13,33705600
