Date,Open,High,Low,Close,Volume
2018-06-06,102.84,105.54,102.02,104.30,687800
2018-06-07,104.19,104.30,96.88,99.07,1279600
2018-06-08,98.50,100.84,97.67,99.62,495500
2018-06-11,99.89,100.60,96.50,98.27,634200
2018-06-12,98.45,102.68,98.15,101.49,721700
2018-06-13,101.63,104.49,100.25,102.09,669300
2018-06-14,103.09,103.92,101.50,103.27,480800
2018-06-15,101.50,103.75,100.79,102.24,502800
2018-06-19,101.13,107.98,101.10,107.68,995300
2018-06-20,109.25,114.99,109.00,114.79,938200
2018-06-21,114.79,116.12,107.15,107.82,1176200
2018-06-22,108.85,109.10,104.61,107.75,587600
2018-06-25,105.50,106.40,97.35,99.00,1243600
2018-06-26,100.02,101.85,95.31,99.73,795700
2018-06-27,100.27,101.12,90.10,90.37,1217400
2018-06-28,90.35,92.70,85.46,91.83,1311000
2018-06-29,93.27,98.49,93.00,94.94,977500
2018-07-02,92.50,98.15,91.30,98.15,623400
2018-07-03,99.00,101.98,96.82,100.34,616200
2018-07-05,101.80,103.55,98.80,101.90,699100
2018-07-06,103.28,110.68,102.93,110.51,1101300
2018-07-09,112.00,113.25,106.52,109.85,1021300
2018-07-10,110.44,111.53,106.49,107.88,651400
2018-07-11,105.85,109.60,105.07,108.47,485300
2018-07-12,110.28,112.42,108.56,112.22,527200
2018-07-13,111.77,112.79,109.80,111.20,444100
2018-07-16,110.82,111.43,104.24,105.79,882400
2018-07-17,105.00,110.42,104.28,109.91,525700
2018-07-18,109.40,109.94,105.88,109.40,431500
2018-07-19,107.91,111.28,106.11,110.34,604500
2018-07-20,109.83,112.48,109.10,109.55,518800
2018-07-23,109.26,110.32,107.10,108.51,498200
2018-07-24,110.51,111.81,100.40,101.71,1579000
2018-07-25,101.39,105.19,100.00,101.50,639200
2018-07-26,100.27,104.05,97.91,101.45,691500
2018-07-27,101.63,101.82,90.08,92.83,2268700
2018-07-30,93.00,93.58,87.00,88.35,1827200
2018-07-31,89.14,94.55,88.30,93.30,1298500
2018-08-01,93.31,96.30,91.72,93.93,794200
2018-08-02,91.80,95.99,91.67,95.63,748800
2018-08-03,96.25,96.56,90.69,91.15,973900
2018-08-06,91.10,93.57,89.27,92.58,626400
2018-08-07,93.43,95.50,92.49,95.33,840300
2018-08-08,94.99,96.50,92.16,93.86,690700
2018-08-09,93.33,98.28,92.55,93.23,857800
2018-08-10,92.50,95.89,91.75,92.19,793500
2018-08-13,92.83,93.03,88.37,90.90,1037600
