Date,Open,High,Low,Close,Volume
2018-06-06,201.84,204.05,201.55,203.86,2297300
2018-06-07,204.18,205.89,203.76,205.07,2279200
2018-06-08,204.98,206.75,204.41,206.59,2170200
2018-06-11,206.59,206.79,205.00,205.12,2302900
2018-06-12,205.67,205.95,203.95,204.92,1806100
2018-06-13,205.14,205.66,203.73,204.89,2097900
2018-06-14,205.76,206.27,203.50,203.63,2221500
2018-06-15,202.55,205.06,200.11,204.97,5449500
2018-06-18,202.53,204.57,200.25,204.17,2842800
2018-06-19,201.26,201.83,198.33,199.39,3206800
2018-06-20,199.34,200.00,197.26,198.08,2348300
2018-06-21,197.84,197.84,194.59,195.52,2420400
2018-06-22,197.39,197.44,195.18,196.50,2290100
2018-06-25,195.98,196.33,193.64,195.80,2922500
2018-06-26,196.84,197.95,195.98,196.58,2140200
2018-06-27,196.57,199.90,194.76,194.92,2889700
2018-06-28,195.50,196.85,194.21,195.97,1978700
2018-06-29,196.47,199.42,196.46,196.72,2671600
2018-07-02,195.46,195.89,193.51,195.52,1815500
2018-07-03,196.49,198.95,195.50,195.83,1228900
2018-07-05,197.07,197.48,195.03,197.34,2019300
2018-07-06,197.09,198.06,196.39,197.46,1624500
2018-07-09,198.14,200.84,198.07,200.53,1967100
2018-07-10,201.00,202.58,200.39,201.48,1688700
2018-07-11,199.82,199.82,197.49,197.68,1853100
2018-07-12,199.17,200.00,197.40,199.32,1733500
2018-07-13,200.27,201.79,200.00,201.18,1625400
2018-07-16,201.55,201.58,200.08,201.11,1468000
2018-07-17,200.99,203.07,200.13,202.07,1920600
2018-07-18,202.22,203.17,201.35,202.20,1945000
2018-07-19,201.76,202.29,199.51,201.60,2616400
2018-07-20,199.33,202.95,198.25,201.95,2325400
2018-07-23,201.54,201.54,197.68,198.84,3269100
2018-07-24,192.94,202.19,190.57,200.68,8186500
2018-07-25,200.63,204.49,200.52,204.38,3345200
2018-07-26,204.89,208.44,204.65,207.96,2848300
2018-07-27,208.68,210.60,206.85,207.42,2248000
2018-07-30,208.25,209.25,204.76,205.12,2040500
2018-07-31,207.23,212.78,206.50,212.32,3573100
2018-08-01,210.98,211.06,206.87,207.05,2066600
2018-08-02,205.95,205.99,203.85,205.53,1699700
2018-08-03,205.92,207.58,205.20,207.29,1299900
2018-08-06,207.45,207.46,205.24,206.70,1063800
2018-08-07,208.01,209.61,207.37,208.57,1314600
2018-08-08,208.49,209.04,206.77,207.14,1052100
2018-08-09,207.14,207.97,204.49,204.78,1811400
2018-08-10,203.81,204.13,201.00,201.96,1893200
2018-08-13,202.02,202.79,199.50,199.84,1587200
2018-08-14,199.78,201.08,199.41,200.52,1719000
2018-08-15,199.25,201.76,197.11,201.39,2028900
2018-08-16,202.02,203.43,201.82,203.15,1640200
2018-08-17,203.28,204.99,201.89,204.77,1598900
2018-08-20,205.72,205.80,203.66,204.60,2091700
2018-08-21,205.00,206.04,204.39,205.69,1709700
2018-08-23,203.00,203.15,201.46,202.75,1367300
2018-08-24,203.28,205.49,203.07,205.29,1676600
2018-08-27,206.18,208.50,205.85,208.33,1777200
2018-08-28,208.97,210.12,208.48,209.43,2136700
2018-08-29,209.17,210.97,208.51,210.46,2110300
2018-08-30,209.71,211.09,209.23,210.22,2240800
2018-08-31,209.57,211.72,209.44,210.92,1943500
2018-09-04,210.55,210.75,207.55,208.60,2108500
2018-09-05,208.29,211.91,207.35,211.83,1951500
2018-09-06,212.00,213.37,211.07,212.74,2363500
2018-09-07,212.24,212.97,209.97,212.57,2739200
2018-09-10,213.68,216.37,212.86,212.93,2399700
2018-09-11,211.36,212.22,210.00,211.78,1967500
2018-09-12,212.30,214.76,205.90,206.71,4937000
2018-09-13,207.34,209.14,206.55,209.05,2171300
2018-09-14,208.84,210.30,207.15,207.88,1721600
2018-09-17,207.46,210.19,207.30,209.53,1610400
2018-09-18,210.24,211.83,208.43,211.53,1652900
2018-09-19,211.77,214.14,211.63,213.12,1884500
2018-09-20,214.70,217.00,213.26,215.27,2075100
2018-09-21,217.32,217.87,215.61,216.33,5563700
2018-09-24,215.39,215.87,212.69,213.51,2044800
2018-09-25,214.13,214.13,210.28,210.64,2090600
2018-09-26,211.49,212.59,210.64,211.07,1677700
2018-09-27,212.00,212.87,210.00,210.11,1609800
2018-09-28,209.53,211.28,208.87,210.71,2500200
2018-10-01,212.40,213.40,211.31,212.19,1828800
2018-10-02,212.38,215.84,212.10,215.71,1749400
2018-10-03,216.00,217.34,214.94,215.76,2139200
2018-10-04,214.85,215.66,212.04,213.84,1682500
2018-10-05,214.35,215.03,211.06,213.19,2140300
2018-10-08,213.13,214.58,212.26,214.37,1666700
2018-10-09,212.68,213.11,209.64,210.42,2947400
2018-10-10,209.19,209.19,201.55,202.15,3525200
2018-10-11,201.15,202.91,196.50,196.73,3497200
2018-10-12,200.87,202.55,195.93,198.23,2798100
2018-10-15,197.82,200.70,197.42,198.94,1812800
2018-10-16,200.46,202.52,199.23,202.33,1939500
2018-10-17,201.79,203.77,200.45,202.93,1824200
2018-10-18,202.34,202.52,198.40,200.38,2339400
2018-10-19,200.12,201.10,198.37,199.85,3167300
2018-10-22,201.25,203.40,199.69,201.36,3263300
2018-10-23,188.80,194.89,184.50,192.55,8255600
2018-10-24,192.10,192.96,183.97,184.54,5003500
2018-10-25,186.57,187.48,182.36,184.99,3535200
2018-10-26,183.31,186.66,181.98,184.95,3546200
2018-10-29,187.85,188.88,183.16,185.79,2867600
2018-10-30,186.83,190.08,185.00,189.81,2919600
2018-10-31,190.70,192.12,189.67,190.26,2845100
2018-11-01,190.61,193.21,190.09,192.22,2242800
2018-11-02,193.66,194.47,191.60,192.81,3069600
2018-11-05,193.50,194.56,192.21,193.25,2886500
2018-11-06,193.27,195.50,193.00,195.30,1900200
2018-11-07,197.19,201.40,195.41,201.29,2444400
2018-11-08,201.00,204.27,200.73,204.07,2534000
2018-11-09,204.00,204.00,199.70,201.10,2429300
