Date,Open,High,Low,Close,Volume
2018-05-30,14.54,14.65,14.41,14.50,717003
2018-05-31,14.62,14.69,14.41,14.51,261862
2018-06-01,14.02,14.26,13.72,13.88,870429
2018-06-04,13.88,14.15,13.81,13.97,1266275
2018-06-05,14.00,14.09,13.84,14.01,518494
2018-06-06,14.09,14.09,13.83,13.93,587137
2018-06-07,13.87,14.01,13.82,13.90,391425
2018-06-08,13.85,13.89,13.57,13.72,316108
2018-06-12,13.66,13.80,13.46,13.71,558917
2018-06-13,13.76,13.76,13.48,13.57,488903
2018-06-14,13.48,13.93,13.48,13.70,489997
2018-06-15,13.90,14.47,13.84,14.41,679809
2018-06-18,14.46,14.46,14.01,14.09,367935
2018-06-19,14.07,14.31,14.03,14.11,332092
2018-06-20,14.28,14.45,14.13,14.42,371352
2018-06-21,14.68,14.69,14.40,14.57,646997
2018-06-22,14.58,14.78,14.50,14.53,696544
2018-06-25,14.50,14.79,14.36,14.60,324975
2018-06-26,14.48,14.64,14.27,14.54,420138
2018-06-27,14.50,14.79,14.43,14.61,253924
2018-06-28,14.64,14.84,14.58,14.80,294018
2018-06-29,14.84,15.14,14.73,15.06,317527
2018-07-02,15.29,15.49,15.08,15.14,301966
2018-07-03,15.16,15.38,15.05,15.09,542975
2018-07-04,15.05,15.14,14.59,14.59,510160
2018-07-05,14.69,14.81,14.42,14.51,415866
2018-07-06,14.41,14.72,14.41,14.68,260129
2018-07-09,14.81,14.89,14.65,14.83,160624
2018-07-10,14.83,14.98,14.72,14.79,192178
2018-07-11,14.79,14.85,14.31,14.35,350172
2018-07-12,14.31,14.35,13.98,14.17,483309
2018-07-13,14.10,14.20,14.00,14.13,164774
2018-07-16,14.13,14.24,13.98,14.18,202996
2018-07-17,14.29,14.45,14.08,14.16,816909
2018-07-18,14.22,14.65,14.20,14.45,461626
2018-07-19,14.50,14.89,14.50,14.83,382410
2018-07-20,14.96,15.09,14.80,15.00,275010
2018-07-23,14.77,14.81,14.48,14.51,372765
2018-07-24,14.69,14.69,14.41,14.48,275905
2018-07-25,14.52,14.89,14.40,14.76,279947
2018-07-26,14.77,15.02,14.70,14.85,277592
2018-07-27,15.02,15.15,14.95,15.00,167813
2018-07-30,14.94,14.94,14.75,14.84,166625
2018-07-31,14.77,14.87,14.60,14.74,403027
2018-08-01,14.50,14.89,14.50,14.78,398343
2018-08-02,14.73,14.82,14.61,14.69,295453
2018-08-03,14.83,15.17,14.83,14.85,343646
2018-08-06,14.95,14.97,14.73,14.80,170914
2018-08-07,14.80,14.90,14.65,14.80,237172
2018-08-08,14.83,14.96,14.67,14.75,432304
2018-08-09,14.82,14.94,14.70,14.88,276970
2018-08-10,14.87,15.11,14.77,14.98,408197
2018-08-13,14.98,15.06,14.59,14.66,235767
2018-08-14,14.73,14.73,14.35,14.48,596749
2018-08-15,14.48,14.78,14.36,14.77,309090
2018-08-16,14.73,14.88,14.56,14.75,254707
2018-08-17,14.68,14.81,14.57,14.71,263874
2018-08-20,14.75,15.03,14.75,14.96,436033
2018-08-21,15.44,15.89,15.24,15.30,1351078
2018-08-22,14.60,14.96,14.08,14.77,1665031
2018-08-23,14.70,15.08,14.66,14.85,1562275
2018-08-24,14.85,15.00,14.77,14.80,813495
2018-08-27,14.78,14.78,14.42,14.48,1005147
2018-08-28,14.68,14.68,14.48,14.50,676845
2018-08-29,14.50,14.68,14.45,14.65,649076
2018-08-30,14.70,14.80,14.58,14.72,408365
2018-08-31,14.61,14.77,14.15,14.35,563941
