Date,Open,High,Low,Close,Volume
2018-06-06,112.22,113.93,112.07,113.16,903863
2018-06-07,113.62,114.62,113.33,113.49,691104
2018-06-08,113.37,113.58,112.62,113.07,524901
2018-06-12,113.10,113.49,112.63,113.20,989596
2018-06-13,113.30,113.80,113.05,113.80,595326
2018-06-14,113.30,113.94,113.00,113.45,603888
2018-06-15,113.95,117.35,113.95,117.19,1413072
2018-06-18,117.52,117.64,115.73,116.40,569450
2018-06-19,118.80,120.25,118.50,118.50,1252482
2018-06-20,121.00,121.76,120.17,121.72,1245666
2018-06-21,123.91,123.99,121.72,122.73,1258856
2018-06-22,122.55,122.68,121.58,122.03,748663
2018-06-25,122.22,122.73,121.21,122.59,805850
2018-06-26,121.20,121.62,120.00,120.97,921512
2018-06-27,121.48,122.72,121.45,122.21,750028
2018-06-28,123.00,126.77,123.00,126.70,1562069
2018-06-29,126.25,127.00,123.50,123.65,2725340
2018-07-02,124.01,125.00,122.82,123.08,633112
2018-07-03,124.24,124.78,122.73,123.10,825017
2018-07-04,121.50,121.79,120.58,121.06,866181
2018-07-05,121.75,122.98,121.69,122.45,596811
2018-07-06,122.13,123.15,121.68,122.96,579259
2018-07-09,123.03,123.87,122.70,123.63,594221
2018-07-10,124.35,124.47,122.50,122.52,676210
2018-07-11,122.41,122.75,120.92,121.99,713701
2018-07-12,122.50,123.06,121.70,122.58,738062
2018-07-13,123.00,123.64,121.86,123.01,639501
2018-07-16,123.58,124.28,121.93,122.52,566932
2018-07-17,121.00,122.32,120.85,121.33,593212
2018-07-18,122.00,124.10,121.87,124.10,721243
2018-07-19,124.50,124.88,123.41,124.20,829666
2018-07-20,124.37,125.38,124.00,125.24,663832
2018-07-23,124.36,124.56,123.61,124.00,442432
2018-07-24,125.00,125.69,124.17,125.63,493577
2018-07-25,126.59,126.59,124.80,124.93,647328
2018-07-26,120.14,122.25,119.11,121.70,1675791
2018-07-27,122.25,124.53,121.15,124.02,2601346
2018-07-30,123.00,123.23,122.17,122.99,508017
2018-07-31,122.58,123.17,122.01,122.82,684006
2018-08-01,122.82,122.99,121.70,122.23,669648
2018-08-02,122.23,122.73,121.40,121.40,700749
2018-08-03,122.29,122.30,121.02,121.62,492889
2018-08-06,122.24,122.80,121.26,122.46,370395
2018-08-07,122.46,123.36,122.46,122.85,633344
2018-08-08,122.55,123.16,121.71,121.82,456967
2018-08-09,122.38,123.06,121.49,122.61,623158
2018-08-10,122.62,122.73,121.40,122.29,574184
2018-08-13,121.69,122.85,121.51,122.48,548188
2018-08-14,123.00,123.99,122.92,123.99,759074
2018-08-15,124.74,125.50,123.80,125.50,596153
2018-08-16,125.50,126.00,123.13,124.74,768651
2018-08-17,123.50,124.80,123.07,124.56,613365
2018-08-20,125.24,125.54,123.81,124.57,572018
2018-08-21,124.87,124.98,123.81,124.74,517070
2018-08-22,123.87,124.60,123.51,124.30,384982
2018-08-23,124.00,124.52,123.25,123.95,675881
2018-08-24,124.58,126.15,124.33,125.32,659825
2018-08-27,125.00,125.91,124.32,125.45,310214
2018-08-28,125.60,126.78,124.56,124.56,621420
2018-08-29,124.39,126.14,124.37,126.12,846508
2018-08-30,126.67,128.66,125.50,128.46,931212
2018-08-31,128.55,129.75,128.49,129.40,1677505
2018-09-03,129.87,129.87,128.82,129.35,384498
2018-09-04,129.00,129.20,127.90,128.37,384840
2018-09-05,127.65,128.29,127.33,127.56,468822
2018-09-06,126.00,126.60,124.30,124.52,796067
2018-09-07,122.78,123.54,121.70,122.68,790684
2018-09-10,122.00,122.92,121.55,122.64,584503
2018-09-11,123.22,125.27,123.22,124.87,790967
2018-09-12,125.50,126.71,125.17,126.51,708464
2018-09-13,125.84,125.84,123.62,123.84,738996
2018-09-14,123.84,124.89,123.59,124.43,678448
2018-09-17,124.29,125.50,123.40,125.10,600026
2018-09-18,124.37,125.40,124.07,124.22,584489
2018-09-19,124.55,126.09,124.31,125.98,627331
2018-09-20,125.17,127.39,124.63,126.61,1292835
2018-09-21,127.50,128.22,127.17,127.85,1543883
2018-09-24,127.33,127.45,126.42,126.88,693542
2018-09-25,126.50,127.70,126.21,127.65,629173
2018-09-26,127.18,127.63,126.11,126.89,638251
2018-09-27,128.10,128.51,127.09,127.75,719174
2018-09-28,128.30,129.00,126.04,126.04,1771784
2018-10-01,125.00,126.00,123.62,124.57,543547
2018-10-02,125.00,125.76,122.20,122.63,832827
2018-10-03,122.61,123.80,121.95,122.38,583949
2018-10-04,122.63,124.06,122.61,123.69,755251
2018-10-05,122.85,125.88,122.80,125.27,829279
2018-10-08,123.42,124.19,123.09,123.72,942959
2018-10-09,123.40,124.15,122.39,122.56,1152181
2018-10-10,122.50,123.00,121.77,122.91,594479
2018-10-11,118.02,119.53,115.49,115.49,2007983
2018-10-12,112.60,115.72,112.33,115.53,1935320
2018-10-15,115.00,115.05,112.33,114.83,835934
2018-10-16,114.45,115.30,113.83,114.45,876087
2018-10-17,117.80,118.45,116.69,117.36,880624
2018-10-18,118.91,118.92,115.27,116.28,931859
2018-10-19,114.50,116.87,114.10,116.87,753192
2018-10-22,115.80,116.27,114.19,114.96,935263
2018-10-23,114.80,115.99,113.85,113.90,997464
2018-10-24,113.64,114.74,113.31,113.73,746159
2018-10-25,111.86,112.76,110.13,110.13,1389435
2018-10-26,111.55,113.09,110.28,111.17,2000604
2018-10-29,111.87,113.07,111.41,112.81,618467
2018-10-30,112.34,115.39,112.07,115.31,958863
2018-10-31,117.00,117.66,115.91,117.20,1339139
2018-11-01,116.51,117.88,116.34,117.87,1119055
2018-11-02,121.00,122.62,119.56,122.42,2097747
2018-11-05,124.00,124.47,121.72,121.72,962633
2018-11-06,121.22,121.81,120.59,121.50,615454
2018-11-07,121.12,122.10,119.57,120.81,966684
2018-11-08,121.25,123.33,121.25,123.09,975108
2018-11-12,121.02,122.39,121.02,122.03,1192639
2018-11-13,120.24,120.79,118.82,119.43,840408
2018-11-14,119.36,120.24,118.25,118.75,1681856
2018-11-15,118.99,119.18,117.85,118.81,862201
2018-11-16,122.79,122.86,118.85,119.00,696777
2018-11-19,117.36,118.68,115.76,116.23,877712
2018-11-20,116.01,116.50,114.39,114.93,972155
2018-11-21,112.77,113.27,111.69,112.77,1175503
2018-11-22,113.00,114.20,112.45,114.20,807272
2018-11-23,114.14,115.29,113.65,114.53,522888
2018-11-26,113.21,114.59,112.60,113.46,697164
2018-11-27,113.52,115.18,113.50,114.99,784533
2018-11-28,115.49,115.76,114.68,115.04,635946
2018-11-29,115.77,117.25,115.77,116.81,982203
2018-11-30,116.10,116.22,114.08,114.42,2105958
2018-12-03,116.35,118.06,116.00,117.61,714498
2018-12-04,118.00,118.45,116.35,116.35,808495
2018-12-05,114.42,114.42,111.65,113.41,1150821
2018-12-06,112.90,113.59,111.32,112.05,1029658
2018-12-07,114.50,114.78,112.72,113.32,815670
2018-12-10,111.74,112.31,109.54,109.89,1034484
2018-12-11,110.21,111.60,109.12,109.77,711080
2018-12-12,109.86,113.17,109.63,113.17,1172574
2018-12-13,113.18,114.57,112.68,114.00,738241
2018-12-14,114.16,114.18,112.15,113.18,956113
2018-12-17,112.20,113.58,111.67,113.26,593819
2018-12-18,111.36,111.91,110.40,110.63,1027491
2018-12-19,110.51,111.50,109.32,109.91,862598
2018-12-20,108.82,109.87,107.13,107.29,1589106
2018-12-21,106.70,107.57,103.49,104.82,2953491
2018-12-24,103.84,105.93,103.30,105.44,515822
2018-12-27,107.00,108.09,105.61,106.04,759837
2018-12-28,106.00,108.59,106.00,108.59,774497
2018-12-31,109.15,109.63,108.24,108.65,505822
2019-01-02,108.19,109.09,106.76,106.85,497113
2019-01-03,106.85,110.56,106.74,109.83,937058
2019-01-04,108.73,109.41,107.41,109.41,680663
2019-01-07,111.50,111.64,110.45,110.57,560126
2019-01-08,110.55,113.15,109.78,112.67,747179
2019-01-09,113.54,114.11,112.73,113.98,754958
2019-01-10,115.24,115.25,112.71,113.95,529886
2019-01-11,114.25,114.48,113.16,113.21,469455
2019-01-14,113.48,114.04,113.11,113.28,299426
2019-01-15,114.50,115.14,114.07,114.98,535732
2019-01-16,115.21,116.35,115.04,116.00,701639
