Date,Open,High,Low,Close,Volume
2018-06-06,60.19,61.55,57.75,61.55,45600
2018-06-07,61.03,63.10,61.03,62.03,30300
2018-06-08,62.04,66.79,61.85,66.61,86900
2018-06-11,67.27,67.38,65.29,65.87,49300
2018-06-12,65.95,69.08,65.90,69.04,48900
2018-06-13,69.38,69.38,60.69,61.64,162600
2018-06-14,61.88,62.27,59.81,62.17,61300
2018-06-15,62.44,62.44,59.55,61.54,30500
2018-06-18,61.19,62.02,58.50,59.28,56100
2018-06-19,57.28,59.86,57.00,58.78,26600
2018-06-20,59.95,60.01,56.88,59.34,48200
2018-06-21,59.66,59.70,57.39,57.60,16700
2018-06-22,58.36,58.36,54.69,55.61,46300
2018-06-25,54.51,55.32,51.75,52.92,46100
2018-06-26,55.56,57.77,54.72,55.23,32400
2018-06-27,55.34,55.47,52.92,52.92,22200
2018-06-28,53.48,54.11,51.49,53.98,24000
2018-06-29,55.05,56.63,55.05,55.50,34300
2018-07-02,55.85,55.85,53.49,54.75,19800
2018-07-03,55.83,56.88,55.60,56.12,14700
2018-07-05,57.29,57.65,55.45,57.58,19800
2018-07-06,56.55,59.50,56.55,58.03,20800
2018-07-09,59.99,60.43,58.98,60.19,23300
2018-07-10,60.20,61.01,58.85,59.57,21600
2018-07-11,58.18,59.57,58.18,58.40,12600
2018-07-12,58.50,59.03,56.72,58.71,17000
2018-07-13,58.86,59.70,58.65,59.18,9000
2018-07-16,58.09,59.56,58.07,59.02,5800
2018-07-17,58.17,63.30,58.17,63.30,56900
2018-07-18,62.15,62.84,60.62,62.71,25900
2018-07-19,62.60,64.60,62.60,63.78,22200
2018-07-20,62.52,62.52,59.75,60.38,13900
2018-07-23,59.88,60.51,58.00,58.31,17000
2018-07-24,58.35,59.26,54.69,54.87,52400
2018-07-25,53.99,55.00,49.13,51.28,126700
2018-07-26,51.27,54.68,51.00,54.45,46200
2018-07-27,54.84,56.00,51.70,52.55,35100
2018-07-30,53.57,53.57,51.85,51.85,18600
2018-07-31,53.24,54.21,52.00,53.42,21000
2018-08-01,52.83,53.49,52.24,52.70,11300
2018-08-02,51.25,52.50,50.94,52.04,19600
2018-08-03,52.20,52.20,51.30,52.10,18700
2018-08-06,50.70,52.46,50.65,52.45,15500
2018-08-07,51.96,55.25,51.96,55.15,41900
2018-08-08,54.89,54.89,53.49,54.09,27200
2018-08-09,53.79,56.52,53.79,55.44,21900
2018-08-10,53.73,54.96,52.51,53.75,16000
2018-08-13,53.02,53.02,48.37,49.23,67600
2018-08-14,50.58,51.40,48.98,50.62,33800
2018-08-15,48.96,49.81,48.37,49.79,19400
2018-08-16,50.01,52.05,50.01,50.81,26500
2018-08-17,49.81,51.62,49.81,51.04,9500
2018-08-20,50.31,52.01,50.31,51.62,24500
2018-08-21,53.50,57.65,53.50,57.30,79200
2018-08-22,57.19,57.56,55.50,55.56,23900
2018-08-23,54.50,54.56,52.90,53.69,17600
2018-08-24,53.49,54.04,53.08,53.08,10200
2018-08-27,53.23,55.50,53.23,55.00,81000
2018-08-28,55.56,55.56,53.91,54.09,5400
2018-08-29,53.16,54.44,52.81,54.09,19700
2018-08-30,52.78,53.81,51.99,52.05,16500
2018-08-31,52.06,52.45,51.36,51.90,6900
2018-09-04,51.38,52.66,51.25,52.30,12800
2018-09-05,52.11,54.17,52.11,53.81,20200
2018-09-06,53.81,55.25,52.53,53.02,26400
2018-09-07,52.50,52.50,49.65,50.09,32200
2018-09-10,50.20,51.91,50.20,51.16,22400
2018-09-11,51.83,53.70,49.90,52.26,49500
2018-09-12,52.70,54.00,51.78,53.85,21900
2018-09-13,54.73,54.73,49.96,51.95,63000
2018-09-14,52.50,53.00,50.44,52.85,96700
2018-09-17,53.10,53.10,50.60,50.68,15100
2018-09-18,50.94,52.86,50.94,51.85,22100
2018-09-19,52.09,53.17,51.12,51.12,15100
2018-09-20,52.34,52.34,49.00,49.97,63500
2018-09-21,49.98,49.98,47.61,48.99,64600
2018-09-25,47.03,47.70,47.00,47.18,25000
2018-09-26,47.55,48.35,44.70,45.15,85500
2018-09-27,45.15,45.15,43.40,43.69,33000
2018-09-28,43.05,44.80,42.50,42.73,39500
2018-10-01,42.99,43.61,41.87,42.06,26300
2018-10-02,41.37,43.20,41.37,41.99,118100
2018-10-03,42.00,42.88,40.15,40.53,94300
2018-10-04,39.68,39.68,37.33,38.40,62900
