Date,Open,High,Low,Close,Volume
2018-05-30,50.29,53.09,50.25,53.05,395400
2018-05-31,50.27,52.46,48.84,49.94,452200
2018-06-01,48.21,49.42,46.55,46.57,357100
2018-06-04,47.12,47.43,44.52,45.12,356500
2018-06-05,44.12,46.53,43.95,46.11,324600
2018-06-06,45.79,46.27,43.92,45.50,344000
2018-06-07,45.93,47.50,45.82,47.31,231400
2018-06-08,47.15,47.90,45.65,46.64,230500
2018-06-11,45.59,48.06,45.26,47.48,245400
2018-06-12,47.35,48.81,47.27,47.77,114900
2018-06-13,47.39,49.11,47.23,48.68,181800
2018-06-14,49.50,49.58,47.78,48.86,210100
2018-06-15,48.00,48.00,43.82,43.89,295300
2018-06-18,45.14,46.76,44.47,46.28,169400
2018-06-19,44.45,45.50,43.50,44.92,240100
2018-06-20,46.61,47.63,44.92,45.96,403800
2018-06-21,44.65,47.00,44.35,45.82,261600
2018-06-22,49.72,52.53,48.77,52.45,591400
2018-06-25,51.23,51.55,49.50,50.12,515600
2018-06-26,51.25,55.13,49.87,54.72,220000
2018-06-27,57.07,60.25,57.00,58.78,166100
2018-06-28,59.42,62.28,59.05,60.75,139300
2018-06-29,62.00,63.56,61.97,63.02,211200
2018-07-02,62.16,62.18,60.09,60.49,187900
2018-07-03,63.02,63.68,57.71,59.48,243600
2018-07-05,61.02,61.50,57.40,58.44,144500
2018-07-06,57.42,60.55,57.36,60.38,164100
2018-07-09,60.84,61.93,59.30,61.86,162600
2018-07-10,63.22,63.93,61.86,62.76,154800
2018-07-11,60.54,62.28,52.15,53.54,527800
2018-07-12,54.07,54.73,51.54,54.19,387500
2018-07-13,54.63,57.39,54.30,55.07,293100
2018-07-16,51.93,52.26,48.03,49.07,356800
2018-07-17,47.92,50.06,47.17,49.11,667200
2018-07-18,47.96,50.73,47.44,50.60,278900
2018-07-19,50.44,52.72,49.94,50.87,489400
2018-07-20,51.52,52.00,50.39,51.15,160200
2018-07-23,53.03,53.85,50.04,50.51,377100
2018-07-24,50.82,53.28,50.82,52.02,310000
2018-07-25,52.62,54.76,51.46,54.47,466400
2018-07-26,53.17,55.30,53.17,54.67,197000
2018-07-27,54.42,54.96,51.48,52.88,270300
2018-07-30,55.95,56.48,55.09,55.35,287400
2018-07-31,53.50,53.66,51.86,52.47,212300
2018-08-01,50.17,51.67,49.21,50.25,375400
2018-08-02,49.45,53.05,49.16,53.05,326800
2018-08-03,52.54,52.96,50.36,52.03,298400
2018-08-06,53.53,54.95,52.39,52.56,284500
2018-08-07,53.81,54.40,52.93,53.00,217400
2018-08-08,51.10,51.12,46.80,48.00,599300
2018-08-09,48.75,49.27,47.66,47.78,166700
2018-08-10,49.11,50.17,48.96,49.78,203700
2018-08-13,49.04,49.50,45.75,49.02,260400
2018-08-14,51.26,51.26,47.89,48.86,246400
2018-08-15,46.76,46.85,43.40,44.27,385800
2018-08-16,44.80,45.55,44.32,45.38,93400
2018-08-17,47.14,47.15,45.09,45.84,140900
2018-08-20,45.76,46.82,45.44,46.24,145200
2018-08-21,48.24,48.39,46.88,47.09,220700
2018-08-22,50.03,51.97,49.17,51.58,526000
2018-08-23,50.87,51.95,50.41,51.69,194700
2018-08-24,54.17,54.84,52.44,53.18,340300
2018-08-27,53.94,54.08,53.08,54.06,106300
2018-08-28,54.24,54.24,52.43,53.27,137300
2018-08-29,54.47,55.85,53.84,55.80,320900
2018-08-30,56.28,57.50,55.59,56.52,182400
2018-08-31,56.44,56.99,55.50,56.09,111900
2018-09-04,57.88,58.04,54.48,54.96,275000
2018-09-05,54.94,55.56,53.29,53.78,165600
2018-09-06,53.57,53.90,49.58,51.79,261400
2018-09-07,50.05,51.87,49.49,51.76,123900
2018-09-10,52.88,53.16,50.71,51.14,172600
2018-09-11,51.68,55.56,51.30,55.23,328700
2018-09-12,56.93,59.29,56.81,57.11,550700
2018-09-13,55.33,55.97,52.65,53.67,305500
2018-09-14,53.69,56.16,51.86,53.98,500200
2018-09-17,55.03,55.75,53.12,53.48,190700
2018-09-18,56.05,57.38,54.97,56.01,208800
2018-09-19,56.60,58.96,55.54,58.88,275000
2018-09-20,59.89,60.06,57.13,57.32,193700
2018-09-21,59.45,61.34,56.92,59.02,364300
2018-09-24,62.16,63.67,61.56,62.64,339000
2018-09-25,63.45,63.90,61.69,62.70,202400
2018-09-26,61.46,62.33,60.59,60.80,168500
2018-09-27,62.56,62.60,61.23,62.46,108800
2018-09-28,62.37,66.28,62.22,65.68,225400
2018-10-01,65.44,71.49,64.85,71.30,343200
2018-10-02,71.19,71.28,69.56,70.11,160700
2018-10-03,69.99,75.00,67.67,73.04,299600
2018-10-04,72.18,72.21,66.49,68.30,301000
2018-10-05,67.99,70.00,66.43,67.81,200400
2018-10-08,65.83,67.74,65.49,67.29,100400
2018-10-09,68.74,70.18,66.97,69.09,179100
2018-10-10,68.46,68.58,63.33,63.49,265900
2018-10-11,61.43,61.88,57.50,58.10,191600
2018-10-12,60.27,60.40,57.83,60.05,136000
2018-10-15,59.99,60.62,58.48,60.22,272300
2018-10-16,59.69,61.95,59.38,61.02,154200
2018-10-17,59.46,59.46,55.30,56.92,200000
2018-10-18,53.74,55.99,53.37,53.90,280200
2018-10-19,55.36,56.46,54.77,55.70,149000
2018-10-22,54.53,56.03,53.40,56.01,162000
2018-10-23,51.68,52.04,47.00,48.41,575800
2018-10-24,50.25,51.24,48.14,48.16,237600
2018-10-25,49.61,51.00,49.42,49.92,174600
2018-10-26,48.92,51.60,48.36,51.30,182000
2018-10-29,50.28,50.64,48.24,48.86,226700
2018-10-30,46.69,49.36,46.45,47.88,195200
2018-10-31,47.54,48.83,45.38,45.55,297400
2018-11-01,46.12,46.12,41.35,42.20,358700
2018-11-02,41.79,42.69,40.52,40.96,378600
2018-11-05,42.59,43.36,40.67,40.78,340200
2018-11-06,41.50,41.74,37.98,39.62,519300
2018-11-07,40.40,40.78,37.82,38.54,460400
2018-11-08,37.92,38.52,36.27,36.75,478800
2018-11-09,34.90,36.55,34.38,35.40,465200
2018-11-12,36.78,37.71,33.26,33.68,542600
2018-11-13,33.10,33.54,26.60,27.27,1454100
2018-11-14,29.39,30.50,28.50,28.94,802800
2018-11-15,29.17,30.47,28.85,29.22,525800
2018-11-16,30.78,31.50,28.28,29.73,859400
2018-11-19,28.30,30.60,27.07,30.27,585100
2018-11-20,28.00,28.54,23.12,23.98,1633300
2018-11-21,25.43,27.40,24.82,25.42,814000
2018-11-23,21.15,21.52,20.01,21.02,1434600
2018-11-26,21.40,21.90,20.43,21.33,874100
2018-11-27,21.44,22.06,19.58,21.36,1108900
2018-11-28,20.72,21.80,19.30,19.73,1479400
2018-11-29,20.56,21.75,20.21,20.82,712500
2018-11-30,19.42,21.10,18.74,20.00,1295300
2018-12-03,22.96,23.04,21.62,23.04,1281200
2018-12-04,22.88,23.53,22.33,22.62,1422000
2018-12-06,20.49,21.34,19.02,21.00,1341600
2018-12-07,23.38,24.05,21.80,21.92,1160300
2018-12-10,20.54,21.43,19.59,19.85,731400
2018-12-11,21.45,21.74,20.40,20.94,604000
2018-12-12,21.63,21.98,20.10,20.24,693300
2018-12-13,19.75,22.73,19.66,22.44,881600
2018-12-14,21.70,21.71,19.95,20.24,1120400
2018-12-17,20.54,20.66,18.10,18.22,1331700
2018-12-18,17.99,17.99,14.42,14.80,2692600
2018-12-19,15.49,16.51,15.33,15.68,1191100
2018-12-20,14.69,15.38,13.92,14.30,1195900
2018-12-21,13.80,14.44,13.45,13.63,900900
2018-12-24,13.21,13.34,12.35,12.37,1383500
2018-12-26,11.95,14.54,11.93,14.52,2243300
2018-12-27,13.13,13.40,12.22,13.26,1116400
2018-12-28,12.86,13.29,12.30,12.86,1364500
2018-12-31,13.23,13.57,12.50,13.47,896000
2019-01-02,12.40,15.11,12.19,14.16,1836300
2019-01-03,14.74,14.85,13.32,14.58,1269700
2019-01-04,15.54,16.51,15.11,15.61,1300900
