Date,Open,High,Low,Close,Volume
2018-06-06,47.42,47.81,47.10,47.75,13299100
2018-06-07,47.93,48.03,47.42,47.68,13714100
2018-06-08,47.41,48.38,47.41,48.18,14515400
2018-06-11,48.15,48.39,47.97,48.19,12521100
2018-06-12,48.21,48.59,48.16,48.45,14713600
2018-06-13,48.11,48.67,48.09,48.27,18053300
2018-06-14,47.01,47.02,45.66,45.90,37001300
2018-06-15,45.87,46.49,45.19,46.28,28120400
2018-06-18,45.82,46.60,45.46,46.52,21474100
2018-06-19,45.84,46.41,45.77,46.27,22764900
2018-06-20,43.51,44.79,42.57,42.82,59129000
2018-06-21,43.18,43.84,42.98,43.10,32635100
2018-06-22,43.20,44.30,43.16,44.10,29735100
2018-06-25,43.57,44.47,43.49,44.28,24640500
2018-06-26,44.46,44.85,44.37,44.41,20717500
2018-06-27,44.57,44.74,43.44,43.45,26360100
2018-06-28,43.51,44.02,43.36,43.84,20918400
2018-06-29,44.04,44.53,43.75,44.06,22144900
2018-07-02,43.96,44.97,43.77,44.95,20655500
2018-07-03,44.99,44.99,44.52,44.72,16783300
2018-07-05,45.15,45.47,44.99,45.41,21916200
2018-07-06,45.46,46.19,45.27,46.00,20764300
2018-07-09,46.13,46.79,46.06,46.73,25125700
2018-07-10,46.83,47.36,46.68,46.99,27422000
2018-07-11,46.82,47.76,46.71,47.64,22802600
2018-07-12,47.79,48.20,47.75,48.15,24857900
2018-07-16,48.62,48.62,47.95,48.46,22949600
2018-07-17,48.29,48.99,48.15,48.90,18823100
2018-07-18,48.79,49.00,48.40,48.64,19234700
2018-07-19,48.40,48.72,48.21,48.44,16656500
2018-07-20,48.49,48.71,48.36,48.52,17232900
2018-07-23,48.62,48.67,48.05,48.67,17990200
2018-07-24,48.75,49.10,48.56,48.67,19885500
2018-07-25,48.52,48.97,48.50,48.95,16354900
2018-07-26,48.85,49.17,48.76,48.87,15229900
2018-07-27,48.99,49.12,48.38,48.63,14856100
2018-07-30,48.58,48.58,47.46,47.73,20167300
2018-07-31,47.90,48.08,47.39,47.68,18808100
2018-08-01,47.91,48.22,47.15,47.35,22933600
2018-08-02,47.04,48.07,46.63,47.90,14227400
2018-08-03,47.92,48.48,47.90,48.47,14295800
2018-08-06,48.29,48.76,48.22,48.67,13529300
2018-08-07,48.94,48.95,48.47,48.48,11608000
2018-08-08,48.42,48.62,48.26,48.39,10849400
2018-08-09,48.27,48.71,48.27,48.54,14708000
2018-08-10,48.37,48.72,48.23,48.32,10502200
2018-08-13,48.34,48.59,47.97,48.01,12152100
2018-08-14,48.12,48.35,47.94,48.23,11513700
2018-08-15,48.10,48.26,47.53,47.84,14091000
2018-08-16,48.14,48.45,48.04,48.10,11874300
2018-08-17,48.21,48.50,47.99,48.36,11412000
2018-08-20,48.40,48.60,48.26,48.42,11936700
2018-08-21,48.58,48.64,48.37,48.41,10187600
2018-08-22,48.34,48.91,48.24,48.80,11639400
2018-08-23,48.80,49.34,48.68,48.96,11026700
2018-08-24,49.00,49.39,48.97,49.26,14011700
2018-08-27,49.41,49.70,49.29,49.33,12253300
2018-08-28,49.39,49.43,48.60,48.64,15475700
2018-08-29,48.64,49.10,48.64,48.89,17307700
2018-08-30,48.89,48.89,48.31,48.38,15154900
2018-08-31,48.38,48.63,48.35,48.58,17844100
2018-09-04,48.36,48.83,48.16,48.58,17289000
2018-09-05,48.41,48.49,47.79,48.04,16437700
2018-09-06,47.95,48.22,47.52,47.71,18456100
2018-09-07,47.46,47.99,47.33,47.81,20513900
2018-09-10,48.00,49.05,48.00,48.86,20390600
2018-09-11,48.52,49.05,48.52,48.92,14877200
2018-09-12,48.75,49.47,48.62,49.34,17058700
2018-09-13,49.28,49.75,48.88,48.96,22124400
2018-09-14,48.94,49.45,48.94,49.25,20066100
2018-09-17,49.31,49.94,49.11,49.18,29225000
2018-09-18,47.51,49.54,47.36,49.03,33451100
2018-09-19,48.92,49.54,48.66,49.43,20904800
2018-09-20,49.66,51.08,49.56,50.43,26973500
2018-09-21,50.83,51.12,50.35,51.10,50751900
2018-09-24,50.81,51.60,50.71,51.24,23906100
2018-09-25,51.39,51.93,50.97,51.72,18665800
2018-09-26,51.75,52.11,51.56,51.63,18131000
2018-09-27,51.56,52.02,51.33,51.69,17993500
2018-09-28,51.54,52.01,51.49,51.56,16234200
2018-10-01,51.22,51.99,51.14,51.80,19217800
2018-10-02,51.65,51.80,50.13,50.23,22406800
2018-10-03,49.59,50.10,49.59,49.75,21207600
2018-10-04,49.68,49.78,49.17,49.47,19034000
2018-10-05,49.42,49.77,49.12,49.35,16900200
2018-10-08,49.27,49.64,48.90,49.36,16295800
2018-10-09,49.11,49.40,48.83,48.87,19009800
2018-10-10,48.81,48.98,47.37,47.40,20885400
2018-10-11,47.33,47.89,46.49,46.78,26387600
2018-10-15,46.96,47.62,46.87,47.12,15693400
2018-10-16,47.57,48.42,47.47,48.23,13600200
2018-10-17,47.43,48.24,47.43,47.86,15071100
2018-10-18,47.57,48.14,47.13,47.38,15084800
2018-10-19,47.50,48.24,47.35,47.59,17768400
2018-10-22,47.85,48.49,47.71,47.94,16480200
2018-10-23,47.16,48.32,47.12,47.99,18921500
2018-10-24,47.88,48.30,46.70,46.76,20028200
2018-10-25,47.42,48.29,47.28,47.96,19349300
2018-10-26,47.24,48.07,46.71,47.32,23088700
2018-10-29,47.81,48.09,46.34,47.02,19248700
2018-10-30,47.08,48.62,46.92,48.57,24438200
2018-10-31,49.05,49.45,48.59,48.84,21082900
2018-11-01,48.96,49.24,48.34,48.59,17764900
2018-11-02,48.93,49.02,48.24,48.83,17289300
2018-11-05,49.00,49.13,48.50,49.02,13125800
2018-11-06,49.10,49.47,48.83,49.25,12362700
2018-11-07,49.58,50.50,49.47,50.26,14329800
2018-11-08,50.22,50.50,50.07,50.43,11966600
2018-11-09,50.42,50.82,50.31,50.61,15316100
2018-11-12,50.17,50.38,49.11,49.22,14374400
2018-11-13,49.47,50.00,49.24,49.51,13550600
2018-11-14,49.97,49.97,48.74,48.84,16094000
2018-11-15,50.04,50.69,49.05,50.63,24922800
2018-11-16,50.53,51.45,50.42,51.17,20929600
2018-11-19,51.05,51.10,49.40,49.55,19520500
2018-11-20,48.67,49.07,47.96,48.33,19389600
2018-11-21,48.76,49.18,48.53,48.62,13859500
2018-11-23,48.04,49.12,48.04,48.70,7807300
2018-11-26,49.16,49.16,48.10,48.26,21603800
2018-11-27,47.92,47.98,46.79,47.44,28054600
2018-11-28,47.73,48.25,47.37,48.19,29352900
2018-11-29,48.38,48.38,47.44,47.90,17052100
2018-11-30,48.09,48.84,47.71,48.76,22884500
2018-12-03,49.44,50.12,49.21,49.83,21966600
2018-12-04,49.52,50.22,48.71,48.75,24643500
2018-12-06,47.75,47.77,45.65,46.68,39877000
2018-12-07,46.76,47.04,45.81,46.00,23978000
2018-12-10,46.01,47.08,45.34,46.67,26375500
2018-12-11,46.98,47.13,46.06,46.46,22680200
2018-12-12,47.11,48.11,47.01,47.32,21404000
2018-12-13,47.48,47.55,46.75,47.23,23295400
2018-12-14,46.78,47.03,46.41,46.60,21434300
2018-12-17,46.42,47.23,45.53,45.73,30441100
2018-12-18,48.10,48.34,45.44,45.85,42855600
2018-12-19,46.06,47.44,45.75,46.45,34397300
2018-12-20,46.05,46.95,45.48,46.24,35165200
2018-12-21,46.08,46.21,43.86,44.00,58768400
2018-12-24,43.77,43.82,42.68,42.69,17230400
2018-12-26,43.00,44.61,42.40,44.59,21428900
2018-12-27,43.95,45.09,43.46,44.97,19048700
2018-12-28,45.14,45.77,44.74,44.82,39141200
2018-12-31,45.19,45.50,44.84,45.15,14932600
2019-01-02,44.48,45.34,44.45,45.22,14320400
2019-01-03,44.75,45.50,44.41,44.78,19868000
2019-01-04,45.37,46.95,45.25,46.71,20984000
2019-01-07,46.93,48.11,46.47,47.45,17967900
2019-01-08,47.93,48.36,47.20,47.88,16255700
2019-01-09,46.64,48.23,46.61,47.78,19100200
2019-01-10,47.38,47.98,46.88,47.82,16652700
2019-01-11,47.67,48.62,47.37,48.29,16397400
2019-01-15,47.47,48.53,47.41,48.38,12142100
2019-01-16,48.58,48.79,48.05,48.06,14114000
2019-01-17,48.01,48.91,47.81,48.58,12711200
2019-01-18,48.94,49.57,48.87,49.27,15930600
2019-01-22,48.84,49.17,48.66,48.94,13318700
2019-01-23,49.19,49.48,48.83,49.24,15551200
2019-01-24,49.26,49.43,48.87,49.20,11442200
2019-01-25,49.60,49.90,49.45,49.80,16656600
2019-01-28,49.45,49.73,49.21,49.52,11799100
2019-01-29,49.39,49.92,49.19,49.61,10838600
2019-01-30,49.86,50.50,49.60,50.36,13483800
2019-01-31,50.24,50.50,50.07,50.23,20403600
2019-02-01,50.52,51.10,50.29,50.81,14849600
2019-02-04,50.38,51.25,50.38,51.03,12221200
2019-02-05,51.17,51.37,50.89,51.24,13345500
2019-02-06,51.19,51.49,50.97,51.26,9220900
2019-02-07,50.79,50.99,50.17,50.22,14905000
2019-02-08,50.09,51.03,49.82,51.03,11535600
2019-02-11,50.96,51.48,50.95,51.23,9714500
2019-02-12,51.46,51.55,51.19,51.22,14188500
2019-02-13,51.25,51.55,50.95,51.42,11342600
