Date,Open,High,Low,Close,Volume
2018-06-06,85.91,87.12,85.84,86.46,6534300
2018-06-08,86.01,86.28,84.66,85.47,5533200
2018-06-11,85.89,86.76,85.29,86.15,5813400
2018-06-12,85.77,86.14,84.55,84.93,6053600
2018-06-13,84.62,84.98,83.91,84.33,4401600
2018-06-14,84.88,85.22,84.26,84.35,3675600
2018-06-15,84.03,84.10,82.84,83.33,7476900
2018-06-18,83.27,85.17,83.19,83.79,5247200
2018-06-19,82.70,83.40,82.17,82.58,5427000
2018-06-20,82.92,83.76,82.71,83.24,4452500
2018-06-21,83.03,83.11,81.68,82.09,4997400
2018-06-22,84.38,84.40,82.87,83.33,5305100
2018-06-25,83.50,83.51,80.83,81.35,3780300
2018-06-26,81.67,82.98,81.45,82.68,3925600
2018-06-27,83.65,84.69,83.55,83.77,5131800
2018-06-28,84.26,84.69,83.08,83.40,3507100
2018-06-29,84.03,84.84,83.60,83.68,3849700
2018-07-02,83.04,83.21,82.28,82.52,3091300
2018-07-03,83.63,84.81,83.29,83.86,2978900
2018-07-05,84.48,84.48,83.66,84.19,3670100
2018-07-06,83.76,84.69,83.61,84.25,2801100
2018-07-09,84.70,85.57,84.69,85.25,3001600
2018-07-10,85.62,86.60,85.53,85.70,4601500
2018-07-11,84.90,85.23,83.46,83.93,5109400
2018-07-12,84.71,85.08,83.10,84.56,4694100
2018-07-13,84.14,84.54,83.44,83.64,4723700
2018-07-16,82.80,83.39,81.34,82.53,3661700
2018-07-17,82.33,82.86,81.61,82.69,3476100
2018-07-18,82.14,83.23,81.29,82.96,3827000
2018-07-19,82.75,83.54,82.55,82.98,3495500
2018-07-20,83.10,83.34,82.48,83.08,2934400
2018-07-23,83.27,83.57,82.34,82.45,3328200
2018-07-24,82.81,84.59,82.64,83.46,7053100
2018-07-25,83.67,84.93,83.36,84.33,4610200
2018-07-26,84.20,84.65,83.87,84.16,4169200
2018-07-27,83.88,84.24,83.19,83.47,2787300
2018-07-30,84.09,84.23,83.05,83.31,3198900
2018-07-31,83.61,84.55,83.08,83.93,5069900
2018-08-01,83.09,83.26,82.39,82.64,3417600
2018-08-02,82.01,82.56,81.84,82.24,3355700
2018-08-03,82.10,82.53,81.89,82.29,3281600
2018-08-06,82.45,82.68,81.75,82.30,3224200
2018-08-07,82.99,83.13,81.82,81.94,3933400
2018-08-08,81.61,81.76,80.33,81.20,4532100
2018-08-09,79.47,79.66,76.10,77.79,14625200
2018-08-10,77.43,78.89,77.30,78.78,8380600
2018-08-13,78.89,79.42,78.00,78.14,5894900
2018-08-14,78.69,79.91,78.51,79.66,5701600
2018-08-15,79.15,79.24,76.84,76.93,6489500
2018-08-16,77.42,78.87,77.38,78.02,5470600
2018-08-17,78.52,78.97,78.21,78.55,4795100
2018-08-20,78.52,79.38,78.40,79.01,3119000
2018-08-21,79.34,79.57,78.73,78.89,3282400
2018-08-22,79.45,79.80,79.21,79.33,2948900
2018-08-23,78.98,79.18,78.59,78.98,2313600
2018-08-24,79.47,80.45,79.21,79.34,2580800
2018-08-27,79.46,80.32,79.46,80.21,2242100
2018-08-28,80.54,81.07,79.82,80.11,3173100
