Date,Open,High,Low,Close,Volume
2018-06-06,74.07,74.42,73.72,74.35,7002900
2018-06-07,74.18,76.39,74.10,75.76,13476100
2018-06-08,75.85,77.21,75.74,77.18,13625300
2018-06-11,76.97,77.69,76.88,77.53,9049400
2018-06-12,77.82,77.89,77.11,77.24,8786000
2018-06-13,77.40,77.40,76.20,76.47,8022400
2018-06-14,76.56,76.56,75.70,75.99,8895200
2018-06-15,76.16,77.51,75.92,77.38,14943500
2018-06-18,76.86,77.10,75.39,75.84,7384900
2018-06-19,75.59,76.68,75.57,76.33,8514000
2018-06-20,76.35,76.35,75.54,75.85,6603500
2018-06-21,75.53,77.05,75.53,76.44,8691200
2018-06-22,76.79,77.63,76.77,77.43,11446400
2018-06-25,77.28,77.94,77.18,77.79,11300500
2018-06-26,77.79,78.31,77.36,78.00,9558500
2018-06-27,78.11,78.71,77.56,77.69,7873300
2018-06-28,77.86,78.32,77.66,78.05,5714400
2018-06-29,77.93,78.54,77.29,78.06,7679900
2018-07-02,77.50,78.31,77.42,78.13,6092800
2018-07-03,78.54,78.76,77.78,77.90,5897200
2018-07-05,78.14,79.25,78.12,79.21,7956100
2018-07-06,79.38,79.62,78.90,79.31,7244000
2018-07-09,78.46,78.83,77.78,77.86,9095900
2018-07-10,78.07,79.94,77.99,79.82,12773500
2018-07-11,79.63,79.84,79.03,79.16,7851600
2018-07-12,79.34,79.52,78.57,78.89,8556800
2018-07-13,79.08,79.47,78.90,79.31,6021300
2018-07-16,79.21,79.63,78.83,79.53,6931200
2018-07-17,79.66,80.50,79.55,80.03,8983400
2018-07-19,78.42,79.19,77.89,78.73,8010600
2018-07-20,78.32,79.06,78.32,78.68,8234700
2018-07-23,78.49,78.94,78.24,78.51,5881600
2018-07-24,77.54,79.01,77.54,78.99,8297100
2018-07-25,78.72,79.60,78.72,79.47,6208400
2018-07-26,79.56,80.77,79.47,80.09,9771100
2018-07-27,79.67,80.83,79.46,80.58,7492900
2018-07-30,80.07,80.50,79.84,80.20,7090700
2018-07-31,80.39,80.98,79.43,80.88,9878200
2018-08-01,80.42,80.82,80.11,80.65,7556700
2018-08-02,80.80,82.22,80.59,82.00,9261700
2018-08-03,82.14,83.10,81.92,82.33,7102800
2018-08-06,82.20,82.93,82.15,82.52,5669200
2018-08-07,82.41,82.68,81.73,82.64,6418000
2018-08-08,82.10,82.80,82.10,82.35,4891300
2018-08-09,82.44,82.44,81.30,81.40,5167400
2018-08-10,81.30,81.76,81.00,81.43,5566000
