Date,Open,High,Low,Close,Volume
2018-06-06,59.26,59.85,59.11,59.84,6236700
2018-06-07,62.00,62.65,60.22,60.64,14786100
2018-06-08,60.25,60.62,59.81,60.26,7035300
2018-06-11,60.17,60.42,59.82,59.93,7369500
2018-06-12,60.11,60.38,59.55,59.79,7153500
2018-06-13,59.67,60.23,59.12,59.22,9676300
2018-06-14,59.29,59.70,58.95,59.46,8372900
2018-06-15,59.87,59.95,58.92,59.86,13804900
2018-06-18,59.31,59.37,58.92,59.20,6946600
2018-06-19,58.28,58.74,57.85,58.70,7958300
2018-06-20,59.18,59.20,58.31,58.79,6526400
2018-06-21,59.21,59.21,58.39,58.75,6605400
2018-06-22,58.78,59.10,58.43,58.50,8074100
2018-06-25,58.09,58.14,56.61,57.05,8635900
2018-06-26,57.08,57.15,56.31,56.45,8934700
2018-06-27,56.55,57.53,55.14,55.17,11832400
2018-06-28,55.12,56.46,55.09,55.90,11723600
2018-06-29,56.13,56.86,56.08,56.12,11274000
2018-07-02,55.40,56.22,55.12,56.18,7299900
2018-07-03,56.41,56.53,55.25,55.33,3618900
2018-07-05,55.70,57.43,55.65,57.38,11728300
2018-07-06,57.46,58.07,57.03,57.84,8806200
2018-07-09,58.06,58.31,57.23,58.04,4577100
2018-07-10,58.06,58.47,57.95,58.37,6848900
2018-07-11,57.43,58.01,56.74,57.30,8702000
2018-07-12,57.85,58.49,57.31,58.32,8426400
2018-07-13,58.25,58.78,58.18,58.39,5266100
2018-07-16,58.42,58.84,58.06,58.35,5907100
2018-07-17,57.92,58.91,57.62,58.91,7560300
2018-07-18,59.00,59.00,58.37,58.76,6795100
2018-07-19,58.71,59.59,58.65,59.31,8150200
2018-07-20,58.98,59.18,58.40,58.61,10859700
2018-07-23,58.40,59.21,57.82,59.08,8011800
2018-07-24,59.35,59.62,58.45,58.85,6637600
2018-07-25,58.55,59.50,57.76,59.42,13143100
2018-07-26,63.05,63.76,61.26,63.58,31025100
2018-07-27,63.22,63.51,62.22,62.69,13488800
2018-07-30,62.65,62.98,61.93,62.04,9547700
2018-07-31,63.83,64.66,63.50,64.09,22350800
2018-08-01,63.55,64.87,63.55,64.35,10706200
