Date,Open,High,Low,Close,Volume
2018-05-30,75.35,77.05,75.35,75.95,400600
2018-05-31,75.85,76.50,75.55,75.75,415900
2018-06-01,76.35,76.75,75.35,76.20,441000
2018-06-04,76.75,77.15,76.00,77.00,598000
2018-06-05,77.20,79.25,77.00,79.00,561900
2018-06-06,79.25,79.90,77.85,77.85,847200
2018-06-07,77.75,77.93,73.40,74.20,506500
2018-06-08,74.20,75.05,73.05,74.90,521100
2018-06-11,75.00,75.40,74.25,74.75,366100
2018-06-12,75.00,77.20,75.00,77.05,529000
2018-06-13,77.05,78.12,76.60,77.85,728100
2018-06-14,77.85,78.95,77.40,77.90,509200
2018-06-15,77.65,78.75,77.05,78.40,846900
2018-06-18,78.15,80.70,77.75,80.35,803500
2018-06-19,79.90,79.90,76.70,77.00,1040900
2018-06-20,77.80,80.25,77.10,77.10,776400
2018-06-21,77.10,78.15,74.85,74.95,911500
2018-06-22,75.05,75.05,71.85,72.35,5351400
2018-06-25,71.95,71.95,67.75,69.35,1346900
2018-06-26,69.65,71.55,68.75,70.15,1159900
2018-06-27,70.65,71.33,67.95,68.05,1128200
2018-06-28,68.00,71.10,67.60,70.85,1049200
2018-06-29,71.10,71.55,69.85,70.35,802100
2018-07-02,71.00,71.60,69.35,71.55,941000
2018-07-03,72.10,72.40,70.40,71.00,294500
2018-07-05,71.50,72.35,71.05,71.75,1326700
2018-07-06,71.75,75.08,70.97,74.95,930300
2018-07-09,75.00,76.00,73.25,74.40,694600
2018-07-10,74.55,75.50,74.00,74.70,1017300
2018-07-11,73.75,75.68,73.55,74.40,662900
2018-07-12,75.25,79.15,74.95,78.75,1094200
2018-07-13,78.95,79.65,77.60,78.65,602400
2018-07-16,78.65,79.35,78.25,78.85,575300
2018-07-17,78.65,82.10,78.15,81.75,739100
2018-07-18,81.75,83.15,81.00,83.00,1069500
2018-07-19,83.10,83.95,82.15,82.80,929600
2018-07-20,82.55,83.20,81.45,81.55,422100
2018-07-23,81.50,82.30,80.35,81.50,841300
2018-07-24,82.25,82.25,78.50,79.40,849700
2018-07-25,79.40,82.10,79.05,81.55,608900
2018-07-26,80.85,82.85,80.16,82.25,407000
2018-07-27,82.70,83.00,79.20,80.00,909700
2018-07-30,79.65,80.00,72.85,73.80,1445800
2018-07-31,73.95,74.70,71.50,73.75,1786600
2018-08-01,73.75,76.80,73.75,76.45,1893000
2018-08-02,76.45,79.05,76.30,79.05,917100
2018-08-03,79.45,79.80,77.25,79.55,1748500
