Date,Open,High,Low,Close,Volume
2018-06-06,2.1500,2.1650,2.1400,2.1600,3373185
2018-06-07,2.1300,2.1900,2.1300,2.1800,3651500
2018-06-08,2.1600,2.1800,2.1400,2.1800,2342368
2018-06-12,2.1800,2.2000,2.1550,2.2000,3731027
2018-06-13,2.1900,2.2200,2.1500,2.1600,2960742
2018-06-14,2.1700,2.2100,2.1600,2.2000,2329797
2018-06-15,2.2200,2.2600,2.1950,2.2000,10462379
2018-06-18,2.2000,2.2850,2.2000,2.2800,3337669
2018-06-19,2.2800,2.2900,2.2300,2.2300,4633678
2018-06-20,2.2500,2.2500,2.1300,2.1500,8422509
2018-06-21,2.2000,2.3000,2.1900,2.2500,5605393
2018-06-22,2.2700,2.2900,2.2350,2.2600,2674006
2018-06-25,2.2600,2.3100,2.2500,2.3000,2453432
2018-06-26,2.2500,2.2950,2.2100,2.2600,4629982
2018-06-27,2.2500,2.2900,2.1950,2.2000,3539203
2018-06-28,2.1300,2.1800,2.0800,2.1300,5285072
2018-06-29,2.1400,2.2000,2.1250,2.1900,5802015
2018-07-02,2.1800,2.2100,2.1350,2.1700,3928930
2018-07-03,2.1600,2.1800,2.1100,2.1300,3005803
2018-07-04,2.1600,2.1600,2.1200,2.1300,3295935
2018-07-05,2.1400,2.1500,2.1050,2.1200,5989511
2018-07-06,2.1400,2.1600,2.1300,2.1400,2828490
2018-07-09,2.1200,2.1400,2.0950,2.1200,3151907
2018-07-10,2.1400,2.1500,2.0900,2.1000,2977247
2018-07-11,2.1000,2.1200,2.0700,2.1000,6257129
2018-07-12,2.0800,2.1800,2.0700,2.1600,3433372
2018-07-13,2.1700,2.1850,2.1000,2.1100,2643964
2018-07-16,2.1000,2.1200,2.0300,2.0600,2816482
2018-07-17,2.0500,2.0950,2.0400,2.0500,2718462
2018-07-18,2.1100,2.2700,2.1000,2.1300,8002715
2018-07-19,2.1300,2.1350,2.0400,2.0700,5810346
2018-07-20,2.0400,2.0450,1.9800,1.9900,6258013
2018-07-23,2.0200,2.0450,1.9850,2.0100,4259595
2018-07-24,1.9900,2.0300,1.9800,2.0100,3607730
2018-07-25,2.0100,2.0300,1.9520,1.9600,5354829
2018-07-26,1.9600,2.0300,1.9570,2.0000,4472114
2018-07-27,2.0100,2.0100,1.9450,1.9650,3560031
2018-07-30,1.9400,1.9775,1.9100,1.9100,4920227
2018-07-31,1.9050,1.9450,1.8700,1.8750,8156437
2018-08-01,1.9400,1.9800,1.9300,1.9700,9193715
2018-08-02,1.9600,1.9675,1.9350,1.9450,3533762
2018-08-03,1.9550,1.9650,1.8900,1.9050,3977852
2018-08-06,1.9100,1.9400,1.9100,1.9250,2291217
2018-08-07,1.9500,1.9650,1.9370,1.9550,4177238
2018-08-08,1.9550,1.9675,1.9170,1.9450,5212714
2018-08-09,1.9500,1.9775,1.9400,1.9650,3809700
