Date,Open,High,Low,Close,Volume
2018-05-30,57.43,57.66,57.15,57.48,5762400
2018-05-31,57.18,57.47,56.55,56.67,9433000
2018-06-01,56.84,57.03,56.61,56.91,4967700
2018-06-04,57.10,57.20,56.80,57.07,7484100
2018-06-05,56.69,56.70,55.28,55.68,18278800
2018-06-06,55.84,57.18,55.62,57.17,13709800
2018-06-07,57.29,57.94,57.09,57.14,7919800
2018-06-08,56.92,57.06,56.52,56.60,8433500
2018-06-11,56.61,56.74,56.27,56.48,7181700
2018-06-12,56.60,56.90,56.30,56.48,8249700
2018-06-13,56.51,56.70,56.18,56.21,8283200
2018-06-14,56.46,57.07,56.31,57.02,11049700
2018-06-15,57.04,57.21,56.46,57.11,12408300
2018-06-18,56.77,57.32,56.11,57.22,9676900
2018-06-19,56.65,57.50,56.34,57.43,9965500
2018-06-20,54.83,55.01,51.58,52.22,62091100
2018-06-21,52.29,52.63,50.36,50.62,30723000
2018-06-22,51.00,51.72,50.82,51.24,24429600
2018-06-25,51.16,51.44,50.21,50.66,15578600
2018-06-26,50.51,50.63,50.11,50.38,12930600
2018-06-27,50.52,50.53,49.84,49.84,14576900
2018-06-28,49.45,49.48,47.37,48.54,33210100
2018-06-29,48.08,49.26,48.08,48.85,17413000
2018-07-02,48.64,49.10,48.55,49.06,9870900
2018-07-03,49.15,49.30,48.76,48.77,7517500
2018-07-05,48.92,49.03,48.40,48.61,9630500
2018-07-06,48.90,49.19,48.58,48.98,10712000
2018-07-09,49.21,50.05,49.21,49.90,12811700
2018-07-10,50.08,50.51,49.96,50.42,9038000
2018-07-11,50.22,50.48,50.02,50.14,9542400
2018-07-12,50.36,50.66,50.20,50.25,9339200
2018-07-13,50.26,51.65,50.26,51.62,21718400
2018-07-16,51.55,51.55,50.69,50.94,16974900
2018-07-17,50.66,51.30,50.60,51.28,11421300
2018-07-18,51.34,51.62,51.00,51.15,13549500
2018-07-19,51.11,51.49,51.00,51.34,11415600
2018-07-20,51.06,51.24,50.75,50.91,11024100
