Date,Open,High,Low,Close,Volume
2018-06-06,20.29,20.58,20.23,20.54,848583
2018-06-07,20.53,20.95,20.53,20.86,764714
2018-06-08,20.94,20.99,20.68,20.89,566513
2018-06-12,20.96,21.34,20.90,21.29,1005594
2018-06-13,21.38,21.59,21.12,21.23,842160
2018-06-14,21.22,21.50,21.06,21.17,822165
2018-06-15,21.49,21.84,21.49,21.55,1028372
2018-06-18,21.66,21.82,21.50,21.59,377432
2018-06-19,21.77,22.01,21.70,21.82,553168
2018-06-20,21.90,22.12,21.83,21.99,435954
2018-06-21,22.20,22.61,21.97,22.50,1177470
2018-06-22,22.53,22.63,22.32,22.39,574218
2018-06-25,22.47,22.53,22.28,22.36,491767
2018-06-26,22.30,22.49,22.09,22.44,413400
2018-06-27,22.35,22.42,22.02,22.25,524798
2018-06-28,22.30,22.57,22.08,22.19,1133573
2018-06-29,22.24,22.33,21.81,21.81,1299899
2018-07-02,21.95,22.00,21.50,21.53,684662
2018-07-03,21.52,21.66,21.05,21.45,1055479
2018-07-04,21.50,21.54,21.04,21.10,954938
2018-07-05,21.21,21.34,21.13,21.25,1906942
2018-07-06,21.40,21.49,21.19,21.30,1048340
2018-07-09,21.30,21.53,21.12,21.25,524624
2018-07-10,21.20,21.41,21.18,21.27,653274
2018-07-11,21.35,21.59,21.21,21.33,739221
2018-07-12,21.51,21.65,21.27,21.44,814938
2018-07-13,21.46,21.85,21.40,21.78,546533
2018-07-16,21.71,21.85,21.51,21.56,554467
2018-07-17,21.62,21.90,21.57,21.74,513263
2018-07-18,22.01,22.30,21.73,21.82,659347
2018-07-19,22.05,22.28,21.92,22.17,598649
2018-07-20,22.47,22.54,22.22,22.29,690964
2018-07-23,22.20,22.25,21.90,21.96,402686
2018-07-24,21.94,22.18,21.94,22.02,330009
2018-07-25,22.09,22.09,21.89,21.95,464133
2018-07-26,21.95,22.14,21.80,22.04,1360310
2018-07-27,22.47,22.55,22.25,22.29,1367428
2018-07-30,22.14,22.19,21.83,21.89,530778
2018-07-31,22.00,22.05,21.25,21.37,991472
2018-08-01,21.46,21.46,21.06,21.14,914555
2018-08-02,21.15,21.42,21.15,21.27,820871
2018-08-03,21.54,22.09,21.52,21.92,777037
2018-08-06,20.50,20.50,19.78,20.00,3654644
2018-08-07,19.72,20.41,19.72,20.09,2219525
2018-08-08,19.86,20.12,19.86,20.02,2302625
2018-08-09,20.07,20.29,19.70,20.20,1580517
2018-08-10,20.39,20.75,20.37,20.45,830742
2018-08-13,20.37,20.51,20.07,20.14,574503
2018-08-14,20.25,20.67,20.08,20.65,833280
2018-08-15,20.56,21.37,20.56,21.29,990810
2018-08-16,21.30,22.02,21.25,21.97,1408702
2018-08-17,21.86,22.46,21.78,22.31,1380596
2018-08-20,22.52,22.75,22.03,22.06,1400401
2018-08-21,21.61,22.10,21.51,21.93,921719
2018-08-22,21.63,22.11,21.47,21.88,1043284
2018-08-23,21.83,22.13,21.29,21.33,1076405
2018-08-24,21.75,22.09,21.48,21.63,1982817
2018-08-27,21.63,22.13,21.55,21.96,663215
2018-08-28,21.96,22.24,21.75,22.17,1449304
2018-08-29,22.24,22.33,21.72,21.88,1505694
2018-08-30,22.00,22.52,22.00,22.37,1335424
2018-08-31,22.48,22.66,22.35,22.40,1289029
2018-09-03,22.68,22.94,22.41,22.68,728559
2018-09-04,22.54,22.68,22.41,22.52,900749
2018-09-05,22.34,22.52,22.13,22.21,1213758
2018-09-06,21.93,22.11,21.35,21.51,1324731
2018-09-07,21.19,21.35,21.10,21.29,823037
2018-09-10,21.29,21.43,21.21,21.37,416578
2018-09-12,21.30,21.39,21.11,21.26,826745
2018-09-13,21.02,21.26,20.67,20.70,846597
2018-09-14,20.80,21.05,20.72,21.00,519967
2018-09-17,21.00,21.04,20.74,20.97,498579
2018-09-18,21.09,21.09,20.66,20.93,740302
2018-09-19,20.95,21.01,20.74,20.90,1827673
2018-09-20,20.71,20.78,20.42,20.47,991336
2018-09-21,20.51,20.58,20.35,20.47,1452267
2018-09-24,20.32,20.64,20.30,20.47,451609
2018-09-25,20.45,20.79,20.40,20.66,329133
2018-09-26,20.65,20.70,20.41,20.50,566590
2018-09-27,20.57,21.01,20.53,20.91,546770
2018-09-28,20.93,21.37,20.75,20.76,869000
2018-10-01,20.51,20.76,20.47,20.62,691002
2018-10-02,20.70,20.81,20.26,20.41,583779
2018-10-03,20.20,20.50,20.11,20.34,321723
2018-10-04,20.31,20.68,20.27,20.53,421576
2018-10-05,20.71,20.84,20.40,20.66,584484
2018-10-08,20.41,20.75,20.41,20.55,407194
2018-10-09,20.35,20.56,19.88,20.12,843267
2018-10-10,20.16,20.59,20.16,20.51,667830
2018-10-11,20.00,20.13,19.43,19.83,1425009
2018-10-12,19.38,19.81,19.38,19.74,870748
2018-10-15,19.35,19.53,19.16,19.24,899358
2018-10-16,19.18,19.34,18.85,19.23,770997
