Date,Open,High,Low,Close,Volume
2018-06-06,162.05,165.77,160.26,165.36,1399600
2018-06-07,166.00,166.01,158.88,161.26,1738800
2018-06-08,159.55,163.83,158.50,162.81,1056900
2018-06-11,163.20,164.90,160.03,160.24,1079400
2018-06-12,160.33,165.89,160.13,165.24,1378100
2018-06-13,165.00,171.13,163.81,165.09,2156000
2018-06-14,166.22,168.86,166.00,167.94,1125200
2018-06-15,166.65,169.36,164.65,168.44,841700
2018-06-18,167.00,172.92,166.80,172.84,1261300
2018-06-19,169.80,172.51,167.07,170.61,1092700
2018-06-20,173.67,175.11,172.21,172.25,965300
2018-06-21,173.48,173.84,164.35,164.54,1764300
2018-06-22,166.52,166.68,160.07,162.53,1232900
2018-06-25,160.00,160.00,151.05,153.21,2180800
2018-06-26,155.75,158.73,154.12,155.01,1815500
2018-06-27,155.52,156.20,144.28,144.70,3248400
2018-06-28,143.17,147.83,140.40,146.55,1881000
2018-06-29,147.82,149.95,145.35,145.89,1205000
2018-07-02,142.71,149.57,141.37,149.42,880800
2018-07-03,149.18,151.95,147.25,150.50,1060800
2018-07-05,153.15,153.77,149.96,152.68,914900
2018-07-06,152.91,157.34,152.00,156.81,1073800
2018-07-09,158.79,160.40,154.24,158.45,997000
2018-07-10,158.62,160.37,157.81,158.98,776500
2018-07-11,157.48,161.97,156.27,160.98,745500
2018-07-12,162.58,168.20,162.11,167.50,995800
2018-07-13,167.72,168.12,163.74,166.18,877100
2018-07-16,166.13,169.40,164.80,165.35,1262300
2018-07-17,161.71,170.30,161.05,169.00,1200600
2018-07-18,169.25,171.48,167.03,170.48,851600
2018-07-19,170.00,172.10,168.18,171.75,829100
2018-07-20,172.00,175.29,171.30,171.75,1277800
2018-07-23,171.95,174.13,169.00,173.26,839700
2018-07-24,174.84,176.60,166.63,168.34,1541500
2018-07-25,167.91,174.03,165.57,173.78,1255900
2018-07-26,169.33,172.24,168.65,170.29,1158500
2018-07-27,172.35,172.35,159.26,160.15,2102000
2018-07-30,159.80,160.47,147.33,148.08,2745100
2018-07-31,138.52,143.77,133.26,138.21,7920600
2018-08-01,138.68,140.22,134.89,136.36,2405200
2018-08-02,134.58,144.21,132.63,143.92,2724900
2018-08-03,145.00,145.47,140.83,141.87,1617400
2018-08-06,141.91,142.41,138.00,142.04,1196400
2018-08-07,143.15,146.64,141.17,141.68,1013000
2018-08-08,142.67,144.14,140.85,142.70,817500
