Date,Open,High,Low,Close,Volume
2018-06-06,95.77,96.27,95.23,96.20,146500
2018-06-07,96.72,97.43,96.63,97.23,161300
2018-06-08,95.36,95.76,94.78,95.49,113700
2018-06-11,95.42,96.11,94.43,95.79,158000
2018-06-12,95.49,96.13,95.09,95.36,84900
2018-06-13,95.26,95.26,94.42,94.50,103500
2018-06-14,93.64,93.64,93.08,93.14,164000
2018-06-15,92.49,92.49,90.19,90.60,162200
2018-06-18,90.39,91.29,90.35,91.12,88300
2018-06-19,89.31,90.17,88.91,89.87,149200
2018-06-20,91.51,91.66,90.90,90.93,138700
2018-06-21,90.27,90.39,89.34,89.51,139200
2018-06-22,91.16,92.05,90.74,91.89,149600
2018-06-25,88.86,89.06,87.88,88.52,175400
2018-06-26,88.01,89.39,87.99,89.33,169100
2018-06-27,89.03,90.43,88.46,88.74,179900
2018-06-28,88.83,89.36,88.40,88.75,211600
2018-06-29,89.64,90.20,89.39,89.84,119400
2018-07-02,88.93,89.13,88.00,88.34,99000
2018-07-03,88.95,89.78,88.56,88.58,139900
2018-07-05,87.62,87.99,86.29,86.49,151100
2018-07-06,86.78,88.09,86.54,87.64,136100
2018-07-09,89.96,90.11,89.16,90.11,201100
2018-07-10,90.57,91.15,90.44,91.02,131400
2018-07-11,89.58,90.00,87.01,87.75,127500
2018-07-12,89.04,89.63,88.71,89.41,107500
2018-07-13,90.05,90.61,89.70,90.27,98200
2018-07-16,89.28,89.31,88.04,88.68,137000
2018-07-17,89.01,90.42,88.80,89.98,145400
2018-07-18,89.55,89.93,88.90,89.84,102000
2018-07-19,89.76,90.20,89.27,89.55,111500
2018-07-20,90.74,92.10,90.40,91.79,153700
2018-07-23,91.65,91.76,90.22,90.48,110100
2018-07-24,93.56,95.24,93.17,93.69,231300
2018-07-25,93.64,94.91,93.07,94.70,126800
2018-07-26,94.08,94.41,93.87,94.29,80500
2018-07-27,95.82,96.00,94.89,95.23,136600
2018-07-30,96.33,96.57,95.17,95.36,164300
2018-07-31,96.13,96.67,95.52,95.88,132900
2018-08-01,95.88,95.98,94.69,95.38,152000
2018-08-02,93.36,94.79,92.90,94.50,131400
2018-08-03,94.50,94.71,94.04,94.31,57100
2018-08-06,93.79,94.20,93.46,93.87,72000
2018-08-07,96.72,97.12,96.33,96.39,93900
2018-08-08,96.26,96.26,95.08,95.90,89700
2018-08-09,96.42,96.76,95.95,96.32,105400
2018-08-10,94.14,94.31,93.14,93.50,212600
2018-08-13,93.24,93.24,91.75,92.28,162800
2018-08-14,94.22,94.28,93.47,93.55,114500
2018-08-15,92.07,92.07,90.10,91.47,139200
2018-08-16,92.26,92.47,91.71,91.78,120800
2018-08-17,91.66,93.03,91.05,92.84,79800
2018-08-20,93.10,93.57,93.09,93.47,55000
2018-08-21,94.63,94.96,94.30,94.71,95800
2018-08-22,95.78,96.25,95.53,96.04,89900
2018-08-23,94.84,95.15,94.44,94.47,110600
2018-08-24,96.00,97.17,95.92,96.50,130700
2018-08-27,101.28,102.00,100.46,100.90,183000
2018-08-28,101.28,101.68,99.46,99.74,141400
2018-08-29,100.87,101.56,100.62,101.30,104400
2018-08-30,100.18,100.21,98.75,99.03,170300
2018-08-31,99.51,100.58,98.39,99.31,186300
2018-09-05,94.40,94.94,93.59,94.46,162100
2018-09-06,94.76,95.29,94.10,95.02,192500
2018-09-07,94.27,94.29,92.93,93.71,193700
2018-09-10,94.77,95.09,94.18,94.81,138800
2018-09-11,94.71,96.02,94.35,95.97,107000
2018-09-12,96.00,97.79,95.91,96.61,204800
2018-09-13,97.62,98.10,95.85,96.77,303500
2018-09-14,96.14,96.22,95.02,95.16,255200
2018-09-17,96.77,97.16,96.15,96.29,112100
2018-09-18,97.41,98.18,97.41,97.83,94500
2018-09-19,99.50,100.36,99.27,99.78,140700
2018-09-20,99.81,99.88,98.03,98.30,137300
2018-09-21,98.64,98.73,96.88,97.13,167500
2018-09-24,97.13,97.89,97.04,97.72,73000
2018-09-25,98.90,99.27,98.56,98.57,97200
2018-09-26,98.50,99.41,98.28,98.32,176400
2018-09-27,98.54,99.62,98.43,99.42,148800
2018-09-28,99.88,100.97,99.82,100.44,139300
2018-10-01,101.28,102.48,100.87,102.07,108700
2018-10-02,97.74,99.31,97.74,98.72,334200
2018-10-03,97.40,98.14,97.25,97.65,265900
2018-10-04,93.34,93.40,90.62,91.57,327800
2018-10-05,92.93,92.93,91.34,91.60,301100
2018-10-08,89.24,89.30,87.88,88.48,241700
2018-10-09,87.90,88.19,87.06,87.37,213800
2018-10-10,86.93,86.93,84.18,84.21,213300
2018-10-11,85.66,86.39,84.08,84.56,281600
2018-10-12,87.14,87.14,85.02,85.92,254600
2018-10-15,86.44,86.90,85.53,86.16,148000
2018-10-16,85.60,86.53,85.09,86.37,340600
2018-10-17,86.12,86.12,84.34,84.74,137400
2018-10-18,83.48,83.48,81.19,81.31,341500
2018-10-19,83.10,83.34,82.21,82.49,147900
2018-10-22,83.61,83.83,82.29,82.91,150800
2018-10-23,80.20,80.67,79.50,80.10,188300
2018-10-24,82.41,82.63,79.44,79.51,343300
2018-10-25,80.50,81.48,80.10,81.08,130900
2018-10-26,80.92,82.59,80.61,82.08,153400
2018-10-29,82.52,82.54,78.96,79.60,251600
2018-10-30,81.57,82.58,79.60,81.88,185100
2018-10-31,80.24,81.47,79.92,80.66,222700
2018-11-01,81.96,83.38,81.30,83.28,250200
2018-11-02,84.20,84.20,82.04,82.64,257500
2018-11-05,85.83,86.00,84.72,85.75,204500
2018-11-06,85.95,86.85,85.82,86.81,170300
2018-11-07,87.86,88.00,86.78,87.74,114800
2018-11-08,86.43,87.09,85.39,85.67,119800
2018-11-09,84.85,85.09,84.10,84.83,86200
2018-11-12,85.08,85.24,83.99,84.09,119100
2018-11-13,84.29,84.44,81.81,82.06,233600
2018-11-14,84.36,84.51,82.77,83.73,209600
2018-11-15,83.49,85.56,83.41,85.01,181000
2018-11-16,85.03,86.20,84.79,85.79,151700
2018-11-19,85.01,85.52,84.29,84.87,351700
2018-11-20,83.86,84.10,81.96,82.36,237000
2018-11-21,84.18,84.57,83.52,84.03,232100
2018-11-23,81.21,82.00,80.68,81.50,141300
2018-11-26,83.16,83.70,82.62,83.70,150400
2018-11-27,83.09,83.42,82.27,83.25,105300
2018-11-28,83.70,84.77,82.97,84.46,191300
2018-11-29,84.74,85.39,84.35,84.38,188000
2018-11-30,84.22,85.35,83.53,85.34,185700
2018-12-03,87.95,88.70,87.19,88.19,245700
2018-12-04,87.30,87.96,85.86,86.37,193000
2018-12-06,84.62,85.26,82.62,84.61,226600
2018-12-07,84.50,84.89,82.27,82.38,170700
2018-12-10,81.40,82.07,80.72,81.56,252800
2018-12-11,82.57,82.97,81.04,81.49,150700
2018-12-12,83.09,83.59,82.47,82.49,158500
2018-12-13,82.78,84.15,82.67,84.00,167900
2018-12-14,82.97,83.33,82.18,82.40,216600
2018-12-17,82.30,82.53,80.64,80.94,248200
2018-12-18,81.49,81.98,79.31,79.36,240200
2018-12-19,78.40,78.79,76.48,77.18,281400
2018-12-20,76.77,78.08,76.46,76.75,181700
2018-12-21,75.86,76.66,75.42,75.66,312500
2018-12-24,75.37,75.69,74.02,74.31,164200
2018-12-26,74.11,77.34,74.07,77.34,236300
2018-12-27,73.78,73.78,71.71,72.97,337300
2018-12-28,69.68,70.55,69.02,69.75,388900
2018-12-31,70.90,71.78,70.27,70.60,245500
2019-01-02,69.55,71.78,69.32,71.58,356400
2019-01-03,71.59,72.35,71.17,71.39,236800
2019-01-04,72.03,73.09,71.20,72.72,352000
2019-01-07,73.02,74.07,72.77,73.27,187200
2019-01-08,74.57,75.27,73.80,74.87,318200
2019-01-09,77.01,78.02,76.56,77.46,338800
2019-01-10,77.14,77.80,76.61,77.54,222100
2019-01-11,77.08,78.12,77.04,77.63,155600
2019-01-14,77.00,77.86,76.75,77.21,181900
2019-01-15,77.85,78.05,77.25,77.91,240800
2019-01-16,78.54,79.17,78.40,78.86,330300
2019-01-17,78.35,79.65,78.11,79.11,279100
2019-01-18,79.44,79.98,79.05,79.75,217900
2019-01-22,78.44,78.47,77.39,77.81,260200
2019-01-23,78.00,78.48,77.66,78.33,184200
2019-01-24,79.36,80.33,79.20,79.80,417600
2019-01-25,80.00,81.26,79.81,80.85,145300
2019-01-28,80.61,81.05,80.17,81.00,298600
2019-01-29,82.14,82.65,81.78,81.80,182700
2019-01-30,84.31,84.69,83.47,84.45,217500
2019-01-31,84.25,84.30,83.07,83.45,225400
2019-02-01,83.12,84.12,82.93,83.66,167200
2019-02-04,83.31,83.89,82.78,83.77,92600
2019-02-05,83.94,84.71,83.87,84.61,118600
2019-02-06,84.11,84.35,83.84,84.06,83600
2019-02-07,83.57,83.80,81.78,82.83,168300
2019-02-08,83.73,83.82,82.84,83.68,138500
2019-02-11,83.33,83.37,82.46,82.90,103200
2019-02-12,83.84,84.28,83.15,83.58,180100
2019-02-13,84.74,85.41,83.96,84.13,216100
2019-02-14,84.16,84.40,83.29,84.03,150000
2019-02-15,83.94,84.43,83.70,84.43,110600
2019-02-19,85.13,86.36,85.10,86.33,181300
2019-02-20,86.31,87.17,86.28,86.52,103400
2019-02-21,86.48,86.58,85.63,85.70,176400
2019-02-22,86.36,86.60,86.00,86.41,76200
2019-02-25,86.51,86.89,85.86,86.21,128000
2019-02-26,85.99,86.50,85.94,86.14,138600
2019-02-27,86.31,86.34,85.53,85.96,111900
2019-02-28,86.26,86.40,85.76,85.80,130200
2019-03-01,86.34,86.64,85.36,85.82,168600
2019-03-04,86.35,86.54,84.75,85.99,180800
2019-03-05,85.71,85.92,84.97,85.44,96700
2019-03-06,85.46,85.72,84.46,84.78,101300
2019-03-07,84.62,84.64,83.19,83.27,135200
2019-03-08,81.61,81.94,80.94,81.92,103600
2019-03-11,82.40,83.15,82.27,83.13,119100
2019-03-12,83.58,84.42,83.58,84.16,172400
2019-03-13,84.37,84.80,84.14,84.74,108600
2019-03-14,84.25,84.36,83.74,83.74,143400
2019-03-15,84.35,85.73,84.19,85.08,123000
2019-03-18,85.33,85.51,84.94,85.41,161100
2019-03-19,85.93,85.95,85.34,85.40,117600
2019-03-20,84.21,85.38,83.85,85.09,193400
2019-03-21,84.12,84.95,84.12,84.62,86100
2019-03-22,82.76,83.02,81.67,81.95,114200
2019-03-25,80.65,80.74,79.72,80.09,161200
2019-03-26,80.53,80.99,80.23,80.68,127500
2019-03-27,80.47,80.47,79.42,79.69,127500
2019-03-28,79.71,80.63,79.57,80.27,149000
2019-03-29,80.06,80.06,79.07,79.50,134700
2019-04-01,79.99,80.94,79.98,80.94,103800
2019-04-02,81.14,81.39,80.43,80.60,109700
2019-04-03,80.65,80.94,79.70,79.97,187200
2019-04-04,80.14,80.49,79.94,80.22,108400
2019-04-05,80.81,81.23,80.53,80.93,293800
2019-04-08,80.99,81.19,80.75,81.05,129100
2019-04-09,80.25,80.40,79.80,79.84,168100
2019-04-10,79.72,80.44,79.57,80.14,184900
2019-04-11,80.05,80.28,79.47,79.71,124700
2019-04-12,80.33,80.33,79.62,79.77,120800
2019-04-15,78.75,78.85,77.97,78.25,187600
2019-04-16,78.35,78.71,78.04,78.61,120500
2019-04-17,78.99,79.16,78.46,78.48,156300
2019-04-18,78.48,78.48,78.00,78.26,91100
2019-04-22,78.22,78.42,77.78,78.39,117100
2019-04-23,78.06,78.36,77.76,77.95,205600
2019-04-24,76.96,77.22,76.08,76.14,141800
2019-04-25,76.08,76.72,76.05,76.53,152400
2019-04-26,76.87,76.87,75.93,76.18,105800
2019-04-29,76.38,77.05,76.03,76.26,120400
2019-04-30,77.19,77.19,76.50,76.74,93500
2019-05-01,77.09,77.10,76.00,76.00,98200
2019-05-02,76.00,76.30,75.19,75.43,97700
2019-05-03,76.10,76.79,76.10,76.51,127200
2019-05-06,75.11,75.94,74.79,75.62,113300
2019-05-07,74.56,74.59,73.48,73.89,182300
2019-05-08,73.53,74.08,73.26,73.55,125900
2019-05-09,72.88,73.69,72.57,73.40,221000
2019-05-10,72.84,73.18,72.00,72.90,289600
