Date,Open,High,Low,Close,Volume
2018-06-06,36.67,36.76,36.45,36.59,55600
2018-06-07,36.68,36.68,36.00,36.24,41100
2018-06-08,36.06,36.69,35.90,36.59,56000
2018-06-11,36.70,36.97,36.70,36.91,47200
2018-06-12,37.00,37.58,37.00,37.35,51300
2018-06-13,37.53,37.54,37.26,37.33,29400
2018-06-14,37.46,38.00,37.46,38.00,105200
2018-06-15,37.93,37.94,37.65,37.78,40200
2018-06-18,37.35,37.70,37.26,37.68,24100
2018-06-19,36.98,37.08,36.42,36.96,53300
2018-06-20,37.16,37.50,37.16,37.32,21200
2018-06-21,37.33,37.33,36.80,36.92,31800
2018-06-22,37.12,37.28,36.80,37.18,17600
2018-06-25,36.77,36.77,35.74,36.06,54200
2018-06-26,36.08,36.27,35.92,36.08,14800
2018-06-27,36.11,36.22,35.16,35.18,22800
2018-06-28,35.02,35.64,34.90,35.54,44400
2018-06-29,35.81,35.89,35.57,35.57,71100
2018-07-02,35.11,35.78,35.11,35.78,19400
2018-07-03,36.02,36.02,35.40,35.46,13400
2018-07-05,35.77,35.87,35.45,35.87,30600
2018-07-06,35.93,36.72,35.93,36.67,36400
2018-07-09,37.07,37.19,36.45,36.87,142200
2018-07-10,36.67,36.85,36.29,36.33,28000
2018-07-11,35.71,36.29,35.71,36.09,25800
2018-07-12,36.43,36.92,36.41,36.92,30100
2018-07-13,36.99,37.12,36.52,36.69,82500
2018-07-16,36.60,36.77,36.50,36.56,28500
2018-07-17,36.14,36.91,36.14,36.81,34200
2018-07-18,36.74,36.74,36.41,36.60,63500
2018-07-19,36.39,36.53,36.18,36.19,16500
2018-07-20,36.15,36.52,36.15,36.35,15800
2018-07-23,36.13,36.39,35.92,36.39,97600
2018-07-24,36.62,36.84,35.86,35.95,20900
2018-07-25,36.11,37.04,36.11,37.04,31000
2018-07-26,35.66,35.97,35.49,35.75,66700
2018-07-27,35.23,35.34,34.06,34.27,80500
2018-07-30,34.10,34.27,32.84,33.08,96400
2018-07-31,33.17,33.25,32.57,32.97,60100
2018-08-01,32.92,33.24,32.75,32.82,97200
2018-08-02,32.61,33.10,32.50,33.00,52300
2018-08-03,32.61,33.11,32.61,33.07,40000
2018-08-06,32.96,33.33,32.86,33.28,39400
2018-08-07,33.56,33.69,33.37,33.37,46800
2018-08-08,33.56,33.56,33.10,33.10,20900
2018-08-09,33.25,33.60,33.25,33.31,19300
2018-08-10,33.06,33.44,33.06,33.27,30100
2018-08-13,33.19,33.25,32.93,32.93,23100
2018-08-14,32.86,32.86,32.57,32.64,37000
2018-08-15,31.95,31.95,31.41,31.72,68700
2018-08-16,32.08,32.27,31.89,31.89,32200
2018-08-17,31.90,32.26,31.73,32.08,42200
2018-08-20,32.28,32.36,32.12,32.25,66500
2018-08-21,32.42,32.66,32.42,32.57,9400
2018-08-22,32.61,32.89,32.61,32.80,39400
2018-08-23,32.75,33.19,32.68,32.76,50300
2018-08-24,32.79,33.09,32.79,33.05,37300
