Date,Open,High,Low,Close,Volume
2018-06-06,61.60,62.83,61.08,62.72,8590900
2018-06-07,62.65,62.77,59.30,60.67,14474600
2018-06-08,60.58,62.04,60.19,61.78,8300900
2018-06-11,61.97,62.46,59.50,61.29,6048000
2018-06-12,61.77,64.08,61.65,63.21,9585600
2018-06-13,62.25,63.86,62.17,62.50,11262000
2018-06-14,63.20,64.85,63.20,63.88,11913100
2018-06-15,63.65,64.60,62.53,64.48,7904400
2018-06-18,64.15,66.44,63.88,66.20,10488300
2018-06-19,65.32,66.10,63.55,65.96,9504500
2018-06-20,66.59,68.97,66.55,67.59,12382500
2018-06-21,68.78,69.40,66.27,67.10,9999500
2018-06-22,68.17,68.17,65.11,65.75,10778400
2018-06-25,64.00,64.15,60.87,61.89,15115400
2018-06-26,62.03,63.40,61.11,62.55,13168900
2018-06-27,63.85,64.16,59.83,60.09,11139700
2018-06-28,61.02,61.83,59.40,61.55,11836900
2018-06-29,62.30,62.77,61.44,61.64,6759300
2018-07-02,60.47,63.23,60.26,63.14,5427100
2018-07-03,63.32,63.65,61.52,61.75,4234700
2018-07-05,62.55,64.43,62.28,64.15,7671000
2018-07-06,64.60,66.52,63.76,66.44,10441600
2018-07-09,67.30,67.50,64.85,66.48,9067800
2018-07-10,66.00,66.85,64.41,64.76,9162700
2018-07-11,64.29,65.84,64.12,65.33,5857100
2018-07-12,65.81,67.49,65.70,67.28,8927300
2018-07-13,67.03,67.28,65.50,66.97,7686000
2018-07-16,66.69,68.34,66.69,66.95,5407900
2018-07-17,66.57,68.67,66.37,68.33,6293100
2018-07-18,68.45,68.83,67.42,68.29,4913100
2018-07-19,69.40,71.32,68.85,70.32,11981300
2018-07-20,70.95,72.09,70.17,70.41,9262800
2018-07-23,70.50,72.21,69.65,71.60,7059700
2018-07-24,72.57,72.80,68.20,69.36,12188100
2018-07-25,69.73,72.53,69.63,72.53,8286200
2018-07-26,71.18,72.33,70.11,71.99,6744500
2018-07-27,72.48,73.19,68.76,69.85,8687200
2018-07-30,70.04,70.20,64.21,65.62,13599000
2018-07-31,65.88,66.80,63.21,64.65,10692300
2018-08-01,65.10,67.41,65.00,66.86,11990400
2018-08-02,65.25,72.82,64.22,72.65,20831900
2018-08-03,72.10,72.43,67.83,68.36,14949000
2018-08-06,69.61,71.00,68.74,70.92,10876000
2018-08-07,70.89,71.59,69.93,71.00,6589700
2018-08-08,70.85,71.10,69.55,70.82,5006400
2018-08-09,71.12,71.27,69.30,69.38,6300800
2018-08-10,69.22,72.23,68.90,70.60,13371600
2018-08-13,70.69,74.49,70.60,72.37,13082400
2018-08-14,73.67,75.15,73.48,74.97,10883300
2018-08-15,74.49,75.45,71.45,72.24,13050900
2018-08-16,73.40,73.43,71.60,72.76,8175200
2018-08-17,72.83,73.39,71.80,72.90,5561400
