Date,Open,High,Low,Close,Volume
2018-06-06,148.85,150.78,146.50,150.77,211100
2018-06-07,150.51,150.51,144.12,146.69,239000
2018-06-08,143.65,147.15,142.92,146.49,123200
2018-06-11,146.68,148.29,145.83,147.73,110300
2018-06-12,147.75,149.33,147.00,149.22,132200
2018-06-13,149.02,150.96,146.54,146.82,174700
2018-06-14,148.48,150.89,148.00,149.70,161700
2018-06-15,148.00,148.75,145.35,148.28,142700
2018-06-19,142.75,146.00,140.39,145.83,231800
2018-06-20,146.95,148.83,146.40,146.94,146400
2018-06-21,148.52,148.69,142.50,143.44,142100
2018-06-22,144.47,144.47,140.26,141.97,82400
2018-06-25,138.45,138.47,129.50,133.19,336700
2018-06-26,134.50,137.22,133.66,134.68,130900
2018-06-27,135.95,137.70,129.24,129.24,213700
2018-06-28,129.00,135.06,129.00,133.78,157700
2018-06-29,135.35,137.07,133.29,133.29,218000
2018-07-02,129.87,137.27,129.41,137.27,155800
2018-07-03,138.50,138.50,132.04,132.23,88300
2018-07-05,134.98,137.93,133.74,137.67,136800
2018-07-06,137.93,143.16,136.88,142.65,176800
2018-07-09,144.98,145.87,142.66,145.87,139000
2018-07-10,146.41,147.98,145.88,146.89,130200
2018-07-11,143.48,146.76,142.85,144.61,126900
2018-07-12,146.55,152.09,146.06,151.83,253400
2018-07-13,151.75,152.40,149.85,151.41,136800
2018-07-16,151.96,152.26,149.39,150.38,90300
2018-07-17,147.12,154.29,146.57,153.52,152100
2018-07-18,153.22,153.53,151.22,152.84,89200
2018-07-19,151.82,153.31,150.33,151.30,90000
2018-07-20,152.12,153.55,150.70,151.07,89400
2018-07-23,151.27,153.65,148.46,153.33,131500
2018-07-24,158.14,159.82,154.12,156.01,180000
2018-07-25,156.01,161.70,155.40,161.60,126200
2018-07-26,154.40,155.75,152.81,154.40,202300
2018-07-27,154.71,154.86,143.43,146.09,265400
2018-07-30,146.37,146.44,137.00,139.50,256100
2018-07-31,140.81,143.27,138.33,140.67,210500
2018-08-01,143.53,145.75,142.17,144.15,121200
2018-08-02,140.79,150.30,140.76,149.82,153400
2018-08-03,150.25,151.40,147.98,151.40,130000
2018-08-06,150.89,153.94,150.05,153.94,102300
2018-08-07,154.13,157.05,154.13,155.51,142900
2018-08-08,155.12,157.50,153.94,156.66,87500
2018-08-09,157.22,158.59,156.59,156.85,96600
2018-08-10,153.57,155.13,151.79,153.16,145200
2018-08-13,153.63,157.17,152.31,152.57,127100
2018-08-14,154.02,155.64,151.59,155.33,141900
2018-08-15,152.20,153.93,147.33,151.23,207100
2018-08-16,154.50,155.51,151.98,152.95,155700
2018-08-17,151.72,154.67,149.89,153.68,134100
2018-08-20,154.59,154.62,150.89,152.87,121400
2018-08-21,153.77,156.40,153.00,153.49,114600
