Date,Open,High,Low,Close,Volume
2018-05-30,111.34,112.36,111.04,111.85,3621800
2018-05-31,112.00,112.88,111.50,111.91,6582100
2018-06-01,112.55,114.80,112.32,114.80,4728400
2018-06-04,114.74,116.38,114.31,115.74,3905700
2018-06-05,116.69,117.93,115.83,117.66,5366600
2018-06-06,117.57,118.12,116.91,118.11,4015400
2018-06-07,118.35,118.48,116.14,117.24,6985100
2018-06-08,116.29,116.67,115.35,115.74,4948600
2018-06-11,115.00,115.83,114.48,115.28,3741300
2018-06-12,115.49,115.77,114.58,115.41,3269100
2018-06-13,115.50,115.61,113.79,114.00,4948600
2018-06-14,114.86,115.54,113.97,114.72,2941200
2018-06-15,114.87,116.02,113.87,115.89,7027600
2018-06-18,114.60,114.93,113.03,114.39,3170600
2018-06-19,112.75,113.91,112.20,113.66,3486500
2018-06-20,114.41,115.11,113.57,114.24,3454800
2018-06-21,114.38,114.50,111.61,112.11,3480100
2018-06-22,112.75,113.22,111.41,112.38,3822600
2018-06-25,110.96,111.00,108.61,110.19,5331200
2018-06-26,110.63,112.01,110.13,111.51,4001900
2018-06-27,112.18,112.50,108.77,108.78,4364600
2018-06-28,108.23,109.60,107.45,109.10,4198800
2018-06-29,109.79,111.55,109.62,110.25,5343300
2018-07-02,108.94,110.33,108.38,110.24,3392500
2018-07-03,110.61,111.29,108.74,108.91,2201500
2018-07-05,109.84,111.65,109.41,111.51,4097700
2018-07-06,111.56,112.93,110.83,112.71,3419700
2018-07-09,113.40,113.50,110.84,112.09,3658000
2018-07-10,112.63,114.05,112.38,113.73,4512800
2018-07-11,113.29,113.79,111.52,111.76,5000200
2018-07-12,113.24,116.69,113.06,115.84,5818700
2018-07-13,115.53,115.98,114.83,115.14,2715800
2018-07-16,114.91,115.49,114.42,114.56,3013700
2018-07-17,113.67,115.86,113.20,115.80,3915100
2018-07-18,115.50,116.95,114.14,115.68,5491900
2018-07-19,115.53,115.66,114.23,114.59,5013900
2018-07-20,114.97,115.73,114.24,115.00,4358000
2018-07-23,114.35,114.83,113.04,114.67,3052800
2018-07-24,115.06,116.46,113.35,113.80,4286700
2018-07-25,113.40,114.39,110.03,113.22,8218400
2018-07-26,113.95,114.46,112.94,113.30,5520400
2018-07-30,111.99,112.37,110.70,110.91,4422500
2018-07-31,111.99,112.59,110.92,111.32,5206300
2018-08-01,111.16,111.98,110.33,111.00,5303000
2018-08-02,110.15,113.00,110.00,112.21,4516700
2018-08-03,112.33,112.98,111.93,112.84,3337900
2018-08-06,112.28,113.52,112.12,113.11,2970800
2018-08-07,113.77,115.81,113.34,115.76,5234500
2018-08-08,115.66,116.61,115.16,116.16,2890800
2018-08-09,116.00,116.09,114.03,114.34,3498600
2018-08-10,111.74,112.32,109.35,110.09,7652600
2018-08-13,110.56,111.44,109.84,109.94,3894000
2018-08-14,110.67,110.99,109.87,110.34,3109600
2018-08-15,109.24,110.08,108.35,109.60,3532600
2018-08-16,110.12,110.54,109.08,109.40,2916300
2018-08-17,108.87,109.98,107.01,109.64,3744800
2018-08-20,109.75,109.80,108.54,109.03,3238200
2018-08-21,109.50,111.75,109.34,111.51,4714300
2018-08-22,110.64,112.69,109.27,112.19,3999200
2018-08-23,112.18,113.66,112.16,112.40,3038700
2018-08-24,112.96,113.79,112.34,113.64,3191900
2018-08-27,114.65,115.66,114.15,115.25,3686200
2018-08-28,115.74,116.07,114.66,115.02,3214400
2018-08-29,115.41,115.78,114.86,115.47,5113900
2018-08-30,114.92,115.36,112.49,112.58,5688600
2018-08-31,112.63,113.43,111.86,112.40,6550300
2018-09-04,111.02,112.66,110.65,112.54,6160300
2018-09-05,112.38,112.95,110.85,111.13,5369300
2018-09-06,110.99,111.74,110.34,110.89,4813100
2018-09-07,110.45,111.00,108.25,108.46,5349300
2018-09-10,109.17,109.48,107.49,108.32,5138900
2018-09-11,108.06,108.15,105.91,106.05,8165600
2018-09-12,105.00,105.00,102.25,104.54,10182300
2018-09-13,105.15,106.92,104.60,105.72,6311100
2018-09-14,105.96,107.16,105.13,105.36,6485000
2018-09-17,105.29,105.67,103.35,103.70,5598300
2018-09-18,104.03,105.89,103.96,104.91,5654900
2018-09-19,105.12,107.51,105.10,107.37,6588900
2018-09-20,107.88,108.98,107.80,108.49,5562500
2018-09-21,110.50,110.90,109.54,110.05,10923900
2018-09-24,109.01,110.32,108.36,109.80,3531200
2018-09-25,109.25,109.56,106.81,107.55,6523800
2018-09-26,107.48,108.22,105.98,106.22,6478600
2018-09-27,106.44,107.68,106.12,107.29,4704200
2018-09-28,107.22,107.46,106.06,107.29,4556400
2018-10-01,107.67,108.62,107.43,107.74,3661800
2018-10-02,107.25,109.85,107.25,108.46,4718400
2018-10-03,109.03,109.20,107.41,108.18,5353400
2018-10-04,107.32,107.53,104.86,105.87,5846500
