Date,Open,High,Low,Close,Volume
2018-05-30,21.10,21.50,21.10,21.43,3100
2018-05-31,21.51,21.51,21.13,21.22,6600
2018-06-01,21.45,21.82,21.41,21.67,5400
2018-06-04,22.22,22.25,22.01,22.16,9400
2018-06-05,22.27,22.27,22.09,22.25,3100
2018-06-06,21.92,22.00,21.64,21.96,11600
2018-06-07,22.34,22.34,21.49,21.77,3100
2018-06-08,21.32,21.81,21.32,21.75,11800
2018-06-11,21.84,22.30,21.75,22.29,55400
2018-06-12,22.30,22.47,22.05,22.24,4400
2018-06-13,22.24,22.24,21.76,21.76,6600
2018-06-14,21.50,21.65,21.25,21.48,11100
2018-06-15,21.00,21.00,20.50,20.70,11000
2018-06-19,19.45,19.45,18.76,19.16,22500
2018-06-20,19.70,19.82,19.58,19.75,11500
2018-06-21,20.00,20.00,19.47,19.50,11500
2018-06-22,19.66,19.77,19.64,19.64,6400
2018-06-25,18.85,18.89,17.84,17.93,17300
2018-06-26,18.45,18.65,18.30,18.65,3500
2018-06-27,18.50,18.50,17.70,17.70,4100
2018-06-28,17.50,18.00,17.46,17.87,4800
2018-06-29,18.01,18.07,17.82,17.82,8200
2018-07-02,17.75,17.75,16.87,17.39,8300
2018-07-03,17.51,17.83,17.50,17.50,1600
2018-07-05,16.97,16.97,16.51,16.93,14800
2018-07-06,17.16,17.48,17.13,17.43,9300
2018-07-09,17.75,18.01,17.75,18.01,10800
2018-07-10,18.40,18.68,18.40,18.63,7100
2018-07-11,18.00,18.15,17.59,17.63,10200
2018-07-12,17.92,18.03,17.72,18.03,9500
2018-07-13,17.69,18.08,17.69,17.98,9000
2018-07-16,18.29,18.29,17.93,17.93,5000
2018-07-17,17.11,17.39,16.97,17.39,9300
2018-07-18,17.51,17.59,17.34,17.59,5000
2018-07-19,17.63,17.73,17.63,17.72,2300
2018-07-20,17.61,17.70,17.58,17.62,1800
2018-07-23,17.14,17.26,17.08,17.25,3100
2018-07-24,18.08,18.20,17.65,17.65,7500
2018-07-25,18.00,18.51,18.00,18.51,14100
2018-07-26,18.60,19.20,18.60,19.13,74500
2018-07-27,19.57,19.61,19.13,19.25,12800
2018-07-30,19.26,19.26,18.31,18.31,9300
2018-07-31,18.02,18.54,18.02,18.29,8400
2018-08-01,18.50,18.50,18.26,18.26,10200
2018-08-02,17.86,18.06,17.75,18.03,10200
2018-08-03,18.00,18.05,18.00,18.03,2300
2018-08-06,18.01,18.01,17.72,17.82,7800
2018-08-07,18.17,18.17,17.75,17.75,4600
2018-08-08,17.92,18.39,17.92,18.36,17300
2018-08-09,18.42,18.85,18.42,18.75,7200
2018-08-10,18.25,18.25,17.84,17.91,6700
2018-08-13,17.78,17.78,17.29,17.29,8200
2018-08-14,17.29,17.48,17.29,17.40,1900
2018-08-15,16.89,16.89,16.11,16.47,13100
2018-08-16,16.62,16.81,16.62,16.80,4100
2018-08-17,17.08,17.12,17.06,17.06,2600
2018-08-20,16.87,17.15,16.87,17.15,6100
2018-08-21,17.47,17.68,17.24,17.56,7000
2018-08-22,17.80,18.17,17.80,18.13,4600
2018-08-23,18.03,18.09,17.90,17.94,2200
2018-08-24,17.96,18.03,17.94,18.03,2700
2018-08-27,18.44,19.05,18.44,19.00,13800
2018-08-28,19.60,19.74,19.50,19.62,65800
2018-08-29,19.70,20.05,19.54,19.97,15400
2018-08-30,19.68,19.94,19.64,19.87,6500
2018-08-31,19.56,19.93,19.56,19.92,3300
2018-09-04,19.25,19.25,18.91,19.12,7800
2018-09-05,18.91,18.91,18.00,18.34,8300
2018-09-06,17.92,18.20,17.92,18.13,4000
2018-09-07,17.18,17.69,17.18,17.49,2400
2018-09-10,17.86,17.86,17.58,17.71,5700
2018-09-11,17.43,17.57,17.30,17.46,2900
2018-09-12,17.40,17.40,16.88,17.29,6100
2018-09-13,17.64,17.69,17.64,17.69,2300
2018-09-14,18.41,18.80,18.41,18.75,8200
2018-09-17,18.92,18.99,18.74,18.90,5100
2018-09-18,18.99,19.52,18.99,19.50,9900
2018-09-19,19.75,19.86,19.68,19.68,2500
2018-09-20,19.85,19.96,19.69,19.69,4600
2018-09-21,20.00,20.24,19.92,19.92,4400
2018-09-24,20.02,20.02,19.71,19.76,3300
2018-09-25,19.38,19.77,19.38,19.55,1500
2018-09-26,19.59,19.67,19.59,19.59,800
2018-09-27,19.15,19.23,19.13,19.13,4500
2018-09-28,18.91,19.35,18.91,19.27,2000
2018-10-01,19.67,20.17,19.67,19.79,5300
2018-10-02,19.74,19.74,19.50,19.50,2900
2018-10-03,19.48,19.48,19.03,19.03,4000
2018-10-04,19.00,19.00,17.95,18.08,16500
2018-10-05,17.81,18.05,17.03,17.42,8100
2018-10-08,17.05,17.05,16.30,16.83,10200
2018-10-09,16.13,16.27,15.92,16.13,15200
2018-10-10,15.82,15.82,13.77,13.77,30000
2018-10-11,13.74,13.94,12.93,12.95,18200
2018-10-12,13.95,13.95,13.32,13.78,26200
2018-10-15,13.91,13.91,13.34,13.65,22300
2018-10-16,14.00,14.94,14.00,14.93,23000
2018-10-17,15.24,15.25,14.61,14.90,18800
2018-10-18,14.39,14.39,13.40,13.44,31500
2018-10-19,13.60,13.69,13.20,13.20,23100
2018-10-22,13.00,13.15,12.95,13.15,9100
2018-10-23,11.81,12.64,11.75,12.57,30300
2018-10-24,12.21,12.21,10.55,10.55,34000
2018-10-25,10.83,11.04,10.59,10.88,20400
2018-10-26,9.96,10.60,9.69,10.22,30400
2018-10-29,10.66,10.66,9.36,9.73,21200
2018-10-30,10.04,11.28,10.04,10.83,34500
2018-10-31,11.95,12.05,11.61,11.83,39900
2018-11-01,11.80,12.16,11.53,12.13,17000
2018-11-02,13.05,13.39,12.15,12.97,25300
2018-11-05,13.00,13.00,12.58,12.94,14700
2018-11-06,12.96,13.02,12.81,12.90,133000
2018-11-07,13.22,13.54,13.09,13.54,13500
2018-11-08,12.87,13.07,12.77,12.86,7300
2018-11-09,12.42,12.42,11.88,12.13,23500
2018-11-12,12.00,12.02,11.26,11.26,13800
2018-11-13,11.35,11.82,11.29,11.39,14400
2018-11-14,11.77,11.77,11.16,11.25,6300
2018-11-15,11.11,11.60,11.03,11.55,9500
2018-11-16,11.06,11.25,10.83,11.10,17700
2018-11-19,11.12,11.24,10.49,10.49,11700
2018-11-20,9.72,10.23,9.70,9.89,19500
2018-11-21,10.18,10.94,10.18,10.40,35100
2018-11-23,10.12,10.24,10.10,10.14,18200
2018-11-26,10.59,10.91,10.59,10.88,21400
2018-11-27,10.93,10.93,10.64,10.66,6200
2018-11-28,11.17,11.75,10.99,11.69,16600
2018-11-29,11.67,11.74,11.48,11.63,7400
2018-11-30,11.27,11.55,11.27,11.51,3800
2018-12-03,12.20,12.20,12.02,12.10,17100
2018-12-04,11.50,11.50,10.57,10.57,12500
2018-12-06,9.58,9.65,9.18,9.61,43400
2018-12-07,9.71,9.71,9.34,9.36,15700
2018-12-10,8.96,8.96,8.39,8.86,23200
2018-12-11,8.80,8.85,8.74,8.78,13500
2018-12-12,8.79,9.14,8.79,8.95,23500
2018-12-13,9.00,9.11,8.74,8.78,12100
2018-12-14,8.33,8.39,8.05,8.07,28800
2018-12-17,7.88,7.97,7.42,7.50,18400
2018-12-18,7.89,7.98,7.67,7.78,13400
2018-12-19,7.91,8.00,7.32,7.50,11300
2018-12-20,7.28,7.35,6.85,7.02,27900
2018-12-21,6.87,6.88,6.45,6.51,69600
