Date,Open,High,Low,Close,Volume
2018-05-30,29.37,30.52,29.34,30.44,3654200
2018-05-31,29.35,30.23,28.83,29.25,3967400
2018-06-01,28.59,29.06,27.92,27.94,3466500
2018-06-04,28.18,28.28,27.13,27.38,2663200
2018-06-05,26.97,27.94,26.87,27.77,3890600
2018-06-06,27.64,27.88,26.85,27.53,3626500
2018-06-07,27.72,28.36,27.66,28.25,2376200
2018-06-08,28.18,28.49,27.58,27.98,1941300
2018-06-11,27.56,28.58,27.45,28.31,1903800
2018-06-12,28.29,28.88,28.24,28.46,1911400
2018-06-13,28.28,29.01,28.20,28.80,2467300
2018-06-14,29.12,29.17,28.46,28.90,1972400
2018-06-15,28.55,28.57,26.88,26.90,3391800
2018-06-18,27.41,28.08,27.23,27.88,1996900
2018-06-19,27.15,27.60,26.77,27.36,2013100
2018-06-20,28.04,28.46,27.34,27.77,2818000
2018-06-21,27.25,28.19,27.11,27.72,2287400
2018-06-22,29.29,30.43,28.91,30.38,5733800
2018-06-25,29.91,30.04,29.23,29.51,3680100
2018-06-26,29.91,31.47,29.38,31.29,3203800
2018-06-27,32.17,33.39,32.12,32.82,3080200
2018-06-28,33.08,34.18,32.95,33.56,2831800
2018-06-29,34.04,34.64,33.99,34.38,2148400
2018-07-02,34.11,34.11,33.35,33.49,2030800
2018-07-03,34.40,34.67,32.43,33.14,2560100
2018-07-05,33.65,33.90,32.34,32.77,2474000
2018-07-06,32.36,33.57,32.31,33.43,2036800
2018-07-09,33.64,34.05,33.07,34.04,1668700
2018-07-10,34.53,34.79,34.00,34.34,1362200
2018-07-11,33.56,34.22,30.49,30.99,5160600
2018-07-12,31.19,31.51,30.23,31.24,3162800
2018-07-13,31.42,32.46,31.30,31.59,2519200
2018-07-16,30.41,30.54,28.94,29.30,3707200
2018-07-17,28.87,29.71,28.62,29.30,4914300
2018-07-18,28.90,29.99,28.61,29.93,3090100
2018-07-19,29.87,30.76,29.67,30.03,3562200
2018-07-20,30.32,30.47,29.82,30.13,2108700
2018-07-23,30.88,31.22,29.72,29.89,2673000
2018-07-24,30.00,30.98,29.99,30.47,1707700
2018-07-25,30.73,31.56,30.26,31.30,2227600
2018-07-26,30.96,31.77,30.92,31.50,1839200
2018-07-27,31.42,31.65,30.29,30.85,1659500
2018-07-30,32.02,32.23,31.71,31.80,1385100
2018-07-31,31.08,31.16,30.47,30.70,1600100
2018-08-01,29.79,30.40,29.44,29.84,2251600
2018-08-02,29.51,31.21,29.39,30.93,1715800
2018-08-03,30.74,30.92,29.91,30.56,1657200
2018-08-06,31.14,31.72,30.71,30.76,2131100
2018-08-07,31.24,31.49,30.90,30.94,1288600
2018-08-08,30.18,30.22,28.54,29.00,4053400
2018-08-09,29.30,29.52,28.85,28.91,1383600
2018-08-10,29.42,29.89,29.37,29.71,1468800
2018-08-13,29.44,29.62,28.11,29.42,2334200
2018-08-14,30.31,30.31,28.95,29.37,1740400
2018-08-15,28.55,28.55,27.16,27.53,2484300
2018-08-16,27.73,28.06,27.54,27.97,1522300
2018-08-17,28.66,28.69,27.83,28.17,2005400
2018-08-20,28.12,28.57,28.00,28.33,1396400
2018-08-21,29.13,29.20,28.58,28.66,1590500
2018-08-22,29.87,30.63,29.59,30.48,2865000
2018-08-23,30.21,30.63,30.02,30.50,1603900
2018-08-24,31.51,31.77,30.81,31.10,3016900
2018-08-27,31.39,31.47,31.10,31.44,1280500
2018-08-28,31.54,31.54,30.82,31.17,1256900
2018-08-29,31.61,32.16,31.32,32.12,1822200
2018-08-30,32.32,32.80,32.06,32.44,1573200
2018-08-31,32.39,32.59,32.04,32.27,1007600
2018-09-04,32.96,33.03,31.62,31.82,2315800
2018-09-05,31.81,32.06,31.18,31.39,1618200
2018-09-06,31.30,31.42,29.73,30.61,2477000
2018-09-07,29.92,30.63,29.70,30.59,1560100
2018-09-10,31.04,31.17,30.17,30.34,1710600
2018-09-11,30.56,32.09,30.43,31.95,2263700
2018-09-12,32.62,33.54,32.53,32.72,2637300
2018-09-13,32.00,32.25,31.00,31.43,2436900
2018-09-14,31.38,32.39,30.66,31.51,2321600
2018-09-17,31.91,32.19,31.13,31.35,1804000
2018-09-18,32.30,32.83,31.86,32.28,2252400
2018-09-19,32.52,33.43,32.50,33.40,2096500
2018-09-20,33.77,33.85,32.70,32.80,1881700
2018-09-21,33.63,34.35,32.66,33.46,4019400
2018-09-24,34.67,35.25,34.40,34.80,2550000
2018-09-25,35.06,35.30,34.46,34.86,2516000
2018-09-26,34.41,34.73,34.06,34.16,2172000
2018-09-27,34.80,34.83,34.29,34.78,1450900
2018-09-28,34.74,36.20,34.68,35.96,2556400
2018-10-01,35.87,38.22,35.64,37.98,3214000
2018-10-02,37.97,38.00,37.39,37.60,1990100
2018-10-03,37.53,39.36,36.78,38.61,3708600
2018-10-04,38.33,38.34,36.31,36.97,3275400
2018-10-05,36.86,37.62,36.31,36.79,2653400
2018-10-08,36.07,36.74,35.94,36.63,1492700
2018-10-09,37.13,37.67,36.44,37.25,1785000
2018-10-10,37.04,37.06,35.20,35.26,1997300
2018-10-11,34.48,34.68,33.01,33.27,2928400
2018-10-12,34.08,34.15,33.08,33.96,1855100
2018-10-15,33.97,34.27,33.36,34.06,1828800
2018-10-16,33.89,34.74,33.72,34.35,1421900
2018-10-17,33.77,33.80,32.20,32.83,2670700
2018-10-18,31.59,32.48,31.45,31.67,2171300
2018-10-19,32.24,32.71,31.98,32.37,1447900
2018-10-22,31.91,32.50,31.47,32.48,1313200
2018-10-23,30.81,30.95,29.00,29.52,2819800
2018-10-24,30.28,30.69,29.44,29.45,1753500
2018-10-25,30.03,30.62,29.91,30.13,1316500
2018-10-26,29.76,30.83,29.51,30.69,1760300
2018-10-29,30.29,30.46,29.48,29.74,1563800
2018-10-30,28.85,29.96,28.75,29.36,1880100
2018-10-31,29.18,29.74,28.31,28.38,2404200
2018-11-01,28.60,28.63,26.65,26.98,2921100
2018-11-02,26.82,27.21,26.27,26.43,2423800
2018-11-05,27.15,27.51,26.34,26.39,2284500
2018-11-06,26.72,26.82,25.17,25.89,4517700
2018-11-07,26.21,26.40,25.11,25.40,4472900
2018-11-08,25.17,25.43,24.50,24.62,4160100
2018-11-09,23.80,24.56,23.56,24.04,3648600
2018-11-12,24.66,25.07,23.06,23.26,4697100
2018-11-13,22.96,23.19,20.00,20.31,10235800
2018-11-14,21.39,21.92,20.92,21.13,3396900
2018-11-15,21.28,21.88,21.09,21.28,3283900
