Date,Open,High,Low,Close,Volume
2018-06-06,29.83,30.20,28.53,29.64,3937200
2018-06-07,29.95,30.96,29.86,30.81,3502000
2018-06-08,30.67,31.18,29.67,30.36,2448000
2018-06-11,29.66,31.32,29.46,30.91,2306800
2018-06-12,30.83,31.81,30.75,31.14,1839900
2018-06-13,30.82,32.03,30.68,31.70,2867200
2018-06-14,32.31,32.35,31.21,32.02,2548700
2018-06-15,31.45,31.47,28.68,28.85,3536900
2018-06-18,29.58,30.60,29.23,30.32,2333700
2018-06-19,29.09,29.78,28.43,29.34,2856900
2018-06-20,30.53,31.30,29.43,30.17,3779300
2018-06-21,29.32,31.12,29.16,30.46,2798300
2018-06-22,33.10,35.39,32.38,35.33,5276700
2018-06-25,35.39,35.59,33.19,33.56,2611900
2018-06-26,34.55,37.41,33.64,37.13,3664600
2018-06-27,38.89,41.27,38.81,40.12,4482600
2018-06-28,40.74,42.94,40.46,41.77,3479500
2018-06-29,42.47,43.68,42.33,43.44,2597000
2018-07-02,43.03,43.51,41.91,42.73,1984100
2018-07-03,44.65,45.10,40.73,42.43,2914900
2018-07-05,43.00,43.44,40.39,41.12,2951700
2018-07-06,40.20,42.72,40.15,42.52,2003600
2018-07-09,42.64,43.02,41.13,42.98,1710700
2018-07-10,43.55,44.13,42.40,43.11,2429200
2018-07-11,41.66,42.94,35.98,36.76,7341400
2018-07-12,37.03,37.55,35.24,36.93,3467300
2018-07-13,37.25,39.10,37.04,37.52,2253800
2018-07-16,35.45,35.64,32.78,33.44,5589900
2018-07-17,32.66,34.18,32.35,33.47,4147700
2018-07-18,32.70,34.61,32.24,34.50,3641600
2018-07-19,34.42,35.95,34.03,34.70,4256700
2018-07-20,35.14,35.46,34.31,34.87,1612100
2018-07-23,36.17,36.75,34.11,34.44,3715700
2018-07-24,34.61,36.31,34.61,35.47,1827700
2018-07-25,35.87,37.35,35.05,36.88,3331600
2018-07-26,36.24,37.72,36.23,37.26,1776200
2018-07-27,37.06,37.47,35.07,36.07,2072900
2018-07-30,38.13,38.47,37.55,37.74,1819900
2018-07-31,36.43,36.56,35.34,35.76,2415000
2018-08-01,34.17,35.24,33.57,34.28,3345500
2018-08-02,33.73,36.61,33.51,36.13,3313300
2018-08-03,35.80,36.12,34.35,35.48,1973600
2018-08-06,36.51,37.49,35.74,35.85,2070300
2018-08-07,36.65,37.12,36.06,36.12,1514100
2018-08-08,34.80,34.88,31.97,32.74,5522100
2018-08-09,33.22,33.62,32.56,32.61,1559800
2018-08-10,33.52,34.25,33.41,34.00,1981100
2018-08-13,33.48,33.77,31.11,33.48,4193700
2018-08-14,34.93,34.95,32.60,33.30,2443700
2018-08-15,31.81,31.85,29.44,30.02,4783300
2018-08-16,30.33,30.89,30.02,30.78,1760100
2018-08-17,31.96,31.98,30.56,31.14,2079900
2018-08-20,31.12,31.82,30.86,31.53,1342900
2018-08-21,32.97,33.08,31.94,32.09,1743800
2018-08-22,34.10,35.40,33.62,35.12,3865900
2018-08-23,34.59,35.36,34.26,35.08,1339000
2018-08-24,36.83,37.32,35.70,36.24,2345400
2018-08-27,36.69,36.81,36.12,36.77,1150100
2018-08-28,36.82,36.86,35.63,36.26,1385300
2018-08-29,37.05,38.04,36.58,37.96,2299500
2018-08-30,38.25,39.26,37.78,38.65,1637200
2018-08-31,38.52,38.90,37.90,38.32,1077900
2018-09-04,39.49,39.56,36.96,37.31,1955400
2018-09-05,37.32,37.79,36.18,36.55,1587700
2018-09-06,36.34,36.60,33.65,35.10,2619300
2018-09-07,33.88,35.07,33.47,35.00,1711800
2018-09-10,35.72,35.98,34.21,34.50,2083100
2018-09-11,34.84,37.56,34.63,37.34,2421100
2018-09-12,38.56,40.23,38.39,38.63,2773000
2018-09-13,37.39,37.82,35.58,36.33,3317500
2018-09-14,36.25,38.01,34.98,36.48,2261500
2018-09-17,37.20,37.68,35.87,36.19,1583100
2018-09-18,37.86,38.78,37.09,37.84,2471300
2018-09-19,38.24,39.85,38.16,39.73,2277400
2018-09-20,40.45,40.61,38.54,38.74,1939600
2018-09-21,40.20,41.48,38.46,39.86,4458500
2018-09-24,42.05,43.09,41.58,42.33,2168400
2018-09-25,42.89,43.18,41.68,42.37,1845200
2018-09-26,41.57,42.17,40.94,41.08,1532000
2018-09-27,42.28,42.33,41.37,42.25,1607300
2018-09-28,42.16,44.84,42.07,44.43,1966300
2018-10-01,44.23,48.62,43.80,48.18,2117700
2018-10-02,48.13,48.19,47.01,47.42,1112900
2018-10-03,47.31,50.75,45.87,49.34,2435400
2018-10-04,48.79,48.82,44.91,46.16,1978800
2018-10-05,45.94,47.37,44.78,45.83,2125300
2018-10-08,44.49,45.73,44.27,45.53,1360000
2018-10-09,46.46,47.47,45.17,46.73,1967500
2018-10-10,46.25,46.33,42.80,42.92,2274600
2018-10-11,41.48,41.89,38.86,39.28,3110800
2018-10-12,40.75,40.89,39.04,40.60,2124800
2018-10-15,40.56,41.09,39.44,40.67,1861000
2018-10-16,40.31,41.88,40.07,41.16,1561300
2018-10-17,40.03,40.09,37.15,38.23,3481400
2018-10-18,36.08,37.66,35.82,36.23,2650800
2018-10-19,37.12,37.95,36.71,37.35,1804800
2018-10-22,36.44,37.51,35.69,37.45,2207000
2018-10-23,34.55,34.80,31.34,32.25,6563800
2018-10-24,33.56,34.28,32.18,32.22,3217500
2018-10-25,33.15,34.18,32.99,33.41,1984500
2018-10-26,32.67,34.53,32.31,34.25,2167000
2018-10-29,33.55,33.85,32.19,32.63,1762900
2018-10-30,31.13,33.03,30.98,32.06,2824800
2018-10-31,31.82,32.70,30.33,30.47,4316600
2018-11-01,30.80,30.87,27.69,28.23,5905700
2018-11-02,27.99,28.59,27.08,27.36,4020900
2018-11-05,28.50,29.05,27.21,27.30,3001000
2018-11-06,27.78,27.96,25.35,26.48,4739800
2018-11-07,26.97,27.26,25.24,25.71,4221200
2018-11-08,25.32,25.72,24.28,24.46,4758700
2018-11-09,23.24,24.40,22.89,23.63,5693700
2018-11-12,24.55,25.17,22.19,22.47,4906400
2018-11-13,22.07,22.39,17.73,18.19,14905800
2018-11-14,19.63,20.35,19.00,19.28,6646300
2018-11-15,19.45,20.30,19.20,19.47,5702900
2018-11-16,20.50,21.01,18.91,19.86,5458300
2018-11-19,18.90,20.42,18.05,20.17,5040500
2018-11-20,18.69,19.04,15.41,15.98,14117900
2018-11-21,16.96,18.25,16.56,16.98,7205500
2018-11-23,14.11,14.38,13.33,14.12,17528600
2018-11-26,14.24,14.62,14.00,14.21,10254800
2018-11-27,14.28,14.75,13.06,14.26,9889200
2018-11-28,13.82,14.55,12.87,13.15,13335700
2018-11-29,13.72,14.53,13.48,13.88,9281900
2018-11-30,12.96,14.08,12.50,13.37,16874600
2018-12-03,15.32,15.37,14.40,15.36,11840200
2018-12-04,15.27,15.72,14.89,15.07,11165500
2018-12-06,13.67,14.28,12.68,14.05,15724300
2018-12-07,15.64,16.05,14.50,14.63,14565200
2018-12-10,13.70,14.32,13.07,13.25,9121400
2018-12-11,14.32,14.52,13.60,13.96,6061200
2018-12-12,14.46,14.67,13.38,13.50,9016400
2018-12-13,13.16,15.15,13.11,14.94,11672900
2018-12-14,14.45,14.49,13.28,13.46,8823600
2018-12-17,13.65,13.75,11.95,12.07,12966200
2018-12-18,11.92,11.93,9.57,9.76,21334100
2018-12-19,10.28,10.95,10.11,10.37,16408500
2018-12-20,9.72,10.18,9.15,9.46,14776400
2018-12-21,9.19,9.60,8.91,9.04,11254500
2018-12-24,8.75,8.84,8.18,8.22,9517600
2018-12-26,7.95,9.64,7.93,9.61,18408200
2018-12-27,8.72,8.87,8.10,8.83,12622900
2018-12-28,8.55,8.84,8.14,8.52,10742800
2018-12-31,8.78,8.98,8.29,8.90,11059400
2019-01-02,8.20,10.02,8.07,9.38,20023900
2019-01-03,9.77,9.83,8.82,9.68,13482200
2019-01-04,10.31,10.95,9.98,10.35,18272300
2019-01-07,10.63,11.35,10.51,10.66,17950200
2019-01-08,11.09,11.46,10.88,11.32,12817500
2019-01-09,12.29,13.26,11.91,13.07,22775100
2019-01-10,12.53,13.42,12.37,13.25,12143400
2019-01-11,12.82,13.11,12.23,12.57,13431300
2019-01-14,12.27,12.66,11.64,11.82,10584300
2019-01-15,12.33,12.96,12.33,12.83,11275400
2019-01-16,12.68,13.10,12.24,13.03,11635600
2019-01-17,12.44,13.18,12.03,12.92,11972800
2019-01-18,13.26,14.11,13.00,13.97,12070800
2019-01-22,13.11,13.35,12.50,13.25,10873100
2019-01-23,13.42,13.47,12.40,12.95,10966600
2019-01-24,12.98,13.56,12.89,13.36,9126300
2019-01-25,13.51,13.85,13.33,13.64,8973800
2019-01-28,12.52,12.62,11.96,12.57,13096400
2019-01-29,13.14,13.82,13.14,13.27,9571600
2019-01-30,13.89,14.61,13.74,14.13,13078400
2019-01-31,14.46,14.97,13.61,13.92,11792400
2019-02-01,14.07,15.16,14.07,14.94,12400500
2019-02-04,14.01,14.52,13.30,14.45,13089100
2019-02-05,13.63,14.38,13.49,13.63,14591100
2019-02-06,13.36,14.09,13.12,13.83,12416500
2019-02-07,13.52,13.65,12.18,12.82,15741800
2019-02-08,12.99,13.06,12.50,12.87,7444900
2019-02-11,12.07,12.81,11.81,12.61,12090700
2019-02-12,13.70,13.78,13.05,13.14,12635500
2019-02-13,13.62,14.25,13.61,13.79,14073200
2019-02-14,13.53,14.26,13.17,14.22,16503100
2019-02-15,14.80,15.21,14.62,15.17,11015700
2019-02-19,14.86,15.46,14.79,15.39,8816000
2019-02-20,15.18,16.35,15.15,16.02,10842000
2019-02-21,15.86,16.03,15.58,15.79,7368600
2019-02-22,16.30,16.48,16.00,16.02,8305400
2019-02-25,15.15,15.35,14.28,14.54,13744000
2019-02-26,14.65,14.99,14.44,14.73,8978500
2019-02-27,15.49,16.09,15.24,15.77,12658200
2019-02-28,15.84,16.14,15.57,15.97,8160600
2019-03-01,15.98,16.28,14.63,14.82,13460200
2019-03-04,15.48,15.75,14.89,15.34,9445600
2019-03-05,15.78,15.83,15.19,15.36,7226700
2019-03-06,14.98,15.27,14.48,15.12,10568600
2019-03-07,15.49,15.54,15.15,15.37,7127000
2019-03-08,14.16,15.08,13.74,15.02,15496500
2019-03-11,15.60,15.72,15.20,15.57,9558100
2019-03-12,15.92,16.17,15.52,15.65,8292000
2019-03-13,16.29,16.93,16.24,16.84,12635400
2019-03-14,16.98,17.16,16.64,16.93,7091900
2019-03-15,16.41,17.05,16.33,16.88,7121200
2019-03-18,17.00,17.58,16.92,17.34,6118100
2019-03-19,17.68,17.77,17.04,17.19,6460600
2019-03-20,17.18,18.22,17.10,18.08,9605100
2019-03-21,18.07,18.33,17.68,17.84,7389200
2019-03-22,17.33,17.34,16.47,17.02,10298700
2019-03-25,16.81,17.38,16.39,17.05,7884900
2019-03-26,18.03,18.27,17.67,17.98,7618700
2019-03-27,18.02,18.15,16.90,17.40,8577600
2019-03-28,16.63,17.44,16.61,17.42,7500700
2019-03-29,18.32,18.33,17.72,18.08,9291100
2019-04-01,18.59,19.48,18.39,19.43,8721300
2019-04-02,19.77,20.47,19.62,20.35,9889300
2019-04-03,20.30,20.53,19.79,20.23,9417200
2019-04-04,20.18,20.46,19.64,19.87,6736800
2019-04-05,20.20,21.03,20.13,20.97,6996000
2019-04-08,21.35,22.13,21.33,22.10,8251900
2019-04-09,21.88,21.99,21.34,21.74,6936400
2019-04-10,22.02,22.39,21.75,22.16,7311200
2019-04-11,21.83,22.02,21.02,21.44,8597900
2019-04-12,21.92,22.06,21.50,21.58,5992800
2019-04-15,21.25,21.52,20.84,21.29,7121100
2019-04-16,21.25,21.95,20.78,21.94,5543500
2019-04-17,21.95,22.02,21.39,21.46,7086700
2019-04-18,21.60,21.77,21.24,21.71,3600800
2019-04-22,23.12,23.63,23.08,23.39,6202700
2019-04-23,23.60,24.32,23.57,24.01,6455600
2019-04-24,24.09,24.14,23.30,23.40,5911800
2019-04-25,23.46,23.64,22.50,22.59,4715400
2019-04-26,21.89,21.90,19.76,20.42,13225600
2019-04-29,20.76,21.21,20.28,21.16,5256800
2019-04-30,21.67,21.74,20.84,21.42,5432900
2019-05-01,21.34,21.45,20.29,21.08,6136200
2019-05-02,19.59,19.71,18.51,19.13,9119500
2019-05-03,19.42,20.01,19.28,19.36,4982900
2019-05-06,19.04,20.42,18.99,20.27,6789800
2019-05-07,18.96,19.27,18.27,18.79,8942200
2019-05-08,18.96,19.85,18.82,19.43,7339000
2019-05-09,19.15,19.35,18.51,19.11,6671200
2019-05-10,19.03,19.60,18.97,19.15,5308600
2019-05-13,20.51,20.77,18.29,18.44,9973700
2019-05-14,19.18,19.63,19.04,19.26,5496600
2019-05-15,18.88,19.90,18.83,19.78,5986600
2019-05-16,20.31,20.95,20.24,20.55,6542600
2019-05-17,20.60,21.04,20.03,20.19,4531100
2019-05-20,20.43,20.85,20.03,20.55,4731300
2019-05-21,20.33,20.64,20.11,20.41,3340500
2019-05-22,19.79,20.10,18.42,18.65,7815800
2019-05-23,17.03,17.03,15.05,15.76,13734000
2019-05-24,16.23,16.31,15.24,16.30,8835300
2019-05-28,16.80,16.84,16.14,16.31,6276300
2019-05-29,15.48,16.48,14.68,16.37,15144300
2019-05-30,16.48,16.53,14.27,14.40,14114100
2019-05-31,13.26,13.58,11.80,11.93,18372300
2019-06-03,12.65,12.73,11.56,11.63,13681500
2019-06-04,11.88,12.27,11.51,12.15,12647000
2019-06-05,11.72,11.72,10.13,10.89,20743100
