Date,Open,High,Low,Close,Volume
2018-05-30,130.20,131.10,129.87,130.64,10631300
2018-05-31,130.65,131.58,129.98,130.72,11086000
2018-06-01,131.84,132.51,130.36,130.85,8323400
2018-06-04,131.94,133.57,131.43,133.07,7178000
2018-06-05,133.38,133.62,132.70,133.56,6198200
2018-06-06,134.00,136.31,133.61,136.28,8065800
2018-06-07,136.36,136.58,133.05,133.84,8309200
2018-06-08,133.44,134.92,133.23,134.74,5261000
2018-06-11,134.90,135.19,133.81,133.91,7988700
2018-06-12,134.04,135.13,133.54,134.86,5743300
2018-06-13,135.18,135.77,134.31,134.40,4881600
2018-06-14,134.96,135.70,134.75,135.00,6464100
2018-06-15,135.10,135.73,134.00,135.10,10044500
2018-06-18,134.37,136.31,134.12,136.20,8713300
2018-06-19,134.56,135.24,133.57,135.11,6557600
2018-06-20,135.52,136.69,135.50,135.50,7192000
2018-06-21,135.27,136.12,134.26,134.53,8689800
2018-06-22,135.60,135.85,134.26,135.33,6031900
2018-06-25,134.91,134.91,129.53,130.93,10086200
2018-06-26,132.11,133.79,131.61,132.55,7733900
2018-06-27,133.01,133.66,131.01,131.02,7282100
2018-06-28,131.00,133.12,130.65,132.74,6576500
2018-06-29,133.28,134.19,132.45,132.45,7259000
2018-07-02,131.96,133.05,131.15,132.50,7554400
2018-07-03,133.01,133.41,131.42,131.45,3621600
2018-07-05,132.13,133.33,131.83,133.29,4729300
2018-07-06,133.58,134.28,132.50,134.09,4839800
2018-07-09,134.94,135.97,134.79,135.52,8960700
2018-07-10,135.57,137.33,135.34,136.69,6561900
2018-07-11,136.63,138.81,136.60,138.15,10648700
2018-07-12,139.01,139.95,138.66,139.90,11816100
2018-07-13,139.79,140.03,137.54,139.42,7865700
2018-07-16,139.42,139.55,138.16,138.46,4969900
2018-07-17,138.18,139.91,137.42,139.64,5412600
2018-07-18,139.91,141.17,139.37,140.90,7008600
2018-07-19,140.95,140.99,139.93,140.13,7937000
2018-07-20,140.00,141.47,139.92,140.99,7153600
2018-07-23,140.66,140.97,139.64,140.03,7723600
2018-07-24,140.99,141.47,139.51,140.03,8336700
2018-07-25,140.34,142.77,139.90,142.64,8376000
2018-07-26,141.61,142.79,139.53,142.50,10520800
2018-07-27,143.08,143.14,139.21,140.71,7014900
2018-07-30,140.13,140.42,135.31,136.48,12812400
2018-07-31,137.13,138.02,135.63,136.74,7683300
2018-08-01,137.74,138.74,137.41,138.25,7087700
2018-08-02,137.45,139.19,137.00,138.92,12300000
2018-08-03,139.29,139.86,137.94,139.82,4617500
2018-08-06,139.65,140.26,139.05,139.71,5143000
2018-08-07,139.98,140.69,139.87,140.28,10034500
2018-08-08,139.98,140.99,139.83,140.68,5389500
2018-08-09,140.73,141.24,139.90,140.01,5678700
2018-08-10,139.88,140.74,139.25,139.73,6523500
2018-08-13,140.53,141.24,139.83,140.21,4817500
2018-08-14,140.30,140.99,139.88,140.76,5888700
2018-08-16,141.07,141.49,140.42,140.65,5931700
2018-08-17,140.78,141.71,140.57,141.33,7699600
2018-08-20,141.54,141.60,140.70,140.94,4662200
2018-08-21,141.00,141.46,139.80,140.04,6854300
2018-08-22,139.85,141.53,139.85,141.14,4191700
2018-08-23,141.01,142.45,140.77,142.10,4426800
2018-08-24,142.32,144.38,142.32,144.20,5714000
2018-08-27,144.99,145.60,144.71,145.40,7194900
2018-08-28,145.63,146.17,144.87,145.20,4925700
2018-08-29,145.46,147.30,145.42,147.03,5192900
2018-08-30,146.82,147.71,146.36,146.74,7804600
2018-08-31,146.74,147.64,146.50,146.89,5786600
2018-09-04,146.93,147.86,146.67,147.80,7638100
2018-09-05,147.00,147.82,142.55,142.67,11363400
2018-09-06,143.29,144.70,142.54,144.50,9589200
2018-09-07,143.99,144.44,142.75,143.20,13626200
2018-09-10,144.13,144.44,143.21,144.08,5362700
2018-09-11,143.46,145.52,143.25,145.49,9895900
2018-09-12,145.85,146.80,145.07,146.57,6964100
2018-09-13,147.15,148.07,147.09,147.63,5803400
2018-09-14,147.91,148.37,147.35,147.84,4928300
2018-09-17,147.83,147.90,145.83,146.18,7708600
2018-09-18,146.20,148.09,145.95,147.63,5692100
2018-09-19,148.28,148.82,147.25,147.42,7432300
2018-09-20,147.99,149.49,147.20,149.24,7172700
2018-09-21,149.95,150.26,149.35,150.05,15628100
2018-09-24,149.16,149.65,147.27,149.11,6706700
2018-09-25,149.71,149.96,149.10,149.58,4230700
2018-09-26,150.00,150.42,149.04,149.27,5852400
2018-09-27,149.90,150.64,149.56,150.02,5868500
2018-09-28,149.81,150.37,149.55,150.09,6035900
2018-10-01,150.89,151.56,150.61,150.79,9802100
2018-10-02,150.84,150.84,149.17,149.67,8047500
2018-10-03,150.71,150.71,149.19,149.37,7521100
2018-10-04,149.18,149.28,146.10,146.76,9208900
2018-10-05,146.64,147.41,144.40,145.36,7085700
2018-10-08,145.01,145.01,140.18,141.89,11637300
2018-10-09,141.46,143.29,141.12,142.31,10798000
2018-10-10,142.57,142.69,135.21,135.52,15450100
2018-10-11,134.09,137.24,132.26,133.73,15657200
